"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"CBX5",10,1.25875543587735e-08,"yes",-0.384852724209566,0.261213273784026,5,0.0465551535075338,"no","","","",393
"MFN1",7,6.40135205841441e-08,"yes",-0.368332642969409,0.357345007797665,5,0.966930343126829,"no","","","",393
"GSTP1",8,1.90869154745569e-06,"yes",-0.115162541198119,0.297997897528205,4,0.509447368876742,"no","","","",393
"ATF1",10,2.83165060393118e-06,"yes",-0.275814758667072,0.272526115609195,5,0.0502040590999384,"no","","","",393
"CAPZA2",9,3.84547767115838e-06,"yes",-0.0916094959300905,0.203955873191195,5,0.948284555077277,"no","","","",393
"ITGB6",10,7.67422204491227e-06,"yes",0.0354942964877848,0.135708028414162,5,0.196212873116067,"no","","","",393
"MAP4K3",9,1.65020222992415e-05,"yes",-0.0989381224411035,0.535781937599914,5,0.820395257529627,"no","","","",393
"CYP2U1",9,3.01082990608531e-05,"yes",0.0322337847212184,0.154132252643883,5,0.119368700565583,"no","","","",393
"CCDC90A",9,4.17566837224558e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,NA
"HLF",10,4.33605117608888e-05,"yes",-0.345402107902136,0.284823408969987,5,0.580644389483544,"no","","","",393
"PA2G4P4",10,4.63478289040659e-05,"yes",0.0272902552610839,0.140405515622461,0,NA,NA,"","","",393
"SPRYD4",9,5.26810195616699e-05,"yes",0.00173046691552138,0.221062217903674,4,0.00924266670867689,"no","","","",393
"SNAI2",10,5.96688713799377e-05,"yes",-0.410090738947947,0.313661063941583,5,0.106432134878874,"no","","","",393
"ETV5",6,6.52820323392428e-05,"yes",-0.0278322431977982,0.108709946372654,4,0.525675992679754,"no","AML_Act,BRCA_Act","","NF1 (enriched, 17% vs 3%)",393
"GAB1",9,7.50105906733888e-05,"yes",-0.0789472425989561,0.124479154467745,5,0.0164698333486602,"no","","","",393
"MYL3",10,8.41417306986293e-05,"yes",-0.0706184816817325,0.102373473634211,5,0.0395852698327538,"no","","","",393
"OR6S1",9,0.000103561060144707,"yes",-0.0626345338750841,0.0450524707470291,5,0.826743114921694,"no","","TENM4 (enriched, 60% vs 2%)","",393
"LPAR3",9,0.000105584698590364,"yes",0.0027254881491007,0.20548634525954,5,0.979103836554665,"no","","","",393
"ACAP2",7,0.000106980774003653,"yes",-0.0406337349600271,0.102428375081023,5,0.996793997809123,"no","","","",393
"SERPINB11",9,0.000129354940290405,"yes",-0.100280749921007,0.0874322209958756,0,NA,NA,"","","",393
"MMP14",9,0.000129967184225748,"yes",0.0443275911369909,0.211887421352673,5,0.792066857231866,"no","","","RB1 (enriched, 15% vs 1%)",393
"ANGEL1",9,0.000131261267408626,"yes",-0.22136636693225,0.286485171577655,5,0.149110555388111,"no","","","",393
"HIST1H1T",9,0.000137380126132318,"yes",0.0491271895189691,0.144348748747025,5,0.985138558605975,"no","",NA,NA,393
"GPR158",10,0.000152377062282805,"yes",-0.127787392879354,0.205153717201426,5,0.839811060003958,"no","","","",393
"PRKG2",8,0.000161212978786315,"yes",-0.213830162470155,0.23335311172427,5,0.675617652998016,"no","","","",393
"CDC20B",10,0.000168221744214297,"no",-0.0387272731878606,0.187366502671574,5,0.0317635161178103,"no","","","",393
"EGOT",9,0.000169178952227116,"no",-0.110113057816089,0.128265110997941,0,NA,NA,"","","",393
"FOXN2",9,0.000170509404419609,"no",-0.108336551596096,0.279777495057428,4,0.320923098344561,"no","","","RB1 (depleted, 1% vs 15%)",393
"SLC39A4",7,0.000179942458985229,"no",-0.177569553004811,0.178351985428992,4,0.925942777259192,"no","","","",393
"UBASH3B",9,0.000195125263121533,"no",-0.0793336712914106,0.312799895925141,5,0.960927396372825,"no","","","",393
"MMP10",9,0.000200015803149613,"no",0.0523944028579368,0.120650471080827,5,0.216604678952856,"no","","","NF1 (enriched, 17% vs 3%)",393
"MMP3",9,0.000200015803149613,"no",-0.0215847478433818,0.0829418897541769,5,0.978968735090299,"no","","","",393
"IGSF11",8,0.000208151922806164,"no",0.0103059403900604,0.160480533935219,4,0.892339904077953,"no","","","",393
"AHI1",7,0.000208241782459014,"no",0.0289424865314233,0.159974999069243,5,0.686448733196159,"no","","","",393
"TCF19",10,0.000217711859808919,"no",-0.139427043313081,0.117847984935702,5,0.220268747584382,"no","","","",393
"MUC20",8,0.000227066489251944,"no",0.0635846789602798,0.349835864035186,5,0.214206310903715,"no","","","",393
"RASL11A",9,0.00022774204521953,"no",0.0533582401939733,0.0744224946420357,5,0.886311613811287,"no","","","",393
"FLRT1",9,0.000232936734166318,"no",0.0258650026603095,0.113816597538169,5,0.0297014157650428,"no","","","",393
