"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"AHCTF1",8,-5.19584375524573e-14,"yes",-0.371398153098563,0.158090423842561,5,0.999983372718144,"no","","","",393
"TP53",3,8.72714123190121e-11,"yes",1.26212076059552,0.984673742445119,0,NA,NA,"ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","","",393
"COPS3",9,4.77524397801687e-09,"yes",-0.490030692110335,0.328757488878468,5,0.999999238288461,"no","","","",393
"TFRC",8,1.80209120959063e-08,"yes",-0.222559708611428,0.215787175043806,5,0.999518987258741,"no","","","",393
"PLRG1",10,3.0996116673343e-08,"yes",-0.67069110586835,0.226918555453577,5,0.999974569795564,"no","","","",393
"ASH2L",10,2.66471675947066e-07,"yes",-0.129969115951514,0.462835597808847,5,0.993632995647671,"no","","","",393
"GEMIN5",10,4.11589871518458e-07,"yes",-0.469689406355141,0.240409360005338,5,0.999999996159703,"no","","","",393
"COPS8",9,6.83310377391777e-07,"yes",-0.557198256580828,0.37472886504076,5,0.999997876303425,"no","","","",393
"NAA15",10,9.82785781089568e-07,"yes",-0.3603009798965,0.10035140168346,5,0.999998942955325,"no","","","",393
"CARS",9,1.050373312661e-06,"yes",-0.101710123916644,0.150252050304895,5,0.999999966333299,"no","ST_ambiguous",NA,NA,393
"MCL1",8,1.1344418258119e-06,"yes",0.436702373217684,0.196597052684537,5,0.998186986392364,"no","","","",393
"UBA3",9,1.69924163684332e-06,"yes",-0.141261765572155,0.212265994539344,5,0.99997868385212,"no","","","",393
"UTP15",10,5.10132114428519e-06,"yes",-0.385190083695398,0.261353751131332,5,0.999999995971895,"no","","","",393
"XAF1",9,5.43283549281348e-06,"yes",0.0050620348933423,0.188009370209554,5,0.656713009177951,"no","","","",393
"CTR9",9,5.95845301631925e-06,"yes",-0.393134953720592,0.181775833548072,5,0.999979403251564,"no","","","",393
"CDK12",10,6.5664555113365e-06,"yes",0.0106560214348137,0.221067164210292,5,0.7826962821568,"no","CESC_LoF,CM_LoF,OV_LoF,PRAD_LoF,ST_LoF","","",393
"ATP10D",9,7.01305859396317e-06,"yes",-0.105977716182174,0.136535020789206,5,0.422607797703231,"no","","","",393
"NCBP2",7,7.38479213668874e-06,"yes",-0.549575471583817,0.343228322887459,5,0.99999999942769,"no","","","",393
"INTS4",7,8.82585485517673e-06,"yes",-0.767630037121877,0.358022708266831,4,0.999928952743026,"no","","","",393
"B9D1",10,8.9013951519723e-06,"yes",0.149599754927765,0.159922800390954,5,0.133533469622298,"no","","","",393
"TTC1",9,1.02960845167477e-05,"yes",-0.507910811452281,0.263316319171045,5,0.999979403251564,"no","","","",393
"AATF",10,1.2209224423243e-05,"yes",-0.43285559083291,0.203136058920394,5,0.999593972459589,"no","","","",393
"MYC",9,1.38163229795873e-05,"yes",-0.130999960621973,0.310577953991992,5,0.999999999667588,"no","AML_Act,BLY_Act,LY_Act,NHLY_Act","","",393
"UBL5",9,1.39665902478825e-05,"yes",-0.76201682898201,0.05249636496265,5,0.999999997333562,"no","","","",393
"CDK7",10,1.74039664561088e-05,"yes",0.0784776993875019,0.240439651200708,5,0.999999999982256,"no","","","",393
"RANBP2",9,1.95094357292591e-05,"yes",-0.278520310590063,0.420695563564253,4,0.998908442565628,"no","HC_LoF,NB_LoF,NSPH_LoF,PCPG_LoF,PRAD_LoF,RCCC_LoF","","",393
"ANKRD46",9,2.23981085352154e-05,"yes",0.165942681516279,0.09864691947513,5,0.0237312148111566,"no","","","",393
"BCLAF1",9,3.0835917003702e-05,"yes",-0.345177962971499,0.235385930601995,5,0.999789397696708,"no","AML_Act,CM_Act,ST_Act","","",393
"CCDC91",9,3.53843574618651e-05,"yes",0.153868048097978,0.054189827996315,5,0.127078971564888,"no","","","",393
"CXCR7",9,3.59879803339958e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,NA
"SF3B4",9,3.60076034585655e-05,"yes",-0.781000071800306,0.345795502091624,5,0.999999999990735,"no","","","",393
"MCPH1",9,3.74050798386261e-05,"yes",0.0641949196535742,0.130783744648733,5,0.116479066867546,"no","","","TP53 (enriched, 15% vs 1%)",393
"VPRBP",10,4.80331561888425e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,393
"SNRNP40",10,7.93087119747016e-05,"yes",-0.111331313591564,0.159569054783765,5,0.999918055751065,"no","","","",393
"TTK",9,8.92151465875513e-05,"yes",-0.435608443631159,0.431952493983358,5,0.999987278219195,"no","","","",393
"RNGTT",9,9.03774544803726e-05,"yes",-0.0758849134581571,0.295935492091023,5,0.999999999571337,"no","","","",393
"RPP40",10,9.55052473684548e-05,"yes",-0.449644242271335,0.257688561702095,5,0.999999892634607,"no","","","",393
"UBE2I",9,0.000110585266309693,"yes",-0.420900354776758,0.265597413777828,5,0.999997788451343,"no","","","",393
"SKIV2L2",9,0.000120301225048025,"yes",-0.606683406654134,0.197863670212227,0,NA,NA,"",NA,NA,393
"GMNN",9,0.000143432199521842,"yes",-0.0443984178357087,0.0880031022657793,5,0.999406840324277,"no","","","",393
"DNA2",8,0.000151681454153785,"yes",-0.0693929174568446,0.357643306192686,0,NA,NA,"","","",393
"ACVR1B",10,0.000162961237672343,"no",0.0764437485450103,0.0611263933336416,5,0.697679575399029,"no","","","",393
"C9orf96",9,0.000164811866115611,"no",NA,NA,0,NA,NA,"",NA,NA,393
"WSB1",10,0.000164926565278778,"no",0.180756518518514,0.16683221025079,5,0.00917794147099615,"no","","","",393
"AHCY",8,0.000186012892046894,"no",0.0731726957056747,0.198640770140296,5,0.999914238550639,"no","","","",393
"LIMK2",8,0.000190629623130878,"no",0.177929569707906,0.081708680534972,5,0.309481391322306,"no","","","",393
"SLITRK3",7,0.000191250452293845,"no",-0.0058744879004711,0.18594449431729,4,0.0370832283959072,"no","","","",393
"YAF2",10,0.000194502112921269,"no",0.208008363954115,0.0929586936411868,5,0.995390533896882,"no","","","",393
