"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"KRAS",15,4,0.000777638484164743,"yes",-0.00476196650251344,0.226755400675332,-1.412419224682,0.876301296533853,11,1,NA,NA,"ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act",5.58886042882369e-05,0.0101351351351351,592
"KCNS2",30,2,0.00474040343447015,"no",-0.0163314886923539,0.108303564848851,-0.0776943012413677,0.0439217466758523,21,1,NA,NA,"",0.375332398703731,0.027027027027027,592
"IL6",31,3,0.00533486305646168,"no",0.00614057263339256,0.140833821107229,-0.0977240209105805,0.0870794229863212,19,3,0.698485900604903,"no","",0.957648829139659,0.00506756756756757,592
"PKD1L2",32,3,0.00743390007771552,"no",-0.159128082024771,0.258535052311692,-0.340888291259656,0.125584999937968,0,0,NA,NA,"",NA,0,592
"POU4F1",32,2,0.00769600697076739,"no",-0.00935820627638149,0.118308251872187,-0.180842143327912,0.105467796097169,19,2,0.419145200668218,"no","",0.294578640401544,0.0118243243243243,592
"PDE1C",30,2,0.00973794804169657,"no",-0.108623609353575,0.190130838358054,-0.220876201998868,0.115116992214148,19,1,NA,NA,"",0.0122646687408962,0.00506756756756757,592
"NRBP2",33,3,0.0103795205454543,"no",-0.010487180868382,0.141632946241126,0.0259229027937276,0.153449144305473,20,2,0.239205821133938,"no","",1.52886164258717e-05,0.0320945945945946,592
"ADCY1",25,3,0.0133085018371682,"no",-0.0322684975064612,0.142431038933739,-0.284732892568765,0.20257209465938,16,2,0.572601437606779,"no","",NA,0.00168918918918919,592
"UTP18",33,2,0.0136651313331572,"no",-0.58612801547323,0.241010201390687,-0.93261961229685,0.0113229331639684,21,0,NA,NA,"",0.000131980980448755,0.00844594594594595,592
"HAS2",31,4,0.0137757842708812,"no",-0.0871026151974272,0.134560510282518,-0.272757625783109,0.0571912040377927,19,2,0.425747987155407,"no","",0.664017095558175,0.0304054054054054,592
"SOX18",33,3,0.0164090553635336,"no",-0.0423487371129813,0.174637756678429,-0.173450806448859,0.116130781360658,18,3,0.579871374870418,"no","",0.754894479819903,0.0726351351351351,592
"ACAP2",30,2,0.0164225124882316,"no",0.00763349640429628,0.0957610688536878,-0.0680388111682571,0.0761968675059549,19,1,NA,NA,"",NA,0.00168918918918919,592
"LRRC24",31,3,0.0164886236634891,"no",0.0159788841067941,0.176223689202381,-0.00589011804969052,0.0445778005265445,20,2,0.206273184432918,"no","",0.151848252718973,0.0320945945945946,592
"RDH10",34,2,0.0166787986792668,"no",-0.106833185143297,0.225476759963731,-0.136389418981879,0.0791762232766099,21,1,NA,NA,"",0.000294896397390007,0.0202702702702703,592
"ZMYM5",32,2,0.017642199000616,"no",0.0692858721113155,0.19512344394872,0.104134592747105,0.209462366781106,18,3,0.418648779741238,"no","",1.0670123330446e-05,0.0405405405405405,592
"TFEC",31,2,0.0180756402950647,"no",0.0173797679116925,0.1040839644792,-0.041265080166712,0.175287613542143,18,1,NA,NA,"",NA,0.00168918918918919,592
"IQCG",30,3,0.0235906703378535,"no",-0.00676023307780683,0.138862974094144,-0.171221290887512,0.117552979951675,18,2,0.625858483203751,"no","",NA,0,592
"PMP2",32,2,0.0239589216966627,"no",-0.102764235580543,0.174922884939536,-0.154605359222875,0.0458038944865215,21,1,NA,NA,"",0.211685053986263,0.0287162162162162,592
"ECHDC1",31,2,0.0254710194897855,"no",-0.0550490612255002,0.142684129340702,-0.375310590719965,0.506295174763691,21,1,NA,NA,"",0.0941823118770886,0.00337837837837838,592
"TMEM130",27,3,0.0266353159458837,"no",0.0405862519751986,0.103183323522448,0.030211905265141,0.058854848709083,18,0,NA,NA,"",0.117195435682696,0.00506756756756757,592
"SOX14",32,3,0.0268870196286675,"no",-1.44938558921349e-05,0.188354908145025,-0.0534031094328081,0.28748550351178,20,2,0.484544481963278,"no","",NA,0,592
"SND1",30,2,0.027090798728306,"no",-0.0883099650672533,0.150040640687265,-0.204363793125709,0.101081956252142,19,0,NA,NA,"",0.0558486848064054,0.00337837837837838,592
"HOXA6",34,2,0.0279602003809199,"no",0.0204486662475974,0.121653043487823,-0.0659829243565364,0.0937668260584367,20,2,0.368023485403638,"no","",0.736194972578066,0.00337837837837838,592
"PIK3CG",28,2,0.0287315733318512,"no",-0.0220834939004015,0.146579619367081,-0.071180861630738,0.187564709297173,19,0,NA,NA,"",0.203943568731984,0.00337837837837838,592
"PSCA",32,2,0.0308074218205869,"no",-0.22869398227534,0.399299431989355,-0.133913985079391,0.0125578133214345,19,1,NA,NA,"",0.0130996563775335,0.0304054054054054,592
