"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"KRAS",15,20,4.27718194118451e-07,"yes",-0.00476196650251344,0.226755400675332,-1.08181118926115,1.12871482772956,11,10,0.232920567343328,"no","ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act","yes",0.401119402985075,536
"TP53",12,18,2.00261285973414e-06,"yes",0.337639555434525,0.726410337707049,-0.127974258376285,0.0791149124852037,7,11,0.0238137181122629,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.432835820895522,536
"SBK1",31,4,1.03129875008614e-05,"yes",-0.0719295989622801,0.446521098245493,-0.484933055044754,0.187496701718559,21,1,NA,NA,"","yes",0.00373134328358209,536
"IL6R",32,3,0.00029744489125117,"no",-0.0792451584285855,0.148376110189394,-0.140385823847425,0.12830881319343,20,2,0.435689840996503,"no","","yes",0.0111940298507463,536
"KIF2B",29,5,0.000548606201039285,"no",-0.0678692651543104,0.152774309439097,-0.0533758305838856,0.0491187104692343,19,3,0.687612263751637,"no","","no",0.041044776119403,536
"TNFRSF25",28,6,0.000789187287222013,"no",0.0785423919978809,0.106765120392347,0.0430189816588828,0.201116761782089,18,4,0.677639766361189,"no","","yes",0.00559701492537313,536
"PYROXD1",30,4,0.000980393802980784,"no",-0.0134139071814129,0.114476450454692,-0.222166700542632,0.142590191593711,20,2,0.485831875557606,"no","","yes",0.0111940298507463,536
"CIC",25,11,0.00115901385559843,"no",0.0840814063578312,0.137613382265297,-0.0283984415606502,0.198300944643211,17,5,0.819141648976544,"no","LGG_LoF,LUAD_LoF","yes",0.0261194029850746,536
"DDX27",29,3,0.00125259215384268,"no",-0.610570709977445,0.521919082805001,-1.76690870026815,0.47275686170928,19,0,NA,NA,"","yes",0.0186567164179104,536
"POLE2",32,3,0.00141719366644816,"no",-0.456952022755255,0.25676299680254,-1.25602797144246,0.288392464350761,20,1,NA,NA,"","yes",0.00932835820895522,536
"USPL1",30,6,0.00161069703484921,"no",-0.14947525005744,0.288587587670233,-0.550992472685691,0.375916074783376,17,3,0.483760520749554,"no","","yes",0.0223880597014925,536
"DNM2",31,6,0.00190126591844178,"no",-0.277490733448203,0.236823938951224,-0.428402546849118,0.256105064194065,19,3,0.43904155168968,"no","","yes",0.0261194029850746,536
"LONP1",29,3,0.00204412631611919,"no",-0.535099834500123,0.339030163640843,-1.0923333160332,0.49048716333607,20,1,NA,NA,"","yes",0.0167910447761194,536
"KEAP1",32,5,0.00387258987334862,"no",-0.0818965511990274,0.271697544043148,-0.123645396773501,0.140189654975754,19,3,0.0411396910369044,"no","CH_Act,HC_Act,LUAD_Act,LUSC_Act,NSCLC_Act,RCCC_Act","yes",0.0111940298507463,536
"RASL10A",33,2,0.00407886770762282,"no",-0.0692425020248725,0.242282167666415,-0.269942049970225,0.358441469708413,19,2,0.463751261760355,"no","","yes",0,536
"APC",5,13,0.00528609158861904,"no",0.0563849535813582,0.0458472136574174,-0.265968164571171,0.420621727302142,3,9,0.390340472140605,"no","AN_LoF,BC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,NSCLC_LoF,PRAD_LoF,SBCC_LoF,SSCC_LoF,ST_LoF,UVM_LoF,VV_LoF","yes",0.0783582089552239,536
"ASB4",33,3,0.00532934433815917,"no",-0.0145752149083089,0.310738952338546,-0.41532897761769,0.101480083743927,20,2,0.720867889855434,"no","","yes",0.0111940298507463,536
"PDE5A",29,6,0.00549053554492707,"no",0.0272760368273718,0.0996941748928828,0.00334666964439279,0.0762048488090751,18,4,0.786083456119596,"no","","yes",0.0205223880597015,536
"OLIG3",31,3,0.00566076776685249,"no",0.0300470097122473,0.161856999298958,-0.033895327679358,0.0973633050812359,20,1,NA,NA,"","no",0.0130597014925373,536
"F13A1",30,5,0.00567002479518576,"no",-0.004291098972893,0.125330373923297,0.0247794819253352,0.336384855754694,19,2,0.40730870409728,"no","","yes",0.0261194029850746,536
"WDR65",34,2,0.00630952391968039,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,536
"KCNK3",31,4,0.00690677825650972,"no",-0.0407851628527463,0.14829739197787,-0.10455505467897,0.12520108058111,19,3,0.627841260420016,"no","","yes",0.0111940298507463,536
"GPR149",24,8,0.00700817667269006,"no",-0.0445906294696356,0.248873366490745,-0.10832645967543,0.0380831074138587,17,1,NA,NA,"","no",0.0391791044776119,536
"DLX5",32,3,0.00730120586850702,"no",-0.0615119493445469,0.227718073247513,-0.310039336985735,0.180367644023981,21,1,NA,NA,"","yes",0.0186567164179104,536
"MCRS1",34,2,0.00742615921330674,"no",-0.340389731601439,0.335938939721252,-0.751839349999764,0.305321932145777,19,2,0.442007681225168,"no","","yes",0.0111940298507463,536
"PDE4B",33,4,0.00770579625816387,"no",0.0348116881290649,0.166749216795967,-0.0488797945782778,0.119256514155158,20,2,0.691365845933749,"no","","yes",0.0205223880597015,536
"NDN",31,4,0.00771604227361121,"no",-0.00421055922649899,0.106816688475738,-0.0526088546914196,0.130585933617774,21,1,NA,NA,"","yes",0.0242537313432836,536
"BRAF",18,16,0.00791189761274961,"no",0.0298774956178334,0.120386600052421,-0.166780755250427,0.595844521540728,10,10,0.384943719713143,"no","BLCA_Act,BRCA_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,LUSC_Act,MM_Act,NSCLC_Act,OV_Act,PIA_Act,PRAD_Act,RPC_Act,THCA_Act,UCEC_Act","yes",0.111940298507463,536
"TENC1",23,10,0.00791855306780518,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,536
"TXK",31,3,0.00795371454595458,"no",0.0148207685355629,0.180306509728986,-0.118350314160211,0.0754957044898566,22,0,NA,NA,"","yes",0.0205223880597015,536
"SDR9C7",31,4,0.00802828932029537,"no",-0.0310984364424621,0.186982465820434,-0.10401882436467,0.111251198454913,19,3,0.505550976737246,"no","","no",0.0130597014925373,536
"PPIL2",34,3,0.0086354046861178,"no",-0.169509757499419,0.225674425745305,-0.558815184315553,0.179097824500708,21,1,NA,NA,"","yes",0.00746268656716418,536
"KAT8",34,3,0.00880924574991911,"no",-0.342240324610231,0.402879843515163,-0.391404107736582,0.232657662783363,19,3,0.496324013201195,"no","","yes",0.00932835820895522,536
"MAT2B",34,3,0.00896886468681295,"no",0.0319932024928653,0.145509408503304,-0.0690796593091327,0.0716176465031782,21,1,NA,NA,"","yes",0.0186567164179104,536
"AATK",24,8,0.00950028567668399,"no",0.00514190231436995,0.211204512826184,-0.0060108223497223,0.143101024152665,16,5,0.700826906915514,"no","","yes",0.0261194029850746,536
"SRGAP1",30,3,0.0101270551837147,"no",-0.0627647524292391,0.221407242747044,-0.184811219201555,0.112301348006317,21,1,NA,NA,"","yes",0.0261194029850746,536
"PIK3CA",18,16,0.0102226211976061,"no",-0.0919308014286337,0.227756463771538,-0.353263369581177,0.239547092950217,13,9,0.242760726351653,"no","ACY_Act,AN_Act,ANGS_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CM_Act,COREAD_Act,EPD_Act,ESCA_Act,GBM_Act,HC_Act,HGG_Act,HNSC_Act,LEIS_Act,LGG_Act,LUAD_Act,LUSC_Act,MBL_Act,MESO_Act,MGCT_Act,NSCLC_Act,OS_Act,OV_Act,PAAD_Act,PIA_Act,PRAD_Act,RCCC_Act,RPC_Act,S_Act,SBCC_Act,ST_Act,UCEC_Act,UCS_Act,VV_Act","yes",0.244402985074627,536
