"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",12,11,1.10426749861425e-05,"yes",0.337639555434525,0.726410337707049,-0.167779096386513,0.0773243124749247,7,5,0.00994877645085282,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.169776119402985,536
"GEMIN5",28,5,0.00105945716353169,"no",-0.622713856805588,0.285838877983544,-1.24404730499284,0.25184119480567,17,4,0.484669648228075,"no","","yes",0.00559701492537313,536
"RAE1",29,3,0.00199340174336107,"no",-0.678550624487855,0.338234902321676,-1.47059269205946,0.339901771981646,16,2,0.483114490828234,"no","","yes",0.0130597014925373,536
"AKAP1",27,2,0.00377855854232378,"no",-0.106918947730409,0.436981356220648,-0.267115404400654,0.036854383346288,16,1,NA,NA,"","yes",0,536
"STK38",31,3,0.00487460904768176,"no",0.0586522400683697,0.208425298379075,-0.232658858660337,0.246957107217142,21,1,NA,NA,"","yes",0.00373134328358209,536
"APC",5,27,0.00644671438964921,"no",0.0563849535813582,0.0458472136574174,-0.169456096187576,0.382571337410537,3,16,0.388876797658692,"no","AN_LoF,BC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,NSCLC_LoF,PRAD_LoF,SBCC_LoF,SSCC_LoF,ST_LoF,UVM_LoF,VV_LoF","yes",0.936567164179104,536
"MCF2L2",29,2,0.00678914497714433,"no",-0.0265157454349611,0.164457635330032,-0.122833733916351,0.0663799242230332,19,1,NA,NA,"","yes",0.0205223880597015,536
"PPP1CC",30,2,0.00774766612546664,"no",-0.265745900177806,0.340090601187349,-0.318053653834435,0.048054807887835,20,0,NA,NA,"","yes",0,536
"MEIS1",34,2,0.0100860558213551,"no",0.0386476418416692,0.18179891931866,-0.0663892966872632,0.0296259226707338,22,0,NA,NA,"","yes",0.00559701492537313,536
"COL4A1",19,3,0.010128045288808,"no",0.00911560205879691,0.13647458286327,-0.306659601657679,0.179332830215956,10,2,0.307736364120746,"no","","yes",0.0167910447761194,536
