"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"UCKL1",6,4,0.00181897471912657,"yes",0.0385932077533684,0.0622448687356198,-0.0825049024652148,0.195679283985861,3,3,0.412653368699273,"no","",0.000100089510016461,0.0286806883365201,523
"RBM38",7,3,0.00523769386853491,"no",0.0372402589450903,0.11674791527071,-0.185408584115595,0.268282762726236,5,2,0.358371258644609,"no","DLBCL_ambiguous",0.0010837489911459,0.017208413001912,523
"COL1A2",3,3,0.00955752091718964,"no",-0.00194656979350269,0.0677085372203248,-0.0807311367194008,0.0182601229673426,4,1,NA,NA,"",NA,0.00191204588910134,523
"TMEM189-UBE2V1",8,2,0.0105725374636273,"no",1.01087808653175,0.17839033173848,0.900408056430569,0.0904525736576791,0,0,NA,NA,"",0.0940165011313143,0.0286806883365201,523
"MST1P2",9,2,0.0211845005825149,"no",0.27838292940977,0.325816849328942,0.283269892597702,0.090518592405414,0,0,NA,NA,"",0.577616385403223,0.00764818355640535,523
"BIRC7",7,4,0.0230451932297425,"no",-0.113421895283127,0.225747520881723,-0.143599654764209,0.170601727843899,4,3,0.568069698419083,"no","",0.0078609767301615,0.0210325047801147,523
"FBXL20",9,2,0.0255360089605587,"no",0.114769003724855,0.152376419680067,-0.165486764945957,0.063069083037662,6,1,NA,NA,"",9.49024916169806e-05,0.017208413001912,523
"JMJD8",8,2,0.0296851233541646,"no",-0.0573966688968001,0.116219886364256,-0.338903161352121,0.0738320472921771,3,2,0.906800578483873,"no","",0.028434826721826,0.00956022944550669,523
"CYP24A1",6,3,0.0322906356352954,"no",0.0550818522813036,0.0907548911827255,-0.089897443880562,0.0868152247510141,4,2,0.623437881243871,"no","",0.801924377949136,0.0191204588910134,523
"MECOM",7,2,0.0383656462770259,"no",-0.0333178229912937,0.211856538560674,-0.51146700253174,0.267566953232611,4,1,NA,NA,"BLCA_Act,CM_Act,DLBCL_Act,PRAD_Act,SBCC_Act,UCEC_Act",7.56153515228553e-05,0.118546845124283,523
"OR2T35",6,3,0.0551548524023731,"no",-0.315846379530418,0.0565993305937013,-0.121876895213523,0.170736368723075,6,1,NA,NA,"",0.140451708799694,0.0267686424474187,523
"PTK6",6,4,0.0565698572113689,"no",-0.104648034747945,0.187389162426333,-0.0969646456952954,0.121221887658829,3,3,0.574394426886214,"no","",0.270145481226468,0.0286806883365201,523
"ESPNP",6,3,0.0600602191060635,"no",0.0170263118284943,0.177425703357553,-0.0478239474917931,0.0944300800429248,0,0,NA,NA,"",0.0568061403735083,0.00764818355640535,523
"APCDD1L",5,3,0.0603764244524097,"no",-0.159111489036035,0.264177462464751,-0.428162890067019,0.158783778767935,3,2,0.609432371023359,"no","",0.162347629581923,0.0191204588910134,523
