"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"DOCK10",8,3,0.00111277748757917,"no",-0.0113831867589491,0.0711330627459852,-0.154348765634246,0.116904829660346,6,0,NA,NA,"","yes",0.111320754716981,530
"COL4A3",5,3,0.00193270926937103,"no",-0.245547118349667,0.251400149791198,-0.315837626375234,0.119985847011282,4,2,0.220240102775392,"no","","yes",0.0735849056603774,530
"TNFAIP1",8,2,0.00222318675565498,"no",-0.0149756072162009,0.264479709160417,-0.0452981215926787,0.0379018888755289,4,3,0.635511723818977,"no","","yes",0.0226415094339623,530
"KBTBD13",7,2,0.00275519319537553,"no",-0.0328947691955688,0.0733211987482181,-0.219044974981491,0.0320455527142285,6,1,NA,NA,"","no",0.00377358490566038,530
"CLTCL1",5,2,0.00358036263233608,"no",-0.00561099036777854,0.114173712517471,-0.0322678168445535,0.0285918822878923,4,2,0.387102986542471,"no","HC_Act","yes",0.0905660377358491,530
"ALX4",10,2,0.00478729529631139,"no",0.0550007153252552,0.120583131250864,0.0520121651286604,0.0676112819669956,6,1,NA,NA,"","yes",0.030188679245283,530
"GTF3C1",8,3,0.00521872864536045,"no",-0.067403319148326,0.222761986928738,-0.222982502859545,0.122369974355692,4,3,0.476530118499286,"no","","yes",0.107547169811321,530
"LCP1",7,2,0.00898124120158059,"no",0.175292769660423,0.100600669111191,0.00577806507388945,0.0554770381048931,6,1,NA,NA,"","yes",0.0320754716981132,530
"PRKDC",7,4,0.0108555313162453,"no",-0.136147559588069,0.28802382077635,-0.423870641288389,0.407212792616301,0,0,NA,NA,"","yes",0.124528301886792,530
"PIK3CA",3,5,0.0116925147526812,"no",0.0661564290439631,0.0972439022766333,-0.203760362359557,0.176265813999155,3,3,0.124920308504787,"no","ACY_Act,AN_Act,ANGS_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CM_Act,COREAD_Act,EPD_Act,ESCA_Act,GBM_Act,HC_Act,HGG_Act,HNSC_Act,LEIS_Act,LGG_Act,LUAD_Act,LUSC_Act,MBL_Act,MESO_Act,MGCT_Act,NSCLC_Act,OS_Act,OV_Act,PAAD_Act,PIA_Act,PRAD_Act,RCCC_Act,RPC_Act,S_Act,SBCC_Act,ST_Act,UCEC_Act,UCS_Act,VV_Act","yes",0.464150943396226,530
"ABCC5",6,2,0.012391297093276,"no",-0.132959576131017,0.157993989450864,-0.189205482784853,0.078449706437346,4,3,0.408327429912247,"no","","yes",0.0641509433962264,530
"PKP3",5,3,0.0124664615705853,"no",0.0808046192974436,0.170014075114155,-0.00883530821820985,0.0316584666085617,3,3,0.421403337570707,"no","","yes",0.0264150943396226,530
"BCAM",7,2,0.0124689055741948,"no",0.0214180846745424,0.0934201973770193,0.161433334993134,0.0216628038017965,5,2,0.413455749258303,"no","","yes",0.039622641509434,530
"GALK1",8,2,0.0127438210564494,"no",-0.16885613747752,0.188001700406771,-0.333134449226598,0.0633505278745485,6,1,NA,NA,"","yes",0.00943396226415094,530
"PIDD",7,2,0.0130106332968815,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,530
"GRIN2A",6,3,0.0141161247550893,"no",-0.0780669690573168,0.110566089913489,-0.270832417481809,0.102150469274304,4,2,0.320288799264248,"no","BLCA_Act,BRCA_Act,COREAD_Act,ST_Act","yes",0.10377358490566,530
"CTNNB1",6,3,0.0141266983379587,"no",-0.014963842508207,0.030325169542515,-0.381769373773029,0.391649507150293,4,3,0.237875895640296,"no","ACC_Act,COREAD_Act,HBC_Act,HC_Act,LUAD_Act,MBL_Act,NSCLC_Act,PIA_Act,PRAD_Act,RHBDS_Act,SBCC_Act,ST_Act,UCEC_Act,WT_Act","yes",0.232075471698113,530
"GPR65",7,2,0.0141696593311137,"no",0.0678115826823944,0.181779228344897,-0.0866153738857482,0.0310250435849797,7,0,NA,NA,"","yes",0.0320754716981132,530
"SPO11",5,2,0.0147635715855631,"no",-0.0186555803069936,0.0485354677834626,-0.148477106859374,0.213657053076104,4,1,NA,NA,"","no",0.0377358490566038,530
"CDRT1",10,2,0.015713064525721,"no",-0.0293534248921064,0.140300016270326,0.00610006696899593,0.0133876606747803,6,1,NA,NA,"","yes",0.0207547169811321,530
"NR3C2",10,2,0.0168894890601852,"no",-0.261041671574341,0.191623787931376,-0.987851361501497,0.162660752110763,5,2,0.35981174738134,"no","","yes",0.0622641509433962,530
"DRD3",7,2,0.017458156630396,"no",0.00179322453044323,0.204884664715247,0.0308347557491174,0.0370548734224913,7,0,NA,NA,"","no",0.0320754716981132,530
"NFAT5",10,2,0.0176000635206071,"no",0.0628020967671222,0.105458423901901,0.0428838702564527,0.0679336599298202,5,2,0.725333297920877,"no","","yes",0.0547169811320755,530
"ZNF197",9,3,0.0176169855587282,"no",NA,NA,NA,NA,4,3,0.404760117057401,"no","","yes",0.0641509433962264,530
"NOTCH3",7,5,0.0176583741229002,"no",-0.0944219599520919,0.107341368830013,-0.15288306604403,0.145978940467046,4,3,0.238655329098791,"no","","yes",0.1,530
"POLE",5,4,0.0189878838462312,"no",-0.553449544398816,0.056914674288097,-0.752377857764445,0.206852833454597,3,4,0.498524377813034,"no","CESC_ambiguous,SBCC_ambiguous,UCEC_ambiguous","yes",0.143396226415094,530
"BRCA1",8,3,0.0191510419472277,"no",-0.178908726340242,0.191229197011038,-0.527983556783269,0.247889044969764,4,2,0.454971829115251,"no","BRCA_LoF,OV_LoF","yes",0.0754716981132075,530
"FGFR2",4,4,0.0192000986874148,"no",-0.0130822169951268,0.0309437137332475,-0.357605660650472,0.367712893193579,5,1,NA,NA,"BRCA_Act,CH_Act,LUSC_Act,SG_Act,UCEC_Act","yes",0.130188679245283,530
"RAPGEF1",8,4,0.0192760117847736,"no",-0.00220754584317515,0.241220430113899,-0.045318783832742,0.13538029851703,4,3,0.324971300431202,"no","","yes",0.0622641509433962,530
"PAK6",6,2,0.0192866034640108,"no",NA,NA,NA,NA,4,2,0.73635336419285,"no","","yes",0.0283018867924528,530
"KIAA1875",7,4,0.0198389198403347,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0452830188679245,530
"SH2D2A",7,3,0.022602304111701,"no",-0.0735008409796529,0.188612187672923,-0.18325689809704,0.060669047470986,4,3,0.87179676812019,"no","","yes",0.0188679245283019,530
"MTF1",7,2,0.0228506695019686,"no",0.0860746298066273,0.0578776124072395,-0.0417597736997622,0.0516904511501699,7,0,NA,NA,"","yes",0.0584905660377358,530
"INPPL1",4,2,0.0228928939822022,"no",-0.0166003054084824,0.0790389770069166,-0.0705148652250867,0.0193673537002335,3,1,NA,NA,"","yes",0.0754716981132075,530
"PRMT1",10,2,0.0232171200275854,"no",-0.51743594880099,0.356205222718819,-0.873876411858968,0.142311241587622,6,1,NA,NA,"","yes",0.0283018867924528,530
"RASGRP1",10,2,0.02837292856952,"no",0.0371414629955821,0.105202048742309,-0.0962918704550983,0.0599914860571297,6,1,NA,NA,"","yes",0.0471698113207547,530
"KSR2",7,3,0.0298695230878729,"no",0.0612205882336145,0.108720787174869,-0.0898410323507752,0.108334989205547,5,2,0.458875983259278,"no","","yes",0.0622641509433962,530
