"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"MED1",6,2,4.27921729134569e-05,"yes",0.0881479846034549,0.0720902605687191,-0.542967176282157,0.0710162223800075,3,1,NA,NA,"","yes",0.0150943396226415,530
"DOCK10",8,3,0.000266589008559252,"yes",-0.0113831867589491,0.0711330627459852,-0.154348765634246,0.0131711238499565,6,1,NA,NA,"","yes",0.0320754716981132,530
"WNK1",6,2,0.00354998530530299,"no",0.0702448049327618,0.28852165585275,-0.194887255835344,0.140200038022393,4,2,0.52019915605071,"no","","yes",0.0207547169811321,530
"TP53",4,4,0.00372633770582815,"no",0.462496345601057,0.56604460435391,-0.284399665739471,0.03764071582739,3,1,NA,NA,"ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.107547169811321,530
"GTF3C1",8,3,0.00731366002834988,"no",-0.067403319148326,0.222761986928738,-0.252820671007276,0.016633316422291,4,2,0.459320759557529,"no","","yes",0.030188679245283,530
"ATAD2B",8,3,0.0162653409612895,"no",-0.0284950203846612,0.109793821698787,-0.0444310915782292,0.0219805377182114,5,1,NA,NA,"","yes",0.0452830188679245,530
"SEZ6L",6,2,0.0165087353526864,"no",-0.0318702091886749,0.142425152597755,-0.166628296915769,0.018807945082285,5,2,0.52519309431681,"no","","yes",0.00943396226415094,530
"EPHB4",6,3,0.016762929995174,"no",-0.0261414308979361,0.240009925636989,-0.149436219245921,0.089406887735392,4,3,0.639277729138596,"no","","yes",0.00377358490566038,530
"FOXJ3",10,2,0.0206477978215639,"no",0.0709544604528004,0.107120073302098,0.0457027493232069,0.083881217067259,5,2,0.347451506243888,"no","","yes",0.0150943396226415,530
"TTC37",6,2,0.0214975865094919,"no",-0.0247696275292332,0.21631808086994,-0.401556395602132,0.135204891908998,5,2,0.233413271420014,"no","","yes",0.0245283018867925,530
"COL4A3",5,2,0.0223122971512913,"no",-0.245547118349667,0.251400149791198,-0.423550588939354,0.147548535183505,4,1,NA,NA,"","yes",0.0188679245283019,530
"BRD3",8,4,0.0244773827292456,"no",0.0619459625270607,0.0500357824624399,0.0243167456554284,0.126067504859679,6,1,NA,NA,"","yes",0.00943396226415094,530
"SETD5",7,2,0.0247594842364095,"no",-0.0623733564093355,0.114264103113641,-0.201377497727702,0.0574347590201205,5,1,NA,NA,"","yes",0.0207547169811321,530
"SORL1",8,2,0.0249292968198156,"no",-0.0226255969690103,0.135957305347554,-0.1043873816925,0.0239847278427128,4,2,0.318615192211891,"no","","yes",0.0283018867924528,530
"NOTCH3",7,2,0.0266379148193899,"no",-0.0944219599520919,0.107341368830013,-0.174952424994465,0.122888328810113,4,1,NA,NA,"","yes",0.0150943396226415,530
"ABCA9",6,3,0.0266943005668593,"no",0.00616077799759655,0.0813789712068387,-0.0767385541664263,0.0590815179743615,4,2,0.346340247687855,"no","","yes",0.0358490566037736,530
"SPEN",9,2,0.0393149719698611,"no",-0.179358711753423,0.088599086057707,-0.273079473295481,0.008094184470674,4,2,0.508214876298674,"no","BRCA_ambiguous,CESC_ambiguous,CLL_ambiguous,DLBCL_ambiguous,NSPH_ambiguous,PAAD_ambiguous,PRAD_ambiguous,RCCC_ambiguous,SG_ambiguous","yes",0.0320754716981132,530
"NUMA1",5,2,0.0414866683279939,"no",-0.144346680947816,0.037902255572894,-0.302906296773658,0.077432287581898,4,2,0.420338317135172,"no","BRCA_Act","yes",0.0188679245283019,530
"TBX20",8,2,0.0427879486237755,"no",-0.0235892938833742,0.114598390538717,-0.145302554117212,0.00959715043009848,5,1,NA,NA,"","yes",0,530
"RAB4A",6,2,0.0472392763385137,"no",0.0686519829150122,0.109428884475947,0.042087214772066,0.072820484933581,6,1,NA,NA,"","yes",0.00754716981132075,530
"FRY",4,3,0.047348076281401,"no",-0.0503750652819384,0.14549199732112,0.0742157245388525,0.292866204118281,3,3,0.46449280251954,"no","","yes",0.0509433962264151,530
"SERGEF",10,2,0.047374470491269,"no",-0.0244461344518759,0.281095067701559,0.333337809292782,0.105406459373473,6,1,NA,NA,"","yes",0,530
"SMURF1",9,2,0.0529162830823677,"no",-0.0804856863221814,0.103416994893568,-0.230116389047832,0.063220778853459,6,1,NA,NA,"","yes",0.00566037735849057,530
"TBX21",9,2,0.0551325491118156,"no",0.00830585482210497,0.16060718168266,-0.0633130455692362,0.0573474986698568,5,1,NA,NA,"","yes",0.00188679245283019,530
"INPPL1",4,5,0.0551727024688496,"no",-0.0166003054084824,0.0790389770069166,-0.0511475115248532,0.0528267192203611,3,3,0.675487108590284,"no","","yes",0.0830188679245283,530
"PTPRD",8,2,0.0562302451051561,"no",0.0008845061730882,0.173231175105388,-0.0714815438301682,0.00760204973879049,3,2,0.667742740800993,"no","BCNET_Act,BRCA_Act,CM_Act,DLBCL_Act,ESCA_Act,NSCLC_Act,PRAD_Act,VV_Act","yes",0.0377358490566038,530
"XYLT2",7,2,0.0575869002277477,"no",0.0193825936398746,0.184534016785614,-0.0937135644035875,0.0243846916579955,4,1,NA,NA,"","yes",0.0377358490566038,530
"MYNN",7,2,0.059361205047746,"no",-0.00460993310762445,0.0492358013421444,0.0530241432727662,0.00660637615521154,4,2,0.967672808259262,"no","","yes",0.00377358490566038,530
"FZR1",8,2,0.0609235867593123,"no",-0.179624094358593,0.065818514788325,-0.297579521179867,0.10573373643671,5,1,NA,NA,"","yes",0.00377358490566038,530
"NOSTRIN",7,2,0.0615201532715977,"no",-0.0425347781983056,0.06740413533306,-0.182421479284245,0.160065692849652,5,1,NA,NA,"","yes",0.0132075471698113,530
"NPAT",9,3,0.0625486154997388,"no",-0.198175282304303,0.22162644620874,-0.318651485158704,0.412459348286359,5,2,0.470082501943708,"no","","yes",0.0226415094339623,530
"ZRANB2",9,2,0.065713598325369,"no",-0.632518548383081,0.332450731609492,-0.800332087009186,0.335410016135774,5,2,0.490092479988693,"no","","yes",0.0188679245283019,530
"ATP2A1",5,2,0.0668120263665934,"no",0.0269720820110606,0.0635406414118193,0.0361009843031265,0.144229954967948,3,1,NA,NA,"","yes",0.0188679245283019,530
"RNPC3",6,2,0.067346487710216,"no",-0.561288646764325,0.084981662664894,-1.32505767481295,0.124652983660665,6,1,NA,NA,"","yes",0.00943396226415094,530
"PRKAA2",9,2,0.067757788982533,"no",0.0836039725533109,0.0628485233648265,0.0238791200230979,0.0466222111028286,5,2,0.499698913075204,"no","","yes",0.0150943396226415,530
"COL28A1",3,3,0.0677595842679218,"no",0.0755716344185444,0.0969273168469111,-0.0659585711429762,0.0757055748081641,4,1,NA,NA,"","yes",0.0207547169811321,530
"NTN4",7,2,0.0706451021616857,"no",-0.060432255522368,0.124160054380565,-0.124347607585609,0.02130331566992,6,1,NA,NA,"","yes",0.00377358490566038,530
"SCYL1",7,2,0.0794471988691448,"no",-0.0604317105611215,0.0854221907963672,-0.3703489287622,0.240351626707672,3,2,0.420261134417307,"no","","yes",0.00377358490566038,530
"ANK3",3,3,0.0810455602442782,"no",0.135405913346715,0.125824291333119,0.0657007678272605,0.0906538597965645,3,3,0.63821772033244,"no","","yes",0.0792452830188679,530
"CACNA1C",5,2,0.0830224832872691,"no",-0.335589755555657,0.194925150757493,-0.397076132089962,0.00942945982537197,3,1,NA,NA,"","yes",0.0169811320754717,530
"GUCY2C",8,2,0.0836480023773458,"no",-0.0653413320865885,0.144403283471032,-0.194026081809812,0.128736199986835,6,0,NA,NA,"","yes",0.0264150943396226,530
"DCAF4",10,2,0.089358904991506,"no",0.135681508339941,0.213798921316824,0.198708228675291,0.09739044548697,6,1,NA,NA,"","yes",0.00754716981132075,530
"ITGAL",5,2,0.0894064530497048,"no",-0.143508477104534,0.0974605295003148,-0.132915492832681,0.173635212286436,5,1,NA,NA,"","yes",0.0150943396226415,530
"ATAD5",6,2,0.0913940060416639,"no",-0.0406300609655577,0.108960686050383,-0.17011714309615,0.130813600275082,4,2,0.543842581438397,"no","","yes",0.0433962264150943,530
"MAP3K6",8,2,0.092175914345484,"no",0.00355895408198185,0.143106864271569,0.0200704581498562,0.110713116818556,5,2,0.131616551863628,"no","","yes",0.00377358490566038,530
"COL1A2",3,2,0.0929564560382154,"no",-0.00194656979350269,0.0677085372203248,0.023943310785922,8.67383698964011e-05,4,0,NA,NA,"","yes",0.0169811320754717,530
"C1QTNF6",7,2,0.0940449479347614,"no",-0.0631567230865423,0.0760824011216278,-0.18233982068218,0.0986784181158269,6,1,NA,NA,"","yes",0.00566037735849057,530
"COL4A1",6,2,0.0941498862832062,"no",-0.0070675335993807,0.216701875934034,-0.12924952721681,0.0487834719639273,4,1,NA,NA,"","yes",0.0188679245283019,530
"TTF1",8,4,0.0967745251982466,"no",-0.278683253656822,0.178427300980807,-0.379400280757223,0.100575553316954,4,3,0.402040142782499,"no","","yes",0.0283018867924528,530
"TOPBP1",6,2,0.104032351582004,"no",-0.656008330704737,0.423312404134775,-0.614827391657753,0.0108855790138989,6,1,NA,NA,"","yes",0.0320754716981132,530
"EP400",6,2,0.104258467108679,"no",-0.639361146820967,0.292469976628899,-0.610484388901944,0.24730888826408,3,2,0.474265296667789,"no","","yes",0.0245283018867925,530
"RABGAP1",10,2,0.106153958163964,"no",-0.0199767733721382,0.171278983183503,0.00294430103782301,0.126942300650979,6,1,NA,NA,"","yes",0.0339622641509434,530
"DNAJC2",10,2,0.111791237090263,"no",-0.0160797427168625,0.235526997533498,-0.217422427587998,0.074325961431983,6,1,NA,NA,"","yes",0.0169811320754717,530
"RFC1",6,2,0.111881514885302,"no",-0.616320520635463,0.463678821267108,-0.702469723332416,0.113238516954688,4,2,0.343818691216951,"no","","yes",0.0150943396226415,530
"TRIO",6,4,0.116770574819481,"no",0.0621075324525407,0.184948839934173,0.0045275194850693,0.109397151724188,3,4,0.216259348717443,"no","","yes",0.0377358490566038,530
"NEDD4",8,2,0.129631732816192,"no",0.0953517222154676,0.165232232312645,-0.0797518643598461,0.100410084775422,5,0,NA,NA,"","yes",0.0264150943396226,530
"CHD6",9,2,0.132278264908129,"no",0.0424724943590076,0.159353083358838,0.04834549924671,0.142809705324485,6,1,NA,NA,"","yes",0.0471698113207547,530
"ATN1",6,3,0.13836315427715,"no",-0.128720882868261,0.244061107018181,-0.388313744934004,0.104402875887645,4,3,0.855478134254649,"no","","yes",0.00754716981132075,530
"HR",10,2,0.140092946444874,"no",0.038087886160399,0.108422684187931,-0.0730797736455119,0.0220375573986874,6,1,NA,NA,"","yes",0.0132075471698113,530
"MSH3",8,2,0.14509892902651,"no",0.0653399281069884,0.24737523065827,0.112667116114549,0.0591055187369919,4,2,0.324848543646303,"no","","yes",0.0471698113207547,530
"CHRNB3",8,2,0.147121393077339,"no",0.0363782560869913,0.0959601276712486,-0.0412491953695844,0.018552992722945,5,2,0.347655026234711,"no","","no",0.00566037735849057,530
"TAOK3",7,2,0.148028454341298,"no",-0.042907430191409,0.131904130287302,-0.250599421024426,0.201224133434145,6,1,NA,NA,"","yes",0.00754716981132075,530
"LMTK3",5,3,0.150347657747821,"no",-0.182218412937838,0.358796852595532,-0.195110962555285,0.311144416911522,3,2,0.460780598224791,"no","","yes",0.0169811320754717,530
"MED13",6,2,0.150901256568805,"no",-0.0865061879739289,0.126220260500753,-0.235508670896056,0.0949529192734155,5,2,0.0831607665030725,"no","","yes",0.0471698113207547,530
"BCL6B",5,2,0.152548440535057,"no",-0.0332195098803377,0.18640671652735,-0.0234095552304988,0.0621166348599548,6,0,NA,NA,"","yes",0.00566037735849057,530
"MYO3A",5,3,0.153722312694455,"no",-0.103244868779321,0.128138421107918,-0.215933536851429,0.140188166773337,2,2,0.477313994274894,"no","","no",0.0584905660377358,530
"NCOA6",7,2,0.155341715858435,"no",-0.736927405044542,0.525184756610882,-0.864885283571842,0.179457558891918,4,2,0.737507213203417,"no","","yes",0.0283018867924528,530
"PLXND1",5,2,0.158451297001442,"no",0.0256440542188177,0.0856364834566227,-0.0101424818860974,0.0176005788032195,5,1,NA,NA,"","yes",0.0132075471698113,530
"CCAR1",6,2,0.159641751000724,"no",-0.326383149635345,0.21332049710683,-0.856807838841736,0.541423997913154,5,1,NA,NA,"","yes",0.0320754716981132,530
"GAMT",8,2,0.159734361203879,"no",-0.224566147956946,0.222979684390505,-0.434915454164151,0.0186238061943714,5,2,0.539299072408687,"no","","yes",0.00188679245283019,530
"MASTL",7,2,0.160456070494236,"no",-0.177766331988274,0.159222578833083,-0.180967667767721,0.29510398643645,6,1,NA,NA,"","yes",0.0245283018867925,530
"SLC26A3",4,3,0.161042082813122,"no",0.157559658658574,0.164816649329802,-0.149177938062913,0.249435764886131,4,0,NA,NA,"","yes",0.0150943396226415,530
"DDX27",7,2,0.161681892867831,"no",-1.07853046678086,0.581363102700717,-1.65135336004314,0.269788942590815,4,1,NA,NA,"","yes",0.030188679245283,530
"NCOA3",7,2,0.165725290106722,"no",0.018087975258981,0.210458304292781,-0.0945304369534675,0.0269256228155905,3,2,0.382845935981622,"no","","yes",0.0226415094339623,530
"FUK",7,2,0.165816942395339,"no",-0.10895786102566,0.141009282554946,-0.304191891788224,0.100326663042434,5,2,0.497700802765573,"no","",NA,0.0113207547169811,530
"KCNH1",7,2,0.168211811339159,"no",-0.152025241024239,0.136753768303022,-0.0572391026332824,0.0423230927413842,7,0,NA,NA,"","yes",0.0226415094339623,530
"CPEB2",7,2,0.169619164428561,"no",-0.0377807151909173,0.113621028036329,-0.217053191369699,0.114297721209777,6,1,NA,NA,"","yes",0.0283018867924528,530
"ASXL1",8,2,0.173527904855852,"no",-0.125323532567255,0.121579997352438,-0.235804407067947,0.00220262675320598,6,1,NA,NA,"ALL_LoF,AML_LoF,BRCA_LoF,CLL_LoF,ESCA_LoF,HGG_LoF,HNSC_LoF,MBL_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF","yes",0.0188679245283019,530
"RAI1",7,4,0.179389400916084,"no",0.105041540922447,0.147645673352561,0.0240680595698023,0.0388220763112795,4,3,0.87227852521101,"no","","yes",0.0283018867924528,530
"SCAF4",7,2,0.180203294410944,"no",-0.109829278178405,0.126306231871919,-0.0811204080788326,0.0426447007528894,3,3,0.569622144411059,"no","","yes",0.0754716981132075,530
"MYO15A",4,2,0.184626238741647,"no",0.00719906480730499,0.423418704001929,-0.249193573759159,0.049305461924433,2,2,0.756720830866636,"no","","yes",0.0245283018867925,530
"DHTKD1",5,2,0.187099878196346,"no",0.145534276378031,0.232565917435036,-0.054147348929727,0.168608461019511,5,1,NA,NA,"","yes",0.00754716981132075,530
"MEGF8",3,4,0.187443048185367,"no",0.138518132876276,0.132826467599965,-0.0377015450287726,0.189605569535819,2,3,0.478794937427653,"no","","yes",0.039622641509434,530
"ARHGEF17",7,2,0.188725667644039,"no",0.0106843007319826,0.106304528323836,0.0179051997016813,0.0587743520548328,4,2,0.434817087884631,"no","","yes",0.0113207547169811,530
"PYGO2",8,2,0.198688062778692,"no",-0.238757616070012,0.272931852526878,-0.302149740411791,0.0131191656633954,5,2,0.488450758743433,"no","","yes",0.00754716981132075,530
"CELSR1",7,2,0.202143961353011,"no",0.0268340589858805,0.290027589692267,-0.113547329656623,0.0250787109126328,4,1,NA,NA,"","yes",0.0358490566037736,530
"SYNJ2",6,2,0.203121584669018,"no",0.0639400939569831,0.172925032095776,0.0320443523927759,0.098903263749494,3,3,0.553270975738227,"no","","yes",0.0207547169811321,530
"COL1A1",6,2,0.204730939577692,"no",-0.0660773930266004,0.0378508680410012,0.0991024694217123,0.0767697911879757,5,2,0.609687147614124,"no","CESC_Act,CM_Act,GBM_Act,MM_Act,SBCC_Act","yes",0.0150943396226415,530
"RGS12",6,3,0.206585679431788,"no",-0.0378422957920007,0.15634679431811,0.00205515323164318,0.167378448815742,2,3,0.817410685140442,"no","","yes",0.0283018867924528,530
"BPTF",8,2,0.211356690533014,"no",-0.052887737267866,0.21450475214295,-0.18700763901721,0.158884938087207,4,2,0.576148393326927,"no","","yes",0.0207547169811321,530
"BRPF3",9,2,0.213062522883217,"no",-0.013614902872376,0.0888759566351294,-0.116256799616712,0.000594857905748994,5,2,0.43632176329263,"no","","yes",0.0169811320754717,530
"AFP",10,2,0.215093599681987,"no",0.0797593894766281,0.103738350160954,-0.0567142572539294,0.0442811134385376,5,2,0.195218779750025,"no","","yes",0.0188679245283019,530
"CHTF18",4,2,0.218180028831523,"no",-0.150746325688621,0.262486535107055,-0.346383770873753,0.0569406503396169,3,2,0.437851550350382,"no","","yes",0.00566037735849057,530
"TTK",9,2,0.218319305655261,"no",-0.517736582682121,0.351481949975493,-0.903197056602609,0.314305544438201,7,0,NA,NA,"","yes",0.0433962264150943,530
"MN1",4,2,0.220706619067973,"no",0.0908565677622703,0.123704993091028,0.11120504981999,0.067057200357575,4,1,NA,NA,"","yes",0.00754716981132075,530
"PPRC1",4,3,0.224096980522273,"no",-0.156461674560952,0.251310966466187,-0.0478570836436356,0.119733530454306,2,3,0.412647929548907,"no","","yes",0.0169811320754717,530
"LLGL2",8,2,0.225119613055932,"no",-0.00246112173401614,0.103351898840305,-0.0366233722234387,0.106960755005111,4,1,NA,NA,"","yes",0.00566037735849057,530
