"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"OSBPL2",10,4,0.00125129721880592,"yes",-0.287131202956559,0.36411070225637,-0.402835177871272,0.090970118306575,8,2,0.638875398024919,"no","",3.77554625741363e-05,0.0296803652968037,438
"FBXL20",12,2,0.00147507997787589,"yes",0.0191295589074682,0.158895093343457,-0.0548544223716454,0.018602515876925,9,1,NA,NA,"",2.32797068071435e-09,0.0639269406392694,438
"CREB3L1",11,3,0.00546005129628477,"no",0.0555747295531894,0.113888682761585,0.00183046269320522,0.118272851030541,8,2,0.333813857579226,"no","",3.94351737160757e-05,0.0228310502283105,438
"TCF15",12,2,0.00582912058466834,"no",-0.373915448818953,0.24452795580425,-0.77058296504795,0.318444731136129,9,1,NA,NA,"",0.566083613958968,0.0114155251141553,438
"AKT1",12,2,0.00589352076835105,"no",-0.0279340882397682,0.0936988622827054,-0.73597491844317,0.496144934972071,8,2,0.0226700879993729,"no","ACY_Act,ALL_Act,BRCA_Act,CESC_Act,OS_Act,PRAD_Act,THCA_Act,UCEC_Act",NA,0,438
"HSF1",10,4,0.00861227296907317,"no",-0.00921280657476226,0.138086972082884,-0.132934315154899,0.17202849671822,7,3,0.46266228758488,"no","",0.00264610433494183,0.0502283105022831,438
"GLI3",7,2,0.00945845758336736,"no",0.0647137994881413,0.107135930384642,-0.571447330113831,0.509492659295159,5,2,0.51001697340292,"no","",NA,0.0091324200913242,438
"NRXN3",10,2,0.0117726376608278,"no",-0.105341106999483,0.202957181701854,-0.409455676113312,0.0964535097090696,7,2,0.620223463257033,"no","",NA,0.00228310502283105,438
"CYP11B2",10,4,0.0119285593286379,"no",-0.0781037634298583,0.187293708999002,-0.0657076148878446,0.210207431673626,7,3,0.665326604368752,"no","",0.313870832560126,0.0525114155251142,438
"KCNG1",12,2,0.01519994352049,"no",0.071064176756579,0.0833842311774395,0.0104736008571768,0.0329853280412324,9,1,NA,NA,"",0.0794450942691627,0.04337899543379,438
"SERPINA4",11,2,0.0155380353077405,"no",0.0799602975827735,0.156313751682897,-0.138803199091253,0.0275142799024975,7,2,0.621368973289582,"no","",NA,0,438
"RAB22A",12,2,0.020448609721873,"no",-0.027565570824264,0.222590902206454,-0.033400999790194,0.097253657576,9,1,NA,NA,"",0.000169826667323242,0.04337899543379,438
"CHMP4C",11,3,0.0210277319573859,"no",0.166640009501963,0.166596706952474,0.00994822096932541,0.109220391520068,7,3,0.490869725644527,"no","",0.0911018798326351,0.0273972602739726,438
"ERBB2",12,2,0.0261058892285351,"no",-0.0833926718001159,0.130480439377506,-0.917919003093461,0.468961064484078,9,1,NA,NA,"BLCA_Act,BRCA_Act,CESC_Act,CH_Act,COREAD_Act,ESCA_Act,NSCLC_Act,OV_Act,RPC_Act,ST_Act",1.19386145960126e-25,0.132420091324201,438
"TMEM71",10,4,0.0263257292008741,"no",0.0314302683337536,0.0810907697847465,-0.0061200963311351,0.0796765057623236,7,3,0.28828487389757,"no","",0.573924868232209,0.0502283105022831,438
"SLC1A2",12,2,0.029772423206402,"no",-0.14321143675084,0.182307413486079,-0.407215930630168,0.190413260031406,9,1,NA,NA,"",2.5277236861412e-06,0.0410958904109589,438
"ARHGAP1",9,2,0.0328842075686847,"no",0.0803530734085255,0.0579716550575601,-0.42511662183941,0.359543500955374,7,1,NA,NA,"",0.00734511206110849,0.0136986301369863,438
"TTC7B",11,2,0.0333145343539855,"no",-0.0606623865707638,0.184020383566958,0.0161743165820458,0.0672399780527613,7,2,0.426018417310809,"no","",0.376745435631991,0.0045662100456621,438
"SDC2",11,3,0.0357812831760944,"no",0.0429359305937989,0.0883534988267312,-0.0085247375444756,0.0474679685228262,8,2,0.580137296730326,"no","",0.19505554109165,0.0251141552511416,438
"AHCY",11,2,0.0366415557811734,"no",-0.0873424843560515,0.133820452186403,-0.122575333565428,0.0571834261639896,8,1,NA,NA,"",0.103697639549561,0.0159817351598174,438
"USF2",11,2,0.0411831130190978,"no",-0.0908738743778534,0.268622307576557,-0.0634614219788261,0.153014303482838,9,0,NA,NA,"",0.00653023590910439,0.0136986301369863,438
"HNF4G",11,3,0.0414928046282487,"no",-0.104894192527104,0.184551791250204,-0.127752768469832,0.0654100195860443,7,3,0.674540570528038,"no","",0.00168358544764392,0.0296803652968037,438
"MAFA",10,4,0.0477974867400737,"no",0.060838574171473,0.200320102455822,-0.0778192116316803,0.13185296497431,7,3,0.797219428077187,"no","",0.485171689716351,0.0547945205479452,438
