"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",5,8,0.000177197479331878,"yes",0.418983219561485,0.595112282426849,-0.145606347233743,0.21798725994105,4,5,0.00152325205213135,"yes","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.272311212814645,437
"CACNA1C",12,2,0.00309235935095093,"no",-0.353633738679084,0.384001022343373,-0.379908177143885,0.095266425533614,8,2,0.189259930864444,"no","","yes",0.068649885583524,437
"FRAS1",9,3,0.00433245366668668,"no",0.0190213153284953,0.088647204777954,-0.068088710164699,0.227667966703629,7,2,0.42130265683366,"no","","yes",0.0709382151029748,437
"WBP2",12,2,0.0055333778430351,"no",0.0881331412656691,0.0706127990666166,0.113747288447029,0.128745056420444,9,1,NA,NA,"","yes",0.0091533180778032,437
"HIVEP3",11,3,0.00764652157942425,"no",-0.067685192652642,0.162284692333648,-0.211602132909934,0.228172997069154,7,3,0.219391095755492,"no","","yes",0.05720823798627,437
"TSC1",11,3,0.00860906579766245,"no",0.0453072896993657,0.176369878851998,-0.238250963628346,0.142146850982978,9,1,NA,NA,"BLCA_LoF,HC_LoF","yes",0.011441647597254,437
"DMXL2",10,4,0.00868196688211489,"no",0.100160234037131,0.118350490592165,0.0425433374119078,0.221325358937701,6,4,0.834098077411251,"no","","yes",0.0434782608695652,437
"CTNNB1",11,3,0.00934075034647805,"no",0.0100522221013384,0.492752493653351,-1.63947520522803,0.584576629621685,7,3,0.029250521965842,"no","ACC_Act,COREAD_Act,HBC_Act,HC_Act,LUAD_Act,MBL_Act,NSCLC_Act,PIA_Act,PRAD_Act,RHBDS_Act,SBCC_Act,ST_Act,UCEC_Act,WT_Act","yes",0.0503432494279176,437
"NR1D1",11,2,0.00955758993444343,"no",0.0477429801436885,0.219521121344367,0.00631123968151948,0.26613976778706,9,0,NA,NA,"","yes",0.022883295194508,437
"CDRT1",12,2,0.0107670121321256,"no",-0.0440280571008212,0.143863647736109,0.00759988140109855,0.0561474268683431,9,1,NA,NA,"","yes",0.0137299771167048,437
"ABCC1",12,2,0.0113471382422703,"no",0.024050985344742,0.169153489336972,0.0880689537522374,0.00436067961977119,8,2,0.120724148890463,"no","","yes",0.0251716247139588,437
"KIF26A",9,2,0.0119680854860981,"no",-0.0213182540667249,0.0746836774728519,-0.090298315463075,0.194436939255322,6,2,0.187043556736162,"no","","yes",0.0251716247139588,437
"RBM28",10,2,0.0131633934294816,"no",-0.54917320635325,0.41533893289946,-0.720764476137858,0.0827237768204115,7,2,0.503542619675406,"no","","yes",0.0137299771167048,437
"HSP90AB1",11,2,0.013345366593214,"no",-0.191022214623991,0.295744030279621,-0.257993567224256,0.06210579334063,9,1,NA,NA,"CM_Act","yes",0.0160183066361556,437
"CCNI",10,3,0.0133761486411987,"no",0.0541336749845904,0.260648705529812,-0.179860498763984,0.259260014127866,8,2,0.750664960559806,"no","","yes",0.0022883295194508,437
"PTK2B",12,2,0.0135953949796964,"no",-0.0942192473389079,0.184999276909451,-0.511287281485091,0.108257222869495,8,2,0.666613623219725,"no","","yes",0.0389016018306636,437
"RAPGEF5",10,2,0.0172105006443839,"no",-0.0575036982632313,0.1512800053615,-0.0184875699953032,0.0849670811889228,6,2,0.473549475673149,"no","","yes",0.011441647597254,437
