"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"CHD3",11,2,0.00619825427409232,"yes",-0.324601910986807,0.236088734921203,-0.640580074280921,0.0802197295567979,8,1,NA,NA,"","yes",0.0091533180778032,437
"ZNF131",10,2,0.00995061404509139,"no",-0.0856716379463213,0.224707696410539,-0.228820428278094,0.00795395900183649,8,1,NA,NA,"","yes",0.0160183066361556,437
"SYNJ2",9,3,0.0168684854484071,"no",0.122281979225289,0.16976905078989,-0.0329622756217868,0.174734242965917,7,2,0.398733580150273,"no","","yes",0.0251716247139588,437
"FRMD4B",12,2,0.0384144405127615,"no",-0.0156922329510954,0.117376324124891,-0.0776514089867268,0.106927749751782,8,2,0.765047472202074,"no","","yes",0.0022883295194508,437
"EPB41L2",12,2,0.0536190189006987,"no",-0.0183387937708599,0.130484895425053,-0.0687491106320121,0.00935133736526515,9,1,NA,NA,"","yes",0.0045766590389016,437
"ACVR2A",12,2,0.0578285763230195,"no",-0.0571717914929873,0.141880953459135,-0.161972857435919,0.0102712038942215,9,1,NA,NA,"COREAD_LoF,HC_LoF,PAAD_LoF,SSCC_LoF,ST_LoF,UCEC_LoF","yes",0.0938215102974828,437
"APC",11,2,0.0638966340744171,"no",0.03287039370063,0.133403018570695,-1.18255700056828,1.01340265629978,9,1,NA,NA,"AN_LoF,BC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,NSCLC_LoF,PRAD_LoF,SBCC_LoF,SSCC_LoF,ST_LoF,UVM_LoF,VV_LoF","yes",0.068649885583524,437
"POLE",12,2,0.0680541102290091,"no",-0.656379226001767,0.514473315066354,-1.09382059391535,0.516210402623686,8,2,0.501625681549334,"no","CESC_ambiguous,SBCC_ambiguous,UCEC_ambiguous","yes",0.0137299771167048,437
"FANCM",9,2,0.0734895376195601,"no",-0.0752803812528396,0.2532056943653,-0.186382214255318,0.057010365860264,5,2,0.540170788936079,"no","","yes",0.0160183066361556,437
"SETD1B",8,2,0.0797276827902197,"no",0.00449986176780236,0.163790900151286,-0.200178476853752,0.143164118662382,6,2,0.381508886000773,"no","ESCA_LoF,OV_LoF,PAAD_LoF","yes",NA,437
"COL7A1",9,3,0.123216189498278,"no",0.0751355685922199,0.165190931835321,-0.0713323845641499,0.0505304114095536,7,1,NA,NA,"","yes",0.0297482837528604,437
"BIRC2",11,2,0.127644025758624,"no",-0.0355549646100321,0.0963263021584536,-0.245965522465322,0.0217904524420101,9,0,NA,NA,"","yes",0.0022883295194508,437
"EVC",11,2,0.129042073697745,"no",-0.101355795854275,0.115813226319736,-0.104581264429017,0.0469812828177423,7,2,0.474790821563846,"no","","yes",0.011441647597254,437
"TAF1L",10,2,0.131125225128896,"no",-0.118810473174306,0.329809686427503,-0.217482535130232,0.075075718138617,8,1,NA,NA,"","yes",0.0366132723112128,437
"KANK1",9,2,0.134478402885591,"no",-0.062597394464725,0.0944779445305163,0.0587446774923617,0.0911661830732373,8,1,NA,NA,"","yes",0.0068649885583524,437
"ARID4A",11,2,0.138304307252594,"no",-0.135641551954517,0.293293888969174,-0.126605508451756,0.0347600805826922,7,2,0.190386235608964,"no","","yes",0.0183066361556064,437
"MAP3K2",10,4,0.139508496093989,"no",0.010304135261895,0.173973169742747,-0.234965740363558,0.295400726710704,7,3,0.170142596484904,"no","","yes",0.011441647597254,437
"IVL",10,2,0.140430317627308,"no",0.0662645746044485,0.136235403448579,0.134246828191006,0.112690523631525,7,1,NA,NA,"","yes",0.0045766590389016,437
"SMARCA4",12,2,0.154058356837869,"no",-0.167742438328304,0.229844345873966,-0.684482593429514,0.29067315222333,8,2,0.154378577661876,"no","BLCA_LoF,BLY_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,MBL_LoF,NHLY_LoF,NSCLC_LoF,PAAD_LoF,PIA_LoF,RPC_LoF,THYM_LoF","yes",0.0068649885583524,437
"PLEKHG2",10,2,0.155246840338728,"no",-0.0383424028940415,0.247894313661673,-0.457373518760173,0.228361859654979,8,1,NA,NA,"","yes",0.0068649885583524,437
"DDX59",12,2,0.166946866866324,"no",-0.0196255937559996,0.103519282328036,-0.341468533346117,0.150952971045693,8,2,0.479309288776078,"no","","yes",0.0045766590389016,437
"FPR3",12,2,0.172742513089778,"no",0.0170226713623506,0.221308153855411,0.0723406461908641,0.0362923923821009,8,2,0.297530581182499,"no","","yes",0.0045766590389016,437
"UBE4B",10,2,0.175541538191307,"no",-0.0515699316837718,0.0936472822903136,-0.180823777515123,0.163928427238635,7,1,NA,NA,"","yes",0.0045766590389016,437
"TTK",11,2,0.180859691471575,"no",-0.905315681962776,0.315153858483148,-1.45679381600173,0.745262847280406,7,2,0.46178241535465,"no","","yes",0.034324942791762,437
"EP300",9,3,0.202534127646746,"no",0.170931246137533,0.397942017526967,0.0933752169309508,0.0565751194684786,6,2,0.26367235549057,"no","BLCA_LoF,CESC_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LUSC_LoF,MBL_LoF,NHLY_LoF,NSPH_LoF,SCLC_LoF","yes",0.0137299771167048,437
"LRP4",8,2,0.208501323470212,"no",-0.0308706216444839,0.187529927396653,-0.105452847834611,0.0803249630230246,6,2,0.537293235164605,"no","","yes",0.0091533180778032,437
"ADCK5",9,2,0.221492607950097,"no",-0.0430581193199825,0.117440443148863,-0.0268467941649181,0.102197638694532,6,2,0.448602203522553,"no","","yes",0.0091533180778032,437
"COL8A2",12,2,0.233866765775934,"no",-0.126197914586063,0.261001243846291,-0.247949894510401,0.194868498921587,8,2,0.516035593120046,"no","","yes",0.0137299771167048,437
"CHD9",11,2,0.233915157868332,"no",-0.0976739081933708,0.173971689167297,-0.214148969239358,0.058386532356243,9,1,NA,NA,"","yes",0.022883295194508,437
"NLK",11,2,0.236198248404496,"no",0.0490194810338681,0.139724676643297,-0.027808483239603,0.081161903685695,9,1,NA,NA,"","yes",0.0205949656750572,437
"MAP2K7",11,2,0.249200753720105,"no",0.012471702346515,0.211005756075648,-0.0172724510514838,0.0814572963823156,9,1,NA,NA,"ST_LoF","yes",0.0183066361556064,437
"ARID1B",11,2,0.250922626817806,"no",0.00891786788781517,0.251410778934515,-0.314093444657676,0.303289690091203,7,2,0.418709790941451,"no","BLCA_LoF,BRCA_LoF,COREAD_LoF,DLBCL_LoF,HC_LoF,HGG_LoF,LGG_LoF,LUSC_LoF,MBL_LoF,PAAD_LoF,PIA_LoF","yes",0.0297482837528604,437
"CDH1",9,3,0.253078501632692,"no",-0.104183389672298,0.307890904225312,-0.00783688169223781,0.150275193875897,6,2,0.24741635381408,"no","BLCA_LoF,BRCA_LoF,DLBCL_LoF,SSCC_LoF,ST_LoF","yes",0.0297482837528604,437
"ATAD2B",11,2,0.269069919726889,"no",-0.0482702994607209,0.184644217073815,-0.0379420103418218,0.0348309486971344,9,1,NA,NA,"","yes",0.011441647597254,437
"NBEAL2",10,2,0.271422954479233,"no",0.0584103288877539,0.26079005373034,-0.175708582388543,0.196472862356788,6,2,0.706957344716451,"no","","yes",0.0091533180778032,437
"FNIP1",10,2,0.281254555208574,"no",0.00625117360959011,0.0422908978431084,-0.13970094872977,0.182708046250173,8,1,NA,NA,"","yes",0.011441647597254,437
"ZBTB7C",8,3,0.281820072423351,"no",0.0199003902962878,0.0674629149769633,-0.035718509958071,0.143500759919574,6,2,0.498786224702082,"no","","yes",0.0205949656750572,437
"PHF14",8,2,0.28820011345335,"no",-0.00816700266095446,0.0847440444010367,-0.0164613217885057,0.0132818293344009,6,2,0.768907742247828,"no","","yes",0.0091533180778032,437
"ADAMTS20",10,2,0.305082955807826,"no",-0.192649867741675,0.139705725139294,-0.140669933654291,0.014055320122396,7,2,0.450794565879556,"no","","yes",0.0045766590389016,437
"AXIN1",12,2,0.309011831205517,"no",0.0709248198018395,0.157016724571074,0.0720180943904803,0.114319637690214,9,1,NA,NA,"ESCA_LoF,GBM_LoF,HC_LoF","yes",0.011441647597254,437
"NWD1",9,2,0.313235204984545,"no",-0.0650895150649604,0.134636922158374,-0.238788586761372,0.206152854869394,5,2,0.473331841225513,"no","","yes",0.0068649885583524,437
"LRRK2",8,2,0.316872974615693,"no",-0.0082738566318438,0.126091121510837,-0.0514411020980684,0.0341117978669153,6,2,0.658080179877285,"no","","yes",0.034324942791762,437
