"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"TP53",5,3.00838709610396e-07,"yes",0.418983219561485,0.595112282426849,4,8.35596444259679e-08,"yes","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF",1.22908753894736e-06,"up","ABCA4 (enriched, 8% vs 1%), ABCB4 (enriched, 9% vs 1%), ADAMTS10 (enriched, 9% vs 1%), ADAMTS18 (enriched, 10% vs 2%), AGO1 (enriched, 6% vs 0%), AHNAK2 (enriched, 21% vs 9%), ANK3 (enriched, 18% vs 3%), ANKRD11 (enriched, 12% vs 2%), ARFGEF3 (enriched, 9% vs 1%), ARID1A (enriched, 8% vs 1%), CACNA1B (enriched, 12% vs 1%), CACNA1D (enriched, 10% vs 2%), CACNA1E (enriched, 15% vs 4%), CACTIN (enriched, 7% vs 0%), CELSR3 (enriched, 13% vs 3%), CEP126 (enriched, 6% vs 0%), CHD3 (enriched, 7% vs 1%), CHD5 (enriched, 10% vs 1%), CHD7 (enriched, 12% vs 3%), CILP2 (enriched, 9% vs 1%), CNTLN (enriched, 9% vs 2%), CNTNAP1 (enriched, 8% vs 1%), COL12A1 (enriched, 20% vs 5%), DNAH17 (enriched, 15% vs 5%), DSCAML1 (enriched, 13% vs 3%), DUOX2 (enriched, 8% vs 1%), EIF4G1 (enriched, 7% vs 1%), EP300 (enriched, 8% vs 1%), FAT2 (enriched, 18% vs 6%), FAT3 (enriched, 23% vs 8%), FCGBP (enriched, 15% vs 5%), FZD8 (enriched, 7% vs 0%), GCN1L1 (enriched, 8% vs 1%), GLI2 (enriched, 8% vs 1%), HERC2 (enriched, 15% vs 5%), HIVEP1 (enriched, 8% vs 1%), HUWE1 (enriched, 12% vs 3%), KALRN (enriched, 12% vs 2%), KMT2B (enriched, 8% vs 1%), KMT2D (enriched, 16% vs 5%), LRP1 (enriched, 13% vs 2%), LRP2 (enriched, 15% vs 5%), LRRN3 (enriched, 7% vs 1%), MAN2B2 (enriched, 8% vs 1%), MDN1 (enriched, 16% vs 3%), MICAL3 (enriched, 6% vs 0%), MTCL1 (enriched, 8% vs 1%), MTOR (enriched, 10% vs 2%), MUC5B (enriched, 15% vs 4%), MUC6 (enriched, 9% vs 1%), MYH11 (enriched, 9% vs 1%), MYH14 (enriched, 8% vs 1%), MYH6 (enriched, 8% vs 1%), NCDN (enriched, 7% vs 0%), NCOA1 (enriched, 7% vs 0%), NEB (enriched, 15% vs 4%), NRG1 (enriched, 7% vs 1%), NUP98 (enriched, 9% vs 2%), OBSCN (enriched, 23% vs 8%), PARP10 (enriched, 6% vs 0%), PCDH10 (enriched, 16% vs 5%), PCDHA11 (enriched, 13% vs 3%), PCDHA7 (enriched, 9% vs 2%), PCDHB6 (enriched, 8% vs 1%), PCNT (enriched, 10% vs 2%), PCNX (enriched, 8% vs 0%), PI4KA (enriched, 8% vs 1%), PIK3CA (enriched, 26% vs 4%), PKD1L2 (enriched, 9% vs 1%), PLEC (enriched, 19% vs 7%), PLXND1 (enriched, 8% vs 1%), RADIL (enriched, 6% vs 0%), RANBP2 (enriched, 10% vs 2%), RELN (enriched, 15% vs 5%), RNF213 (enriched, 18% vs 5%), RPTOR (enriched, 7% vs 0%), RYR3 (enriched, 15% vs 5%), SDK1 (enriched, 16% vs 6%), SHROOM3 (enriched, 8% vs 0%), SIPA1L3 (enriched, 8% vs 1%), SLX4 (enriched, 9% vs 1%), SMO (enriched, 7% vs 1%), SPTBN1 (enriched, 9% vs 1%), SSPO (enriched, 14% vs 3%), TEP1 (enriched, 8% vs 1%), TMEM2 (enriched, 7% vs 0%), TPR (enriched, 8% vs 1%), TRRAP (enriched, 16% vs 5%), UBE4B (enriched, 7% vs 1%), ZFHX3 (enriched, 14% vs 0%), ZFHX4 (enriched, 19% vs 7%), ZNF74 (enriched, 6% vs 0%)","ABCA12 (enriched, 8% vs 1%), ACVR2A (enriched, 15% vs 2%), ANK3 (enriched, 8% vs 1%), ARID1A (enriched, 32% vs 12%), ARID1B (enriched, 5% vs 1%), ASPM (enriched, 7% vs 2%), B3GNT5 (enriched, 6% vs 1%), BCOR (enriched, 9% vs 2%), BMPR2 (enriched, 8% vs 1%), BRWD1 (enriched, 8% vs 1%), CAMSAP2 (enriched, 6% vs 1%), CCDC73 (enriched, 6% vs 0%), CELSR1 (enriched, 7% vs 0%), CENPC (enriched, 6% vs 1%), CNTLN (enriched, 7% vs 1%), CNTN6 (enriched, 8% vs 1%), COL7A1 (enriched, 6% vs 0%), CTCF (enriched, 7% vs 1%), DMD (enriched, 6% vs 1%), DNAH5 (enriched, 7% vs 1%), DNAH8 (enriched, 5% vs 1%), DOCK3 (enriched, 11% vs 2%), DST (enriched, 7% vs 1%), EIF5B (enriched, 8% vs 1%), EPHA2 (enriched, 5% vs 1%), FHOD3 (enriched, 6% vs 1%), GPR179 (enriched, 5% vs 1%), HIVEP3 (enriched, 5% vs 1%), HLA-B (enriched, 5% vs 1%), KIF21A (enriched, 8% vs 2%), KLF3 (enriched, 9% vs 1%), KMT2B (enriched, 11% vs 2%), KMT2D (enriched, 16% vs 3%), LARP4B (enriched, 11% vs 2%), MACF1 (enriched, 7% vs 1%), OPLAH (enriched, 5% vs 1%), PLEKHA6 (enriched, 10% vs 1%), PPP1R26 (enriched, 6% vs 1%), PTEN (enriched, 7% vs 1%), RANBP2 (enriched, 6% vs 0%), RBM6 (enriched, 5% vs 1%), REV3L (enriched, 8% vs 1%), RIF1 (enriched, 8% vs 2%), RIMS2 (enriched, 7% vs 0%), RNF43 (enriched, 13% vs 3%), RP1 (enriched, 8% vs 1%), RPL22 (enriched, 11% vs 2%), RYR1 (enriched, 6% vs 0%), SCAF4 (enriched, 7% vs 1%), SLC3A2 (enriched, 9% vs 2%), SMC2 (enriched, 7% vs 0%), SPECC1 (enriched, 9% vs 2%), SYCP2 (enriched, 5% vs 1%), SYNE2 (enriched, 9% vs 2%), TP53 (depleted, 6% vs 38%), TRIO (enriched, 7% vs 1%), TTF1 (enriched, 6% vs 0%), TTN (enriched, 20% vs 7%), UBR5 (enriched, 10% vs 2%), WDR47 (enriched, 6% vs 0%), XYLT2 (enriched, 13% vs 2%), ZBTB20 (enriched, 12% vs 2%), ZC3H13 (enriched, 9% vs 1%), ZCCHC11 (enriched, 7% vs 0%), ZFC3H1 (enriched, 5% vs 1%), ZFHX3 (enriched, 9% vs 0%), ZFHX4 (enriched, 11% vs 3%), ZMYM4 (enriched, 6% vs 0%), ZNF48 (enriched, 5% vs 1%)",437
"MARK1",14,0.000101245495303215,"yes",0.00677849774318974,0.15459007202918,10,0.000334019330754387,"no","",0.139227970539825,"down","ABCB4 (depleted, 1% vs 9%), ADD2 (depleted, 0% vs 7%), AGO1 (depleted, 0% vs 6%), AHNAK2 (depleted, 7% vs 22%), ANK2 (depleted, 3% vs 13%), ARHGEF10 (depleted, 0% vs 7%), ASAP3 (depleted, 0% vs 6%), ATM (depleted, 2% vs 10%), ATP7B (depleted, 0% vs 7%), BSN (depleted, 3% vs 14%), C11orf63 (depleted, 0% vs 6%), CACNA1D (depleted, 2% vs 10%), CCDC108 (depleted, 0% vs 6%), CEP126 (depleted, 0% vs 6%), CEP250 (depleted, 1% vs 9%), CHD6 (depleted, 3% vs 13%), CILP2 (depleted, 1% vs 9%), COL4A1 (depleted, 1% vs 9%), DNAH5 (depleted, 9% vs 22%), DOCK8 (depleted, 0% vs 6%), EIF4G1 (depleted, 0% vs 8%), FAM184A (depleted, 1% vs 8%), FAM83H (depleted, 0% vs 7%), FBN3 (depleted, 2% vs 10%), FBXL7 (depleted, 1% vs 8%), FCGBP (depleted, 3% vs 16%), FOXP1 (depleted, 0% vs 6%), FRMPD3 (depleted, 0% vs 6%), GLUD2 (depleted, 0% vs 7%), GOLGB1 (depleted, 1% vs 10%), GSDMC (depleted, 0% vs 6%), HDAC4 (depleted, 0% vs 8%), HECW1 (depleted, 2% vs 11%), HIVEP1 (depleted, 1% vs 9%), HK1 (depleted, 0% vs 7%), IRX1 (depleted, 1% vs 8%), ITGB4 (depleted, 1% vs 9%), KIAA1161 (depleted, 0% vs 7%), KIF1C (depleted, 0% vs 6%), KMT2C (depleted, 3% vs 13%), KMT2D (depleted, 5% vs 16%), KSR2 (depleted, 1% vs 8%), LAMA1 (depleted, 7% vs 19%), LRP2 (depleted, 4% vs 16%), LYST (depleted, 2% vs 10%), MAGI1 (depleted, 0% vs 8%), MDN1 (depleted, 3% vs 16%), MTOR (depleted, 2% vs 10%), MYCBP2 (depleted, 3% vs 13%), MYH11 (depleted, 1% vs 9%), MYH6 (depleted, 1% vs 8%), MYO15A (depleted, 3% vs 13%), MYO5C (depleted, 0% vs 7%), MYOM2 (depleted, 2% vs 10%), NAV3 (depleted, 5% vs 15%), NBEAL2 (depleted, 2% vs 10%), NOTCH4 (depleted, 1% vs 10%), NRXN3 (depleted, 2% vs 14%), NWD1 (depleted, 0% vs 8%), OBSCN (depleted, 9% vs 22%), PABPC3 (depleted, 0% vs 6%), PCDHA11 (depleted, 3% vs 13%), PCDHA7 (depleted, 1% vs 10%), PCDHB13 (depleted, 0% vs 7%), PIGG (depleted, 1% vs 8%), PIK3CA (depleted, 5% vs 26%), PKHD1 (depleted, 4% vs 14%), PLEC (depleted, 5% vs 21%), PLXNA4 (depleted, 4% vs 14%), PRX (depleted, 0% vs 7%), RELN (depleted, 5% vs 15%), RYR1 (depleted, 4% vs 20%), SDK1 (depleted, 5% vs 17%), SLC9A4 (depleted, 0% vs 6%), SRCAP (depleted, 2% vs 12%), TECTA (depleted, 3% vs 14%), VPS13B (depleted, 4% vs 15%), ZFHX3 (depleted, 3% vs 11%), ZIC1 (depleted, 0% vs 8%), ZNF462 (depleted, 2% vs 12%), ZNF74 (depleted, 0% vs 6%)","ACVR2A (depleted, 2% vs 15%), ANK3 (depleted, 1% vs 8%), ARHGAP5 (depleted, 2% vs 8%), ARID1A (depleted, 12% vs 33%), ARID2 (depleted, 1% vs 8%), BCOR (depleted, 1% vs 10%), BMPR2 (depleted, 1% vs 8%), CAMSAP2 (depleted, 1% vs 6%), CCDC73 (depleted, 1% vs 5%), CNTLN (depleted, 1% vs 8%), CTCF (depleted, 1% vs 7%), DMXL1 (depleted, 1% vs 5%), DNAH8 (depleted, 1% vs 5%), DOCK3 (depleted, 2% vs 10%), EPHA2 (depleted, 1% vs 5%), GPR179 (depleted, 0% vs 6%), ITPR2 (depleted, 1% vs 5%), JARID2 (depleted, 0% vs 6%), KIAA0195 (depleted, 1% vs 7%), KIF21A (depleted, 2% vs 8%), KLF3 (depleted, 1% vs 8%), KMT2B (depleted, 0% vs 13%), KMT2C (depleted, 2% vs 10%), KMT2D (depleted, 3% vs 16%), LARP4B (depleted, 1% vs 11%), NIPBL (depleted, 1% vs 7%), PBRM1 (depleted, 1% vs 7%), PLEKHA6 (depleted, 2% vs 9%), RNF43 (depleted, 2% vs 14%), ROCK1 (depleted, 1% vs 5%), RPL22 (depleted, 2% vs 10%), RYR1 (depleted, 0% vs 6%), SLC3A2 (depleted, 1% vs 10%), SPECC1 (depleted, 2% vs 9%), ST8SIA6 (depleted, 1% vs 7%), SYCP2 (depleted, 1% vs 5%), TAF1L (depleted, 1% vs 7%), TNS2 (depleted, 1% vs 7%), TP53 (enriched, 27% vs 16%), TRIO (depleted, 1% vs 7%), TTN (depleted, 8% vs 19%), UBR5 (depleted, 3% vs 10%), WDR47 (depleted, 1% vs 5%), XYLT2 (depleted, 2% vs 12%), YLPM1 (depleted, 1% vs 7%), ZBTB20 (depleted, 2% vs 12%), ZC3H13 (depleted, 2% vs 9%), ZC3H18 (depleted, 1% vs 7%), ZFC3H1 (depleted, 1% vs 5%), ZFHX3 (depleted, 1% vs 8%), ZMYM4 (depleted, 1% vs 5%), ZNF292 (depleted, 1% vs 7%)",437
"GLI3",7,0.000145140227096441,"yes",0.0647137994881413,0.107135930384642,5,0.140375050972875,"no","",0.0087535688260295,"down","","",437
"PPP2R5B",13,0.000476641264505973,"no",0.110551121288006,0.0989922069299669,9,0.966966312656198,"no","",0.355244989609865,"down","","",437
"ATG2B",11,0.000619719699931354,"no",-0.0395718828252841,0.133156696796002,7,0.0193757911637615,"no","",0.0106428334094464,"up","","",437
"NFIL3",13,0.000748740439695528,"no",0.0102838505368082,0.133182337941047,9,0.0212795577397434,"no","",0.372614429451004,"down","","",437
"ITGB5",14,0.000762870931322213,"no",0.00755619003782604,0.185177800478434,10,0.999862949408855,"no","",5.38253087254765e-05,"up","","",437
"DSTYK",13,0.00099870681972225,"no",0.0425288052733554,0.083561001249939,9,0.767827160613306,"no","",0.0556331913339466,"up","","",437
"SIX1",14,0.00109099636000742,"no",0.221928792887546,0.246694824107285,10,0.926115126545392,"no","WT_LoF",9.11685422060657e-09,"up","","",437
"UBTF",13,0.00111163755580501,"no",-0.15536696357144,0.161314646210443,10,0.999999999999999,"no","",2.58274857576534e-05,"up","","",437
