"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"SIRPB1",9,5,0.00615373912841516,"no",0.0687299119866207,0.153743252496663,-0.0193029131991074,0.0641786618517173,6,5,0.429819862720274,"no","",NA,0,509
"NSFP1",10,4,0.00675714417578873,"no",0.351080937929988,0.298962895438266,0.307453228394016,0.17367563531374,0,0,NA,NA,"",NA,0.00196463654223969,509
"MNX1",11,2,0.00917933455135649,"no",0.0337080536751468,0.20411502352645,-0.159314331664877,0.023777670513104,9,2,0.723303709844324,"no","",0.337952806164171,0.00785854616895874,509
"DMTF1",9,3,0.0129188986337852,"no",-0.0793719815397498,0.155214575238244,0.0145593742877998,0.131347503750036,8,2,0.738109803988088,"no","",0.178765478527415,0.00392927308447937,509
"CA1",12,2,0.0155678806019989,"no",-0.0681634332519473,0.116819834282237,-0.279716403452731,0.211577566430844,9,2,0.486946884819353,"no","",0.266187161515019,0.00785854616895874,509
"PMVK",12,2,0.0161119811546824,"no",0.0569523662155379,0.149711443128347,-0.0862338224125502,0.102150504523573,9,2,0.781780091149727,"no","",NA,0.00196463654223969,509
"EIF4B",12,2,0.0206582898744849,"no",-0.0154562870008605,0.129241878318083,-0.116275913630062,0.063519918078928,9,2,0.520483105340333,"no","",NA,0,509
"GEM",12,2,0.0225779185649924,"no",0.181010869573892,0.204449518292422,-0.0212557319375936,0.0655650325878484,9,2,0.373884813415199,"no","",0.116538561084174,0.00589390962671906,509
"FMOD",11,2,0.0226990587813466,"no",-0.283970962022234,0.080262818940144,-0.54032855856452,0.140639605670737,8,2,0.38007914002414,"no","",NA,0,509
"EXOC8",10,2,0.0241437681948595,"no",0.0205976393224467,0.135455476628607,-0.138733431536197,0.000503888094263494,9,2,0.551757454509448,"no","",NA,0.00196463654223969,509
"CDC42BPA",10,2,0.0245576491213641,"no",-0.0298999112836185,0.287258834949905,-0.463425765338521,0.0191875562122605,7,2,0.610689762035511,"no","",NA,0.00196463654223969,509
"KCNJ10",11,3,0.02765552441542,"no",0.0631564253250968,0.202874639728259,-0.10246937910555,0.285955894459764,8,3,0.801058562825473,"no","",NA,0.00196463654223969,509
"ZFPM2",9,2,0.0362530841872028,"no",-0.102137569225848,0.145969403836528,-0.0888170554471839,0.00814174482131509,7,2,0.669845176841427,"no","",0.0921896209184146,0.00589390962671906,509
"HAS2",11,2,0.0400180229240567,"no",-0.020434291695078,0.117155862554064,-0.0627086540560907,0.0457675023498383,9,2,0.538081626672381,"no","",0.365702687158472,0.00589390962671906,509
"HGF",7,4,0.0419676217294893,"no",0.172596064263267,0.100407763487328,0.0483277087117835,0.0289288045014534,7,3,0.646739188701972,"no","BC_Act",0.975790977186903,0.00392927308447937,509
"ARF1",12,2,0.0429174888898784,"no",-0.028742292367167,0.158773911185615,-0.170117745593592,0.0772970579608859,9,2,0.475091551001762,"no","",NA,0.00196463654223969,509
"SHE",10,2,0.0451259100871775,"no",-0.0577916638937915,0.155820319287965,-0.341801737843271,0.04997036898161,9,2,0.738946390250089,"no","",NA,0.00196463654223969,509
"KIRREL",8,3,0.0478325196008611,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.00196463654223969,509
"GUK1",11,2,0.048828862002056,"no",-0.248163345939432,0.368314312575169,-0.622982429537795,0.109222648970552,9,2,0.519169543970649,"no","",NA,0.00196463654223969,509
"UBQLN4",11,2,0.0516838791719315,"no",-0.0190270148634595,0.191391703185036,-0.209801570741796,0.154608057800801,9,2,0.577131048984042,"no","",NA,0.00196463654223969,509
