"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",8,2,0.0185207748071465,"no",0.88076785932429,0.640634544704569,0.162753952095608,0.934650063723678,6,2,0.403107963187166,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.0119047619047619,336
"ZFPM2",9,2,0.0311395533669586,"no",-0.102137569225848,0.145969403836528,-0.346115453773517,0.193978785658532,7,2,0.344853092043924,"no","","yes",0.0148809523809524,336
"PKHD1L1",7,4,0.056917748495945,"no",-0.0429503713656893,0.249471164140722,-0.0131156439759607,0.170976406094418,6,4,0.74991732681033,"no","","yes",0.0297619047619048,336
"FOXK1",10,3,0.0690520746771154,"no",0.100568230086044,0.223064581549528,0.0212009776624667,0.103521260848715,8,3,0.298651110387643,"no","","yes",0.00297619047619048,336
"PKMYT1",11,2,0.0790812779668395,"no",0.0242014176674095,0.247794664794226,0.209458690975389,0.194210819005726,9,1,NA,NA,"","yes",NA,336
"TRPS1",9,2,0.0983629709563742,"no",-0.18120036773915,0.079245162306807,-0.402395143014703,0.255686590343172,8,1,NA,NA,"","yes",0.00595238095238095,336
"JUP",11,3,0.105637210882828,"no",-0.0307318700270196,0.219720823226207,0.0240156206424834,0.159253598452335,9,2,0.463599269701762,"no","","yes",0.00297619047619048,336
"LRP1B",10,2,0.111848736553402,"no",0.165765610865896,0.100758711624484,0.243068856291014,0.103042701222664,8,3,0.204274398311918,"no","AML_LoF,AN_LoF,BRCA_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,MGCT_LoF,MM_LoF,NB_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PRAD_LoF,RCCC_LoF,RHBDS_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCS_LoF,UVM_LoF","yes",0.0238095238095238,336
"DDR1",9,2,0.134429525676753,"no",0.161401869156333,0.203930901487854,-0.126423786353791,0.230788872432365,8,2,0.0257805473719257,"no","","yes",0,336
"KMT2A",8,2,0.135844948323844,"no",0.0765776846927736,0.29610418911746,-0.311495515244012,0.0912065227901675,7,2,0.507939928120411,"no","ACC_LoF,BCNET_LoF,BLCA_LoF,CM_LoF,ESCA_LoF,HC_LoF,OV_LoF,PRAD_LoF,SBCC_LoF,THCA_LoF","yes",0.00595238095238095,336
"SETD1A",11,2,0.141304978541672,"no",-0.197320383613479,0.314496728375829,-0.333033946542694,0.0762701242958706,10,1,NA,NA,"","yes",0.00297619047619048,336
"DSP",10,2,0.152856616667127,"no",-0.0315561995448667,0.210939492930728,0.0636791080116525,0.0887205861645015,9,2,0.373454341983953,"no","","yes",0.00892857142857143,336
"SRCAP",11,2,0.156706778795482,"no",0.046661488032368,0.324121631438042,-0.212011653464236,0.11249500591139,9,2,0.472240290196576,"no","","yes",0.00595238095238095,336
"LRP4",10,2,0.1611721663496,"no",0.0244571272966762,0.0928777043554449,0.008632338864811,0.112970334753244,9,2,0.441717006132508,"no","","yes",0.00595238095238095,336
"PDE5A",12,2,0.16322809816142,"no",-0.0415371557482753,0.187680471997552,-0.0157914426020972,0.0867826737313677,9,2,0.656246469664896,"no","","yes",0,336
"APC",11,2,0.172164566119864,"no",0.0140925769680393,0.106228908556039,-0.0399226922790683,0.0636878253395567,9,1,NA,NA,"AN_LoF,BC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,NSCLC_LoF,PRAD_LoF,SBCC_LoF,SSCC_LoF,ST_LoF,UVM_LoF,VV_LoF","yes",0.0119047619047619,336
"DPYD",11,3,0.174008785960335,"no",0.0158225527451972,0.179896261220118,0.119442016285068,0.0972765768949991,9,2,0.402255613483152,"no","","yes",0.00297619047619048,336
"AKR1B15",9,2,0.176256084211557,"no",0.0356100282399026,0.180496308098111,0.0245483816835716,0.0431758991834091,8,2,0.662164023586836,"no","","yes",0.00892857142857143,336
"ATG9B",10,2,0.176879764626422,"no",0.0338804249635019,0.216946461640682,-0.038722275489836,0.0158542195711531,0,0,NA,NA,"","yes",0.00297619047619048,336
"CDC42BPA",10,2,0.17831219838636,"no",-0.0298999112836185,0.287258834949905,-0.258913151375729,0.223700170175052,7,2,0.617656839422554,"no","","yes",0.00297619047619048,336
"ZNF232",11,2,0.182658395982309,"no",-0.0430364802633236,0.150347291232221,-0.062004573166244,0.084599992519927,9,2,0.502192162332059,"no","","yes",0,336
"TRPV4",9,3,0.182998544303756,"no",-0.0101557964740401,0.0855890740257502,-0.146454378624577,0.101512126519491,9,2,0.356253467179666,"no","","yes",0.00297619047619048,336
"KMT2C",7,5,0.222590366239719,"no",-0.0518672942542105,0.338217330202524,-0.0449052744496237,0.190669631899088,7,3,0.223335519202646,"no","ACY_LoF,AML_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,EWS_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,NSPH_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PCPG_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RPC_LoF,SCLC_LoF,SG_LoF,SSCC_LoF,ST_LoF,THCA_LoF,UCEC_LoF,VV_LoF","yes",0.0267857142857143,336
"KCNH5",12,2,0.223909518526614,"no",0.0193271837569242,0.222091629677824,-0.129293142142269,0.193430380122775,8,2,0.302533171943122,"no","","no",0.00892857142857143,336
