"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"PAX8",12,5.31687881051551e-14,"yes",-0.50328571422556,0.690884323692182,11,6.68975516658117e-08,"yes","",9.09750079158276e-21,"down","","BAP1 (enriched, 13% vs 1%), PBRM1 (depleted, 27% vs 48%), SETD2 (depleted, 5% vs 14%)",336
"FERMT2",13,5.03035634866724e-13,"yes",-0.518733238580452,0.401660264905376,11,4.07450851770684e-09,"yes","",5.17492032132621e-17,"down","","",336
"RGR",12,4.43361540500773e-10,"yes",-0.0577205257422701,0.134434632602849,11,0.112026906131252,"no","",0.490431483433743,"up","","",336
"ANKIB1",11,2.3179635452406e-09,"yes",0.0935300230781947,0.133608846505867,9,0.12915858862411,"no","",0.869069614092207,"up","","",336
"PLXDC1",14,7.43210726728795e-09,"yes",-0.0736700573676723,0.149826044165739,11,0.885636971233913,"no","",6.4581377026835e-38,"up","","",336
"NR1D1",12,4.77308547387537e-08,"yes",-0.0518071901078812,0.127288552996524,11,0.734883296345291,"no","",3.74526084020977e-10,"up","","",336
"ZNF219",13,5.16913913376009e-08,"yes",-0.0197952066238378,0.140365982678945,11,0.999997414715749,"no","",1.67855361608491e-07,"up","","BAP1 (depleted, 2% vs 12%)",336
"CPEB2",12,1.13293788597262e-07,"yes",-0.184834988462856,0.266894909146317,11,0.983206195830438,"no","",3.38927522812086e-15,"up","","",336
"CASC1",14,1.24565050268304e-07,"yes",-0.0468073924300461,0.0585184365764677,11,0.999499025444671,"no","",4.53403220703649e-06,"down","","",336
"OR6S1",14,1.40884877145144e-07,"yes",0.0340656034560487,0.0578225466657749,11,0.916491573508256,"no","",1.29523283753218e-05,"up","","",336
