"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"PLK1",12,2.17759144049978e-12,"yes",-0.500329889278548,0.346130229593567,11,1,"no","",1.87039521168633e-32,"up","","BAP1 (enriched, 12% vs 3%), PBRM1 (depleted, 30% vs 45%)",336
"HSPE1-MOB4",13,2.08698613946012e-11,"yes",0.173445109667887,0.293513205861656,0,NA,NA,"",0.00245977226322133,"down",NA,NA,336
"RACGAP1",14,1.17768017560138e-10,"yes",-0.278520186588537,0.205621352693397,11,0.999999999999925,"no","",1.25406493749504e-17,"up","","",336
"ATP6V1G2-DDX39B",10,1.83254189600746e-10,"yes",-0.325983118085211,0.248247521098101,0,NA,NA,"",0.0176343824812111,"up","","",336
"DDX39B",10,1.83254189600746e-10,"yes",0.182017435227756,0.21019256449117,10,0.956064199972622,"no","",1.82177051982652e-19,"up","","",336
"ARNT2",14,2.90821255966023e-10,"yes",0.101877917926691,0.147471915381896,11,5.24494086573402e-06,"yes","",2.82417966691675e-34,"down","","PBRM1 (enriched, 47% vs 28%)",336
"KIF23",13,2.41979136728077e-09,"yes",-0.376849713041347,0.205906454111691,10,0.99999999999925,"no","",6.60521187775744e-07,"up","","BAP1 (enriched, 12% vs 3%)",336
"PSMD14",12,5.15783837862216e-09,"yes",-0.349039753059216,0.107357880216982,11,1,"no","",0.399387671640851,"up",NA,NA,336
"CES3",14,9.15772302434448e-09,"yes",-0.402928198621786,0.280913858843153,11,0.0615611979214157,"no","",3.04498359607429e-12,"up","","BAP1 (depleted, 1% vs 13%), VHL (enriched, 40% vs 25%)",336
"POLD1",13,1.12369247240451e-08,"yes",-0.432660977399409,0.142872086553952,11,0.999999999997136,"no","BRCA_Act",1.68729330839883e-22,"up","","",336
"SQRDL",14,1.56377972793109e-08,"yes",NA,NA,0,NA,NA,"",NA,NA,NA,NA,336
"SUPV3L1",14,1.77293038028381e-08,"yes",-0.123623242575311,0.191841276819389,11,0.999999999505774,"no","",1.04156240710734e-06,"down","","",336
"LONP1",13,3.63480691101259e-08,"yes",-0.38321328528348,0.348492871587495,11,0.999999999999967,"no","",0.00154851851432331,"up","","",336
"CIT",11,3.75479030090276e-08,"yes",-0.0599572433838208,0.1271201049572,10,0.999784694547399,"no","",0.0392314540986699,"up","","",336
"TP53",8,5.2816344631168e-08,"yes",0.88076785932429,0.640634544704569,6,-2.66453525910038e-15,"yes","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF",4.47780932841445e-16,"up","","",336
"SLA2",14,6.4907824115501e-08,"yes",0.047137348956713,0.235121740614582,11,5.00485330623412e-07,"yes","",1.43757958413447e-34,"up","","",336
"CHAF1B",12,7.16691728186447e-08,"yes",-0.428741183530112,0.3639836954962,10,1,"no","",0.788083439284009,"up","","PBRM1 (depleted, 29% vs 46%)",336
"DHX38",14,8.28314870027214e-08,"yes",-0.594633642924437,0.229128831263157,11,0.999962695003367,"no","",2.75160910466175e-13,"up","","",336
"DNA2",14,8.61106785876586e-08,"yes",-0.0842323905183525,0.152747626093861,0,NA,NA,"",3.12204652089717e-21,"up","","",336
"NUP43",13,1.33155730219769e-07,"yes",-0.0906941246867506,0.249143974674593,11,1,"no","",0.970747526454422,"up","","",336
"NR6A1",13,2.40630807391007e-07,"yes",0.012330460304888,0.2142001023626,11,0.904301247862536,"no","",7.24646234720878e-14,"down","","BAP1 (depleted, 3% vs 12%)",336
"BIRC5",12,2.41015277069323e-07,"yes",-0.337291194293627,0.30471790402801,10,0.999999999999997,"no","",9.56687183286324e-34,"up","","BAP1 (enriched, 12% vs 3%)",336
"PNPT1",12,2.42781836856665e-07,"yes",-0.349063538141277,0.173532495633586,10,0.999999699941455,"no","",1.31479589595188e-11,"down","","",336
"WIF1",12,3.13460374767871e-07,"yes",0.0307605605449502,0.165235038410963,9,0.189891179788766,"no","",8.5148203219582e-24,"down","VHL (enriched, 25% vs 10%)","SETD2 (enriched, 16% vs 3%)",336
"PPP3CA",13,4.41121768224306e-07,"yes",0.0160747377409299,0.300571873493559,10,0.946112863887787,"no","ST_LoF",0.0332215092313454,"up","","",336
"SART3",14,5.10592897517981e-07,"yes",-0.587129707992929,0.131363048464008,11,0.999999999988389,"no","",3.1406467866937e-05,"up","","",336
"ADRA2C",13,5.14812656171593e-07,"yes",0.172020114804723,0.363736080625199,10,0.000518869334980576,"no","",2.21740315722378e-24,"down","","",336
"PLRG1",13,7.764693816803e-07,"yes",-0.61393671242143,0.293290304152577,11,0.99999999996732,"no","",4.58867428321093e-13,"down","","",336
"DDX39A",11,8.45066031485153e-07,"yes",-0.15178758041161,0.204227580982192,11,0.998773931410205,"no","",3.47163244337373e-31,"up","","BAP1 (enriched, 12% vs 3%), SETD2 (enriched, 15% vs 4%)",336
"MED4",14,1.06262877308527e-06,"yes",-0.275459245009332,0.279561583377958,11,0.999999999989163,"no","",0.967341275861416,"down","","PBRM1 (enriched, 48% vs 28%)",336
"BUD31",12,1.14563411446333e-06,"yes",-0.360102192120689,0.229066077089167,10,1,"no","",3.08589164140271e-06,"up","","PBRM1 (enriched, 45% vs 31%), SETD2 (enriched, 15% vs 4%)",336
"XRCC5",12,1.20045175167061e-06,"yes",-0.49806863332016,0.194075831677499,11,0.999999999817709,"no","",3.65439844624035e-06,"down","","",336
"SMAP1",11,1.21249980633564e-06,"yes",0.024130463300369,0.179127278306743,10,1.75679777614235e-06,"yes","",0.643738034059944,"up","","",336
"MED25",12,1.34461463918711e-06,"yes",-0.291601328025502,0.163625367778036,11,0.980861873237624,"no","",0.431596227474894,"up","","",336
"ACO2",13,1.50138205012862e-06,"yes",-0.0568646263969305,0.166338159295059,11,0.877656371395291,"no","",6.98559072748378e-16,"down","","",336
"ATP5B",13,1.55060316597844e-06,"yes",-0.136913556661338,0.18441104810212,0,NA,NA,"",NA,NA,NA,NA,336
"PDGFA",11,1.55247329536312e-06,"yes",0.00742901217248017,0.239869471002439,10,0.010562467876121,"no","",2.55787904332849e-16,"up","","",336
"OGDH",10,1.56344814283838e-06,"yes",-0.0255425089852319,0.149332923552732,10,0.999768847047711,"no","",5.41052813855371e-21,"down","","",336
"VLDLR",13,1.87283706265529e-06,"yes",0.00730993751534681,0.0852644224142595,10,0.000303910699632759,"no","",4.38164310336419e-09,"up","","",336
"TOP2A",13,2.26676725845198e-06,"yes",-0.467786790065281,0.349058575757981,11,1,"no","ST_Act",2.37287804739995e-32,"up","","",336
"NUP54",11,2.69044895184756e-06,"yes",0.0765240086649622,0.229792146181554,10,0.99999995237397,"no","",1.70228188047322e-08,"up","","",336
"FKBP10",14,2.80022113952061e-06,"yes",0.132094026982453,0.145054884686458,11,0.890275850358548,"no","",9.5375512458204e-33,"up","","PBRM1 (enriched, 45% vs 31%), SETD2 (enriched, 14% vs 5%)",336
"DNM2",10,2.93602699941165e-06,"yes",-0.0523323070593414,0.123919610344326,10,0.999999998563748,"no","",0.00267257177508724,"up","","PBRM1 (enriched, 45% vs 30%)",336
"CDC37",12,3.05568967595704e-06,"yes",-0.210650618143792,0.22218291665863,11,0.999999999987983,"no","",9.47604130648041e-22,"up","","",336
"WDR70",11,3.12320565765134e-06,"yes",-0.53345427228937,0.114218571000979,9,0.999999976704009,"no","",9.97438198153918e-13,"up","","",336
"KCNJ5",12,3.20294217326378e-06,"yes",0.11296661376063,0.1720480594,9,7.13692209108885e-07,"yes","",0.00109692569998574,"down","","",336
"PPIL4",14,3.20922618757269e-06,"yes",-0.0862427076939479,0.122525395505173,11,0.999999999922582,"no","",6.09946848434052e-11,"down","","BAP1 (depleted, 3% vs 12%)",336
"SMNDC1",13,3.68539148221103e-06,"yes",-0.44289118979228,0.265409242928012,11,0.999999999953039,"no","",0.254435628548509,"up","","",336
"PLK2",13,4.48715033385394e-06,"yes",0.114111379915656,0.0968964837506228,11,0.00796631226949795,"no","",2.56541123932376e-35,"up","","",336
"TFG",14,4.66378955654712e-06,"yes",0.0825452666927447,0.0772620299736019,11,0.964924586786523,"no","HC_LoF",0.0196832705416314,"up","","",336
"ACTG1",13,4.66594532444464e-06,"yes",-0.792040010933151,0.185834190176963,10,0.999889653909755,"no","",0.20283794075237,"down","","",336
"UBL5",11,5.1943305293678e-06,"yes",-0.770658098932175,0.378305387576692,11,0.999999999999994,"no","",9.4801907076581e-07,"down","","",336
"WDR31",13,5.29588471886999e-06,"yes",0.183416894006604,0.182633037247418,11,8.08874633939638e-10,"yes","",2.52488174809059e-23,"down","","",336
"AP2S1",12,6.13525028825279e-06,"yes",-0.0200103090873315,0.178799038097494,11,0.999999998989567,"no","",1.47193949213748e-17,"up","","SETD2 (enriched, 14% vs 5%), VHL (depleted, 25% vs 39%)",336
"RAB3GAP1",11,6.23802979726751e-06,"yes",0.140339204863767,0.369244377211578,9,0.627905040503801,"no","",0.0481202981967238,"down","","",336
"ATP5A1",12,6.47528681030352e-06,"yes",-0.244433826642267,0.135540796880273,0,NA,NA,"",NA,NA,NA,NA,336
"CENPW",12,6.69769286532063e-06,"yes",-0.338668914820957,0.353394428200078,10,0.999999999999951,"no","",1.72318310564324e-13,"up","","PBRM1 (depleted, 30% vs 45%)",336
"LOC728554",9,7.00847430457063e-06,"yes",0.0818824595109438,0.29377811340174,0,NA,NA,"",NA,NA,NA,NA,336
"NFKBIA",14,7.26359522662534e-06,"yes",0.0117947808035405,0.174064514989523,11,0.358543917183744,"no","DLBCL_LoF,MM_LoF",3.43650293142948e-16,"up","","PBRM1 (enriched, 48% vs 27%), SETD2 (enriched, 14% vs 5%)",336
"CALM3",14,7.33878917369424e-06,"yes",0.0594259157692494,0.174054652671787,11,0.339534142864193,"no","",1.71151934370091e-21,"up","","",336
"MRGPRX3",14,7.51403401355599e-06,"yes",-0.0236086327259068,0.160834416410031,11,0.994028084423754,"no","",0.0101863987840145,"up","","",336
"BCAM",12,7.78455993699634e-06,"yes",0.195315866717735,0.241476313934512,11,0.246176412337068,"no","",5.61092993782041e-37,"down","","",336
"GRK7",14,7.84078969995328e-06,"yes",-0.00369801062113348,0.0609340575316955,11,0.46757468668944,"no","",8.8477689811044e-12,"up","","",336
"RTP2",13,8.00482255680635e-06,"yes",0.0582576780896463,0.379220138923424,10,0.0322185123337793,"no","",6.23419671027808e-28,"up","","",336
"CDK7",13,8.42143084667235e-06,"yes",0.105833142095823,0.186055271798237,11,1,"no","",7.84464329214333e-21,"up","","",336
"BIRC7",13,8.69010292403605e-06,"yes",-0.0105742653115505,0.182874116797457,11,6.52731822314845e-06,"yes","",3.7364880894567e-32,"up","","",336
"WIPI2",12,9.52925620578693e-06,"yes",0.145858982892619,0.208788625150112,10,0.139991362688417,"no","",1.34935274103946e-08,"down","","PBRM1 (depleted, 30% vs 45%), VHL (depleted, 26% vs 39%)",336
"DMAP1",13,9.7001046835965e-06,"yes",-0.281963160372106,0.179906693575443,11,0.999999999999137,"no","",7.44269166582926e-12,"up","","",336
"RFC2",10,1.15657538870551e-05,"yes",-0.139235875778962,0.188181049755651,9,0.999999999999951,"no","",1.59030757527134e-37,"up","","PBRM1 (enriched, 46% vs 29%), SETD2 (enriched, 15% vs 4%)",336
"MACF1",13,1.18786382358183e-05,"yes",-0.0871082016153037,0.104846135950571,10,0.613552495014111,"no","",9.58428805099973e-10,"down","","",336
"PSMC4",14,1.35623790404882e-05,"yes",-0.765689562317687,0.429202742754723,11,0.999999860293691,"no","",0.000509162577524806,"down","","",336
"MC5R",12,1.39429711184524e-05,"yes",0.0274958066919369,0.182910150218832,11,0.15079883270461,"no","",0.085319779143159,"up","","",336
"KDM1A",13,1.4528966540639e-05,"yes",0.0377916549943628,0.172267307150678,11,0.976250352889295,"no","",1.94411475882702e-19,"down","","",336
"LYNX1",11,1.6185622652265e-05,"yes",-0.0367936829699038,0.0941321577605815,0,NA,NA,"",2.57865803785073e-26,"down","","KDM5C (enriched, 8% vs 2%), PBRM1 (depleted, 27% vs 48%), VHL (depleted, 24% vs 40%)",336
"LDHAL6A",14,1.6613343759686e-05,"yes",0.0263201719740889,0.0930732850606718,11,5.3806925026656e-08,"yes","",1.92037887391117e-10,"down","","",336
"WDR24",11,1.71784534412911e-05,"yes",0.0283150449711248,0.122399024017025,10,0.999999998970471,"no","",1.48478386158051e-15,"up","","",336
"PPP4C",14,1.77002280460359e-05,"yes",-0.0963178277672478,0.0684966004738447,11,0.999999999999947,"no","",2.30110765212718e-10,"up","","SETD2 (enriched, 15% vs 4%)",336
"DUSP13",12,1.97128304074701e-05,"yes",-0.0570996706410298,0.243622413287467,11,0.884968397990965,"no","",0.427473504778691,"up","","",336
"KLHL29",12,2.18433396240725e-05,"yes",0.0507450303075961,0.09799935325759,11,0.00760926787564253,"no","",1.64529192602015e-05,"up","","",336
"IGF1R",12,2.18831061943314e-05,"yes",0.0978574461153751,0.126538840196475,11,0.0721897404792607,"no","",2.07837917044961e-05,"down","","",336
"MPZL1",11,2.3093224740367e-05,"yes",0.0276938812536284,0.245707920896015,8,0.994381208673804,"no","",2.26819982005443e-09,"up","","",336
"MED15",11,2.42538006700599e-05,"yes",0.0197427362571801,0.135480243567439,10,0.773439385644428,"no","",3.32997630325141e-31,"up","","",336
"JMJD7-PLA2G4B",13,2.65617868505652e-05,"yes",0.117583793656753,0.230460005991747,0,NA,NA,"",1.25637423969151e-13,"up","","",336
"EIF5A",13,3.09321385109085e-05,"yes",-0.219841320340211,0.328718924312454,11,0.999999996714156,"no","",6.17019902871865e-06,"up","","BAP1 (enriched, 12% vs 3%)",336
"EIF5AL1",13,3.09321385109085e-05,"yes",-0.105721441256116,0.3760886754457,11,0.970128603312519,"no","",0.395812402123006,"up","","",336
"CHST1",11,3.12755717712943e-05,"yes",-0.183131710140932,0.181421043032496,10,0.0433762883554167,"no","",1.43381134113416e-06,"up","","",336
