"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"OR4L1",3,2,0.0256626458540401,"no",0.169763554678621,0.289302329814733,-0.115616013339088,0.0572445397396553,1,2,NA,NA,""
"KIAA1875",2,3,0.0257861948306914,"no",NA,NA,NA,NA,0,0,NA,NA,""
"OR4K14",3,2,0.0270075041793472,"no",0.176567705777376,0.0854718497283013,0.0769419057631785,0.0913985214970755,1,2,NA,NA,""
"FKBP4",2,2,0.0299821416543422,"no",NA,NA,NA,NA,1,2,NA,NA,""
"LY6G6F",3,2,0.0353616316897094,"no",-0.317166877575347,0.172188138618901,-0.532262732668576,0.0523782598097711,1,2,NA,NA,""
"CYHR1",2,3,0.0476008619300344,"no",0.218326512005166,0.0318656894307365,0.0360795512071757,0.17202112083957,1,2,NA,NA,""
"RAB36",3,2,0.0555911505327961,"no",-0.0766870513300005,0.096516368215297,-0.282745198227019,0.00542662129997706,1,2,NA,NA,""
"SLC39A2",3,2,0.0587002108550659,"no",-0.275620216169802,0.11528902126522,-0.175979410242533,0.016219170350894,1,2,NA,NA,""
"ADARB1",3,2,0.0588015176648707,"no",-0.0290243338750024,0.0226084068764594,-0.136092027067084,0.0591138063641763,1,2,NA,NA,""
"MSH5",3,2,0.0589600609804885,"no",NA,NA,NA,NA,1,2,NA,NA,""
"MSH5-SAPCD1",3,2,0.0589600609804885,"no",NA,NA,NA,NA,0,0,NA,NA,""
"CDC73",3,2,0.0645687986572352,"no",-1.08853558110883,0.215986917736855,-1.31753946357329,0.00726764561135029,1,2,NA,NA,"LUAD_LoF"
"ATP6V1G2-DDX39B",3,2,0.0646026755681791,"no",-0.435723157935892,0.245284513645747,-0.529630675759341,0.10627743349738,0,0,NA,NA,""
"DDX39B",3,2,0.0646026755681791,"no",0.195569183583282,0.134898668434098,0.0390330213605566,0.00727088092861185,1,2,NA,NA,""
"NAPRT1",2,3,0.0715330742369037,"no",NA,NA,NA,NA,0,0,NA,NA,""
"PIGZ",3,2,0.0789474404291511,"no",-0.0636976657918854,0.178225809150481,-0.0479240996604301,0.0181052007604487,1,2,NA,NA,""
"BTNL9",3,2,0.0824735223336141,"no",0.104008877428923,0.0932049189646337,-0.007621219596878,0.139169217558827,1,2,NA,NA,""
"CACNA1C",3,2,0.0998550846191168,"no",-0.059127793193349,0.120180035568804,-0.528226245253179,0.112765042788576,1,2,NA,NA,""
"UBE2L3",2,3,0.105969894646549,"no",0.0399726914512424,0.124756826719325,-0.341795914804718,0.053231375194361,0,3,NA,NA,""
"LMLN",3,2,0.10950801483948,"no",0.0143551293338865,0.0780640981169956,-0.0771696348069814,0.153181736254021,1,2,NA,NA,""
"UCHL5",3,2,0.12844828527991,"no",-0.18419549384922,0.11086559591994,-0.31963873007369,0.172393377796362,1,2,NA,NA,""
"FBXL14",3,2,0.135184505892998,"no",-0.0727350336183331,0.162617370365334,-0.113528784923705,0.0578357961914613,1,2,NA,NA,""
"NCBP2",3,2,0.143909532710287,"no",-0.67867809084,0.0912593032460171,-0.69583609051449,0.290150647931604,1,2,NA,NA,""
"TSNARE1",2,3,0.150313319314229,"no",-0.0778084905510257,0.0105915403220155,-0.0678001195671301,0.110777540496094,1,2,NA,NA,""
"VPREB1",2,2,0.156563086993443,"no",0.266611912555841,0.258941103971542,-0.0776258307869714,0.166113846810316,0,2,NA,NA,""
"SUPT16H",3,2,0.161995852145794,"no",-0.785214144524665,0.222027328267562,-0.940624415010142,0.177130579753018,1,2,NA,NA,""
