"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"PAPPA2",2,2,0.0393910544671793,"no",-0.114415690549456,0.038644021671204,-0.182550282671407,0.009299851491474,2,0,NA,NA,""
"CACNA1E",2,3,0.0415865554536131,"no",-0.0568015333114439,0.0219509791705456,-0.412267618284012,0.203417516732413,2,1,NA,NA,""
"DNMT1",3,2,0.0559631966767311,"no",-0.89574850515016,0.137127867529903,-0.876248170641058,0.046831942547626,2,1,NA,NA,""
"KRAS",3,2,0.0641902409009666,"no",-0.111417189937478,0.0719506570915792,-1.11759095379462,0.691012853442081,3,0,NA,NA,"ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act"
"UNC45A",3,2,0.0686400085816024,"no",-0.229144382670963,0.0601084221285035,-0.29085841265777,0.0810021554079185,2,1,NA,NA,""
"RPAP1",3,2,0.0895763220472613,"no",-0.283116798119686,0.126446724338793,-0.593616229707697,0.183993591334653,2,1,NA,NA,""
"SETD3",3,2,0.109751835163302,"no",0.0751447292589637,0.141574615088296,-0.0568809731887313,0.125622951818156,2,1,NA,NA,""
"KDM6B",2,3,0.120285853621503,"no",-0.125307459707132,0.148724310997925,-0.233731014232724,0.339343663300309,1,2,NA,NA,""
"SOX7",3,2,0.158018114007963,"no",0.0875961727531197,0.158616860704062,0.0756043938086206,0.0357490097410734,2,1,NA,NA,""
"HOXA11",3,2,0.169026355449546,"no",NA,NA,NA,NA,2,1,NA,NA,"UCEC_ambiguous"
"HEATR6",3,2,0.173621214259662,"no",0.00327285882493981,0.0896953737278747,-0.102932273740693,0.0507478898401812,2,1,NA,NA,""
"TRIP11",3,2,0.176615229483522,"no",0.208377995626843,0.183024656260314,-0.0855692248920646,0.0645372742261524,2,1,NA,NA,"BLCA_Act"
"CDC42BPG",3,2,0.178976357660681,"no",-0.104705923190257,0.118007158620281,-0.0241580985268634,0.0821053300067337,3,0,NA,NA,""
"COL6A1",2,2,0.185364270297564,"no",0.190460351536594,0.234912547827949,-0.0702350626503266,0.129395446564989,0,2,NA,NA,""
"MMP3",3,2,0.189559244671668,"no",0.234307939474273,0.119320235934722,-0.111149269661534,0.161584594238903,2,1,NA,NA,""
"PHC2",3,2,0.191480764961438,"no",0.17562885886575,0.112163661003361,0.0796859324793096,0.138958955775709,1,2,NA,NA,""
"RPS6KA2",3,2,0.203894428027262,"no",-0.185660789831578,0.141699762036606,-0.164095049393119,0.00993147019276547,2,1,NA,NA,""
"CHD9",3,2,0.220098159125288,"no",-0.0446445077077182,0.117203317383438,-0.229135048730141,0.0222265592894745,1,2,NA,NA,""
