"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"MAST2",3,2,0.0521308628739177,"no",-0.317371731187547,0.0791651150043055,-0.370626876389446,0.119563562276973,1,2,NA,NA,""
"ARAP3",3,2,0.0604137119533798,"no",-0.231122928527181,0.112712511142964,-0.759880492402019,0.469537711415881,2,1,NA,NA,""
"NBEA",2,2,0.102579973695934,"no",NA,NA,NA,NA,0,2,NA,NA,"BC_ambiguous,CM_ambiguous,COREAD_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HC_ambiguous,PAAD_ambiguous"
"SI",3,2,0.252208892446722,"no",-0.0263406580947782,0.113483717984724,-0.190524992062185,0.113061437196727,2,1,NA,NA,""
"PLCE1",3,2,0.267069471537205,"no",-0.306752039907076,0.273216142024767,-0.0753817595738133,0.0839269781957388,2,1,NA,NA,""
"NCOR1",2,2,0.268186427709033,"no",0.45330112474285,0.0633105782159589,0.142047285609363,0.031960328069822,1,1,NA,NA,"BLCA_LoF,BRCA_LoF,CH_LoF,DLBCL_LoF,HNSC_LoF,MBL_LoF,MESO_LoF,PRAD_LoF,SCLC_LoF"
"RAD50",3,2,0.317903439312077,"no",-0.230140998334529,0.130780750870749,-0.197199206829275,0.0150514722380145,1,2,NA,NA,""
"LRFN4",3,2,0.384418620814772,"no",-0.0364735071956568,0.0192933336736097,-0.178206389766443,0.146816042853836,3,0,NA,NA,""
"GLIS3",3,2,0.480751294952607,"no",0.223740576485846,0.10736302677868,0.12776747483256,0.0379639093078242,2,1,NA,NA,""
"POLG2",3,2,0.484215381983688,"no",0.0568973383708496,0.0571186094584839,0.178023934163196,0.12634896089125,2,1,NA,NA,""
"KMT2C",3,2,0.586282988510841,"no",0.0660454400322341,0.0762845038211048,-0.0278150394732183,0.00849817881572559,1,2,NA,NA,"ACY_LoF,AML_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,EWS_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,NSPH_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PCPG_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RPC_LoF,SCLC_LoF,SG_LoF,SSCC_LoF,ST_LoF,THCA_LoF,UCEC_LoF,VV_LoF"
"KMT2D",3,2,0.600693941824442,"no",-0.141897352693549,0.182258634279373,-0.060363843114699,0.172579416695742,1,2,NA,NA,"ACY_LoF,ALL_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,DLBCL_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,NB_LoF,NHLY_LoF,NSCLC_LoF,OV_LoF,PAAD_LoF,PIA_LoF,PRAD_LoF,RCH_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,UCEC_LoF"
"PMS2",2,2,0.626762860929716,"no",-0.140828993637783,0.0129592420381015,-0.102884158576808,0.134812554518141,1,1,NA,NA,"PRAD_LoF"
"HGF",2,2,0.665982025005812,"no",-0.289337915238539,0.05115041938463,-0.390560959758039,0.0434256638531095,1,1,NA,NA,"BC_Act"
"LARP4B",3,2,0.966678037694485,"no",-0.220463224281873,0.101174104088574,-0.002745869845903,0.0555355793772832,1,2,NA,NA,""
