"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"CCND3",4,3.6466431460036e-14,"yes",-1.23097727481283,0.55469831380517,2,0.00422509993623738,"no","BLY_Act,DLBCL_Act,LY_Act,NHLY_Act"
"MYB",4,2.81328393178694e-13,"yes",-1.39484277033037,0.742281724470303,2,0.00721165333819441,"no",""
"EP300",5,4.87654661696148e-11,"yes",-0.330728993469436,0.369986060089395,3,0.00158489591915933,"no","BLCA_LoF,CESC_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LUSC_LoF,MBL_LoF,NHLY_LoF,NSPH_LoF,SCLC_LoF"
"WIPI2",5,7.23659748056452e-11,"yes",-0.699016913405404,0.206184597359927,3,0.963960196668121,"no",""
"STK38",5,1.76141724191256e-10,"yes",-0.158268605272172,0.088172628993028,3,0.918635080330341,"no",""
"RUNX1",4,3.18297190952232e-10,"yes",-1.71212441660494,0.390993040814718,2,0.0161816412483726,"no","ACY_ambiguous,ALL_ambiguous,AML_ambiguous,BRCA_ambiguous"
"KPNA6",4,7.77085837388707e-10,"yes",-0.0876619901563702,0.191828348985944,3,0.0286427836210989,"no",""
"CHRM1",5,1.23033268002601e-09,"yes",0.0696371330810854,0.220326530575674,3,0.635849324305898,"no",""
"TYMS",5,2.47261942073522e-09,"yes",-0.710534904789949,0.231320550911275,3,0.000326284428792846,"no",""
"PAPPA",4,5.64025544667449e-09,"yes",NA,NA,2,0.151881802128244,"no",""
"CCNI",5,1.24983387915849e-08,"yes",-0.0345943309010747,0.14634253931336,3,0.699654134193472,"no",""
"C1QL3",5,1.55572117915749e-08,"yes",-0.398332418243226,0.055035355755607,3,0.980480418304574,"no",""
"DNMBP",5,2.44573541867593e-08,"yes",-0.143896804244261,0.052702870172596,3,0.266513972575602,"no",""
"CDRT1",5,3.20577073807506e-08,"yes",-0.277971590314228,0.22828824614647,3,0.909470510468837,"no",""
"FGD6",5,6.99192450453637e-08,"yes",-0.202126353100716,0.027451729995533,3,0.318001443578823,"no",""
"PKMYT1",4,7.27264963391351e-08,"yes",-0.172560046811657,0.151264404292005,2,0.00355495052637605,"no",""
"CLDN15",5,7.7209121714624e-08,"yes",-0.391375321952697,0.278303538760622,3,0.971062374220323,"no",""
"ADK",5,1.10991369002494e-07,"yes",-0.262048070091669,0.10385684715325,3,0.478748887484505,"no",""
"YWHAE",5,3.603902797001e-07,"yes",-0.327025456780864,0.564672753948799,3,0.0948538065274857,"no",""
"STK16",5,4.82584384436002e-07,"yes",-0.256696581574044,0.04222953087829,3,0.833511915836844,"no",""
"LGALS1",5,5.19234304264875e-07,"yes",-0.488960021920124,0.167195157645417,3,0.996997194440539,"no",""
"EGFL7",5,6.09040383401178e-07,"yes",-0.483492898910071,0.199949123956245,3,0.10910391139267,"no",""
"LRWD1",5,6.46186822836285e-07,"yes",-0.611330293264503,0.279127913515683,3,0.021047199072922,"no",""
"CBFB",5,6.76114135448164e-07,"yes",-1.02546777233192,0.778652752233848,3,0.00179949173231075,"no","BRCA_Act"
"DGKG",5,1.38231105550797e-06,"yes",-0.434874136972978,0.39020762841582,3,0.797856293456699,"no",""
"WNT8A",5,1.4306164125115e-06,"yes",-0.371101417088298,0.089469225483888,3,0.965343116325392,"no",""
"P2RY11",5,1.53818512001847e-06,"yes",-0.229185637996879,0.075834098644035,3,0.993443297739071,"no",""
"PPAN-P2RY11",5,1.53818512001847e-06,"yes",-0.406627001722422,0.205113834943237,0,NA,NA,""
"SFN",5,1.66683427327865e-06,"yes",-0.173342189826278,0.211353205341808,3,0.216803846163796,"no",""
"KLB",5,2.16824405748081e-06,"yes",-0.262859417545823,0.034794905044808,3,0.987441441291265,"no",""
"TMEM117",5,2.18193817761484e-06,"yes",-0.311414285299534,0.258639577117257,3,0.930828506368358,"no",""
"RASGRP4",5,2.18651822785017e-06,"yes",-0.454770167387362,0.036266560488318,3,0.86994037588208,"no",""
"ANGPTL5",5,2.28924156819381e-06,"yes",-0.475437494122914,0.089420089972473,3,0.981715286458103,"no",""
"FCGRT",5,2.46563329126572e-06,"yes",-0.185255846847927,0.028027310396839,3,0.976491691531997,"no",""
"IFT80",4,2.62079269182504e-06,"yes",-0.11459574913759,0.13921621913203,2,0.335273163660646,"no",""
"WDR69",5,3.13979423006375e-06,"yes",NA,NA,0,NA,NA,""
"FUK",4,3.6450910469134e-06,"yes",-0.196470549696472,0.187388450360002,2,0.814741190027216,"no",""
"ATP11B",5,4.3044681627162e-06,"yes",-0.00148374555825131,0.0132500365604615,3,0.951739605377384,"no",""
"FBXW10",3,5.05684311332373e-06,"yes",0.0293801342809487,0.0281278592574523,1,NA,NA,""
"SLIT2",4,5.46733287586283e-06,"yes",-0.151694510671493,0.08616535025785,3,0.794537378244507,"no",""
"C1QTNF5",5,5.47888101796781e-06,"yes",NA,NA,3,0.102092940693702,"no",""
"MFRP",5,5.47888101796781e-06,"yes",NA,NA,3,0.502981382618177,"no",""
"PGK2",5,5.594546421159e-06,"yes",-0.467385600698952,0.181112684012765,3,0.977575168530331,"no",""
"CAMKK1",5,7.27231903710249e-06,"yes",-0.264932228489501,0.078181782508555,3,0.260539842052659,"no",""
"WDR52",4,7.68521904795558e-06,"yes",NA,NA,0,NA,NA,""
"DAPK1",5,8.31000138541263e-06,"yes",-0.262537538276711,0.335735700808045,3,0.779548221363624,"no",""
"SLC7A8",5,8.97029620013497e-06,"yes",-0.259676652971139,0.105797308665131,3,0.752201030533304,"no",""
"KRTAP5-5",5,9.94605889628091e-06,"yes",-0.165158650379319,0.148382132582151,3,0.212288380640449,"no",""
"SNAP25",5,1.1055134619019e-05,"yes",-0.476831162787168,0.32937175321837,3,0.573952065699567,"no",""
"UGT8",5,1.1291780176756e-05,"yes",-0.229508824091364,0.092736356752334,3,0.578042775373882,"no",""
"ABCG8",5,1.30259280517731e-05,"yes",-0.27698032038317,0.031020674106605,3,0.369607542544033,"no",""
"PRKAB2",5,1.3198836097535e-05,"yes",-0.429642037273725,0.125646761754975,3,0.296046418956684,"no",""
