"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"RRAS",5,7.39519556702817e-12,"yes",-0.308313035423182,0.157730419828758,3,0.81417907337181,"no",""
"DARS",5,1.68996516780595e-09,"yes",-0.671273163370601,0.193329106674565,3,0.999782990363046,"no",""
"PPP1CB",4,2.01495486962244e-09,"yes",0.0458383988475775,0.151047362956609,2,0.991912203282618,"no",""
"DDX19B",5,4.89979568030208e-09,"yes",-0.581524529690494,0.189860314965427,3,0.989950802360849,"no",""
"COPS3",4,1.68719793691707e-08,"yes",-0.447422314659743,0.0957175481119205,2,0.993476817870973,"no",""
"VPRBP",4,2.11008650552458e-08,"yes",NA,NA,0,NA,NA,""
"NLE1",5,2.65398781840176e-08,"yes",-0.390810176304573,0.148747195862083,3,0.99964591362267,"no",""
"LONP1",5,5.82401682436284e-08,"yes",-0.260234059846614,0.052062332237762,3,0.999974907598874,"no",""
"UBE2I",5,8.96274703343636e-08,"yes",-0.375846313936409,0.067216743919294,3,0.999195563948969,"no",""
"OR2AT4",5,1.11414356074313e-07,"yes",0.209196849307649,0.060044468893466,3,0.0363833547042466,"no",""
"PPP2R3A",5,1.13548665692242e-07,"yes",0.125641881397752,0.108257938401172,3,0.217409655642691,"no",""
"ZFP36L2",5,2.01196611260279e-07,"yes",0.153754361780836,0.131711865236215,3,0.930007879439461,"no",""
"POU4F2",5,2.18047551348022e-07,"yes",0.153430880740998,0.0855054664880006,3,0.00328437322476738,"no",""
"CA7",5,3.32069014286063e-07,"yes",0.125640650812232,0.0615296445451125,3,0.925807264099239,"no",""
"ATP1A1",5,4.36546424453788e-07,"yes",-0.0187237248331934,0.181238302748548,3,0.999741431396969,"no",""
"COPS8",5,4.81217289904912e-07,"yes",-0.42080033125118,0.357051828532528,3,0.998916642946587,"no",""
"RACGAP1",4,5.01942652331167e-07,"yes",-0.133783697905073,0.257432287809603,2,0.998692559285308,"no",""
"SLX1A",5,5.75195524654681e-07,"yes",NA,NA,0,NA,NA,""
"SLX1B",5,5.75195524654681e-07,"yes",NA,NA,0,NA,NA,""
"YAP1",5,8.15407952270419e-07,"yes",0.0920887827013669,0.0830578955116432,3,0.860721197333059,"no",""
"WDR74",5,1.09520113977801e-06,"yes",-0.475943834322838,0.236171248129711,3,0.999952109918503,"no",""
"SNRPB2",5,1.13804001355966e-06,"yes",-0.123080026889527,0.0711027092903253,3,0.829332594537334,"no",""
"USP5",5,1.15719849280715e-06,"yes",-0.280634654939045,0.129248685987912,3,0.999993033356744,"no",""
"EPSTI1",5,1.34151005548588e-06,"yes",-0.333535954850041,0.069026186598262,3,0.982896943441962,"no",""
"DDX24",5,1.48698520774371e-06,"yes",-0.178254280828157,0.018681009855838,3,0.999761722335708,"no",""
"GAMT",4,1.60819697059278e-06,"yes",-0.000114124967020355,0.0601326558987514,2,0.137838462844121,"no",""
"F2RL2",5,2.36634593087093e-06,"yes",0.166656606769966,0.107331465272669,3,0.111797013159149,"no",""
"NACA2",4,2.68783554602248e-06,"yes",0.257036062680154,0.124983362763576,2,0.811465483680746,"no",""
"CCNB1",5,3.83754868171771e-06,"yes",-0.442013096432988,0.285186516000896,3,0.99766002238106,"no",""
"MAFF",5,4.39987188971536e-06,"yes",0.393212946014608,0.054623457518323,3,0.662797013350166,"no",""
"TNFRSF13C",5,5.54611749548073e-06,"yes",0.176319667435417,0.218166800804493,3,0.0305257562852673,"no",""
"ATP6V1G2-DDX39B",3,6.23577814107268e-06,"yes",-0.435723157935892,0.245284513645747,0,NA,NA,""
"DDX39B",3,6.23577814107268e-06,"yes",0.195569183583282,0.134898668434098,1,NA,NA,""
"RTP1",5,6.81663227419804e-06,"yes",0.0154672627074656,0.20806964223834,3,0.799214230748751,"no",""
"RBMXL1",3,6.93667945184107e-06,"yes",-0.325412404681173,0.0124286297556855,2,0.994625462289915,"no",""
"ITGAV",5,8.1774682637592e-06,"yes",0.184193044263981,0.078361942684427,3,0.97566256283293,"no",""
"XRCC5",5,9.73230458956031e-06,"yes",-0.53520248786265,0.540335863858183,3,0.999553126162047,"no",""
"ACADSB",5,1.31795339256557e-05,"yes",0.0704437600802901,0.0594335890639567,3,0.869500390913808,"no",""
"MEIS1",5,1.44197792587564e-05,"yes",0.381517955268162,0.271246452257255,3,0.506999546056337,"no",""
"TFEC",5,1.50954581020768e-05,"yes",0.33970258428965,0.122826148481962,3,0.0131694623031469,"no",""
"CENPW",3,1.56524698033955e-05,"yes",-0.391501654537087,0.515133019557382,2,0.999655529832169,"no",""
"TOP2A",4,1.67140174524016e-05,"yes",-0.277979959819642,0.163992288605971,2,0.995451168658292,"no","ST_Act"
"PPP1CC",5,1.70613298637878e-05,"yes",-0.379071708043691,0.066928357229622,3,0.811296107219122,"no",""
