"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"RAB40B",9,2,0.000594490744975235,"yes",0.0508737014269746,0.180330762981605,-0.0330036028679123,0,6,1,NA,NA,"",NA,0.00523560209424084,191
"ARMC7",8,2,0.00254603337715641,"yes",0.0796750665089088,0.171692473631974,-0.0933316012016021,0,5,1,NA,NA,"",NA,0,191
"ENPP7",9,2,0.00883222932253991,"no",0.252155774716753,0.292312981951099,0.0366209647446184,0,6,1,NA,NA,"",NA,0,191
"GPAA1",8,3,0.0207204095332207,"no",-0.185514327590836,0.181772061793532,-0.41781867913675,0.191413504198256,4,3,0.206777399440927,"no","",NA,0.00523560209424084,191
"LRG1",9,2,0.0221040642482625,"no",0.167503911500775,0.264402005032127,0.0176910565731715,0,6,1,NA,NA,"",NA,0.00523560209424084,191
"UBE4A",9,2,0.0277315458941026,"no",0.0670923360021185,0.105157164463816,-0.244063979756563,0.127056034905913,5,2,0.713997165837363,"no","",NA,0.0104712041884817,191
"GRIN2C",8,2,0.0355461064843033,"no",-0.237721521812862,0.278326899319473,-0.230322402300957,0,5,1,NA,NA,"",NA,0,191
"KIAA1875",8,3,0.0387612979923215,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.00523560209424084,191
"PPP1R16A",8,3,0.0573901295453261,"no",0.111436793450381,0.110239443005834,0.0094971636783538,0.0980065177460842,4,3,0.262182450606243,"no","",NA,0.00523560209424084,191
"MAFG",9,2,0.0632796691717422,"no",0.105640387746871,0.20884879951419,0.0992770144152243,0,6,1,NA,NA,"",NA,0,191
"KIAA0195",9,2,0.0695091496918353,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0,191
"AATK",9,2,0.0708302514597988,"no",-0.000341792810481794,0.134672703673051,0.0405788672274703,0,6,1,NA,NA,"",NA,0,191
"KANK2",8,3,0.0728134075150633,"no",0.0278787426510766,0.0574274222185294,0.0439451107345349,0.0731527163185421,5,2,0.106680646345745,"no","",NA,0.00523560209424084,191
"LRRK1",8,3,0.0742518596752372,"no",0.0219449482490218,0.111937614589776,-0.195746175110806,0.324508929718482,5,2,0.238827055278851,"no","",NA,0,191
"KCNJ5",8,3,0.0857331368154698,"no",-0.204513640983085,0.133392769890243,-0.496607909926505,0.306741423178604,5,2,0.633890006686326,"no","",NA,0.0104712041884817,191
"CADM1",9,2,0.0940277893308083,"no",-0.0969539638663756,0.161597240782682,-0.078837066551879,0.027588737208043,5,2,0.500602173684951,"no","",NA,0.0104712041884817,191
"SMARCA4",8,2,0.0940990475802313,"no",-0.0999538427407646,0.352001901913027,-0.734165397196687,0,5,1,NA,NA,"BLCA_LoF,BLY_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,MBL_LoF,NHLY_LoF,NSCLC_LoF,PAAD_LoF,PIA_LoF,RPC_LoF,THYM_LoF",NA,0.00523560209424084,191
"ATG4D",9,2,0.103077820158136,"no",-0.121161427452092,0.303866668924658,-0.519690567355002,0.0361195632657915,6,1,NA,NA,"",NA,0.00523560209424084,191
"PARP10",7,3,0.105167243828189,"no",-0.0841133413952214,0.116721027809287,-0.276194443780169,0.238997798197493,4,3,0.0994364007246657,"no","",NA,0.00523560209424084,191
"ITCH",9,2,0.113638407520502,"no",0.00324306402649466,0.105606391127501,-0.133234849419003,0.0807438229232025,5,2,0.531855282798097,"no","",NA,0,191
"CBX2",9,2,0.116229179521861,"no",-0.233590194147295,0.263028588824142,-0.132051595414214,0,6,1,NA,NA,"",NA,0,191
"RECQL5",8,2,0.117249826871416,"no",-0.128832384437228,0.376652517020972,-0.0966421795104964,0,5,1,NA,NA,"",NA,0,191
"BTBD17",9,2,0.119985719411222,"no",0.017358358188224,0.246675965299477,0.127268160695512,0,6,1,NA,NA,"",NA,0,191
"P2RY11",8,3,0.136699890068112,"no",0.102692955228609,0.407952468402089,-0.166940484764997,0.373023413587662,5,2,0.0952904085283941,"no","",NA,0.00523560209424084,191
"PPAN-P2RY11",8,3,0.136699890068112,"no",-0.230250631808226,0.08457759031195,-0.378595543530049,0.215695282558917,0,0,NA,NA,"",NA,0.00523560209424084,191
"CBWD3",9,2,0.141391926449726,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0,191
"CBWD5",9,2,0.141391926449726,"no",NA,NA,NA,NA,5,2,0.494744810018629,"no","",NA,0,191
"OR2T34",5,6,0.159488386993206,"no",NA,NA,NA,NA,3,4,0.328067567502336,"no","",NA,0,191
"KBTBD11",9,2,0.160673945569003,"no",-0.0116591166322297,0.069467632076237,-0.0298687538165662,0,5,2,0.13297833546607,"no","",NA,0,191
"MCAM",9,2,0.164959903203605,"no",-0.0440321985378447,0.177696749455054,-0.234904420272348,0.0475134052807374,5,2,0.665460094203554,"no","",NA,0.0104712041884817,191
"WBP2",9,2,0.166318207090983,"no",-0.0403470746863734,0.131511478898619,-0.0555007926761528,0,6,1,NA,NA,"",NA,0,191
"SLC16A3",9,2,0.169539437156192,"no",-0.184151525371746,0.151913624390268,-0.00162618112107896,0,6,1,NA,NA,"",NA,0,191
"JMJD6",9,2,0.17304321571748,"no",-0.135893702639316,0.123675449334005,-0.259395307048011,0,6,1,NA,NA,"",NA,0,191
"FDXR",9,2,0.17372480367372,"no",-0.29368940087286,0.25320434811802,-0.133491934885838,0,6,1,NA,NA,"",NA,0,191
