"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"SPI1",8,2,0.0400770140613405,"yes",-0.197419101603329,0.840732639752344,-1.01928046528182,0.185560566928143,5,1,NA,NA,"","yes",NA,143
"ACTR6",9,2,0.131708755613141,"no",-0.186151655093076,0.210024850362037,-0.300689228620156,0.0482416470427081,6,1,NA,NA,"","yes",0.00699300699300699,143
"BRCA2",8,2,0.248708775687859,"no",0.00413631777738202,0.0930555930966104,-0.231148995202541,0.102316178203725,6,0,NA,NA,"BLCA_LoF,BRCA_LoF,CM_LoF,COREAD_LoF,HNSC_LoF,MBL_LoF,OV_LoF,PAAD_LoF,PRAD_LoF,VV_LoF","yes",NA,143
"ACACB",8,2,0.264504065974586,"no",-0.173409985586632,0.238756741991669,-0.279601338738822,0.152235882905055,6,0,NA,NA,"","yes",0.00699300699300699,143
"CLTCL1",9,2,0.285062932313268,"no",0.0109955819560854,0.0931380261001302,-0.0487938970572757,0.0451571807074192,5,2,0.433619565107732,"no","HC_Act","yes",0,143
"CNTRL",9,2,0.290723850989253,"no",-0.0817658868698856,0.137007144427956,-0.0949624818228755,0.208720589920794,6,1,NA,NA,"","yes",0,143
"PPP3R1",8,3,0.364742275953855,"no",-0.0811856780459295,0.304317556175234,-0.439222497000038,0.195230793286168,4,3,0.900319781313136,"no","","yes",NA,143
"PDGFD",9,2,0.458962177387884,"no",-0.167576621964189,0.240141141887174,-0.0794750226799578,0,5,2,0.52847053698298,"no","","yes",0,143
"ABCG5",9,2,0.517303655983138,"no",0.0465383144197527,0.2083726791151,0.0119939610761352,0,6,1,NA,NA,"","no",0,143
"CNKSR1",9,2,0.580695717682002,"no",0.0753433744710977,0.150143810796396,0.0796793937024671,0.00495922585113778,5,2,0.1552191779682,"no","","yes",0,143
"RABL2B",9,2,0.581110432475817,"no",0.0623271343229427,0.211958575734902,0.237394189261106,0.015531246771333,5,2,0.694851279116595,"no","","yes",NA,143
"RAB3C",9,2,0.589229352967364,"no",0.0873500339434743,0.188284315535681,0.110814211002244,0,6,1,NA,NA,"","no",NA,143
"ASXL1",8,2,0.596961888544758,"no",-0.0889548757361354,0.256510440174701,0.00272699006198245,0.0190396302431351,5,1,NA,NA,"ALL_LoF,AML_LoF,BRCA_LoF,CLL_LoF,ESCA_LoF,HGG_LoF,HNSC_LoF,MBL_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF","yes",0.027972027972028,143
"TCEA1",9,2,0.675748068761933,"no",-0.00575578452879885,0.191380215045778,0.169237014088851,0.015143605642021,6,1,NA,NA,"","yes",NA,143
"NFIA",9,2,0.704447045505893,"no",-0.0158931004990049,0.214900938061016,0.071445380784163,0.323459732165954,7,0,NA,NA,"","yes",NA,143
"ARAP2",8,2,0.7613439343848,"no",-0.228825878985755,0.199050460441371,0.0771600765554004,0.00701511781654121,5,1,NA,NA,"","yes",0.00699300699300699,143
"HNRNPA1",9,2,0.811986500249503,"no",-0.190897782795371,0.104554188771598,-0.488593890009978,0.0969037956768145,6,1,NA,NA,"","yes",0.00699300699300699,143
"NLK",9,2,0.891539338093938,"no",0.0575915399874641,0.180065056591653,-0.126917720060008,0.184968296059337,6,1,NA,NA,"","yes",NA,143
"PASK",7,2,0.921897758096255,"no",-0.146222435549879,0.242804391509049,-0.126412881255465,0.00789571762319352,4,2,0.675752837449163,"no","","yes",0.00699300699300699,143
"TIA1",9,2,0.931236265670712,"no",0.0298747896620214,0.110134961195002,0.159402933458063,0.0717683522630523,5,2,0.814436025544514,"no","","yes",NA,143
"LRP2",8,3,0.932190442661508,"no",-0.219210665472861,0.106126681813093,-0.00358735550835162,0.0277933166826191,6,1,NA,NA,"","no",0,143
