"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"CBFB",11,5.64964693772346e-21,"yes",-1.4322560835486,0.328335207432062,7,2.15433564485379e-08,"yes","BRCA_Act","","",143
"MYB",10,1.87420899839854e-16,"yes",-1.23310207357518,0.824539228506662,6,3.67111322956874e-08,"yes","","","",143
"WIPI2",11,1.08592574459281e-09,"yes",-0.345110846540641,0.173497079808046,7,0.710908454998737,"no","","","",143
"KPNA6",11,1.2867349587233e-09,"yes",-0.0602861861369579,0.0854156476173341,7,0.000528214767360648,"no","","","",143
"ATP10D",10,1.64448723167007e-09,"yes",-0.289229592575668,0.142563951323104,6,0.927840260146057,"no","","","",143
"TBC1D10C",10,1.6645023765005e-09,"yes",-0.172306408712631,0.283257627584441,7,0.392634607058141,"no","","","",143
"PAPPA",11,2.31113144111236e-09,"yes",NA,NA,7,0.0589252894045179,"no","","","",143
"KDM1A",11,1.53560226118382e-08,"yes",-0.879204226476676,0.242461561501143,7,0.0008987343547934,"no","","","RUNX1 (depleted, 0% vs 18%)",143
"OGDH",11,6.02291405940174e-08,"yes",-0.768757159806434,0.509190723090617,7,2.15631230599745e-07,"yes","","","",143
"SLIT2",10,6.67683529153164e-08,"yes",-0.0469186170436791,0.0501438788762176,6,0.958878817486823,"no","","","",143
"ABCG8",11,1.39791024522535e-07,"yes",-0.267648723310417,0.247300024139213,7,0.919827582986849,"no","","","",143
"RUNX1",7,1.54542010419071e-07,"yes",-1.08930758057901,0.753485416537603,4,0.0222992786859015,"no","ACY_ambiguous,ALL_ambiguous,AML_ambiguous,BRCA_ambiguous","","",143
"MED7",11,1.70845907882266e-07,"yes",-1.10954351439933,0.78567175810026,7,1.90109679705534e-06,"yes","","","",143
"TOP2B",11,2.85702817016448e-07,"yes",-0.175947823331405,0.0561931038788835,7,0.66594364278763,"no","","","",143
"CHRM1",11,4.1516406749134e-07,"yes",-0.16309300818633,0.346907573090722,7,0.861001233181113,"no","","","",143
"DGKQ",11,4.65660588376561e-07,"yes",-0.116863579629138,0.188318695677408,7,0.910993971921605,"no","","","",143
"MTHFD1",11,5.60857599539377e-07,"yes",-0.602479185660996,0.317429219341603,7,0.000155623018168675,"yes","","","",143
"GPX4",9,7.63605280273142e-07,"yes",-0.819721426812329,0.63468136052118,6,2.80125132072994e-06,"yes","","","RUNX1 (depleted, 0% vs 18%)",143
