"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"FUBP1",11,1.66259228606691e-11,"yes",-0.0181388430718068,0.274951281743856,7,0.927915183505627,"no","CLL_LoF,LGG_LoF","","",143
"RRAS",11,2.61591859285204e-11,"yes",-0.0969451990382702,0.423724643938977,7,0.912872208597964,"no","","","",143
"TEAD1",11,3.02674996177643e-10,"yes",0.108852150075195,0.122763157591995,7,0.42178999434319,"no","","","NPM1 (depleted, 3% vs 28%)",143
"RDX",11,2.11831052698841e-09,"yes",0.165494191115844,0.124957933108709,7,0.0381420517758925,"no","","","",143
"TAPBPL",11,2.25605012449392e-09,"yes",0.0174074513565357,0.309851058797063,7,0.00644838464041864,"no","","","",143
"RBL2",11,3.36370342690628e-09,"yes",-0.0343516240120631,0.266510908991853,7,0.0157559427704476,"no","","","RUNX1 (enriched, 18% vs 0%)",143
"LRRC69",10,5.11212250309256e-09,"yes",0.076053254249591,0.0769985942534741,0,NA,NA,"","","",143
"TLN1",10,5.2800832595068e-09,"yes",0.101456064021691,0.187098398918905,6,0.999984552294786,"no","","","",143
"VPS28",8,1.80888022338621e-08,"yes",-0.234493341007256,0.146050528226191,4,0.999650704395801,"no","","","",143
"WDR11",11,2.27980113676196e-08,"yes",-0.062791957019073,0.0785239646630582,7,0.00567850918972035,"no","","","",143
"SERPINA3",11,2.29806482732187e-08,"yes",-0.0388259392191106,0.0988943653880985,7,0.0911013357696338,"no","","","",143
"PPP1R12A",10,5.89105821902081e-08,"yes",-0.00676048604422411,0.0537338270237527,7,0.999906084058648,"no","","","",143
"FOXI2",11,8.02999089444256e-08,"yes",0.161295665784261,0.145175298440741,7,0.0723720973034184,"no","","","",143
"FARP2",10,8.9890967336359e-08,"yes",0.123536671263049,0.062514837987031,6,0.0540237694571245,"no","","","",143
"TNFRSF13C",11,1.37162232016763e-07,"yes",0.0747399209092406,0.134476677686469,7,0.0116944357381579,"no","","","",143
"CYP46A1",11,1.5938184549924e-07,"yes",0.100082191906586,0.214954854243331,7,0.0812449628760215,"no","","","NPM1 (depleted, 0% vs 30%)",143
"AMIGO2",11,1.61906588136418e-07,"yes",0.133993952868245,0.121250730685447,7,0.0129949902558306,"no","","","",143
"PI4KAP2",11,1.8550843394749e-07,"yes",0.117859655674874,0.294117936618408,0,NA,NA,"","","",143
"SPAG1",11,1.90924063447895e-07,"yes",-0.133366235835056,0.207276835749678,7,0.000902244193173751,"no","","","",143
"ZNF202",9,2.16928185414744e-07,"yes",-0.0417662178944311,0.172695407948007,5,0.00427015407853637,"no","","","",143
"ZCWPW1",11,2.33563921869795e-07,"yes",0.015327454750518,0.051106157441168,7,0.013606002523314,"no","","","",143
"ESCO2",11,2.83477275542232e-07,"yes",-0.0545272685651123,0.125279798914088,7,0.973221142633574,"no","","","",143
"ITGAV",11,3.06238023939365e-07,"yes",0.151408910733268,0.102868499930993,7,0.682920736306035,"no","","","",143
"PATZ1",11,3.68159518204791e-07,"yes",-0.366005914421184,0.240600728816143,7,0.958308137704567,"no","","","",143
"PRR5",11,4.78479140419985e-07,"yes",-0.0332419794460269,0.112663832826782,7,0.0851700410006916,"no","","","",143
"ROS1",11,4.82385088873549e-07,"yes",-0.0740539556540135,0.266272122377697,7,0.000856678189034898,"no","","","",143
"COL8A1",11,5.03379029570539e-07,"yes",0.135288891275416,0.064544323616592,7,0.0527583691451252,"no","","","",143
"VN1R5",10,5.13964120485433e-07,"yes",0.00456287797758827,0.130858987784817,0,NA,NA,"","","",143
