"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"HOXA5",11,2,0.0011253836689527,"yes",-0.0529234708508748,0.190269643310914,-0.772288567830949,0.222454638558767,9,2,0.841748682752843,"no","",NA,0.00272479564032698,367
"FCGR3B",11,2,0.0056916869635294,"no",-0.0250430512066115,0.193940613055592,0.0803856897578488,0.0523017311371352,9,2,0.613205123136693,"no","",0.764112451992791,0.100817438692098,367
"JAZF1",11,2,0.0159355936384069,"no",-0.0773833350546613,0.173315135504717,-0.350440540372118,0.175955610771902,9,2,0.556098880365026,"no","",0.152677861974873,0.00817438692098093,367
"MAP2K3",11,2,0.0255460524589097,"no",-0.0141652516295877,0.20500833406217,-0.0551396759596773,0.000618716031229503,9,2,0.24721611605378,"no","",0.00029381791140653,0.0136239782016349,367
"KCNJ12",11,2,0.0388766426061616,"no",0.00997572237421689,0.209898982817317,-0.29238341661848,0.0587511598669704,9,2,0.629860907594265,"no","",0.944244520838846,0.0217983651226158,367
"MYO15A",9,2,0.0421389064845652,"no",-0.0259106326970818,0.106012891129881,0.00814005053390982,0.00705211928264288,7,2,0.361064177235658,"no","",0.0762763751290742,0.0136239782016349,367
"PDE1C",11,2,0.0457369191654864,"no",-0.243463126216533,0.225599868655474,-0.643452463773436,0.0974253327796821,9,2,0.655141479350534,"no","",NA,0,367
"SLC47A2",10,3,0.0516221353152202,"no",0.0723797011894838,0.11715469385708,0.0276125827048422,0.0453878702473597,8,3,0.224597474166932,"no","",0.0234464645442136,0.0136239782016349,367
"SDK1",8,2,0.0560597937993808,"no",0.156407992486725,0.0927855399737361,-0.0427709213686848,0.11923914219675,7,2,0.739037510386993,"no","",NA,0.00272479564032698,367
"FOXK1",11,2,0.0610899543129791,"no",0.10966453559853,0.165710836121957,-0.119525178344502,0.263704749430053,9,2,0.0957453628148218,"no","",NA,0.00272479564032698,367
"RASD1",11,2,0.0619081025252202,"no",-0.0585236728915591,0.138006446391825,-0.078032292310564,0.0243031398244201,9,2,0.610092799221368,"no","",NA,0.00272479564032698,367
"RAPGEF4",11,2,0.0620258591018212,"no",0.00324146595564824,0.232344625943185,-0.0861405409647224,0.0599319481797966,9,2,0.201084855649566,"no","",0.393689460317888,0.0136239782016349,367
"ESPNP",9,2,0.0645688958200141,"no",0.0406813962611731,0.127808465185109,0.0407307198068599,0.0324017919529534,0,0,NA,NA,"",0.547343980700756,0.00544959128065395,367
"CHN1",11,2,0.0678570712005611,"no",-0.00186498306980512,0.112904480271396,0.0805221627789876,0.0303894804648294,9,2,0.558282993867549,"no","",NA,0.00272479564032698,367
"B9D1",9,4,0.069812212220423,"no",-0.0250168320626584,0.127636595606492,-0.053986442747361,0.0262542391922858,7,4,0.34687357311389,"no","",0.000288705772167765,0.0163487738419619,367
"PMS2",11,2,0.0814188849975579,"no",-0.128501045195179,0.205965228929008,-0.00803159236316101,0.154170212252697,9,2,0.23335466858657,"no","PRAD_LoF",NA,0.00272479564032698,367
"PMS2CL",11,2,0.0814188849975579,"no",-0.0275486828642967,0.13468152139932,-0.232567455857189,0.0070577421860995,0,0,NA,NA,"",NA,0.00272479564032698,367
"RHOH",10,3,0.0860961841829915,"no",-0.0480779208629292,0.144578546241189,-0.26780017139485,0.133264502384109,9,2,0.783298323386643,"no","",0.0108020373954267,0.0108991825613079,367
