"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"MCF2L2",13,2.70866177276283e-06,"yes",-0.215138523915243,0.162107574242803,11,0.0804072293053774,"no","",2.85130214128387e-12,"up","CTNNB1 (depleted, 9% vs 37%)","AXIN1 (depleted, 2% vs 12%)",364
"MAPKBP1",13,1.57316288068937e-05,"yes",-0.0893579385353303,0.127467164118686,11,0.769859185665423,"no","",3.6682408327695e-20,"up","CTNNB1 (depleted, 14% vs 32%), TP53 (enriched, 25% vs 9%)","",364
"WDR41",13,1.60994770710505e-05,"yes",-0.0179958336495893,0.155563185985393,11,0.999998544844823,"no","",6.31610801442593e-16,"up","TP53 (enriched, 25% vs 9%)","",364
"SFT2D2",12,1.61191585629337e-05,"yes",-0.338561282207029,0.274097189949694,10,0.835269593778878,"no","",2.94637828981459e-20,"up","","",364
"PCOLCE",12,2.04310122471924e-05,"yes",0.00955271864897962,0.187835536196665,10,0.29885474638324,"no","",0.00202860649253032,"up","CTNNB1 (depleted, 15% vs 32%)","",364
"RALGAPA2",13,2.13953601690063e-05,"yes",-0.0546844131650542,0.308434989287566,11,0.992996051829345,"no","",0.013626846903883,"up","CTNNB1 (depleted, 10% vs 36%)","",364
"NGB",13,2.145798351315e-05,"yes",-0.162382879068224,0.149860086400136,11,0.999562753538449,"no","",0.0083186938120214,"up","","",364
"AMIGO2",13,3.04765373320283e-05,"yes",-0.0840157039377806,0.0959941760449432,11,0.999950841427045,"no","",0.0229776643384238,"up","CTNNB1 (depleted, 8% vs 39%), MYT1L (enriched, 8% vs 1%), TP53 (enriched, 25% vs 9%)","TSC2 (enriched, 6% vs 0%)",364
"KCNMB2",13,3.21992882928364e-05,"yes",0.0275237663941916,0.185665974987054,11,0.889454809296892,"no","",0.413298527855513,"up","","",364
"CES5A",12,4.60318782000423e-05,"yes",-0.136469227423615,0.107192998329034,11,0.922129614549826,"no","",3.11460188724169e-09,"down","CTNNB1 (enriched, 33% vs 14%)","AXIN1 (depleted, 1% vs 13%)",364
"TEAD3",13,6.11299530563981e-05,"yes",-0.112463764275104,0.206407141221971,11,1.75319490985444e-06,"yes","",3.0856304205323e-20,"up","","",364
"WHSC1",13,6.30941651430773e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,NA,NA,364
"MASP1",12,6.77350248315508e-05,"yes",NA,NA,10,0.601066388897122,"no","",5.00368106990988e-20,"down","","",364
"PCTP",13,7.4922039241373e-05,"yes",0.0729840221530415,0.0725196063419486,11,0.810067433114981,"no","",0.000164418648111705,"down","CTNNB1 (enriched, 35% vs 11%)","",364
"DNAJC25-GNG10",13,7.5513795376013e-05,"yes",-0.170512513015119,0.277590659957331,0,NA,NA,"",0.97937836850018,"up","","",364
"GNG10",13,7.5513795376013e-05,"yes",0.0324968262993648,0.144994576280211,11,0.998364405688095,"no","",3.20122773360352e-08,"up","","",364
"PKMYT1",13,7.95689023535856e-05,"yes",-0.0805898945255066,0.117501988115872,11,1.53501129648022e-11,"yes","",5.23420830866697e-28,"up","TP53 (enriched, 28% vs 7%)","AXIN1 (depleted, 3% vs 11%), RB1 (enriched, 10% vs 0%)",364
"HES3",13,8.24937579772916e-05,"yes",-0.128169215768584,0.126788210348119,11,0.0471400576855949,"no","",NA,NA,"","",364
"SMAD9",13,8.40081776795892e-05,"yes",-0.0878376754192718,0.157757928290738,11,0.190665653182762,"no","",0.0402723644889426,"up","CTNNB1 (depleted, 15% vs 32%)","",364
"SPAG1",12,8.88170551387922e-05,"yes",-0.188237517296585,0.320805937789636,10,0.999999797133212,"no","",0.000603116275823589,"up","CTNNB1 (depleted, 14% vs 32%), TP53 (enriched, 25% vs 9%)","",364
"WDR89",12,9.29315656198402e-05,"yes",-0.164274944882996,0.116518617655811,10,0.0536326872135786,"no","",1.58377448338274e-05,"up","","",364
"PPP2R2C",13,0.000110176481715374,"yes",-0.112290164431682,0.210786185321419,11,0.943924371324659,"no","",1.52275859586371e-06,"up","","BAP1 (enriched, 8% vs 0%)",364
"GALK1",11,0.000122797175970323,"yes",-0.345465073412233,0.139599007595641,10,0.00294166495295629,"no","",0.00012364291565744,"up","","",364
"EXOC2",11,0.000124145513863801,"yes",-0.0860481405344976,0.164374341876532,9,6.31005369711459e-05,"yes","",2.33522271729623e-15,"up","","",364
"RAPGEFL1",13,0.000130439515893617,"yes",-0.156012164058038,0.157587301596054,11,0.245555584946451,"no","",2.09017494573273e-09,"up","","",364
"KANK3",13,0.000131747266291453,"yes",-0.0793063105203017,0.081646317045286,11,0.998797850592824,"no","",2.13919466815384e-05,"up","","TP53 (depleted, 6% vs 17%)",364
"ELL2",13,0.000135597718985473,"yes",-0.106990962834143,0.108724861069353,11,0.970103207243966,"no","",0.424889181204748,"down","CTNNB1 (enriched, 33% vs 13%)","",364
"TRADD",13,0.000147146439296494,"yes",-0.13980573053902,0.163699074312124,11,0.826875686234263,"no","",1.02697387368361e-17,"up","","",364
"TAOK2",13,0.000160027939563394,"yes",-0.151115382720442,0.140435269812989,11,0.580017208233006,"no","",2.6757132395439e-26,"up","","ARID1A (depleted, 2% vs 9%), AXIN1 (depleted, 3% vs 11%)",364
"HELZ",12,0.000180177247804855,"no",-0.181994149849398,0.106702573560563,10,0.430344873455987,"no","",6.34110636434124e-05,"up","","",364
"ATG4D",12,0.000274572198462738,"no",-0.24264028663257,0.279256126488711,10,0.0155143241496805,"no","",3.28312150225892e-12,"up","CTNNB1 (depleted, 14% vs 32%)","",364
"FRMPD1",11,0.000293749452260648,"no",-0.0593173279406658,0.16591745693521,9,0.350663588458659,"no","",0.0248258531770403,"up","CTNNB1 (depleted, 12% vs 35%)","",364
"SLIRP",13,0.000303962572800994,"no",-0.213980677681183,0.133447822294852,11,0.000302138970247668,"no","",9.66341864900547e-16,"up","","",364
"GZMB",12,0.000337585233186012,"no",-0.0615325525648569,0.203496388260853,10,0.0712263024074873,"no","",0.127014384376518,"up","","",364
"PHF19",13,0.000450891838660093,"no",-0.286063218289245,0.362624251515434,11,0.661445638938916,"no","",1.09498131081419e-22,"up","TP53 (enriched, 28% vs 7%)","RB1 (enriched, 9% vs 1%)",364
"TSPAN9",13,0.000453323233080257,"no",-0.156859411109239,0.163139261974678,11,0.960280939979352,"no","",0.0547390376758479,"down","","",364
"FBXW4",13,0.00046141615096013,"no",-0.145769276110046,0.197171056882979,11,0.0888500802967559,"no","",7.206701129287e-16,"up","","AXIN1 (enriched, 12% vs 3%)",364
"CPEB2",10,0.000470124830762023,"no",-0.273453110992398,0.137558742435949,8,0.954087624090653,"no","",0.464712359096899,"up","","",364
"FKBP7",11,0.000553216093588923,"no",-0.150131205110429,0.122947106096936,9,0.759776897444847,"no","",0.732095078026259,"up","TP53 (enriched, 25% vs 9%)","",364
"RXRA",13,0.000565148817671983,"no",-0.452773693459618,0.069294227552054,11,0.000789765998957953,"no","BLCA_LoF",0.00293388741967397,"up","","",364
"SDC4",12,0.000584807846165876,"no",-0.179337404691829,0.196469399983305,10,0.286684295764964,"no","ST_LoF",0.000384782650968241,"down","","AXIN1 (enriched, 13% vs 2%)",364
"SERPINB11",12,0.000613714038657909,"no",-0.0631287480736464,0.121410794957332,0,NA,NA,"",0.00827443403592197,"up","","",364
"KPNA6",13,0.000663880434437387,"no",0.0430681001102808,0.178679937172599,11,9.73110242036726e-06,"yes","",4.80806031138537e-06,"up","TP53 (enriched, 26% vs 8%)","",364
"ATAD1",13,0.000696689393273573,"no",-0.136792488718683,0.305427481828922,11,0.999999999998567,"no","",2.29796540299272e-06,"up","","",364
"NBR1",13,0.000709228289731313,"no",-0.0124372329110559,0.158258349972356,11,0.0932129449193668,"no","",0.00641615365202717,"up","","",364
"HSD11B1L",13,0.000731603169226987,"no",-0.16256668503116,0.169336955336383,11,1.8435975552381e-05,"yes","",6.1743853432925e-08,"up","","",364
"BRIP1",13,0.000763485556534301,"no",-0.117642760448781,0.135404354018741,11,3.96156291614272e-06,"yes","",9.30367940718902e-17,"up","","RB1 (enriched, 9% vs 1%)",364
"TBC1D2",13,0.00076738456978286,"no",0.0379437553883164,0.149412761926584,11,0.999935082802649,"no","",0.0775740439477407,"up","","",364
"DUOX2",11,0.000780387856687703,"no",-0.265309191203915,0.221940487858645,10,0.00867292185686962,"no","",0.052877603154644,"up","CTNNB1 (depleted, 10% vs 37%)","BAP1 (enriched, 8% vs 1%)",364
