"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"TLK2",12,2.5415311409871e-06,"yes",0.0144824565787987,0.174256734863654,10,0.991418036805237,"no","",4.66007447488719e-22,"up","TP53 (enriched, 26% vs 8%)","",364
"ADSL",12,1.73122486988309e-05,"yes",-0.0585558116115817,0.14003724835958,10,0.999999988634606,"no","",6.93505590180817e-24,"up","","ARID1A (enriched, 9% vs 2%), AXIN1 (enriched, 12% vs 2%)",364
"LOC341056",12,2.19988302614382e-05,"yes",-0.121191519723813,0.243386263600498,0,NA,NA,"",NA,NA,NA,NA,364
"WDR12",11,2.59328755716215e-05,"yes",-0.670299901986792,0.275253795225681,9,0.99999999998697,"no","",3.23138552014574e-20,"up",NA,NA,364
"DDX10",11,4.16746003879531e-05,"yes",-0.486099300453748,0.230016545861536,9,0.999999999999784,"no","",6.58775119618763e-20,"up","TP53 (enriched, 25% vs 9%)","",364
"SART3",12,4.62235451262893e-05,"yes",-0.491263900480521,0.282354796078265,10,0.999999999939382,"no","",1.46264104529813e-18,"up","TP53 (enriched, 29% vs 6%)","",364
"UBA2",13,5.06857675072192e-05,"yes",-0.29030851572165,0.207590347499747,11,0.999999999999376,"no","",7.70819551267062e-17,"up","TP53 (enriched, 28% vs 7%)","RB1 (enriched, 8% vs 1%)",364
"PAK1IP1",13,5.93577670452428e-05,"yes",-0.218322467552813,0.300347111019188,11,0.999999999999695,"no","",3.22030283198083e-16,"up","","",364
"CASP8AP2",13,6.22826946289345e-05,"yes",-0.290171005387034,0.329031191639017,0,NA,NA,"",7.33673968712331e-08,"up","CTNNB1 (depleted, 15% vs 32%), TP53 (enriched, 26% vs 8%)","",364
"WDR46",13,7.78363864840648e-05,"yes",-0.627649068973738,0.154048418530747,11,0.999999996953785,"no","",5.18037475318681e-26,"up","","",364
