"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"NNT",3,2,0.0275746283466775,"no",0.0601961424925525,0.209631235248323,-0.105334291902943,0.139140260182043,3,2,0.353870124015999,"no","",NA,0,87
"PTGER4",3,2,0.116653482925981,"no",NA,NA,NA,NA,3,2,0.425917016467208,"no","",NA,0,87
"IL7R",3,2,0.126126743756517,"no",0.0854306586562142,0.0602047596573375,0.0391014874071359,0.0433802776013132,3,2,0.309425538411026,"no","ALL_Act,ESCA_Act,HC_Act",NA,0,87
"C7",3,2,0.14515549843104,"no",-0.313307936624931,0.542364280602019,-0.352797996470712,0.158741717483107,3,2,0.522631359157056,"no","",NA,0,87
"SIRPB1",2,3,0.168284643717317,"no",-0.164656893919103,0.180069346323254,-0.0561619594942441,0.0960595958381162,2,3,0.455639806071774,"no","",NA,0,87
"CDH6",3,2,0.201677204458996,"no",0.0817048523344075,0.182742716253188,-0.178248066362081,0.0198510638807915,3,2,0.318694568873648,"no","",NA,0,87
"RICTOR",3,2,0.234083118787205,"no",NA,NA,NA,NA,3,2,0.500588118862434,"no","",NA,0,87
"DROSHA",3,2,0.320077918097947,"no",-0.527263673156131,0.293437453428989,-0.374658147065745,0.032608366693769,3,2,0.510123045869181,"no","LUSC_LoF,WT_LoF",NA,0,87
"PRKAA1",3,2,0.33137615502521,"no",-0.0678095775763417,0.233915262140812,-0.298845909354677,0.291652449311955,3,2,0.335806506577157,"no","",NA,0,87
"SLC1A3",3,2,0.350437532211326,"no",-0.0642345063398322,0.193199843822858,-0.245982346425351,0.137301914313424,3,2,0.653660346925055,"no","",NA,0,87
"UGT3A1",2,2,0.38600157738339,"no",0.0371034186808493,0.056341404217385,-0.0811561719199352,0.0605386609827668,2,2,0.485254993484543,"no","",NA,0,87
"SKP2",3,2,0.390813344491095,"no",0.110954299839634,0.170239907892053,-0.182088692150057,0.139334902234746,3,2,0.461491609066775,"no","",NA,0,87
"WDR70",3,2,0.397425375613522,"no",-0.426565941302878,0.058085722379838,-0.40918380965858,0.090646260038541,3,2,0.570690883179429,"no","",NA,0,87
"C6",3,2,0.476291093359078,"no",0.149127426337746,0.0769332546049611,0.0257760277373857,0.0234135578300651,3,2,0.391581354136509,"no","",NA,0,87
"C1QTNF3-AMACR",3,2,0.476740910173953,"no",-0.0162384258681733,0.0905389394941319,0.19036264637816,0.051470199455544,0,0,NA,NA,"",NA,0,87
"C1QTNF3",3,2,0.476740910173953,"no",0.200250699429325,0.225871416007106,0.0583518941494719,0.0436757234205661,3,2,0.451757373702226,"no","",NA,0,87
"ANKRD36",2,2,0.518099986714863,"no",-0.00509804775783665,0.0536423638471882,0.120919855165894,0.242567811472376,0,0,NA,NA,"",NA,0,87
"ARL17A",3,2,0.518837777144265,"no",-0.041621203603285,0.116404770601522,-0.16631603649208,0.0812131362846354,0,0,NA,NA,"",NA,0.0114942528735632,87
"ARL17B",3,2,0.518837777144265,"no",0.111517077842798,0.0698440804055852,0.159483831046008,0.0830569692602445,0,0,NA,NA,"",NA,0.0114942528735632,87
"FGF10",3,2,0.555911966578122,"no",0.123206134877679,0.112244000435019,0.0445466636163891,0.0392306736426023,3,2,0.0309283879726301,"yes","",NA,0,87
"NSFP1",3,2,0.588255764462275,"no",0.304573832518266,0.165824947521419,0.651157817753189,0.128085509212606,0,0,NA,NA,"",NA,0.0114942528735632,87
"LIFR",3,2,0.608903057263596,"no",0.0302802306265542,0.0660891308065305,-0.0425649770817801,0.00788915261052285,3,2,0.0812351970104813,"no","SCLC_Act",NA,0,87
"ZNF131",3,2,0.619171629296963,"no",-0.12583900413931,0.108060325930298,-0.0637929039272318,0.0073503188203985,3,2,0.529632786191372,"no","",NA,0,87
"NIM1",3,2,0.62074760166815,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
