"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"DSP",3,2,0.203937198089674,"no",0.0451978742562966,0.125615671694418,-0.01860989978195,0.13954272926169,3,2,0.49218687961887,"no","","yes",0.0121951219512195,82
"KCNT1",3,2,0.266971242809724,"no",0.181081218969255,0.117463924835112,0.00339342752102939,0.00635066183821934,3,2,0.533151391378845,"no","","yes",NA,82
"TTN",3,2,0.297381245775635,"no",0.148670005834383,0.0797675864366791,0.240840139473559,0.094196290986132,3,2,0.390121807625152,"no","","yes",0.134146341463415,82
"NCOA6",3,2,0.298791425562848,"no",-0.983489111333286,0.38242921037177,-1.34892607619284,0.0205072662835351,3,2,0.849603223547497,"no","","yes",0.0121951219512195,82
"PCM1",3,2,0.307415588019264,"no",-0.0900042280360938,0.142597577983157,-0.0970771462925966,0.0397778062038154,3,2,0.294997430977804,"no","","yes",0.0121951219512195,82
"PI4KA",3,2,0.37640537521135,"no",-0.373765976631057,0.10756972917173,-0.687889332235459,0.185791942637195,3,2,0.499285855780414,"no","","yes",0,82
"CSMD1",3,2,0.40784311964198,"no",-0.0856943372963622,0.05895992498812,-0.22375240354237,0.0911656863194625,3,2,0.390081285038006,"no","","yes",0.024390243902439,82
"CHD6",3,2,0.492772166106491,"no",0.0659432747279553,0.19043508333807,0.0280955129371688,0.0320574053472388,3,2,0.644041636442521,"no","","yes",0,82
"KDM2B",3,2,0.540094097361081,"no",0.130291957552841,0.233065177391578,-0.059049673097706,0.22623580190751,3,2,0.385347882617809,"no","","yes",0.0121951219512195,82
"ZFHX2",3,2,0.560779983127387,"no",0.0227157101718957,0.100052921185346,0.1626582187842,0.00723765072672899,3,2,0.261560328827115,"no","","yes",NA,82
"ALPK3",3,2,0.847902683924646,"no",0.0592500878949503,0.100780390016458,0.0908737194609812,0.00866126694461584,3,2,0.497899583751945,"no","","yes",0.0365853658536585,82
"COL4A4",3,2,0.873531034641693,"no",0.141524933478813,0.137026750122497,0.102279986465699,0.15205312636364,3,2,0.132002149203808,"no","","yes",NA,82
"PVRL3",3,2,0.875342275520892,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,82
"GPR98",3,2,0.894677222709411,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,82
"TIAM2",3,2,0.938787984476404,"no",0.0411075353665619,0.0667350071705321,0.264975648754906,0.0817964247896495,3,2,0.563435768162104,"no","","yes",NA,82
