"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"CAPZA2",5,3.04901996529432e-06,"yes",0.0567594487027214,0.093155009739079,5,0.916271383126836,"no","","","",82
"GPR158",5,5.45026577099342e-06,"yes",-0.00663351530812431,0.177096712979426,5,0.999645695012211,"no","","","",82
"RXRG",5,1.36689167294917e-05,"yes",-0.290409463119148,0.13734763072419,5,0.0372123303878331,"no","","","",82
"OR6S1",5,1.75652161151379e-05,"yes",-0.00510494715579559,0.0989828614857383,5,0.844646649595636,"no","","","",82
"CDC42",5,1.85072380091969e-05,"yes",-0.888695821165453,0.19572418556145,5,7.37779658437427e-08,"yes","","","",82
"OR2T5",4,2.25727862200498e-05,"yes",-0.0718989199650956,0.367789781995442,4,0.000722719997206124,"no","",NA,NA,82
"DDI2",5,3.31887790280587e-05,"yes",-0.255702999220886,0.124022161815243,5,0.0874292230385081,"no","","","",82
"ABCC1",5,3.38810361875782e-05,"yes",0.0859248006640777,0.122849785574283,5,0.968874500815553,"no","","","",82
"RASGRP1",5,4.00796344638863e-05,"yes",-0.124497668023168,0.222054444899286,5,0.0924622927910497,"no","","","",82
"GRM2",5,5.3515923810842e-05,"yes",-0.144400263359854,0.01715972908688,5,0.762223136458806,"no","","","",82
"FERMT2",5,6.74388837604304e-05,"yes",-0.25684308717043,0.252955551999078,5,0.000577671823080295,"no","","","",82
"FARP1",5,7.0188768498498e-05,"yes",-0.181081029204734,0.299131363053913,5,0.99977616447147,"no","","","",82
"DRD1",5,9.00597879711475e-05,"yes",-0.250001748693161,0.130083979637744,5,0.953804058490645,"no","","","",82
"OR2T29",5,9.32453362958636e-05,"yes",NA,NA,5,0.000462195355160956,"no","",NA,NA,82
