"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"TET1",5,1.33777831479165e-07,"yes",0.000687442141047985,0.104928335462517,5,0.0100077225720998,"no","GBM_ambiguous,HC_ambiguous,RPC_ambiguous,SBCC_ambiguous,ST_ambiguous","","",82
"WDR82",5,1.47023327845552e-07,"yes",-0.227615996685415,0.065779062148873,5,0.999999998896095,"no","","","",82
"OGDH",5,2.8343811975251e-07,"yes",-0.0463186903147152,0.0736061639419339,5,0.940718251272527,"no","","","",82
"RAD23B",5,1.33841189009498e-06,"yes",-0.092812424537455,0.0445658798298175,5,0.89371771620249,"no","","","",82
"CRABP1",5,1.53818511838821e-06,"yes",0.208681213732128,0.129878129726769,5,0.0202308655051761,"no","","","",82
"SHH",5,1.06099541750115e-05,"yes",0.248632802002829,0.269339058730501,5,0.0169339269636711,"no","","","",82
"CHRM1",5,2.10400114254439e-05,"yes",0.0975415624546636,0.235757493522875,5,0.305525064982304,"no","","","",82
"MED15",5,2.34425432978913e-05,"yes",0.277649464829675,0.297913644132314,5,0.471760651842532,"no","","","",82
"CFL1",5,2.5335684089689e-05,"yes",0.139714173767685,0.056577092055182,5,0.998260172037681,"no","","","",82
"THEM4",5,3.11412197171457e-05,"yes",0.0525538057039482,0.369204933323539,5,0.888078229765935,"no","","","",82
"NEDD8-MDP1",5,3.29873425871652e-05,"yes",-0.199903422349035,0.239626357512728,0,NA,NA,"","","NF2 (enriched, 38% vs 12%)",82
"POLD1",5,3.65478938465502e-05,"yes",-0.216602074302789,0.135391395669762,5,0.99999799825023,"no","BRCA_Act","","",82
"UBA3",4,3.82646346398507e-05,"yes",-0.0646919814802498,0.255003426974995,4,0.999988063564489,"no","","","",82
"RFC4",5,4.25820482842232e-05,"yes",-0.499373992012139,0.328628949538961,5,0.999681573281456,"no","","","",82
"KIF23",5,5.53152225487574e-05,"yes",-0.256658592843735,0.120595364986992,5,0.999998562388883,"no","","","",82
"NEUROG3",5,5.62328402491374e-05,"yes",0.177344158441767,0.0953330994436257,5,0.928130676504275,"no","","","",82
"SPSB1",5,5.88671254245776e-05,"yes",0.274818802944438,0.091152811005125,5,0.83080954689925,"no","","","",82
"LLGL2",4,6.13934848927578e-05,"yes",0.250220397932396,0.0247495526604965,4,0.546210887408228,"no","","","",82
"CITED2",5,6.40892562614459e-05,"yes",0.14992367876778,0.031249514651362,5,0.922179811750692,"no","","","",82
"ARL11",5,7.42500818244896e-05,"yes",-0.236419446881392,0.288912612783195,5,0.563620475753759,"no","","","",82
"RBM19",5,7.55668140205445e-05,"yes",-0.35216275320813,0.056325399879796,5,0.999998079342879,"no","","","",82
"NFKBIA",4,9.59356810351641e-05,"yes",0.146786529650526,0.127535500147524,4,0.630956796219491,"no","DLBCL_LoF,MM_LoF","TP53 (depleted, 3% vs 20%), TTN (enriched, 26% vs 2%)","",82
"IRF9",5,9.64255633328914e-05,"yes",-0.118101212066189,0.158285157987395,5,0.716246262121439,"no","","","",82
"CXXC1",5,0.000105366175918054,"yes",0.102566310456902,0.0704335581357387,5,0.998876152080881,"no","","","",82
"TP53",4,0.000108201869413072,"yes",0.720862606968238,0.38221920188261,4,3.00083514814808e-07,"yes","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","","",82
"COPS3",5,0.000116273298503944,"yes",-0.479250784445362,0.095389322348204,5,0.999999820355466,"no","","","",82
"ARPC1A",5,0.000125586922541943,"yes",NA,NA,5,0.205965713506543,"no","","","",82
"KCNJ2",4,0.000133128289614759,"yes",0.104438232657846,0.03921965206257,4,0.213488609150822,"no","","","",82
"KEAP1",4,0.000168933007958949,"no",0.423116366387947,0.64340193528348,4,0.398817400910271,"no","CH_Act,HC_Act,LUAD_Act,LUSC_Act,NSCLC_Act,RCCC_Act","","",82
"SLC2A2",5,0.000176704683846896,"no",0.137416104069294,0.14402084532798,5,0.130023466434977,"no","","","",82
"FAF2",5,0.000184853621795877,"no",0.0226517260648569,0.191246535913948,5,0.999976139350794,"no","","","",82
"SLC47A2",5,0.000186776159275093,"no",0.105934399010331,0.16504605971756,5,0.653251934890594,"no","","","",82
"CIT",5,0.000188066713061597,"no",-0.132040821892007,0.118201301536651,5,0.99004220186693,"no","","","",82
"BIRC7",5,0.000253975409446161,"no",-0.0565585423899079,0.0511179880225243,5,0.00224945127209675,"no","","","",82
"SP1",5,0.000292766130121414,"no",0.0802618284264601,0.110051607153807,5,0.753829628514268,"no","","","",82
"AGPAT2",5,0.000330278687443952,"no",0.0864238424347209,0.0791248115562757,5,0.439655050249518,"no","","","",82
"CDC42BPA",3,0.000334416085265854,"no",-0.0811172055252365,0.378333974617909,3,0.126863247736179,"no","","","",82
"RRP9",5,0.000343166571395659,"no",-0.293034007605296,0.18951767684954,5,0.998840921371205,"no","","","",82
"EPB41L2",5,0.000346318722481587,"no",0.209527838101883,0.168162356961947,5,0.773974270451049,"no","","","",82
"POLD2",5,0.000355106736655286,"no",0.00264582896531317,0.225947828833048,5,0.999984154731309,"no","","","",82
"PBK",5,0.000364621380896102,"no",0.0314986699836398,0.0642450515157229,5,0.0542466238732315,"no","","","",82
"FANCM",5,0.00039002689226697,"no",0.0907203756789079,0.204220941169388,5,0.996671428695215,"no","","","",82
"MLF2",5,0.000392351933656943,"no",-0.0324399557577137,0.529749598911858,5,0.440269644464002,"no","","","",82
"MBOAT1",5,0.000408036937142531,"no",-0.0436771869381395,0.0872904502220244,5,0.473413363441285,"no","","","",82
"ATG14",5,0.000426706232996232,"no",0.0215595326349196,0.123987736232978,5,0.557578233861666,"no","","","",82
"ATP10D",4,0.000434026930435594,"no",0.00680084845045335,0.234846292965759,4,0.06619815488145,"no","","","",82
"DDX47",5,0.000449290127978896,"no",-0.465716481760301,0.39111258269559,5,0.999999987219225,"no","","","",82
"MED9",5,0.000452219845769153,"no",-0.0799748469528246,0.063267571010152,5,0.981611293145764,"no","","","",82
"CAND1",5,0.000458125130878506,"no",0.0247959788835331,0.211859326555591,5,0.954625108491376,"no","","","",82
"QPCT",5,0.00048477683438819,"no",0.0745090918401709,0.13294382087397,5,0.67156646984924,"no","","TTN (depleted, 3% vs 25%)","",82
"DHX38",5,0.000539541600772742,"no",-0.534191901743952,0.158506828099375,5,0.99237712193624,"no","","","",82
"SUPV3L1",5,0.000591826102123938,"no",0.00369964278200998,0.0858120592015156,5,0.999993668034029,"no","","","",82
"MCM6",5,0.000640290868393567,"no",-0.665715109469814,0.184710002970012,5,0.999991307417177,"no","","","",82
"ATP1A1",5,0.000683663987499306,"no",-0.107176813113942,0.277349539731575,5,0.999928858848229,"no","","","",82
"MATN4",5,0.000694176070116015,"no",-0.00248697259032053,0.113132002531477,5,0.269611153599533,"no","","","",82
"CDK3",4,0.000703054851408536,"no",NA,NA,4,0.852899123000407,"no","","","",82
"TEN1-CDK3",4,0.000703054851408536,"no",NA,NA,0,NA,NA,"","","",82
"FOXE1",5,0.000704351716201312,"no",0.0258130759796642,0.0786681550192115,5,0.568117684983507,"no","","","",82
"TLE3",5,0.000754574446880318,"no",0.0890356633183173,0.0677011812083386,5,0.330892306692134,"no","","","",82
"SOX17",5,0.000764457406922103,"no",-0.036074407101822,0.106075677019968,5,0.0460858320874574,"no","UCEC_Act","","",82
"POC1A",5,0.000815960843886909,"no",0.113544921737326,0.0516134735346967,5,0.994550507586941,"no","","","",82
"PTK2B",5,0.000819630668803528,"no",-0.00990898000708386,0.354018909457712,5,0.00143472851413828,"no","","","",82
"ACO2",5,0.000832313298108178,"no",-0.034595054902337,0.0209349324554524,5,0.995203724554448,"no","","","",82
"ARFRP1",5,0.000846768409896392,"no",-0.017124587569841,0.130456036908711,5,0.999923778552462,"no","","","",82
"NR4A1",5,0.000886299488857767,"no",0.0875533509685011,0.102942309277479,5,0.783162444774974,"no","","","",82
"RPS6KA4",5,0.000896973609425755,"no",-0.114253130319936,0.210678320500652,5,0.425559332361662,"no","","","",82
"SKIV2L2",5,0.000957832466866426,"no",-0.508753906871809,0.248504826238561,0,NA,NA,"",NA,NA,82
"SLIT2",5,0.00100390874629386,"no",0.120522835929433,0.139717110656449,5,0.0201143576898465,"no","","","",82
"NCBP2",5,0.00105559392582988,"no",-0.322177028413991,0.182620345393295,5,0.999999999977688,"no","","","",82
"PNPLA7",5,0.00106462707120825,"no",0.0024169375807657,0.0949150330949944,5,0.441089310757909,"no","","","",82
"WDR1",5,0.00110871733455253,"no",0.133428195974707,0.241318168816459,5,0.999832462807441,"no","","","",82
"CNBD1",4,0.00114145647935493,"no",0.0693369942818479,0.112709032316438,4,1.0257057787677e-05,"yes","","","",82
"RAD17",5,0.0011730255333855,"no",-0.198809423087209,0.076081734668757,5,0.999958494915363,"no","","","",82
"MMP9",5,0.00118637918890607,"no",0.185197417988903,0.036869429928055,5,0.283398361900582,"no","","","",82
"FCN3",5,0.00122717148644191,"no",0.181201200596337,0.308813163165722,5,0.00309358395657866,"no","","","",82
