"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"TTC8",22,4,0.000690612482981089,"no",-0.00807520032531182,0.168892261335673,-0.0129077561917989,0.110414183726692,15,3,0.429472105327462,"no","",0.0113742588388924,0.00978473581213307,511
"ETV1",21,6,0.00188727671230974,"no",0.0395297264459242,0.0726903001765756,-0.0601147741385433,0.164482646539024,14,4,0.349465706243987,"no","",0.0347618333629602,0.0313111545988258,511
"VSIG8",26,2,0.00313149692929954,"no",0.0683032112699333,0.182903064720803,-0.0900074715380947,0.0118815541075343,17,2,0.584168818700285,"no","",0.0939914062139432,0.0724070450097847,511
"CHRNA5",26,2,0.0055140151063988,"no",NA,NA,NA,NA,17,2,0.326370485781819,"no","",0.0561895997366928,0.00782778864970646,511
"ALDH3B1",22,6,0.00584774460937084,"no",0.0440978650654393,0.0868484099305319,-0.0207636882601821,0.158235049310877,0,0,NA,NA,"",0.342119968542112,0.0136986301369863,511
"KLHL35",25,3,0.00827075736058285,"no",-0.00783847264576346,0.193781476331234,-0.279636734817606,0.163091913856577,16,3,0.323544866074889,"no","",0.000397343944653162,0.0234833659491194,511
"ACTB",24,4,0.00981897902748139,"no",-0.495119645907808,0.385702791049559,-0.948025367668291,0.377480907755402,16,3,0.417669855740401,"no","",0.00331627099722465,0.0352250489236791,511
"GPR65",24,4,0.0111439313445132,"no",0.00578299282985653,0.149921467456488,-0.0046161899729935,0.055497258741299,16,3,0.509633537339387,"no","",0.0565798610636941,0.00782778864970646,511
"CBLN1",25,2,0.0115014851973647,"no",-0.035540196237102,0.123161056983027,-0.0773200466751605,0.0298086161750965,16,2,0.433904281993736,"no","",0.0028495614314202,0.0136986301369863,511
"PROCR",26,2,0.0116066610651429,"no",-0.0129802809024912,0.134501664700444,-0.0352250624332252,0.0245489460176998,17,2,0.285004580552522,"no","",0.794007220108728,0.0117416829745597,511
"ACAP2",25,2,0.0131483376249013,"no",0.0290274365468238,0.120135422498396,-0.0536913522810145,0.142002069290867,17,1,NA,NA,"",3.03541035645664e-06,0.0215264187866928,511
"SERPINE1",24,2,0.0131651327806483,"no",-0.0458045766168272,0.114281797243293,-0.0940184768520484,0.0523669815271077,16,2,0.17803081619935,"no","",0.018540819461179,0.0195694716242661,511
"MED15",25,2,0.0136151608640396,"no",-0.0249628336860011,0.198647205993531,-0.0700688520206538,0.14375817570649,18,1,NA,NA,"",0.000878165594997232,0.0136986301369863,511
"GLI3",21,2,0.0138620670185095,"no",-0.0320605155192142,0.122604939605604,-0.464205622972222,0.258274007332269,12,2,0.842226435764015,"no","",0.0568976845913179,0.00587084148727984,511
"EGFR",17,8,0.0140280822137377,"no",-0.00445809104547785,0.0967119983953797,-0.536227517454513,1.01808138446404,11,6,0.195342570012504,"no","BRCA_Act,COREAD_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,MM_Act,NSCLC_Act,PIA_Act",1.75533239347193e-12,0.050880626223092,511
"WASL",26,2,0.0140339713180754,"no",-0.131067897304808,0.267552695240021,-0.40396502845124,0.145973927222604,17,2,0.385481100284863,"no","",NA,0.00195694716242661,511
"MCL1",23,4,0.0141126597465667,"no",0.231670051083465,0.257895900029035,-0.162377912095064,0.237210863120118,14,4,0.37821270806539,"no","",1.05654745681176e-10,0.103718199608611,511
"XPR1",26,2,0.0141389671193277,"no",0.0125582973307858,0.17564509968679,-0.386912509915186,0.329894692875805,17,2,0.174955707679723,"no","",0.0327318049953534,0.0352250489236791,511
"VPS4A",24,4,0.0149224650047214,"no",-0.092063607295556,0.278145367835369,-0.368000216786492,0.249292138413563,15,4,0.331426951734245,"no","",NA,0.00195694716242661,511
"FIGNL2",26,2,0.0165087696337995,"no",-0.00157373546587716,0.128633001906691,-0.0224581718407894,0.0308555293437046,0,0,NA,NA,"",0.898764890181839,0.00782778864970646,511
"NPAS4",23,5,0.0170135543280589,"no",0.0038307564914152,0.102102818701863,-0.112062176599213,0.123816525444337,14,5,0.415184790089515,"no","",0.472916105090843,0.00782778864970646,511
"CABP2",21,7,0.018609614971999,"no",-0.0330706068470331,0.148906998819424,-0.175454327002646,0.231951467957696,12,7,0.103715286416476,"no","",NA,0.0117416829745597,511
"CIT",23,2,0.0188947026240358,"no",-0.286737725489587,0.266216430482331,-0.80443771313736,0.078721776452368,16,1,NA,NA,"",NA,0.00195694716242661,511
"ZNF3",25,3,0.0189896211835499,"no",0.126749031979411,0.151874360054706,0.0128555229646213,0.0941559211383681,16,3,0.366622317063265,"no","",4.78286405170395e-08,0.0234833659491194,511
"RAB30",25,3,0.0198616170192346,"no",0.0714489687381935,0.209445625485412,0.120051151989236,0.0983968159889428,17,2,0.327123313268044,"no","",0.0151612896878964,0.0195694716242661,511
"STARD5",26,2,0.021837335368443,"no",NA,NA,NA,NA,17,2,0.578983269666717,"no","",0.487411681905123,0.00391389432485323,511
"TMEM207",25,2,0.022471120008587,"no",NA,NA,NA,NA,18,1,NA,NA,"",0.0993762976298058,0.0176125244618395,511
"NPY1R",23,2,0.0225009369182686,"no",-0.0668824439194928,0.0940094357005083,-0.101572398636482,0.0574138286707809,16,0,NA,NA,"",NA,0,511
"FABP9",23,3,0.0242369952164599,"no",-0.00873611052490407,0.191544907615764,-0.0203642475759785,0.13075047165158,0,0,NA,NA,"",0.633921163375944,0.0489236790606654,511
"PARD6A",25,3,0.0245052980841889,"no",-0.0512139204151294,0.145134373925222,-0.100406051555876,0.0674941032078435,16,3,0.376464002618003,"no","",NA,0.00195694716242661,511
"ARL17B",19,8,0.0254727073865466,"no",0.0255953270169539,0.1478035403958,0.0752059938041909,0.161948955837068,0,0,NA,NA,"",0.0143597960709759,0.00391389432485323,511
"REG4",24,3,0.0262291793035371,"no",-0.00954102979609906,0.154593803614102,-0.00914138699564813,0.0915960960938708,16,2,0.805317849948531,"no","",0.0684869046605673,0.0136986301369863,511
"HOXA3",26,2,0.026760882599107,"no",-0.13899203165164,0.108359185234544,-0.539706773013263,0.055402053481627,17,2,0.41197570524807,"no","",0.410198936385435,0.0176125244618395,511
"NET1",23,2,0.0267807878401134,"no",-0.0130578766131737,0.116290001939545,-0.0288369027445769,0.0014253169546331,15,2,0.44775426382222,"no","",7.58977604204726e-05,0.0176125244618395,511
"KRAS",13,3,0.0273949176884666,"no",-0.0563189318496551,0.179663564283464,-0.26916095027177,0.902935506498633,8,3,0.363453180143138,"no","ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act",2.1561818090413e-12,0.0567514677103718,511
"BTBD8",24,3,0.0277543066744683,"no",0.0503565650235969,0.143158542194608,0.0650793822432297,0.0839208407767302,16,3,0.324119035856241,"no","",0.00222514218198089,0.00978473581213307,511
"VPS28",25,2,0.0285608577388516,"no",-0.485074103072528,0.357013448834258,-0.451650465393066,0.039062561834572,17,1,NA,NA,"",0.00103249942530879,0.0528375733855186,511
"RAVER2",26,2,0.0285729159940551,"no",-0.058393630798346,0.13165027163509,-0.0773246312087487,0.0442770543046352,17,2,0.330303314627378,"no","",0.0156030986885507,0.00978473581213307,511
"TLE3",25,2,0.0321283916428776,"no",-0.0694295568530864,0.114197666642138,-0.239441035428511,0.0433405615070235,17,2,0.284801851476235,"no","",0.928385807679414,0.00391389432485323,511
"GAN",26,2,0.0331197663682121,"no",0.00633571424193148,0.126722083456142,0.0710915369860112,0.0140788388609576,17,2,0.313810938454425,"no","",NA,0,511
"WISP2",25,2,0.033863558014469,"no",0.0242782292813668,0.0860721938628746,-0.0368619760180475,0.0384588816381049,16,2,0.628486549076334,"no","",NA,0.00587084148727984,511
"ARL17A",19,8,0.0344863772150796,"no",0.0137271135694083,0.179241551257631,-0.035246877886069,0.0546619627859002,0,0,NA,NA,"",0.0372326199433561,0.00587084148727984,511
"CDK4",25,3,0.0353983272762989,"no",-0.173502896881799,0.28767184648486,-1.62318359642495,0.632112398164802,17,2,0.403522301908185,"no","CM_Act",1.36959756691513e-10,0.0547945205479452,511
"KIF5A",23,3,0.0366379194248194,"no",-0.116523295568581,0.189535512934553,-0.226628162059351,0.05103554788493,16,2,0.204632130553853,"no","",0.00326718640037485,0.0352250489236791,511
"CLCN1",24,2,0.0367448214156834,"no",0.0127074148156345,0.130992618904714,-0.0503322227751683,0.0878821865504467,16,2,0.423304955799342,"no","",0.0892686472829916,0.00978473581213307,511
"CDK6",25,3,0.0377564268575796,"no",-0.0798355621502142,0.343844883359019,-0.316206410430871,0.26901522910969,16,3,0.228776477585775,"no","",0.000167598004602715,0.0156555772994129,511
"LRRC39",26,2,0.0382204158189854,"no",-0.0925992054548117,0.373555881526955,-0.147136733041582,0.023079060302219,17,2,0.480871134140147,"no","",0.0150834153542984,0.00391389432485323,511
"MIEN1",26,2,0.0383846226821731,"no",0.120726146659107,0.125286949574661,0.0684129779648464,0.0219644728986714,17,2,0.448403444675034,"no","",1.34741759902986e-06,0.0156555772994129,511
"DKK4",25,3,0.0391513782462291,"no",-0.0409788235129788,0.165231917740049,-0.141167114200735,0.0677916523791642,17,2,0.311597331767613,"no","",0.0327646779974739,0.0371819960861057,511
"PFKP",20,2,0.0395027313218845,"no",-0.0802757659990119,0.148021364787299,-0.132899093275049,0.007884368746293,13,2,0.366371367222012,"no","",0.0176380255111128,0.00587084148727984,511
"AKR1B15",20,3,0.039515134996546,"no",0.0346043761668395,0.0971769289717563,-0.0608041166624124,0.0542278007480728,12,3,0.565437903679041,"no","",0.359561325222574,0.00782778864970646,511
"METTL1",26,2,0.0395287857410346,"no",-0.022529164653914,0.178813769641033,0.0327338672669902,0.0402215573694138,18,1,NA,NA,"",1.90343827610066e-14,0.0528375733855186,511
"FOXO3B",26,2,0.0397850627561063,"no",0.0420417980278346,0.173280048953765,-0.0935279535719973,0.0120009017858897,0,0,NA,NA,"",0.00806848551135062,0.00391389432485323,511
"RBMXL1",25,3,0.0400969425324086,"no",-0.230313557129023,0.204296534409403,-0.230272206533428,0.0129852069884235,16,3,0.445732074154348,"no","",0.000319773579549926,0.00782778864970646,511
"TBC1D10C",21,7,0.0405222193415785,"no",0.00806562991205273,0.141160755182424,-0.00801110975290121,0.209533231759842,12,7,0.312511185302031,"no","",0.41366865260794,0.0136986301369863,511
"RABL5",26,2,0.0412261956553034,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0176125244618395,511
"AKR1B10",24,3,0.0415011109054137,"no",0.0119373747525099,0.142368891992335,-0.0306422753393669,0.10664301453948,16,3,0.209370853275471,"no","",0.222003067734234,0.00782778864970646,511
"CORO2B",24,2,0.0452318422301795,"no",-0.102654362540841,0.0957815925844313,-0.0480925316701823,0.0136242307147663,17,2,0.34122971882832,"no","",NA,0,511
"SEMA3E",21,4,0.0455050556181514,"no",-0.0347799465593456,0.129818490006825,-0.00529157690616275,0.101371306444895,13,4,0.896723763409208,"no","",0.26945818309572,0.00978473581213307,511
"CALD1",26,2,0.0455382596910143,"no",-0.0232971653010625,0.153934232362938,-0.162297260532119,0.0894143020587758,17,2,0.613027572196668,"no","",0.331720215177121,0.00782778864970646,511
"UBL7",26,2,0.0461454520289245,"no",-0.0833525260971555,0.148995822929068,-0.201984910826541,0.00371862287111599,17,2,0.10060354841191,"no","",0.00142134687876346,0.00782778864970646,511
"MCM10",22,2,0.0470166984579714,"no",-0.111121119643077,0.170668837792474,-0.0499519947577369,0.0202056841006752,15,2,0.444182532572932,"no","",0.106495072595112,0.00391389432485323,511
"MCOLN2",24,2,0.0476025673513042,"no",-0.0255281895650416,0.154029390454304,0.0393181076001151,0.093269672921165,15,2,0.331120465055773,"no","",0.0924324946892657,0.00978473581213307,511
"LHX1",26,2,0.0478293102894274,"no",0.0531402636493553,0.0786325600287492,0.0353560093251977,0.0346729986186702,17,2,0.0800042264012582,"no","",0.237092722893282,0.00587084148727984,511
"WNT16",26,2,0.04792895313938,"no",-0.0396452028982028,0.145558890774146,-0.0934290724553142,0.00128891888745233,17,2,0.542658677479673,"no","",0.120486092784434,0.00391389432485323,511
"OR10J1",23,2,0.0482583955060113,"no",-0.0225556810425745,0.182251610315168,-0.0735248471881789,0.0678243193885281,15,2,0.470292433073608,"no","",0.408459912294952,0.0684931506849315,511
"GJA5",21,5,0.0482620801269724,"no",-0.0543270286931607,0.147963471091581,-0.0418476262659981,0.0973235245070604,13,4,0.286791119682765,"no","",0.799815749227209,0.0919765166340509,511
"NNT",22,6,0.0485389299424933,"no",0.0448826117930136,0.307876834219822,-0.0684686773089831,0.0938807816917744,15,4,0.191171710884412,"no","",9.31924020723354e-09,0.0704500978473581,511
"KAT6A",23,3,0.0496221987178058,"no",-0.0336807617195324,0.165502388441371,-0.093370570981349,0.284261991946212,15,2,0.114054074308769,"no","ESCA_ambiguous,PRAD_ambiguous,RPC_ambiguous",6.35726755701816e-08,0.0391389432485323,511
"CD48",26,2,0.0497445118232626,"no",0.017558110720148,0.143350678358283,-0.211065490715869,0.125929196397182,17,2,0.3604214430624,"no","",0.123699195754178,0.0684931506849315,511
"TSHR",23,4,0.0500834210588722,"no",-0.0572498128255552,0.122370395699176,-0.253004341544572,0.155374338759263,15,3,0.421275215146575,"no","",0.0225986503516254,0.00391389432485323,511
"TMED10",26,2,0.0518343244647194,"no",-0.0585978167531657,0.325109886352904,-0.218006934902143,0.147287790180069,17,2,0.69890571062679,"no","",0.00115885846743219,0.00782778864970646,511
"RRM2B",26,2,0.0545683436688417,"no",-0.0282366974219481,0.142250672385435,0.010667449657677,0.0789558661782144,17,2,0.469102482537981,"no","",7.95238993115649e-06,0.0528375733855186,511
"DRAM2",22,3,0.0551094138704002,"no",-0.0515442758703471,0.222035369706638,-0.103757326305723,0.139630104540993,14,3,0.500911975688755,"no","",NA,0,511
"OR2T11",13,12,0.0557673576281448,"no",-0.310378834324382,0.165908133611813,-0.292150515864216,0.241876304451876,0,0,NA,NA,"",NA,0.050880626223092,511
"SETD6",25,3,0.0562542999769191,"no",-0.0145465803183454,0.111591553881104,-0.0776972224004986,0.0310509085340583,16,3,0.432438783849688,"no","",0.0633813856967431,0.00391389432485323,511
"SLAMF7",25,2,0.0574906845843361,"no",-0.0848855726898415,0.158038095374619,-0.17725916995939,0.130182318410172,17,2,0.229745771531969,"no","",0.145555751165497,0.0684931506849315,511
"BCAR1",26,2,0.058236489226978,"no",-0.122553490676038,0.263833574543201,-0.355128423477913,0.013302610255308,17,2,0.441064788073822,"no","",0.00204552588598029,0.00587084148727984,511
"WWP2",23,3,0.0583559741908973,"no",NA,NA,NA,NA,14,3,0.207521995503896,"no","",0.0664560952444327,0.00391389432485323,511
"PUF60",25,2,0.0583821193349389,"no",-0.835958899753256,0.508029452612838,-0.862246325937037,0.0794569663507571,17,1,NA,NA,"",1.2930103180519e-08,0.0528375733855186,511
"THRA",26,2,0.0600140784580901,"no",-0.00474691266485208,0.133483356164207,-0.0458909906742722,0.0576908821679618,17,2,0.156391859629585,"no","",3.86116388465769e-05,0.0117416829745597,511
"MTF2",25,3,0.0604921854327836,"no",-0.177760759308831,0.334054780677051,-0.175577886768949,0.0509228356705445,16,3,0.384183796521657,"no","",0.000381191871967217,0.00782778864970646,511
"PRKAG1",26,2,0.0610101740813231,"no",-0.098164614862529,0.302275395165519,-0.289536805696476,0.076938304225903,18,1,NA,NA,"",0.00223306209286001,0.00782778864970646,511
"WDYHV1",25,3,0.0612774165458432,"no",0.0522446460948213,0.206837735225861,0.0717143945176414,0.0862740759008107,16,3,0.686143091600172,"no","",3.60193322706929e-09,0.0626223091976517,511
"TBX1",25,2,0.0620107184020992,"no",-0.0993093270752327,0.120659407318021,-0.23235107271451,0.113949235483076,18,1,NA,NA,"",0.251741388657271,0.0136986301369863,511
"STARD7",26,2,0.0624341685723996,"no",0.0420451983910556,0.125256330153185,-0.354398111302041,0.08253328037595,17,2,0.390606229947285,"no","",0.00121302183138708,0.00782778864970646,511
"TECPR1",24,3,0.0632200578974493,"no",-0.178408120991281,0.117562089436958,-0.258751640131841,0.0340319574772615,15,3,0.210295660162541,"no","",4.1280047659302e-05,0.025440313111546,511
"CYHR1",25,2,0.0640216110886667,"no",0.0428354427949464,0.144838216886214,-0.0458953495830851,0.0524314353289368,17,1,NA,NA,"",5.14081705277351e-05,0.0528375733855186,511
"NRF1",26,2,0.065356364158244,"no",-0.104457492768511,0.16251975159594,-0.214207626665484,0.0777300308162395,17,2,0.498817400913957,"no","",0.0435043021421868,0.0176125244618395,511
"ASB15",24,2,0.065551760466005,"no",-0.308731036828641,0.28356749906284,-0.760720525431596,0.235500215081261,16,2,0.443939661007713,"no","",NA,0.00195694716242661,511
"ZNF217",23,4,0.0663231863411972,"no",-0.135820875926025,0.235843122691473,-0.150402834940232,0.100063552576362,15,4,0.0731968441962441,"no","",1.21851557826627e-05,0.050880626223092,511
"TRPS1",19,2,0.0676319531448235,"no",-0.316290338186239,0.177892939459412,-0.577224292390585,0.0278776536966134,13,2,0.577215574792357,"no","",0.239956003494211,0.0371819960861057,511
"CES4A",25,3,0.0681665025782143,"no",0.0944711706071732,0.194393297409293,0.0465355213940766,0.100163169762021,16,3,0.392187509727363,"no","",0.106495072595112,0.00391389432485323,511
"EMID2",26,2,0.0687787258749147,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
"LRRN3",25,2,0.0692827614706533,"no",-0.158832711110161,0.257900111951036,-0.428516510972001,0.112110951991689,16,2,0.437532456002133,"no","",0.280843046999866,0.0136986301369863,511
"DLX6",21,4,0.0704443617726982,"no",0.0238600913287805,0.170253893557759,-0.0374751404505387,0.175819940332765,13,4,0.259981860720391,"no","",0.0136046734623632,0.0176125244618395,511
"FABP12",24,3,0.0724299513580848,"no",-0.125208171153021,0.177744506597035,-0.215316463610552,0.170665072929031,15,3,0.439828180687159,"no","",0.245951413343846,0.0547945205479452,511
"PAK2",26,2,0.0738723841929459,"no",-0.0733479758216428,0.171183198298777,-0.111971229972133,0.0200147332804998,18,1,NA,NA,"THCA_Act",6.61630523698891e-07,0.0195694716242661,511
"C3orf43",26,2,0.0743405149189316,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0195694716242661,511
"RAPGEF3",25,2,0.0745492705435968,"no",-0.0973525589466235,0.192076130822681,-0.197990180553226,0.108307494610093,17,1,NA,NA,"",0.310634901287756,0.00587084148727984,511
"DDX19A",24,2,0.0746224527428217,"no",0.0754395568890362,0.137510777332451,0.0477888919109316,0.0149932294899993,15,2,0.522896890640283,"no","",NA,0.00195694716242661,511
"ATP13A3",25,2,0.0755261157472922,"no",-0.0446061091716056,0.0860322169944768,-0.0077027849687525,0.0473501195705474,18,1,NA,NA,"",2.80291622294927e-06,0.0195694716242661,511
"BRAF",26,2,0.0757737016161706,"no",0.0947109065401704,0.0758398464753678,-0.0847325001540284,0.0218544675573126,17,2,0.28588388689727,"no","BLCA_Act,BRCA_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,LUSC_Act,MM_Act,NSCLC_Act,OV_Act,PIA_Act,PRAD_Act,RPC_Act,THCA_Act,UCEC_Act",0.0149532003561677,0.0117416829745597,511
"CCDC144C",26,2,0.076036969415601,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
"DCLRE1C",24,2,0.0768474492946908,"no",-0.339034162379749,0.360369838809741,-0.246495457344598,0.0616701459672075,15,2,0.385962718230773,"no","",0.418258608025002,0.00391389432485323,511
"ARL16",25,2,0.0774648188215295,"no",-0.0182727698061018,0.11915854831332,0.0056103624546809,0.0123282321924719,16,2,0.393514719882673,"no","",0.00601615383450465,0.0195694716242661,511
"PARP8",23,3,0.0778886623023498,"no",0.0281145712634699,0.0849595357339391,-0.0281370939310026,0.0397662953429509,14,3,0.371655379326936,"no","",0.983931563527865,0.0645792563600783,511
"ALG10",23,5,0.0788287428467365,"no",-0.180339153696095,0.202022551368129,-0.213655681614027,0.140693098686084,14,5,0.231209501271381,"no","",0.00517105602373721,0.0293542074363992,511
"RAP1B",26,2,0.0790498285272904,"no",-0.0410695553302916,0.217472247635625,-0.165709353451542,0.052038609777688,18,1,NA,NA,"",2.73412772124041e-10,0.0430528375733855,511
"CHST4",26,2,0.0808017475614324,"no",-0.0592442730311718,0.207286374327307,-0.0928764831836969,0.178809376526723,17,2,0.44724267082981,"no","",NA,0,511
"ALDH6A1",26,2,0.0816828438036433,"no",-0.195491864814245,0.151989928922164,-0.10894680743471,0.0192774593576703,17,2,0.563372580177957,"no","",0.0270145952532834,0.00587084148727984,511
"AKR1C2",22,3,0.0816913197138734,"no",0.0884576766851295,0.0917786882892168,0.0240103178943608,0.0379599229266937,14,3,0.604740223439666,"no","",5.1100819419835e-06,0.025440313111546,511
"SLC20A2",25,2,0.0817766507840062,"no",-0.0774194010699377,0.191468632491116,-0.251266961241343,0.084581480793147,18,1,NA,NA,"",2.80622944246911e-06,0.0371819960861057,511
"CBX5",26,2,0.0823373977614693,"no",-0.110916842379888,0.274191436943759,-0.287674822516379,0.123821436129724,18,1,NA,NA,"",0.00441170938050816,0.0117416829745597,511
"CLCN3",24,2,0.0828819532311959,"no",-0.0458261369617445,0.174414086237315,-0.0962706598127045,0.0324331775784155,17,0,NA,NA,"",NA,0,511
"APH1A",23,4,0.0850636515726508,"no",0.014838721296687,0.0818890520144319,-0.0739843370023516,0.0778979864673562,14,4,0.156132974901999,"no","",3.00126012081792e-17,0.105675146771037,511
"CBR4",25,2,0.0855317570200433,"no",-0.0980822680164374,0.0837457610346923,-0.139809642414274,0.0788725043062282,18,0,NA,NA,"",NA,0,511
"PYROXD1",26,2,0.0872687103117752,"no",-0.0568068644575533,0.115033931898494,-0.0620280627125508,0.0232208542257643,17,2,0.592200885592192,"no","",2.35416012961373e-08,0.0332681017612524,511
"GLI1",25,2,0.087761675213245,"no",0.0323188868847732,0.0894931975266415,-0.0134974219115523,0.0132979448434588,18,1,NA,NA,"LEIS_Act",0.0362972102067525,0.0293542074363992,511
"YIF1B",24,2,0.0882564368200702,"no",-0.0421210022254713,0.166603621785083,-0.108919100365935,0.0141429549983395,15,2,0.338285368719919,"no","",1.9518613895443e-05,0.0176125244618395,511
"ATG4C",26,2,0.088312518940809,"no",0.0264192222152896,0.104411408015714,-0.0656548904997939,0.0783204698275641,17,2,0.135750214896881,"no","",0.00166186519073177,0.00782778864970646,511
"GLRB",24,2,0.0889136002785544,"no",-0.00281089005437832,0.11372907585544,-0.103565071098627,0.100327971888392,18,0,NA,NA,"",0.00885045842527617,0.00391389432485323,511
"GJC3",25,3,0.0905466370749479,"no",-0.206854648524035,0.207420328477559,-0.287154682741419,0.0743577487214105,16,3,0.0874290417381179,"no","",0.000408849046849077,0.0234833659491194,511
"NTSR1",21,6,0.0909808827284942,"no",0.00144996769663156,0.121046067245036,0.0444692779682795,0.214435571362916,12,6,0.767316215775804,"no","",0.648690483111026,0.050880626223092,511
"ARID3B",25,2,0.0922054146835029,"no",-0.204994911616505,0.2420141064675,-0.194160487659399,0.047858126701942,16,2,0.378791103772044,"no","",0.000564928060648474,0.00782778864970646,511
"C1orf204",25,2,0.0930099668359573,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0724070450097847,511
"GNB1L",25,2,0.0941178067816987,"no",-0.0352163145547683,0.17118323587655,-0.0219040278394462,0.0540479057726801,18,1,NA,NA,"",0.00429661353799956,0.0136986301369863,511
"CACNA1E",18,2,0.0951001111359245,"no",-0.0804779803558168,0.187838440083296,-0.234577909735704,0.00434051159145601,12,2,0.478273154908415,"no","",0.959025227623946,0.0293542074363992,511
"HES1",24,2,0.0966920249935186,"no",0.0302989231650403,0.14272539581574,-0.19721856081224,0.161179974687423,17,1,NA,NA,"",0.496943765828497,0.0195694716242661,511
"KLHL28",26,2,0.0967452171923075,"no",0.0283126501953166,0.101392006104551,-0.0284302113479385,0.0362159585626244,17,2,0.760613264466809,"no","",3.50632108372177e-08,0.0234833659491194,511
"CD36",24,4,0.0972904925725389,"no",0.0510740748256247,0.0636297788156402,0.0917507842825299,0.0235593627816369,15,4,0.729243053864774,"no","",0.305052125954363,0.00587084148727984,511
"GPR61",24,3,0.0974979416857833,"no",0.0769903577089192,0.068231423126677,0.0560961295664485,0.0629594515895123,15,3,0.594056521927679,"no","",NA,0,511
"SALL1",25,2,0.0990467134810318,"no",-0.0345353034246394,0.0784017445449607,0.0350761836173668,0.00823131955572995,17,2,0.526866802949214,"no","",0.170768542285555,0.0117416829745597,511
"AK5",23,2,0.10083600844681,"no",0.0590680312228429,0.0839612514655719,-0.121809030053044,0.02127986216316,14,2,0.126636348338418,"no","",0.684348253050623,0.00782778864970646,511
"FCGR3A",24,2,0.101071721103714,"no",-0.109140574027152,0.188621341832146,-0.124593035277531,0.166176250474969,15,2,0.22517611081079,"no","",0.17203278880458,0.0684931506849315,511
"COMT",24,3,0.103949622555461,"no",0.0475818733902409,0.10988730209257,-0.0249208631925871,0.143072753980689,17,2,0.616658052982826,"no","",0.00335108672736257,0.0136986301369863,511
"CNTNAP2",19,2,0.104007867334904,"no",-0.236381322030153,0.205031276771036,-0.218422385500918,0.077258536591271,13,2,0.734475951900747,"no","",0.0309612410446567,0.025440313111546,511
"TNFRSF10B",25,2,0.104539471287312,"no",0.0275934610472182,0.0921047846646095,-0.0809566505380211,0.0544831340983869,17,1,NA,NA,"",NA,0,511
"ARID2",22,2,0.104955755958501,"no",-0.0405053296800136,0.174187608863023,-0.168685082933022,0.0999543167774638,15,1,NA,NA,"BLCA_LoF,CH_LoF,CM_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,MBL_LoF,NSCLC_LoF,PAAD_LoF,PIA_LoF,SSCC_LoF,ST_LoF,THCA_LoF",0.442417648362952,0.00587084148727984,511
"C1QL3",24,2,0.105226745239773,"no",-0.132902645683657,0.350986096034495,-0.113011087038713,0.0218752207679564,15,2,0.645678691017626,"no","",NA,0.00195694716242661,511
"FAM46C",25,2,0.105291799797316,"no",-0.00221476575074631,0.18316043745201,-0.0129294834534011,0.0413551176469115,0,0,NA,NA,"MM_LoF",NA,0.00391389432485323,511
"CRABP2",26,2,0.105518334324985,"no",-0.079309705258635,0.15582778296191,-0.0171633770733691,0.0694316507582743,17,2,0.50359287872799,"no","",0.135571048769961,0.0724070450097847,511
"GPT",23,3,0.106016643810979,"no",-0.181954664755954,0.207135661496601,-0.133626469872368,0.140568822767935,15,2,0.842919841919697,"no","",0.105482250267003,0.0528375733855186,511
"DUSP23",25,2,0.106111779111725,"no",0.0050930749275502,0.109313997341336,0.0243480281643124,0.051230035204639,17,2,0.210477717117347,"no","",8.07849799104338e-06,0.0724070450097847,511
"TRIO",18,7,0.106605298784879,"no",0.0228109358584629,0.140678978001978,-0.0699636947479707,0.165877580994134,12,6,0.211276546389979,"no","",5.47214163400461e-14,0.11545988258317,511
"LY9",26,2,0.106909575738538,"no",-0.00860738935441572,0.145476612776307,-0.00264327199706758,0.00100350006037984,17,2,0.703163333192857,"no","",0.26802119563233,0.0684931506849315,511
