"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",3,16,4.14878136413143e-11,"yes",0.664401330406611,0.297149469346402,-0.210159143104443,0.17476088216287,2,11,0.00649547442764953,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.292768959435626,567
"KRAS",13,14,6.65505832408171e-07,"yes",-0.0563189318496551,0.179663564283464,-0.488286227556828,1.01933681228935,8,10,0.248448288188098,"no","ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act","yes",0.264550264550265,567
"CHD8",23,5,0.00185913884926373,"no",-0.0379558176595511,0.306014099880053,-0.183125250810604,0.152433903436183,15,4,0.292013069239444,"no","","yes",0.037037037037037,567
"GPR85",23,3,0.00523063961278653,"no",0.038897085679974,0.0963736266571527,-0.0310498299628334,0.0108594947311088,16,1,NA,NA,"","yes",0.0282186948853616,567
"PHOX2B",26,2,0.00656788631755038,"no",-0.0288865716945781,0.0838849988671057,-0.341018370043726,0.178123962983345,18,1,NA,NA,"","no",0.0105820105820106,567
"FN1",25,3,0.0067161970135166,"no",-0.0380642935248993,0.272132475897184,-0.23685592597364,0.141980171546599,18,1,NA,NA,"LUSC_LoF","yes",0.0211640211640212,567
"ATR",23,4,0.00727619297726864,"no",-0.495443541277787,0.31844474952074,-1.09284872872673,0.184837646622735,15,3,0.466143783631381,"no","CM_LoF,UCEC_LoF","yes",0.0335097001763668,567
"MAP1B",26,2,0.00756049813469594,"no",0.0501042832964954,0.136025983556718,-0.0731840902860234,0.00318467824379015,18,1,NA,NA,"","yes",0.037037037037037,567
"COL21A1",24,4,0.00782847906098188,"no",-0.0579838523604227,0.1711478252335,-0.088557096730503,0.079402460856079,16,3,0.681646609993868,"no","","yes",0.0388007054673721,567
"SIGLEC1",22,3,0.00928928476147235,"no",0.03918474575283,0.0887697468629908,-0.0886076598764906,0.355296327785193,13,3,0.441869454022902,"no","","yes",0.0335097001763668,567
"SUPV3L1",25,3,0.00931758787078134,"no",-0.271390867333676,0.273654413201271,-0.715170553889859,0.25314233460745,16,3,0.467027325932413,"no","","yes",0.00352733686067019,567
"WWP2",23,2,0.00988465936962894,"no",NA,NA,NA,NA,14,2,0.337513121815355,"no","","yes",0.00529100529100529,567
"PARP10",23,2,0.0108779987423002,"no",0.0582641769027052,0.174781418731013,-0.607258604701204,0.563366853438306,16,1,NA,NA,"","yes",0.00705467372134039,567
"PDZRN4",21,3,0.0133959684374275,"no",0.0569614505156492,0.157078195889383,-0.1901066619521,0.211999122473705,14,3,0.443303294383841,"no","","yes",0.0388007054673721,567
"PTPN12",22,3,0.0136215451339857,"no",0.0749484923586002,0.207946445799639,-0.0335751470277201,0.0627153633850819,16,0,NA,NA,"","yes",0.00352733686067019,567
"TNS3",24,2,0.0137891812535063,"no",-0.136429041305791,0.192769345963639,-0.0679171876627268,0.0637445542859182,15,2,0.631180782306777,"no","","yes",0.0264550264550265,567
"ABCC12",24,2,0.0151778723992778,"no",-0.0342292801857027,0.219411509151691,0.0175069586729463,0.0419675862939521,15,2,0.61789968082309,"no","","yes",0.0299823633156966,567
"CLSPN",25,2,0.0173604526717943,"no",-0.809126562198634,0.527297939651841,-1.48442331741294,0.773563248574219,18,0,NA,NA,"","yes",0.0158730158730159,567
"ITGAX",26,2,0.017992220890354,"no",0.0244191486663231,0.123686037316368,-0.432656175081767,0.468505584358245,17,2,0.696518435924529,"no","","yes",0.0687830687830688,567
"FASN",18,7,0.0184349174392886,"no",-0.102906699065117,0.158222490248578,-0.0911514528804792,0.150698699726008,12,4,0.356044525627675,"no","","yes",0.0282186948853616,567
"ATP2B2",23,4,0.0185780166483886,"no",0.0219027728044786,0.135655656037729,-0.0607500835745145,0.0596441377756504,15,3,0.196160493307536,"no","","yes",0.0476190476190476,567
"KCNV1",22,4,0.0186148558713103,"no",-0.115750529358279,0.205289597277141,-0.243589982925825,0.325099153351408,14,3,0.534693135296064,"no","","yes",0.0194003527336861,567
"LRRC4C",25,2,0.020354153162416,"no",0.0146733314977221,0.117236521634645,-0.0157568238915666,0.0452215254653741,17,2,0.419239364520201,"no","","yes",0.0670194003527337,567
"OTUB1",25,2,0.0215747522749048,"no",-0.00775133935827712,0.101320655814222,-0.213122643584406,0.219857702220932,16,2,0.604052576442349,"no","","yes",0.0017636684303351,567
"ITGA4",24,3,0.0222540856178709,"no",-0.0593050125814342,0.182858427881436,-0.143483081609819,0.673971810094193,15,3,0.880137320913693,"no","","yes",0.0493827160493827,567
"KIF17",23,4,0.0227410857178939,"no",0.0267755792513997,0.0853914252179087,-0.00467212224257277,0.0363809263660687,16,2,0.480843510260887,"no","","yes",0.0282186948853616,567
"RASA2",26,2,0.0234955800546381,"no",0.0412273625276447,0.144866506225677,-0.017088350400649,0.127822940320442,17,2,0.415480261938658,"no","DLBCL_LoF","yes",0.0105820105820106,567
"PRDM14",23,2,0.0236971127668377,"no",-0.0182115626876752,0.222984703315552,-0.004050817823641,0.0219046872907647,15,1,NA,NA,"","no",0.0388007054673721,567
