"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",3,10,2.68549470764255e-09,"yes",0.664401330406611,0.297149469346402,-0.240420392425213,0.1299881746131,2,8,0.0146032565812152,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.192239858906526,567
"RB1",24,2,0.00244973635969516,"yes",0.0831126653139342,0.177901554649269,-0.274604531791761,0.137883064036721,16,1,NA,NA,"ACC_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CM_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LEIS_LoF,LUAD_LoF,LUSC_LoF,MM_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PIA_LoF,PRAD_LoF,RB_LoF,S_LoF,SCLC_LoF,ST_LoF,UCEC_LoF,UCS_LoF","yes",0.0493827160493827,567
"EGFR",17,2,0.00381603423968487,"yes",-0.00445809104547785,0.0967119983953797,-1.00865444788482,0.0477353901029809,11,1,NA,NA,"BRCA_Act,COREAD_Act,GBM_Act,HGG_Act,LGG_Act,LUAD_Act,MM_Act,NSCLC_Act,PIA_Act","yes",0.0511463844797178,567
"PAPPA",23,2,0.00570856460316485,"yes",NA,NA,NA,NA,16,1,NA,NA,"","yes",0.00881834215167548,567
"GRM7",25,2,0.00732972563766921,"no",0.0250419998986184,0.0749269833772864,-0.110590680601189,0.0410761661309255,16,2,0.716428571838251,"no","","yes",0.00705467372134039,567
"TICAM1",26,2,0.0125748089420656,"no",0.0769590619279401,0.0860851268694764,-0.0101018679581828,0.0329044985037707,19,0,NA,NA,"","yes",0.0017636684303351,567
"CLSPN",25,2,0.0148133698995715,"no",-0.809126562198634,0.527297939651841,-1.94406492655413,0.31392163943303,18,1,NA,NA,"","yes",0.0017636684303351,567
"ELAVL2",20,2,0.0185023961942874,"no",-0.12234109776852,0.226581743107445,-0.60134436827247,0.0506355617325626,12,2,0.623606836743163,"no","","yes",0.00352733686067019,567
"PVRL1",24,2,0.0233329611877838,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0,567
"ZMYM5",25,2,0.0244631757152504,"no",-0.0205805692702169,0.16057099671139,0.217772849058995,0.272854419402346,18,1,NA,NA,"","yes",0.00352733686067019,567
"ZFHX4",13,2,0.0440270475447731,"no",0.0819453301926502,0.144513773566913,-0.0270748744105357,0.0262059264816335,8,1,NA,NA,"","yes",0.0529100529100529,567
"KIF15",24,3,0.0491720310973501,"no",-0.25200461904648,0.210476667793456,-0.210000582988328,0.089708012393397,15,3,0.804669122580121,"no","","yes",0,567
"KIF21B",23,2,0.0505346123596605,"no",-0.10951892143951,0.211312763927203,-0.568228652557512,0.420012305635085,15,2,0.686607006740156,"no","","yes",0.00705467372134039,567
"CNTNAP2",19,2,0.0586239506579457,"no",-0.236381322030153,0.205031276771036,-0.108081351900985,0.0330824970086619,13,2,0.450684035656495,"no","","yes",0.0211640211640212,567
"ZFHX3",21,2,0.0632075123093417,"no",-0.303352193545814,0.298181784770283,-0.732516299841772,0.405024518278188,14,1,NA,NA,"BLCA_LoF,BRCA_LoF,DLBCL_LoF,MM_LoF,PAAD_LoF,PRAD_LoF,THYM_LoF,UCEC_LoF,VV_LoF","yes",0.00705467372134039,567
"ATP2B1",25,2,0.0800009723418593,"no",-0.16713860291363,0.150316460952003,-0.411031680215363,0.041434854844016,16,2,0.788786390031068,"no","","yes",0.00529100529100529,567
"MYO7A",24,2,0.0822110387242299,"no",-0.118840410145097,0.157734533675756,-0.187965748667427,0.03061922550146,17,1,NA,NA,"","yes",0.00352733686067019,567
"BAZ2B",26,2,0.0910099696073177,"no",0.060712174397216,0.0729086703885142,-0.124412883885139,0.0422372310379008,17,2,0.537366765438672,"no","","yes",0.0105820105820106,567
"COL5A3",25,2,0.110581754912103,"no",0.0321960138026677,0.150319950927444,-0.152917669915326,0.0210389926898565,16,2,0.669399326220559,"no","","yes",0.0158730158730159,567
"SMYD1",25,2,0.117154134825273,"no",-0.0471244020823971,0.145093333127673,-0.429403982155093,0.601889467216597,17,2,0.591677321128549,"no","","no",0.0017636684303351,567
