"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"ATP6V1B2",26,2.02831261297268e-07,"yes",-0.913909490224702,0.393641410805433,18,6.85428401450802e-30,"yes","",1.90613606319865e-13,"down","","",567
"RAB5B",27,2.81525304283284e-06,"yes",0.000308028499002215,0.0867931125887417,19,0.999905785966043,"no","",5.29935386027391e-09,"down","","",567
"PRKAA1",22,9.14327732891296e-06,"yes",-0.206255936119827,0.246413783168452,15,0.97004967337131,"no","",0.000145198740556475,"up","","",567
"PI4KAP2",27,2.06153904794205e-05,"yes",0.0903200786141101,0.160820992740825,0,NA,NA,"",0.0179600364200404,"up","","",567
"PPARGC1A",26,2.51079647478313e-05,"yes",-0.0440855100921808,0.159282547275815,19,1.00000000352069,"no","",7.51845585319835e-12,"down","ANK2 (depleted, 10% vs 24%)","CMTR2 (depleted, 0% vs 6%), STK11 (enriched, 21% vs 2%)",567
"RAB7A",28,2.56618120435284e-05,"yes",-0.241971856853099,0.247608642732468,19,7.94011507731266e-07,"yes","",2.74301996173166e-05,"down","SI (enriched, 22% vs 6%), TP53 (enriched, 37% vs 20%)","SMARCA4 (enriched, 7% vs 1%), STK11 (depleted, 6% vs 17%), TTN (enriched, 13% vs 5%)",567
"FUBP1",25,5.68177309917135e-05,"yes",-0.703495684497821,0.405532140500599,16,1.70339542449896e-05,"yes","CLL_LoF,LGG_LoF",2.68213142165855e-23,"up","","TP53 (enriched, 26% vs 13%)",567
"RNGTT",27,7.57075992234531e-05,"yes",-0.317367323265212,0.306586259664681,18,5.40413039718921e-23,"yes","",0.00559288198553305,"up","","",567
"CDK1",26,8.06565867335181e-05,"yes",-1.14088195412201,0.558477028277556,18,4.44902944756569e-37,"yes","",3.55584278157066e-29,"up","TP53 (enriched, 40% vs 18%)","FBN2 (enriched, 6% vs 0%), SMARCA4 (enriched, 8% vs 1%), TP53 (enriched, 27% vs 13%)",567
"UBE2Z",26,0.0001015076145571,"yes",-0.294702280311299,0.276021397775765,17,5.55372156603285e-09,"yes","",2.28004406390879e-19,"up","","",567
