"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"TP53",3,1.73642428802356e-06,"yes",0.664401330406611,0.297149469346402,2,2.23175204538961e-07,"yes","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF",4.81241007603606e-09,"up","","TP53 (depleted, 4% vs 35%)",567
"EED",26,4.7336435505807e-06,"yes",0.0764272647979324,0.140499368070541,18,0.995243198737986,"no","",2.26437079915526e-23,"up","TP53 (enriched, 38% vs 19%)","RB1 (enriched, 8% vs 0%), TP53 (enriched, 25% vs 14%)",567
"GCLC",27,8.75590086302225e-06,"yes",-0.0849434091635793,0.108192942152642,18,0.00210499196763048,"no","",1.52662733923995e-12,"up","CDH18 (enriched, 13% vs 3%), COL5A2 (enriched, 13% vs 3%), KEAP1 (enriched, 25% vs 2%), SPHKAP (enriched, 14% vs 4%), TTN (enriched, 52% vs 35%)","DNAH9 (enriched, 6% vs 1%), KEAP1 (enriched, 9% vs 0%), RB1 (enriched, 8% vs 1%), SMARCA4 (enriched, 7% vs 1%)",567
"ARL14",27,1.00398995297457e-05,"yes",0.124351546804679,0.152178040432026,18,1.62370778711285e-07,"yes","",2.03603001249349e-06,"up","","STK11 (depleted, 7% vs 17%)",567
"DRD3",27,1.05639009810865e-05,"yes",-0.0322919065986779,0.174958002460372,18,0.827337463486848,"no","",0.425571380682798,"up","","",567
"ANGPTL4",28,1.51647246529052e-05,"yes",0.0233351501616436,0.098684200644353,19,0.400837044978659,"no","",3.08277017456775e-08,"up","","",567
"FN1",25,3.12683583968409e-05,"yes",-0.0380642935248993,0.272132475897184,18,0.000761889515421221,"no","LUSC_LoF",0.00881546628880005,"up","","",567
"ARID3A",26,3.27794830760064e-05,"yes",0.0158746932793713,0.129694428032208,17,0.999999980579183,"no","",7.77200175093575e-06,"up","","",567
"ZBTB1",27,7.62684043909001e-05,"yes",0.125523471886492,0.0865482121484611,18,0.15965372145161,"no","",0.466870521448724,"up","","",567
"MTG1",27,0.000109686264647801,"yes",-0.00751899136350645,0.103327593035576,18,0.9999999036091,"no","",2.66802167060161e-20,"up","","",567
