"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"SDHA",2,3,0.0155733147314111,"yes",0.115747564601945,0.0421479947356722,-0.234625363531874,0.168243442006552,2,3,0.60935129826196,"no",""
"MTRR",2,3,0.102219733929395,"no",0.0198151105452594,0.0401202392160756,-0.00953854717657157,0.0907431419586434,2,3,0.62045613213536,"no",""
"KRAS",2,2,0.108805144608993,"no",-0.0448794534570555,0.0144032248792138,-0.313594318227975,0.3360596143299,2,2,0.580092815932403,"no","ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act"
"SLC6A3",2,3,0.112209758658975,"no",-0.0898217934360216,0.146115461257608,-0.0447072739386111,0.177322443617194,2,3,0.830265724675514,"no",""
"OR2T10",2,3,0.117447615079332,"no",0.116468870757984,0.000176941309656495,0.0555562364734736,0.0882396236139653,2,3,0.152297952986482,"no",""
"TERT",2,3,0.120420625428956,"no",0.0824824755303073,0.0427835825555057,-0.0118168666860441,0.127975539046048,2,3,0.89477509873346,"no",""
"WASH3P",3,2,0.154027373091955,"no",0.224622926903263,0.0929448689980134,-0.0283957246142885,0.0014019517404907,0,0,NA,NA,""
"AGXT2",2,3,0.178883680312937,"no",-0.173213653388952,0.016552126377675,-0.218423409620049,0.0930224825364169,2,3,0.513188450607976,"no",""
"IRX1",2,3,0.20087040884031,"no",0.153903362681387,0.03585685563815,0.0647827536278073,0.00534370778310135,2,3,0.234536392651254,"no",""
"C1QTNF3",2,3,0.208094914456837,"no",0.237765380530978,0.07693467746895,0.241206571081596,0.17024767443119,2,3,0.515119716492807,"no",""
"C1QTNF3-AMACR",2,3,0.208094914456837,"no",0.00778546466150523,0.00310108205169417,-0.284008115625894,0.0831083105968851,0,0,NA,NA,""
"CFH",3,2,0.231009377021172,"no",-0.166703770105437,0.0850485269189054,-0.0693050831857424,0.0144358256588119,3,2,0.376490660409367,"no",""
"CDH6",2,3,0.249618957656612,"no",0.0428189674871497,0.00829491431798315,0.105305671060912,0.125191521509964,2,3,0.380107066630731,"no",""
"SKP2",2,3,0.255068129198911,"no",0.0596195289471422,0.000541059902588001,-0.00109355122423332,0.14415859664191,2,3,0.530596437136933,"no",""
"DROSHA",2,3,0.265581493774539,"no",-0.137677918281678,0.0619704788525091,-0.0412764925810247,0.145542448585368,2,3,0.397759262350647,"no","LUSC_LoF,WT_LoF"
"TRIO",3,2,0.277243528677946,"no",0.00240973454916696,0.115084810902008,0.0219063164483946,0.0568355927758533,3,2,0.337741187040863,"no",""
"UBE2QL1",2,3,0.278026964165971,"no",0.0317952236694387,0.0549269320708161,0.204902820784981,0.135576190140393,2,3,0.481312532976202,"no",""
"NSUN2",2,3,0.298602091130103,"no",0.0641929892125356,0.0498894037318854,-0.102318246523725,0.0203859669997419,2,3,0.451298436354137,"no",""
"RICTOR",2,3,0.322488918837542,"no",NA,NA,NA,NA,2,3,0.779182275045536,"no",""
"NIM1",2,3,0.343290937623859,"no",NA,NA,NA,NA,0,0,NA,NA,""
"NPR3",2,3,0.379027410479906,"no",0.0614225527434051,0.00693424680994786,0.0484875190669206,0.104854755742387,2,3,0.371764371465087,"no",""
"MED10",2,3,0.379552441077512,"no",-0.101474445376955,0.0770670941022661,-0.13573974069988,0.0820748976095698,2,3,0.444297018859349,"no",""
"CLPTM1L",2,3,0.398450931616412,"no",0.103253600696949,0.0799811868818801,0.0775995272945566,0.261767229997575,2,3,0.522883031239973,"no",""
"OR2T29",3,2,0.420454647500627,"no",NA,NA,NA,NA,3,2,0.502058408270943,"no",""
"C7",2,3,0.424669543046646,"no",-0.212998298654394,0.134738020549252,-0.367567597025343,0.435494983809548,2,3,0.513734273919518,"no",""
"SLC1A3",2,3,0.481651446816838,"no",-0.0905683560167787,0.000786616786225547,-0.0258562643293058,0.158460761733647,2,3,0.494917098019648,"no",""
"UGT3A1",2,3,0.492125848814409,"no",-0.0142508793161882,0.10010301485025,0.0448251700659444,0.136305229950376,2,3,0.614207758487223,"no",""
"IL7R",2,3,0.523845801895484,"no",0.140881310662521,0.0617659985689316,0.0522856142477819,0.228224164464609,2,3,0.429723122870374,"no","ALL_Act,ESCA_Act,HC_Act"
"ARL17A",3,2,0.536583213214846,"no",0.0955320662753243,0.0357400821112481,-0.0381692553172201,0.0378275219390786,0,0,NA,NA,""
"ARL17B",3,2,0.536583213214846,"no",-0.0897337928482372,0.00170128722042379,0.148085658013756,0.0607030520927097,0,0,NA,NA,""
"PAIP1",2,3,0.547904819673972,"no",0.0417490991650243,0.0795131114061817,-0.132535680100613,0.121705966392228,2,3,0.634376897933789,"no",""
"PLEKHG4B",2,3,0.552046879756757,"no",-0.023560940541769,0.150260962423992,-0.184711415331021,0.102237887667547,2,3,0.791505140402138,"no",""
"FGF10",2,3,0.559888451707265,"no",-0.0142195288252127,0.0744686778479237,-0.077784882600642,0.104662372081543,2,3,0.42752971520214,"no",""
"IRX4",2,3,0.575446041885578,"no",0.0821540319471786,0.0662654369209994,0.16337008363764,0.166111068397781,2,3,0.663536152236689,"no",""
"MYO10",2,3,0.589977862772522,"no",0.0690907131062286,0.112531421433312,-0.0551420313053958,0.0703502120159515,2,3,0.37164444156588,"no",""
"SLC6A19",2,3,0.593608098683437,"no",-0.014520006661197,0.155377739792037,-0.222294744403279,0.258565980756758,2,3,0.519149080500183,"no",""
"TRIP13",2,3,0.611208088580553,"no",-0.148564925460726,0.116511735790702,-0.10863904023883,0.152024860913949,2,3,0.48412465762731,"no",""
"PRKAA1",2,3,0.621797219637579,"no",-0.1591287691093,0.0731369751014244,-0.177699017588597,0.035804745631817,2,3,0.484082679932726,"no",""
"DNAH5",2,2,0.660218748341981,"no",0.107407825272087,0.150139720298877,0.0612381103929575,0.0235428147436143,2,2,0.427822057421105,"no",""
"MYC",2,3,0.674166793303203,"no",-0.413683263896015,0.174355401874321,-0.396237805089175,0.684337810509228,2,3,0.49756352074562,"no","AML_Act,BLY_Act,LY_Act,NHLY_Act"
"ANKH",3,2,0.721054976799318,"no",-0.121232625950077,0.160345423961959,-0.144596363077033,0.0145562485230935,3,2,0.127568277491854,"no",""
"MTMR12",2,3,0.721839585190836,"no",-0.0979559503966505,0.0195904693655485,-0.0100448569664277,0.181282207495116,2,3,0.58435141522554,"no",""
"NSFP1",2,3,0.743953910881599,"no",0.422060118460858,0.0248392063388849,0.31995142832914,0.236492763751262,0,0,NA,NA,""
"CASC1",3,2,0.758741860666634,"no",-0.0842467304210125,0.191284248446622,0.0498889340618015,0.00482066772064525,3,2,0.7508793442209,"no",""
"AHRR",2,3,0.762188488022635,"no",-0.164391907254253,0.0041206958776685,0.025019932646447,0.0483777704282043,2,3,0.78074338612667,"no",""
"IRX2",2,3,0.763840705227212,"no",-0.103653417495463,0.0579271039621633,-0.102091182531707,0.0753966839639564,2,3,0.553495837070021,"no",""
"NNT",2,3,0.769751976926618,"no",-0.153491464947708,0.161712087546717,0.131287640588028,0.259152518006763,2,3,0.262116893662941,"no",""
"ZNF131",2,3,0.780644089671965,"no",-0.0342865457657348,0.0431049730979169,0.0131299237664351,0.132693381339835,2,3,0.550453311701987,"no",""
"PRDM9",2,3,0.793243432794682,"no",-0.107540310997467,0.0570117661949174,0.0461023453027883,0.109005179531271,2,3,0.652330830749449,"no",""
"ANKRD33B",3,2,0.830563597007539,"no",0.0333395761803629,0.121130965435297,0.180359077999481,0.055732618595418,3,2,0.169761805000103,"no",""
"WDR70",2,3,0.875977531677077,"no",-0.528533282509735,0.310643654401356,-0.296484500930022,0.111132401078116,2,3,0.446879114954899,"no",""
"PTGER4",2,3,0.884974584412172,"no",NA,NA,NA,NA,2,3,0.779883909825128,"no",""
"BRIX1",2,3,0.919409793533966,"no",-0.205444200190791,0.196473802449483,0.00552593590159866,0.0964059132232247,2,3,0.516211159342293,"no",""
