"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"KRAS",2,2,0.00385900788586045,"yes",-0.0448794534570555,0.0144032248792138,-0.789032813191066,0.139378880633191,2,2,0.398928869523561,"no","ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act"
"LAMA5",3,2,0.0152839085045455,"yes",-0.0191105407993171,0.0910982851603353,-0.261362198265693,0.140859479402172,3,2,0.446129255106998,"no",""
"ATP8A1",3,2,0.0636723091524787,"no",0.0165522794137175,0.0569915140936222,-0.0374886127713438,0.134307714336883,3,2,0.526489359419609,"no",""
"HECW1",3,2,0.0656934276946862,"no",-0.127399792554359,0.0890146381976032,-0.156166873426132,0.028664466521948,3,2,0.393042315345634,"no",""
"HOXD11",3,2,0.0886938432223004,"no",0.031190252921453,0.0424541094253934,-0.00480614907733601,0.221749101160922,3,2,0.615298208645211,"no",""
"NLRP3",2,2,0.102862348561482,"no",-0.0305375664601931,0.0100304845642493,0.0082598928400992,0.0591819199922831,2,2,0.642882942090064,"no",""
"LRP1B",3,2,0.104460904420906,"no",0.139274933975406,0.185407941675707,0.0965940862647819,0.0097022285990381,3,2,0.092469777394192,"no","AML_LoF,AN_LoF,BRCA_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,MGCT_LoF,MM_LoF,NB_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PRAD_LoF,RCCC_LoF,RHBDS_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCS_LoF,UVM_LoF"
"TP53",2,2,0.109955773724779,"no",-0.0183282323873612,0.0967554658070508,-0.140618560339015,0.0426997010656025,2,2,0.485715562465672,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF"
"CLCN1",2,2,0.127432648568654,"no",0.0640165445784499,0.0313595624207765,-0.121834941263022,0.021347653521899,2,2,0.577495624505908,"no",""
"COL18A1",3,2,0.196653728464765,"no",0.0954340248794927,0.117162967436902,0.0220882169073135,0.162242987277188,3,2,0.701800810543178,"no",""
"DHX37",3,2,0.208426631313615,"no",-0.274400462334803,0.204465060499042,-0.444605037959016,0.146734455090324,3,2,0.51545555655827,"no",""
"HDAC9",3,2,0.224219284560147,"no",0.161759589135362,0.111541811182837,0.113393591616217,0.0822361132449747,3,2,0.498529705426445,"no",""
"BAZ2B",2,2,0.23010700605799,"no",0.0384886750766369,0.09521891978935,0.0275017820923871,0.030517101924165,2,2,0.470875911442066,"no",""
"IBTK",3,2,0.246049837013359,"no",-0.015256242291503,0.0309563107280047,0.0526536908822869,0.118760461052154,3,2,0.297425005230383,"no",""
"ADAMTS20",3,2,0.27468358550012,"no",0.0518957604787254,0.0844991367203893,-0.342185339200423,0.317896386350075,3,2,0.275249338597254,"no",""
"TRIO",3,2,0.277243528677946,"no",0.00240973454916696,0.115084810902008,0.0219063164483946,0.0568355927758533,3,2,0.337741187040863,"no",""
"KEAP1",3,2,0.295888177936994,"no",-0.000981607426745757,0.130083610279089,-0.0317724656290327,0.0184840414989645,3,2,0.784037214281506,"no","CH_Act,HC_Act,LUAD_Act,LUSC_Act,NSCLC_Act,RCCC_Act"
"MUC12",3,2,0.296471294748943,"no",-0.049290463429398,0.0979864384368888,0.00825195620433075,0.0523780182527484,3,2,0.673499599927356,"no",""
"JAG1",3,2,0.321016666915466,"no",0.107699143400164,0.0440953499547988,0.0556822095527841,0.0304083409609475,3,2,0.753790991326316,"no",""
"SLC39A11",3,2,0.34793413578008,"no",0.00659909005023928,0.0305423957848047,0.0480936595248655,0.156076216203361,3,2,0.492564892368954,"no",""
"ROCK2",3,2,0.356933908452034,"no",0.239830171123413,0.23271082666583,0.097899261525376,0.0581397524942479,3,2,0.0338166878347221,"no",""
"LRIT2",3,2,0.376386665232878,"no",0.0466720981317436,0.0608797451990642,0.040729757279538,0.169239211937284,3,2,0.540264794929542,"no",""
"SMARCAL1",3,2,0.37857754874393,"no",0.101596144332574,0.0655534123543355,0.100639291352441,0.0599611745890489,3,2,0.319756428143008,"no",""
"HTR5A",2,2,0.382349016831005,"no",-0.0298601874204255,0.136622740369978,-0.193655260970358,0.0207462226877415,2,2,0.37592961876136,"no",""
"ARHGAP22",3,2,0.408320750935261,"no",-0.0733096700849209,0.127721842028995,-0.024511255611821,0.14175316527634,3,2,0.236914142464567,"no",""
