"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"SBK1",5,4.7048555381992e-11,"yes",-0.584970043855081,0.192010398629344,5,0.29468775139805,"no",""
"WWP2",5,2.35659586154877e-06,"yes",NA,NA,5,0.628801654337164,"no",""
"ADRBK2",4,6.03136590007032e-06,"yes",NA,NA,0,NA,NA,""
"ARPC1A",5,3.11412197176677e-05,"yes",NA,NA,5,0.971366749376519,"no",""
"OVOL1",5,6.05467198494287e-05,"yes",-0.159933768648353,0.184037239087203,5,0.995488345567019,"no",""
"DDX4",5,0.000147196836286756,"yes",-0.131451908765434,0.12915246511834,5,0.709994960313117,"no",""
"GPT2",5,0.000184534743879766,"no",-0.0655094134474484,0.0397967118688519,5,0.236392516974634,"no",""
"FCN1",5,0.000185172940373467,"no",-0.113594101084735,0.340384804190249,5,0.65161335787898,"no",""
"TMEM65",4,0.000256331163845777,"no",-0.0652638503820156,0.0379907969292169,4,0.985567195414513,"no",""
"EPB41L4A",4,0.000274498411317521,"no",-0.553344984387734,0.465296219518318,4,0.776979282056082,"no",""
"PRRT1",5,0.000315327440862868,"no",NA,NA,5,0.995640527061129,"no",""
"ATOH8",5,0.000443155025034195,"no",-0.197077993571121,0.103378098956652,5,0.816323548295227,"no",""
"LOC728554",5,0.000473835787844486,"no",-0.117423384666319,0.626597417735608,0,NA,NA,""
"ROBO2",4,0.000574586051868221,"no",-0.0117404791637281,0.0822797505989923,4,0.388044709741236,"no",""
"UNC119B",5,0.000578589375365053,"no",-0.461052931620252,0.149284165285666,5,0.0158708220556415,"no",""
"XRRA1",4,0.000665472736842283,"no",-0.560324469656329,0.204688042215449,4,0.321960780195512,"no",""
"EEF2",4,0.000762718995804084,"no",-1.30911170452947,0.290245369653893,4,1.32819125138368e-13,"yes",""
"RAB3GAP1",5,0.000813869710501938,"no",-0.0725788961536412,0.176320442660833,5,0.0882618803146304,"no",""
"EIF5A",5,0.00084246464124455,"no",-0.438763067209816,0.23891679580163,5,6.92861691895737e-06,"yes",""
"EIF5AL1",5,0.00084246464124455,"no",-0.52461324725637,0.077878021144409,5,0.00276616192203013,"no",""
"TNFRSF21",4,0.00115873890352698,"no",-0.0175825403516521,0.158179161493543,4,0.999224976565788,"no",""
"NID1",3,0.00129091703065196,"no",-0.0552708070766346,0.0726803142087578,3,0.536257568881363,"no",""
"THOC3",4,0.00129717803716115,"no",-0.976478981399533,0.519144013260003,4,1.70351864634626e-05,"yes",""
"BCKDK",5,0.00130906387994056,"no",-0.214840394036633,0.176731098317274,5,0.632537263118306,"no",""
"STK38L",4,0.0013807584189881,"no",-0.0337662740763275,0.095352966175537,4,0.59246431399462,"no",""
"GNG8",5,0.00140171340842943,"no",-0.297379621917954,0.149522178346017,5,0.591379687802024,"no",""
"MTOR",4,0.00140596750133074,"no",-0.677490780625485,0.230160276237311,4,2.52978921276654e-06,"yes","AML_Act,ANGS_Act,BRCA_Act,COREAD_Act,HC_Act,LGG_Act,OS_Act,PAIS_Act,RCCC_Act,RCH_Act,UCEC_Act"
"URI1",4,0.00144011467436305,"no",-0.603962725622023,0.252395086058227,4,1.07761324705855e-05,"yes",""
"RANBP2",5,0.00150636065943536,"no",-0.861075971516945,0.0851610380025161,5,6.97181620886733e-05,"yes","HC_LoF,NB_LoF,NSPH_LoF,PCPG_LoF,PRAD_LoF,RCCC_LoF"
"MEP1A",5,0.00151235253883241,"no",-0.0606615452069027,0.0550350167241998,5,0.941934416842059,"no",""
"FZR1",5,0.00182820341140282,"no",-0.3148880405569,0.476916265724729,5,0.0992083431129414,"no",""
"PPP1CC",5,0.00186136950689167,"no",-0.442851386692654,0.069658007359636,5,0.00544436749612914,"no",""
"UBE2I",5,0.00194482122700479,"no",-0.733118556222101,0.134545352373951,5,1.75808329933413e-06,"yes",""
"NME4",5,0.00201716691364978,"no",-0.101383589133173,0.0591621999515455,5,0.324006470982873,"no",""
"ZNF92",5,0.00210949074292827,"no",-0.0393426171711994,0.0655553649780422,5,0.154270005749132,"no",""
"CLASP1",5,0.00212858001291607,"no",-0.188165616852022,0.112160497364127,0,NA,NA,""
"TRPC4",4,0.00247565352882831,"no",-0.292479822315278,0.168697948605586,4,0.371661942646743,"no",""
"MMEL1",5,0.00269046856500409,"no",-0.122608937911209,0.090706860096981,5,0.160710133698884,"no",""
"MTNR1B",5,0.00269590989829717,"no",-0.114243387698564,0.129398746235246,5,0.94238980256401,"no",""
"INPP5A",5,0.00273562341394198,"no",-0.227857945323781,0.133037908553532,5,0.177450590395821,"no",""
"PMP22",5,0.00283058192671906,"no",-0.0870459082619593,0.0439930013257627,5,0.578917287809352,"no",""
"HS3ST2",5,0.003182359905671,"no",-0.370377064808618,0.030822841877582,5,0.966240300215679,"no",""
"ALDH2",5,0.00392044752052106,"no",-0.0428465480760133,0.118310157538557,5,0.664074480812599,"no",""
"CDC42SE2",5,0.00431375704578346,"no",-0.531079993773088,0.131068340049673,5,0.951446135072378,"no",""
"ZFHX3",4,0.00448211150644905,"no",-0.619060824456533,0.137903168332283,4,0.96034494150649,"no","BLCA_LoF,BRCA_LoF,DLBCL_LoF,MM_LoF,PAAD_LoF,PRAD_LoF,THYM_LoF,UCEC_LoF,VV_LoF"
"ATAD1",5,0.00459861214595426,"no",-0.205144381865694,0.163474883709091,5,0.999999999123762,"no",""
"RAB40C",5,0.00467846913172741,"no",-0.0981882271367586,0.138872371583039,5,0.99432645691998,"no",""
"GGA2",4,0.00503589448928475,"no",-0.0719410043871095,0.26011322448294,4,0.911116124447645,"no",""
"MED15",4,0.00543257119715239,"no",-0.234713984680643,0.354546019507302,4,0.0166724850797177,"no",""
"CLDN1",5,0.00559081404521316,"no",-0.16164346408149,0.262501787572185,5,0.845920684374914,"no",""
"SEMA6C",5,0.00566686839941863,"no",-0.0564241041741442,0.141476886706954,5,0.581456646530978,"no",""
"RAB28",4,0.00578472912834277,"no",-0.179538461408836,0.121950956790785,4,0.962038033557309,"no",""
"CLDN11",5,0.00595883664745755,"no",-0.0864676461581956,0.0767791010274368,5,0.456394886456955,"no",""
"DOK3",5,0.00596654403086081,"no",-0.0181175131196187,0.0351993008358051,5,0.566687615840644,"no",""
"PDE6G",5,0.00611450628045172,"no",-0.106902936124684,0.0885859711628013,5,0.169257750385894,"no",""
"MED30",4,0.0063381784362154,"no",-0.69567522661318,0.188192570260904,4,8.16432603254778e-09,"yes",""
"PLEKHG2",4,0.00636767543065136,"no",-0.0805356820127373,0.0947326908608265,4,0.0736623676233014,"no",""
"CLP1",5,0.0068185383555843,"no",-1.06086380378138,0.580789935470529,5,4.84271515199282e-07,"yes",""
"NFIA",4,0.00684337387924533,"no",-0.234399274904589,0.248450365163958,4,0.171550207481534,"no",""
"DCLK1",5,0.00695693446427774,"no",-0.119155348454641,0.22000448623997,5,0.511178908497471,"no",""
"AGAP2",5,0.0069773035881407,"no",-0.0356499473222768,0.0665427688959487,5,0.00536795530030685,"no",""
"OXA1L",5,0.007003562538046,"no",-0.522024548116988,0.539261662828174,5,0.00544436749612915,"no",""
"LRRC7",5,0.00723446846721728,"no",-0.339873245610532,0.215754693166301,5,0.99861052011295,"no",""
"ASH2L",4,0.00730512479620337,"no",-0.551246503014581,0.327380466551771,4,0.0126726688720983,"no",""
"FYN",5,0.00756730636479772,"no",NA,NA,5,0.861712278260189,"no",""
"MTHFSD",5,0.00764847978579867,"no",-0.424132126352871,0.219781128706088,5,0.66654710806145,"no",""
"CHRNE",5,0.00788011972794273,"no",0.0224702598342806,0.227342953628666,5,0.471657372043762,"no",""
"NDRG1",4,0.00788962820119285,"no",-0.120795373017692,0.166298588196935,4,0.965059499528715,"no",""
"TMEM64",4,0.00791278756025231,"no",-0.100561478016201,0.0474444975834624,4,0.0155704984042279,"no",""
"KIF27",5,0.00794778472651487,"no",-0.106654818814638,0.0283348304524091,5,0.00391164284465127,"no",""
"CCNI",5,0.00856420053840445,"no",-0.288495252140237,0.225392421697046,5,0.891809083147837,"no",""
"TTC16",4,0.00870607839492888,"no",-0.224254618733395,0.124421198509135,4,0.997323810018836,"no",""
"GPX4",5,0.00876163575820523,"no",-0.827359859755088,0.169958258640618,5,0.0034727000301767,"no",""
"SHC2",5,0.00876163575820523,"no",-0.19362982275924,0.039530689515279,5,0.903902648638899,"no",""
"ERMAP",5,0.00878262840289421,"no",-0.147039607937668,0.148847040160266,5,0.632831687499533,"no",""
"MAP3K11",4,0.00885228173634602,"no",-0.10224852083254,0.116340666574208,4,0.00554587960191188,"no",""
"CTH",5,0.0090592137566282,"no",-0.157174639695703,0.044918566288191,5,0.951274354127266,"no",""
"GPR151",5,0.00915294133684258,"no",-0.212349216466046,0.104630078465548,5,0.328905836213866,"no",""
"CA13",4,0.00928016196283202,"no",-0.0566868452831845,0.0796197014031279,4,0.999169884302094,"no",""
"WDR63",5,0.00956560127115891,"no",-0.081329856371241,0.158224228553205,5,0.0529851411506185,"no",""
"FTSJ3",5,0.00976980855113703,"no",-0.767406909207794,0.05157187079935,5,0.000376127983671204,"no",""
"TXNDC11",5,0.00982331621596368,"no",-0.0609454034491094,0.0463330872664121,5,0.897466605160785,"no",""
"RAPGEF3",5,0.0103394344100616,"no",-0.199656375787232,0.11863757634299,5,0.984056773975857,"no",""
"TWIST1",5,0.0103914145377275,"no",-0.0857940984008366,0.105926240363697,5,0.999442473636881,"no",""
"DHX15",5,0.0104597036571708,"no",-0.781282415598998,0.430029491076385,5,2.24887940667395e-07,"yes",""
"NCKIPSD",5,0.0106790061320687,"no",-0.374459504034629,0.20620595650895,5,0.500414083758555,"no",""
"KCNK18",5,0.0108065532788805,"no",-0.122519719694671,0.179174197231235,5,0.536392506719865,"no",""
"LOC643387",5,0.0108562521151685,"no",0.0758755363457382,0.10016926091693,0,NA,NA,""
"PGAM1",5,0.0111074947754233,"no",-0.275428979809551,0.247231702390439,5,2.62812718929792e-05,"yes",""
"ALS2",4,0.0112438411755635,"no",-0.112502096209242,0.105676290977973,4,0.998304254248149,"no",""
"PTPN13",4,0.0116464366365734,"no",-0.196374430749318,0.245486915904923,4,0.740148891228352,"no","BRCA_LoF"
"IRF3",5,0.011804699673466,"no",-0.0173955098135681,0.0728056429315909,5,0.631555324960116,"no",""
"AGR2",5,0.0119518289959167,"no",-0.29702155346652,0.061447836390605,5,0.963207240903045,"no",""
"FCRLA",5,0.0120281924818819,"no",0.0625576766117537,0.0326043157788842,5,0.998931570710523,"no",""
"PFKFB3",5,0.0121911900370998,"no",-0.0945460960582391,0.0970275178711602,5,0.999643385839129,"no",""
"PHIP",4,0.012494846540208,"no",-0.0119699440823179,0.200373583560336,4,0.459400134357534,"no",""
"COL5A2",3,0.0126969906446757,"no",-0.14822972580589,0.0723603556160193,3,0.465293293942286,"no",""
"ALG10",5,0.0135497668573142,"no",-0.201997552476098,0.212329562459607,5,0.317828993076131,"no",""
"CNGA1",5,0.0137590509807309,"no",-0.122896298449604,0.121172361214778,5,0.315036544844008,"no",""
"MERTK",4,0.0144569574040139,"no",-0.149318519736902,0.133162566968865,4,0.228045523332694,"no",""
"DHX57",5,0.0145171549416271,"no",0.0187182752943883,0.159452631720922,5,0.041968245279267,"no",""
"RFC4",5,0.0145276225912406,"no",-0.922599936872117,0.196057489735968,5,0.000727356987156044,"no",""
"LRP5",4,0.0145421591840932,"no",-0.0590124649750306,0.211904224913876,4,0.0158058742948487,"no",""
"POU4F1",5,0.0154011614544902,"no",0.0406477446943725,0.31283045811308,5,0.890388081310573,"no",""
"CYP1A2",5,0.0154066465476786,"no",-0.225360144809991,0.228027934403701,5,0.240066087043853,"no",""
"TAP1",5,0.0154340953181069,"no",-0.131589240592422,0.161864336065329,5,0.323724674122004,"no",""
"CDKN2B",3,0.0157859874325134,"no",-0.474256644808084,0.0877119249462786,3,0.595099236891133,"no",""
"LGSN",4,0.0157944322702071,"no",-0.24748603228824,0.184616162452936,4,0.958824718485956,"no",""
"GPR149",5,0.0159799871342112,"no",-0.41197428497358,0.035576340577991,5,0.714733680042457,"no",""
"OTX1",5,0.0160535388680623,"no",0.00205967275278378,0.177744121880295,5,0.00226718868331597,"no",""
"SCMH1",5,0.0160705504697253,"no",-0.0182750365383567,0.0530839261548276,5,0.0659277651586381,"no",""
"NR2E3",5,0.0165179014318593,"no",-0.276562462091223,0.036665437018341,0,NA,NA,""
"S1PR4",5,0.0165643366465038,"no",-0.0380260664120723,0.0689075181604708,5,0.304974695503574,"no",""
"TIMM50",4,0.0166956119694748,"no",-0.16778556631387,0.0708096265188587,4,0.604189158624247,"no",""
"GNG13",5,0.0166984151409008,"no",-0.0443478778030275,0.128636709304258,5,0.0341088270160488,"no",""
"CYP11B2",4,0.016722687755177,"no",-0.0122951380183977,0.083593277636338,4,0.999185054623788,"no",""
"ZBTB34",5,0.0167745786211766,"no",-0.374366007219056,0.134742693650017,5,0.460617941438513,"no",""
"FUBP1",5,0.0170403517359478,"no",-0.623205252741688,0.112076597983979,5,0.00204512654198131,"no","CLL_LoF,LGG_LoF"
"TBX4",5,0.0170819925699829,"no",-0.118088711134012,0.127814824147216,5,0.0694263009415615,"no",""
"TNFRSF18",4,0.0172919783565044,"no",0.0631743345465003,0.0961260306261939,4,0.408320380276572,"no",""
"POMT1",5,0.0173516136199175,"no",-0.345821240304914,0.068840113049732,5,0.250673906372794,"no",""
"DDX5",5,0.0174725223664802,"no",-0.461001426784656,0.317254914238916,5,3.16281221426681e-05,"yes",""
"KPNA7",3,0.017529487327998,"no",-0.0324248558648039,0.0713520429435675,3,0.155925225526395,"no",""
"GPR65",5,0.0178084656359608,"no",-0.143318301765012,0.037983173388403,5,0.98830470238046,"no",""
"ARHGEF4",5,0.0178886126508588,"no",-0.0765799201511483,0.0702180366651042,5,0.406702541808092,"no",""
"UCHL5",3,0.0179275269904033,"no",-0.102681148050253,0.0463413297945074,3,0.00433893204632871,"no",""
"RAE1",4,0.0180471843923409,"no",-0.842061555835481,0.259905349856365,4,5.19027398721045e-07,"yes",""
"RRAGC",5,0.0183062170489,"no",-0.15068962265168,0.058881625055691,5,0.0498532448847069,"no","NHLY_Act"
"ARMC1",5,0.0184070748654511,"no",-0.163804648636034,0.059487619415001,5,0.999966582692813,"no",""
"ANKRD17",4,0.018576429427948,"no",-0.277147751489893,0.279664375841487,4,0.0393782224123674,"no",""
"RALY",5,0.0185846329557084,"no",-0.324900567492669,0.372067547503757,5,0.232909727635904,"no",""
"BMP2",5,0.0186419918179153,"no",-0.0429464661303658,0.0949680503850761,5,0.991471884136692,"no",""
"PPP2R2B",5,0.0186419918179153,"no",-0.0545645213906978,0.0760466472476211,5,0.714911818218202,"no",""
"AKAP1",5,0.0189244302285239,"no",-0.229066273116599,0.458948439631348,5,0.823379131331614,"no",""
"HNF4G",5,0.0189244302285239,"no",-0.186927303954652,0.155011243394673,5,0.574542510072255,"no",""
"SYK",5,0.0189244302285239,"no",0.041152754976008,0.120277584750331,5,0.964240426140018,"no",""
"NEK8",5,0.0190409428616535,"no",-0.241952148402921,0.140917500988443,5,0.642408655382072,"no",""
"FMN2",2,0.0190666084961759,"no",0.0038123539682991,0.0530778363825139,2,0.844476842376292,"no",""
"HNRNPUL1",5,0.0192625675281673,"no",-0.234919541711071,0.080351757350033,5,0.670432505830533,"no",""
