"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"EPHB2",5,0.000193631399830418,"no",0.0718147751332855,0.127559849751494,5,0.0696492856257052,"no",""
"MAPK3",5,0.000268705745462561,"no",0.0286886272508652,0.0769921547219733,5,0.20611668285757,"no",""
"ZBTB4",5,0.000688675496249735,"no",-0.129190753471176,0.136141199311251,5,0.0123221339871336,"no",""
"SLC39A1",5,0.00076346447648501,"no",0.121641499003329,0.094487109666953,5,0.586930795628943,"no",""
"PDE1C",5,0.000798322482651104,"no",-0.0520383630798262,0.14494875170794,5,0.860760544702015,"no",""
"DUSP10",5,0.000907750325924828,"no",0.142938993542894,0.116418104432379,5,0.494824086606078,"no",""
"ACP5",5,0.000919205886857455,"no",0.0211910270950767,0.0688831099204673,5,0.0477017043072185,"no",""
"CHRM1",5,0.000956049016005212,"no",0.0306689800563834,0.285834639932108,5,0.0588194147086819,"no",""
"COLQ",5,0.0011814453478779,"no",0.152335613927428,0.00701957730948699,5,0.0118090600466771,"no",""
"PUS7L",5,0.00119914193372339,"no",-0.0051785010281063,0.26897002108818,5,0.0151842990619252,"no",""
"HECW1",3,0.00130357815725579,"no",-0.127399792554359,0.0890146381976032,3,0.0566891869425697,"no",""
"RAB24",5,0.00147921057032463,"no",0.000725757203600411,0.0505284451332669,5,0.852626122159822,"no",""
"CFTR",5,0.00157775611772015,"no",0.00896634324230572,0.0420964746311425,5,0.0739062087303246,"no",""
"COQ5",5,0.00195743487545974,"no",-0.0729518538033233,0.143275246758884,5,0.998784881321641,"no",""
"ANKRD7",5,0.00200532026612099,"no",0.0876975150310201,0.125097001243617,5,0.321286410501233,"no",""
"GPR37L1",5,0.00204866755872279,"no",0.0315597398273501,0.289487972571243,5,0.977100905182405,"no",""
"KCNK3",4,0.00207004306567615,"no",-0.0627729330308144,0.110199729050442,4,0.0207549539834063,"no",""
"FER1L6-AS1",4,0.00232408040470755,"no",0.0507072860683204,0.0328488449289075,0,NA,NA,""
"TAPBPL",5,0.00238215990124724,"no",-0.0282915618625683,0.172597899228827,5,0.385355035469988,"no",""
"PAX3",5,0.00257821462790842,"no",0.0423586445415444,0.0961403430458965,5,0.605360035633686,"no",""
"MADD",5,0.00264189082221511,"no",0.180388583704101,0.037994419626146,5,0.29279271367268,"no",""
"PDAP1",5,0.00268775119513465,"no",-0.0467520474596531,0.167946851124672,5,0.99998061538644,"no",""
"BRD8",5,0.00271639336289808,"no",-0.0671160130277046,0.193058964118749,5,0.999747702843211,"no",""
"CHFR",5,0.00289918503812248,"no",0.0791883492200445,0.161339897705495,5,0.447244043705354,"no",""
"NAV2",5,0.0031298519741455,"no",0.103601521454919,0.0447602534560291,5,0.894415141481549,"no",""
"PRPF6",4,0.00313015568531239,"no",-0.393040076981948,0.269883586179479,4,0.999994961512398,"no",""
"TMEM141",5,0.00324029918503443,"no",0.0519414280574395,0.13502584338235,5,0.776270853957711,"no",""
"CHRNA3",5,0.00328789382594652,"no",0.133431133499282,0.103182676053147,5,0.00301614606195288,"no",""
"ABCC12",4,0.00350015852352836,"no",0.107406649068611,0.0744908451367217,4,0.0108879106940768,"no",""
"CTSF",5,0.00350400094468661,"no",0.0379273232054048,0.0172694837827943,5,0.87554474785885,"no",""
"HTR3E",5,0.00361451248485367,"no",0.163583538873897,0.021773775639081,5,0.0031001082126435,"no",""
"SETD6",5,0.00389297042864289,"no",0.0136843226795313,0.100578456744776,5,0.169594479346172,"no",""
"IGSF21",5,0.00393332314445272,"no",0.192051708418435,0.139865389333243,5,0.357396741868348,"no",""
"ADAR",5,0.00404507931226095,"no",-0.00199084045660594,0.237275202468884,5,0.996433344400651,"no",""
"ADCY9",5,0.00414397631947672,"no",0.0323058522397157,0.099433435238378,5,0.0721741841686119,"no",""
"SMARCA4",2,0.00418368141922298,"no",0.025811208377805,0.0392047126846483,2,0.597083794757758,"no","BLCA_LoF,BLY_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,MBL_LoF,NHLY_LoF,NSCLC_LoF,PAAD_LoF,PIA_LoF,RPC_LoF,THYM_LoF"
"KPNA6",5,0.00433760526776816,"no",0.18187000687242,0.127042419896238,5,0.998467525291553,"no",""
"MYL3",5,0.00447678788048456,"no",-0.00788253624574564,0.0514886377390014,5,0.9034824071001,"no",""
"SEMA6D",4,0.0045608378249965,"no",0.047738314956322,0.224019169416266,4,0.0247558751639786,"no",""
"ULK2",5,0.0046195205931846,"no",-0.142505277985924,0.159373640389073,5,0.303143123087302,"no",""
"NCKAP1L",5,0.00476157731412441,"no",0.120719237649297,0.147472348138603,5,0.901457226935722,"no",""
"DLX3",5,0.00510136697991259,"no",0.105725449216495,0.138681770132132,5,0.956708750091217,"no",""
"CDRT1",5,0.00541494068718429,"no",0.197227314939743,0.033019616166283,5,0.450223144875407,"no",""
"FBXW10",5,0.00541494068718429,"no",0.0259335700791177,0.12160808209344,5,0.00500344137498065,"no",""
"C1QTNF6",4,0.00587383557809751,"no",-0.0618010249598326,0.0734004383254001,4,0.582573834195639,"no",""
"CDC27",4,0.00613136693825567,"no",-0.30832629683032,0.207222780082639,4,0.999999781954694,"no",""
"HK3",5,0.0061803209823128,"no",0.123396883152736,0.0884869185931108,5,0.562085563463329,"no",""
"LGALS1",5,0.006612290950334,"no",0.136470332761996,0.0996192459429448,5,0.00302894350308958,"no",""
