"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"CDH12",3,2,0.0192955283573596,"no",0.0427108562123992,0.0367325675764621,-0.0341066954803702,0.0389595790889002,2,2,0.622863990794216,"no","",0.274985032380276,0.0880626223091976,511
"OR2T11",3,2,0.0314636223109762,"no",-0.348874620450013,0.045286831452915,-0.412027914380205,0.035364611911878,0,0,NA,NA,"",NA,0.050880626223092,511
"OR2T29",4,2,0.0599250406702309,"no",NA,NA,NA,NA,3,2,0.478752983864347,"no","",0.157629103572219,0.050880626223092,511
"PRDM9",3,2,0.0651259787838613,"no",0.054694673529563,0.0275000340171701,-0.0383056706544111,0.0178830302602886,2,2,0.638127847441328,"no","",1.36463148372998e-05,0.0704500978473581,511
"SOX17",4,2,0.140260049314688,"no",-0.0960620095818946,0.1355991762927,-0.0973146999857444,0.0435643771344776,3,2,0.546155804791171,"no","UCEC_Act",0.615376489371523,0.0313111545988258,511
"PDZRN4",4,2,0.140839125931785,"no",0.0125028489350339,0.090903829901467,0.000549438286004001,0.0202444541516546,4,1,NA,NA,"",0.779573752974807,0.0136986301369863,511
"TSPAN11",4,2,0.187232474005092,"no",0.0161491673697656,0.0487961879900295,-0.0160847575389568,0.0159938568008786,3,2,0.463374240091924,"no","",0.953340242117996,0.025440313111546,511
"OR2T10",2,3,0.198236158202047,"no",0.0633832296367066,0.0513531730058414,0.0920882428562423,0.219541976560991,2,2,0.548612782784482,"no","",0.261908594430084,0.050880626223092,511
"RAPGEF3",4,2,0.204583504832333,"no",-0.0715543320605629,0.109666031338129,-0.0520480494509974,0.0332722491387798,4,1,NA,NA,"",0.310634901287756,0.00587084148727984,511
"TWF1",4,2,0.216992263496898,"no",0.0446166277655688,0.0801327092441806,-0.0596680648144265,0.0691248385497345,4,1,NA,NA,"",0.0437860076288526,0.00587084148727984,511
"OPRK1",4,2,0.219207526438769,"no",0.0752911971875305,0.105133788716693,0.019713371636865,0.0135198792417253,3,2,0.708554871689481,"no","",0.41119082102248,0.0293542074363992,511
"ALG10B",4,2,0.232843281556714,"no",0.0416597672625995,0.196564202349342,-0.0270994140779119,0.0639158351015677,4,1,NA,NA,"",0.00794368036731901,0.0293542074363992,511
"CNTN1",4,2,0.251668451858589,"no",-0.0922336716160089,0.126657505309158,-0.104388486782599,0.0332786225677892,4,1,NA,NA,"",0.529689344482315,0.0156555772994129,511
"GXYLT1",4,2,0.297263870340459,"no",0.022294723781456,0.122532536477923,-0.00148052645148135,0.0141519312826609,4,1,NA,NA,"",0.367196245591564,0.00587084148727984,511
"MYO10",3,3,0.297929073278365,"no",0.012711559646067,0.0485559334195763,-0.00454908545984594,0.10009014420056,2,3,0.160900674799452,"no","",8.66925328188469e-12,0.0978473581213307,511
"PRKDC",3,2,0.391267127436612,"no",0.0040973473797144,0.0353108734087539,-0.00668642479324595,0.0569138888335154,0,0,NA,NA,"",0.000434730543202747,0.0313111545988258,511
"PHF14",4,2,0.443978217773645,"no",0.00229106102038635,0.0465157933783032,-0.0863205744377008,0.0920092963102362,4,1,NA,NA,"",1.56408547395633e-06,0.0293542074363992,511
"AHR",4,2,0.452498458077905,"no",-0.0972807326160227,0.125298844235227,-0.10085821076802,0.103237960530098,4,1,NA,NA,"",0.000596948217216673,0.0332681017612524,511
"PRICKLE1",4,2,0.49416122178122,"no",-0.150725303297266,0.167743395315384,-0.117955548725549,0.0442428831146138,4,1,NA,NA,"",0.221284234562249,0.00587084148727984,511
"AMIGO2",4,2,0.549894352368487,"no",-0.0271515415332022,0.0287762396864218,0.0332168385675705,0.0209622144462718,4,1,NA,NA,"",0.699105477881048,0.00587084148727984,511
"CFHR3",3,3,0.555589234819231,"no",-0.0165145651856934,0.082964112485139,0.1209427842274,0.131500009376442,3,2,0.58076935306555,"no","",0.357651099573785,0.0332681017612524,511
"CAPRIN2",4,2,0.563480096916563,"no",-0.0970782309249407,0.0344661866056703,-0.0872405384687665,0.147355847177606,3,2,0.625994830761004,"no","",1.09979886867007e-05,0.0234833659491194,511
"ARID2",4,2,0.578907083281125,"no",-0.0362532685301637,0.0910309503265516,-0.0304656430056185,0.0021835356637705,4,1,NA,NA,"BLCA_LoF,CH_LoF,CM_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,MBL_LoF,NSCLC_LoF,PAAD_LoF,PIA_LoF,SSCC_LoF,ST_LoF,THCA_LoF",0.442417648362952,0.00587084148727984,511
"KIF21A",4,2,0.587561038674318,"no",-0.0641166532405301,0.0666819637780081,-0.143093462201105,0.0266812048270175,4,1,NA,NA,"",0.29867558530649,0.00978473581213307,511
"VDR",4,2,0.591662490867856,"no",-0.00296994714332063,0.0809652392595502,0.0152327653697598,0.0141910285829584,4,1,NA,NA,"",0.602538292417425,0.00587084148727984,511
"CYP2A7",4,2,0.602412990560443,"no",-0.0228818966032612,0.0611367819971572,0.112632322347209,0.0084324168355865,3,2,0.241071183108699,"no","",0.193149753693667,0.00978473581213307,511
"ST18",3,2,0.619227945741226,"no",-0.047678446679468,0.0289589609878574,0.0539723996267039,0.0201730453398877,2,2,0.742602387213698,"no","",0.258636239569527,0.0293542074363992,511
"NPBWR1",4,2,0.636363091998245,"no",-0.0387753428121634,0.140212821802335,-0.0413051554457369,0.0965777993754182,3,2,0.545613036056574,"no","",0.494605243719944,0.0293542074363992,511
"LIMS3",4,2,0.669227827914649,"no",NA,NA,NA,NA,0,0,NA,NA,"",0.000417569286370105,0.00391389432485323,511
