"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"NRCAM",3,2,0.0102530457526948,"no",0.00364996829806863,0.0628282030224913,-0.0017128773337937,0.0150463797757781,2,2,0.569797638389272,"no","","yes",0.0529100529100529,567
"ABCA1",4,2,0.0155251892696468,"no",0.0385313021894354,0.0910481377512116,-0.0593974961413685,0.0280527457156648,3,2,0.657287959875075,"no","","yes",0.0282186948853616,567
"ITGB4",4,2,0.0275116700671956,"no",0.0563473704923734,0.0363379500007681,-0.0527828790300829,0.0450500111728149,3,2,0.810353252641928,"no","","yes",0.0123456790123457,567
"PRDM9",3,2,0.0356021702984248,"no",0.054694673529563,0.0275000340171701,-0.0788349155512453,0.0226462146365456,2,2,0.384508797439659,"no","","no",0.0934744268077601,567
"PRKACG",4,2,0.0430222739246702,"no",0.0358576808857536,0.0594295086143264,-0.00566775517671659,0.000948755290936699,3,2,0.484292570026704,"no","","no",0.00352733686067019,567
"CDC42BPA",4,2,0.0449450798623074,"no",-0.145920506936736,0.048847483112237,-0.342010410978789,0.18126300148809,3,2,0.0648863779344643,"no","","yes",0.0194003527336861,567
"FBXW7",4,2,0.0589055620268872,"no",-0.072964172741821,0.128771373147515,-0.161474841202991,0.0835041371436233,3,2,0.447629150381156,"no","BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,COREAD_LoF,ESCA_LoF,HNSC_LoF,LUSC_LoF,MBL_LoF,NSPH_LoF,PAAD_LoF,PIA_LoF,ST_LoF,UCEC_LoF,UCS_LoF","yes",0.0123456790123457,567
"ATP8B4",4,2,0.0748535380736122,"no",0.00516364019122745,0.0981097402313127,0.0016575471713215,0.0595689553733363,3,2,0.263580553672967,"no","","yes",0.0335097001763668,567
"PRKDC",3,2,0.0768369024048427,"no",0.0040973473797144,0.0353108734087539,-0.125655512669627,0.0620551990428653,0,0,NA,NA,"","yes",0.0599647266313933,567
"RB1",4,2,0.079749921757742,"no",0.02398132998795,0.0611840470299249,-0.0547163081718018,0.00710255788543079,3,2,0.548075725185129,"no","ACC_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CM_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LEIS_LoF,LUAD_LoF,LUSC_LoF,MM_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PIA_LoF,PRAD_LoF,RB_LoF,S_LoF,SCLC_LoF,ST_LoF,UCEC_LoF,UCS_LoF","yes",0.017636684303351,567
