"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"VPRBP",5,5.00025165399685e-10,"yes",NA,NA,0,NA,NA,"",NA,NA,NA,NA,567
"CLSPN",6,1.18225706229216e-08,"yes",-1.21787782178026,0.215723206149573,5,4.04796417464421e-05,"yes","",1.08883801789494e-28,"up","COL5A2 (enriched, 13% vs 4%), COL6A3 (enriched, 18% vs 5%), CSMD3 (enriched, 41% vs 25%), CTNNA2 (enriched, 15% vs 4%), LRP2 (enriched, 18% vs 7%), NOS1 (enriched, 8% vs 0%), SORCS1 (enriched, 16% vs 5%), TP53 (enriched, 41% vs 16%), TTN (enriched, 53% vs 34%), XIRP2 (enriched, 30% vs 14%)","RB1 (enriched, 8% vs 1%), TP53 (enriched, 25% vs 14%)",567
"HSPE1-MOB4",6,3.69690864778855e-07,"yes",0.17325309446729,0.0916391166508281,0,NA,NA,"",3.20872007547687e-07,"up",NA,NA,567
"EIF3I",5,5.65807345132855e-07,"yes",-1.12460609256826,0.07777476409849,5,7.31269845300581e-08,"yes","",4.169005782075e-24,"up","","TP53 (enriched, 26% vs 14%)",567
"SNRPF",6,8.85250837898578e-07,"yes",-1.33564302701872,0.137578148118467,5,6.28296757705957e-12,"yes","",8.06917540113921e-18,"up","","SMARCA4 (enriched, 8% vs 1%)",567
"UTP15",5,1.06392666284178e-06,"yes",-0.691668840897922,0.09857976716912,5,1.75422793505629e-10,"yes","",7.59509035804641e-14,"up","","",567
"COPS8",6,1.33920047412056e-06,"yes",-0.867208052603339,0.366495794492873,5,1.40280930350359e-06,"yes","",1.77024741842128e-17,"up","","TP53 (enriched, 27% vs 12%)",567
"NLE1",5,1.51411923812828e-06,"yes",-0.836266005183436,0.12922748815084,4,5.00535235939721e-06,"yes","",1.96749198399444e-28,"up","","",567
"ATP10D",6,1.80255952106286e-06,"yes",-0.128541644636318,0.113891278485445,5,0.855207188280617,"no","",9.51849025136471e-07,"down","","",567
"WDR36",5,2.00921053012981e-06,"yes",-0.873401601322383,0.0745155497106319,5,0.959073093828006,"no","",1.82836620757916e-09,"up","","",567
"RRP9",5,2.01349821347597e-06,"yes",-0.809261482149752,0.147683954775869,4,0.0019839317187935,"no","",7.23309768773035e-14,"up","","",567
"DDX27",5,2.5165113044072e-06,"yes",-0.95873627093816,0.224713296787261,4,5.57806716018182e-05,"yes","",1.76381101921798e-22,"up","ACSM2B (enriched, 8% vs 1%), ADCY2 (enriched, 11% vs 2%), AKAP6 (enriched, 8% vs 2%), ASTN1 (enriched, 18% vs 8%), CHAT (enriched, 6% vs 0%), CHD6 (enriched, 8% vs 2%), CHRM2 (enriched, 9% vs 0%), COL11A1 (enriched, 24% vs 11%), COL12A1 (enriched, 15% vs 5%), CREBBP (enriched, 7% vs 1%), CSMD3 (enriched, 43% vs 23%), CUX2 (enriched, 9% vs 2%), DUSP27 (enriched, 11% vs 2%), FAT3 (enriched, 25% vs 12%), FLNA (enriched, 9% vs 2%), HCN1 (enriched, 14% vs 4%), KCNH5 (enriched, 9% vs 2%), KIF17 (enriched, 6% vs 0%), LRRC7 (enriched, 17% vs 7%), MYCBP2 (enriched, 10% vs 2%), MYH4 (enriched, 11% vs 3%), OBSCN (enriched, 19% vs 7%), PAPPA2 (enriched, 22% vs 9%), PCDH15 (enriched, 25% vs 9%), PCLO (enriched, 21% vs 10%), RP1L1 (enriched, 21% vs 9%), RYR3 (enriched, 23% vs 9%), SMARCA4 (enriched, 8% vs 1%), SORCS1 (enriched, 16% vs 5%), TP53 (enriched, 37% vs 20%), TTN (enriched, 54% vs 33%), USH2A (enriched, 36% vs 21%), ZNF536 (enriched, 23% vs 11%)","CSMD3 (enriched, 15% vs 4%), TP53 (enriched, 26% vs 14%)",567
"RCC1",6,2.56800379047775e-06,"yes",-0.667139953481165,0.165750907195209,5,4.15733929809107e-09,"yes","",1.87384599579224e-35,"up","ABCA2 (enriched, 6% vs 0%), ACSM2B (enriched, 8% vs 1%), ADGRG4 (enriched, 20% vs 9%), CACNA1E (enriched, 19% vs 6%), CDH12 (enriched, 15% vs 4%), COL11A1 (enriched, 23% vs 11%), CSMD3 (enriched, 43% vs 23%), CSPG4 (enriched, 8% vs 1%), DCHS2 (enriched, 12% vs 4%), DTNA (enriched, 8% vs 1%), DUSP27 (enriched, 11% vs 3%), EPHA5 (enriched, 14% vs 4%), FRYL (enriched, 8% vs 1%), GABRB1 (enriched, 6% vs 0%), HGF (enriched, 10% vs 2%), KRAS (depleted, 19% vs 36%), LRP1B (enriched, 37% vs 22%), MUC17 (enriched, 22% vs 11%), NLRP3 (enriched, 15% vs 5%), OR5W2 (enriched, 7% vs 1%), PCLO (enriched, 22% vs 9%), PKHD1L1 (enriched, 15% vs 5%), POM121L12 (enriched, 12% vs 3%), PREX1 (enriched, 9% vs 2%), RYR2 (enriched, 41% vs 26%), SALL1 (enriched, 12% vs 4%), SI (enriched, 20% vs 9%), SLC5A12 (enriched, 7% vs 0%), SLC8A1 (enriched, 14% vs 4%), SPATA31D1 (enriched, 15% vs 6%), SYNE1 (enriched, 15% vs 4%), TAF1L (enriched, 13% vs 4%), TP53 (enriched, 38% vs 19%), TPTE (enriched, 12% vs 4%), TTN (enriched, 54% vs 33%), UGT2A1 (enriched, 6% vs 0%), USH2A (enriched, 36% vs 21%)","TP53 (enriched, 30% vs 10%), TTN (enriched, 13% vs 5%)",567
"COPS3",6,2.75791944850137e-06,"yes",-0.864599539823944,0.109187999759947,5,3.38195288807669e-07,"yes","",0.00208410529182911,"up","","",567
"WDR74",6,3.28887209883238e-06,"yes",-0.700553054799693,0.11123699897815,5,6.27449127443978e-08,"yes","",2.18832471362819e-27,"up","","",567
"WDR46",6,4.17102091693976e-06,"yes",-0.933515910198113,0.221408958282749,5,0.000126179734995675,"yes","",2.08569836185429e-31,"up","TP53 (enriched, 37% vs 20%)","",567
