"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"MUC12",5,2.39578991156897e-06,"yes",-0.0873536100659808,0.192179782710917,4,0.0213417851162759,"no","",1.09324241419249e-06,"up","","",567
"SMYD2",6,6.31569778438701e-05,"yes",0.0642470466326163,0.0488318767251464,5,0.683009769984867,"no","",0.0722256744726924,"up","","",567
"GPSM1",6,0.00016064435645835,"yes",-0.00472314191869005,0.0707089866757401,5,0.00017104515039823,"yes","",0.000118273160586108,"down","","",567
"FRY",5,0.000191324329285369,"no",0.00791524939895077,0.191474550629094,4,0.00214418728295396,"no","",1.61583601883143e-28,"down","LRP1B (depleted, 20% vs 38%)","",567
"MCHR1",6,0.000243077667288705,"no",0.0330908359590311,0.233549761093604,5,0.339838149938977,"no","",2.10465420677774e-16,"up","","",567
"MED13L",6,0.000272083354766806,"no",0.0265019229257347,0.0453926910641099,5,0.637141472103109,"no","",0.045864906433311,"down","","STK11 (enriched, 18% vs 6%)",567
"EZH2",5,0.000285238654477382,"no",0.0562372120820058,0.077903564222856,4,0.00555858591247793,"no","ALL_LoF,AML_LoF,DLBCL_LoF,EWS_LoF,LUAD_LoF,LY_LoF,NHLY_LoF",3.76581749427026e-34,"up","A2ML1 (enriched, 7% vs 1%), ADGRL4 (enriched, 9% vs 2%), ASAP1 (enriched, 7% vs 0%), BRINP3 (enriched, 15% vs 5%), CAMTA1 (enriched, 8% vs 2%), CDH18 (enriched, 12% vs 4%), CNTNAP5 (enriched, 17% vs 6%), COL11A1 (enriched, 24% vs 11%), COL22A1 (enriched, 12% vs 4%), COL3A1 (enriched, 15% vs 5%), COL4A4 (enriched, 6% vs 0%), COL5A2 (enriched, 12% vs 4%), CSMD2 (enriched, 19% vs 6%), CSMD3 (enriched, 42% vs 24%), CTNNA2 (enriched, 15% vs 4%), DACH1 (enriched, 7% vs 1%), DACH2 (enriched, 9% vs 1%), DCC (enriched, 9% vs 2%), DCDC1 (enriched, 11% vs 4%), DCHS2 (enriched, 12% vs 4%), DNAH11 (enriched, 13% vs 4%), DNAH5 (enriched, 15% vs 6%), DPYS (enriched, 6% vs 1%), DSCAM (enriched, 11% vs 3%), DUSP27 (enriched, 11% vs 3%), DZIP3 (enriched, 7% vs 1%), EPHA5 (enriched, 13% vs 4%), F13A1 (enriched, 8% vs 2%), F8 (enriched, 11% vs 3%), FBN2 (enriched, 19% vs 7%), FCGBP (enriched, 11% vs 3%), FLG (enriched, 30% vs 18%), GHR (enriched, 6% vs 1%), GRIN2B (enriched, 14% vs 5%), GUCY2F (enriched, 7% vs 1%), HCN1 (enriched, 13% vs 5%), HDX (enriched, 6% vs 0%), HEPH (enriched, 11% vs 3%), HERC2 (enriched, 15% vs 6%), HRNR (enriched, 14% vs 6%), INSRR (enriched, 10% vs 2%), ITGAX (enriched, 10% vs 3%), KCNB2 (enriched, 12% vs 4%), KCNC2 (enriched, 8% vs 1%), KIAA1109 (enriched, 11% vs 4%), KIAA1549L (enriched, 11% vs 2%), LAMA2 (enriched, 15% vs 4%), LCT (enriched, 10% vs 3%), LRP1B (enriched, 36% vs 22%), LRP2 (enriched, 17% vs 7%), LRRC4C (enriched, 11% vs 3%), LYST (enriched, 13% vs 4%), MACF1 (enriched, 12% vs 4%), MAGEC1 (enriched, 12% vs 4%), MAP2 (enriched, 12% vs 3%), MBD5 (enriched, 6% vs 0%), MRC1 (enriched, 13% vs 5%), MTCL1 (enriched, 7% vs 1%), MUC17 (enriched, 22% vs 11%), MXRA5 (enriched, 21% vs 7%), MYH4 (enriched, 11% vs 3%), NID1 (enriched, 10% vs 3%), NOS1 (enriched, 8% vs 1%), NRXN1 (enriched, 18% vs 8%), NUP205 (enriched, 6% vs 1%), OR5L1 (enriched, 10% vs 2%), OR5W2 (enriched, 7% vs 1%), PCDH11X (enriched, 19% vs 8%), PCDH15 (enriched, 22% vs 12%), PCDHGA5 (enriched, 8% vs 2%), PCDHGA7 (enriched, 6% vs 0%), PCLO (enriched, 22% vs 9%), PDHA2 (enriched, 8% vs 1%), PKHD1 (enriched, 16% vs 7%), PKHD1L1 (enriched, 15% vs 5%), POTEF (enriched, 8% vs 1%), PPP1R3A (enriched, 11% vs 4%), PREX1 (enriched, 9% vs 2%), PTPRD (enriched, 20% vs 9%), PTPRT (enriched, 13% vs 4%), RP1L1 (enriched, 22% vs 9%), RYR2 (enriched, 40% vs 27%), RYR3 (enriched, 22% vs 10%), SLC8A1 (enriched, 14% vs 4%), SMARCA4 (enriched, 8% vs 2%), SNTG1 (enriched, 14% vs 6%), SORCS1 (enriched, 15% vs 6%), SP140 (enriched, 6% vs 0%), SSPO (enriched, 16% vs 5%), STAB2 (enriched, 9% vs 2%), STXBP5L (enriched, 8% vs 1%), THSD7A (enriched, 11% vs 3%), TMPRSS15 (enriched, 10% vs 3%), TNN (enriched, 16% vs 6%), TP53 (enriched, 39% vs 19%), TTN (enriched, 53% vs 33%), UNC79 (enriched, 13% vs 5%), XIRP2 (enriched, 29% vs 15%), ZFHX4 (enriched, 34% vs 19%), ZFPM2 (enriched, 13% vs 4%), ZNF804B (enriched, 14% vs 4%)","ADAMTS12 (enriched, 6% vs 1%), CSMD3 (enriched, 14% vs 6%), FBN2 (enriched, 5% vs 1%), RB1 (enriched, 8% vs 1%), SMARCA4 (enriched, 7% vs 2%), TP53 (enriched, 28% vs 12%), TTN (enriched, 13% vs 5%)",567
"CX3CR1",6,0.000365764962334758,"no",0.15711218212418,0.0855358716736798,5,0.000140118558162206,"yes","",1.06070411477755e-16,"down","ADAMTS20 (depleted, 4% vs 15%), BOD1L1 (depleted, 3% vs 13%), CSMD1 (depleted, 9% vs 25%), HMCN1 (depleted, 7% vs 18%), KCNU1 (depleted, 1% vs 11%), KEAP1 (depleted, 8% vs 19%), LRP1B (depleted, 21% vs 38%), MTCL1 (depleted, 1% vs 7%), RYR2 (depleted, 24% vs 43%), RYR3 (depleted, 8% vs 24%), TTN (depleted, 34% vs 53%)","SMARCA4 (depleted, 1% vs 7%)",567
"MED13",5,0.000391188031062528,"no",0.1497849190008,0.0801085699854861,4,0.128623492364505,"no","",0.001145752724211,"up","","",567
"RSF1",6,0.000463519373106513,"no",0.0251557589970875,0.0735534234178056,5,0.0101165790872492,"no","",0.0535009341385726,"up","","",567
