"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"MCL1",7,3,7.27077446697317e-06,"yes",0.262965242981966,0.111737420464905,-0.230835443636333,0.15328275542134,6,3,0.276231029910252,"no","",2.02067881261141e-07,0.0472279260780287,487
"KLRAP1",8,2,0.00544900800934956,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0205338809034908,487
"BRD9",8,2,0.0137248229636861,"no",-0.0355629692617175,0.178862907161744,-0.0481289000025381,0.0175830159493079,7,2,0.983888933322113,"no","",6.45411743475544e-15,0.147843942505133,487
"DGAT1",7,3,0.0191642151095326,"no",-0.0040741594120626,0.0634369635661347,-0.147457094371688,0.0648898293359516,6,3,0.115899667059329,"no","",3.05733504557536e-05,0.0492813141683778,487
"WASH3P",8,2,0.0207632415185455,"no",0.179112093718745,0.113250229352072,0.0076508443784364,0.0244483876539887,0,0,NA,NA,"",0.873751665646421,0.0246406570841889,487
"PRRT1",8,2,0.0241271988653953,"no",NA,NA,NA,NA,7,2,0.387550388992398,"no","",0.505052655640019,0.00410677618069815,487
"WDR53",5,5,0.0281726307491014,"no",0.000594880058351361,0.123270976243763,-0.0412694428667388,0.0989693765859218,5,4,0.178846912761485,"no","",2.77527633697066e-27,0.299794661190965,487
"LRCH4",8,2,0.0328726920946118,"no",0.0286843145054188,0.183283185329574,-0.157587722448615,0.161174010648265,7,2,0.425638354583287,"no","",5.98472350224486e-05,0.0349075975359343,487
"TMED10P1",7,3,0.0338087693633944,"no",0.0405724632842373,0.0892536149814924,0.113869744535398,0.223186604468366,0,0,NA,NA,"",NA,0.0492813141683778,487
"IVL",7,2,0.0339383210420164,"no",-0.0408697197200362,0.141036470431104,-0.211507124393013,0.0100714105327275,6,2,0.291708555689488,"no","",0.909949962537921,0.0390143737166324,487
"LY6K",8,2,0.0477272107170459,"no",0.066564239921094,0.143341459259167,-0.044474532735987,0.247821280084808,7,2,0.436305155672252,"no","",0.00015802227128366,0.0451745379876797,487
"APOD",7,3,0.0501938338394935,"no",0.124377966441328,0.120379577921798,-0.0527630478683011,0.138095178861772,7,2,0.208667214067477,"no","",0.857668554111082,0.297741273100616,487
"PLEKHG4B",7,3,0.050202225918346,"no",-0.0562407702713903,0.0810509622766968,-0.00652416312387178,0.051331203009443,6,3,0.203213163420683,"no","",0.0490220834436889,0.147843942505133,487
"MSH5",8,2,0.0543313292601369,"no",NA,NA,NA,NA,7,2,0.399698975130068,"no","",0.91232388776565,0.00410677618069815,487
"MSH5-SAPCD1",8,2,0.0543313292601369,"no",NA,NA,NA,NA,0,0,NA,NA,"",0.753791098610698,0.00410677618069815,487
"CFL2",8,2,0.0555702139571285,"no",-0.0741721950410428,0.306629242999665,-0.189639002758264,0.0439182113200015,7,2,0.261613410872215,"no","",0.000983293251328425,0.0102669404517454,487
"NAPRT1",7,3,0.0571537578305903,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0492813141683778,487
"PDK4",6,4,0.0594859934536768,"no",0.0277091285598075,0.0550398213403016,-0.111542268405343,0.0520860974212345,5,4,0.253798043296294,"no","",0.971873660102595,0.0287474332648871,487
"FGFR1",7,2,0.0618663359164101,"no",0.112056820211969,0.0616631037732245,0.0309865145427827,0.056426782042284,7,2,0.081953747244033,"no","BLCA_Act,MBL_Act,OV_Act,PCPG_Act,PIA_Act,PRAD_Act",5.32109400449152e-13,0.170431211498973,487
"TECPR1",7,3,0.0636088790259443,"no",-0.16464502937295,0.166942351136456,-0.567980930743539,0.0288387984238845,6,3,0.165548503959982,"no","",0.00235879892451203,0.0328542094455852,487
"MAFA",7,3,0.0674441005712013,"no",-0.0252340856051358,0.0957274916188535,-0.0220917874301032,0.0429944954039613,6,3,0.465725998218848,"no","",0.197420435664318,0.0472279260780287,487
"AZGP1",8,2,0.069426009958737,"no",-0.0987265069049972,0.115339259754773,-0.0962924701134235,0.208423248608201,7,2,0.183747687362438,"no","",0.990403931476541,0.0369609856262834,487
"ASNS",8,2,0.0728056856434826,"no",NA,NA,NA,NA,7,2,0.313693287241695,"no","",0.0074147529882075,0.0287474332648871,487
"HBP1",7,3,0.0732524104592012,"no",-0.0418527732530175,0.147880133682417,-0.164863943753201,0.039471733168456,6,3,0.162515326166802,"no","",0.0168356269017615,0.0225872689938398,487
"CLEC2D",8,2,0.0848699027550207,"no",0.054882264910653,0.0580181848288257,-0.0131277433165749,0.0368866149920031,7,2,0.211116667246994,"no","",0.0374985204666038,0.0184804928131417,487
"OR2T35",6,3,0.0864076264748423,"no",-0.193979806785847,0.18378767621736,-0.241484286833717,0.06597740593078,6,2,0.315701322037084,"no","",NA,0.0225872689938398,487
"GNGT1",6,4,0.0892605385713635,"no",0.155450754540282,0.155331985685132,0.0635130441916694,0.114975450914491,5,4,0.355383801797337,"no","",1.13623998679499e-06,0.0390143737166324,487
"MTRR",8,2,0.0908431595639391,"no",0.0193938204873274,0.211210785339905,-0.137389045565353,0.143654230689078,7,2,0.811042153082651,"no","",3.02870589745006e-14,0.127310061601643,487
"BAZ1A",8,2,0.0910559949848505,"no",-0.0166585213726154,0.0645562794944558,-0.144406180849338,0.0047557617402525,7,2,0.0409535265563105,"no","",0.000356531516097871,0.0102669404517454,487
"COL1A2",6,3,0.0917877312119054,"no",-0.0384134757369183,0.138259214898468,0.0274644600996789,0.0703001802586299,5,3,0.154979928120519,"no","",0.653902519578609,0.0369609856262834,487
"ANKRD33B",7,2,0.09225432603614,"no",-0.0242091090386383,0.172818049082171,-0.0561861801136873,0.0124703199182844,6,2,0.897797817627726,"no","",0.156907346691055,0.121149897330595,487
"HSF1",7,3,0.0941194887819788,"no",-0.0491867482977044,0.161392686315865,-0.0421011926422132,0.0930210783357246,6,3,0.39208614082529,"no","",3.18520617602126e-08,0.0492813141683778,487
"ATAT1",8,2,0.106294823711085,"no",0.0253886333112222,0.0578874007968676,0.0106157848885144,0.0297374253456365,7,2,0.795317598249434,"no","",0.311091849037177,0.00616016427104723,487
"AP3M2",8,2,0.116524207379342,"no",-0.0888804017611158,0.20751533903963,-0.0954569651681111,0.0658001294656979,8,1,NA,NA,"",7.1667973075826e-18,0.0718685831622177,487
