"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"WDFY4",6,2,0.113332336965198,"no",0.00404024286432553,0.104362089358315,0.0850276660990616,0.0386691606883574,5,2,0.168647944658264,"no","","yes",0,492
"AKR1B15",7,2,0.129918098388828,"no",0.0211245994129366,0.149193523776574,0.0690379794693662,0.0719932605911038,7,2,0.730532140826128,"no","","yes",0,492
"FAT3",6,2,0.142000655536204,"no",0.0997837081623283,0.0609519393279552,-0.0295257913553685,0.0204668782629889,0,0,NA,NA,"BCNET_ambiguous,BRCA_ambiguous,CLL_ambiguous,CM_ambiguous,COREAD_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HNSC_ambiguous,LUSC_ambiguous,PAAD_ambiguous,PRAD_ambiguous,SBCC_ambiguous,ST_ambiguous,THCA_ambiguous","yes",0.016260162601626,492
"ABCA8",8,2,0.147609529958456,"no",0.0897250690888749,0.0870379447895928,0.0808094586286638,0.0149165014573242,7,2,0.443812407714812,"no","","yes",0.0040650406504065,492
"TTF1",8,2,0.225834529458868,"no",-0.319077904383802,0.314105827517727,-0.354182169901461,0.0645705418765589,7,2,0.496559177139627,"no","","yes",0.00203252032520325,492
"KEAP1",7,2,0.233700243024275,"no",-0.0865956684699278,0.173102007476522,-0.134425894355874,0.0444303853256098,6,2,0.652465424416851,"no","CH_Act,HC_Act,LUAD_Act,LUSC_Act,NSCLC_Act,RCCC_Act","yes",0.0121951219512195,492
"KIAA2026",6,2,0.297789274914624,"no",0.0582606221012301,0.19538221018734,0.0236311398788016,0.0988350529312514,0,0,NA,NA,"","yes",0,492
"BAZ2B",7,2,0.322306368111341,"no",0.0166430789705065,0.0726223633254875,0.0755590431070065,0.00229847024004565,6,2,0.546254247535366,"no","","yes",0.0142276422764228,492
"ARHGAP42",8,2,0.400330011296179,"no",-0.172464063323032,0.195079345537646,-0.539849188409981,0.555901808633339,0,0,NA,NA,"","yes",NA,492
"MYO9A",7,3,0.478265426416663,"no",-0.100511904996033,0.0930191110537429,-0.187818733587083,0.109479349471316,6,3,0.268489609046137,"no","","yes",0.0101626016260163,492
"GPR98",5,2,0.501123176216134,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,492
"SMARCA4",7,2,0.595258618609115,"no",-0.352855974604942,0.294950856455339,-0.33698351394595,0.162067268714686,6,2,0.530641424055549,"no","BLCA_LoF,BLY_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,MBL_LoF,NHLY_LoF,NSCLC_LoF,PAAD_LoF,PIA_LoF,RPC_LoF,THYM_LoF","yes",0.0121951219512195,492
"KMT2D",7,2,0.641781286936269,"no",0.0930081895279376,0.181956906351301,0.0587802568917938,0.0845402834327512,6,2,0.788683624000761,"no","ACY_LoF,ALL_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,DLBCL_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,NB_LoF,NHLY_LoF,NSCLC_LoF,OV_LoF,PAAD_LoF,PIA_LoF,PRAD_LoF,RCH_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,UCEC_LoF","yes",0.16260162601626,492
"COL6A5",8,2,0.758744402757566,"no",-0.0543102615848327,0.0626999092922553,0.160004317230705,0.072845728138598,0,0,NA,NA,"","yes",0.00203252032520325,492
"KIF1B",8,2,0.798309978943653,"no",-0.0407255462535155,0.0636070164819193,0.132491661248876,0.102140024835357,7,2,0.563634552850485,"no","","yes",0.00813008130081301,492
"PABPC3",8,2,0.817422425136622,"no",-0.624126946985641,0.328038506518032,-0.602310782512317,0.172877710948266,8,1,NA,NA,"","yes",0.00203252032520325,492
"LRRK2",7,2,0.825788291378251,"no",0.0709286622117325,0.23676707131529,-0.0131102674692812,0.0300878943536484,7,2,0.492263633526545,"no","","yes",0.0223577235772358,492
"ILF3",8,2,0.847694607714655,"no",-0.742616578440925,0.269787832145829,-0.35435914259286,0.169892874839251,7,2,0.508591311018271,"no","","yes",0.00203252032520325,492
"NFATC2",6,2,0.890755553491346,"no",0.110153707282216,0.105879498429442,-0.0312276657852185,0.0766283494112225,6,1,NA,NA,"OS_ambiguous,PAAD_ambiguous","yes",0.00203252032520325,492
"CSMD3",4,2,0.902386244883374,"no",-0.0435450936804147,0.0953993779351421,0.0965168715086706,0.00917299159462648,4,2,0.554498483056595,"no","","yes",0.107723577235772,492
