"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"ZNF689",10,1.80018652685687e-05,"yes",0.0205780801129435,0.158285197128114,9,0.332608959541066,"no","",0.969628841810771,"up","","",492
"RBBP8",10,8.54429766034004e-05,"yes",0.0191786627869476,0.0781081315145291,9,0.999999997459579,"no","",2.58331766591343e-23,"up","","SYNE1 (depleted, 2% vs 10%)",492
"SRSF2",10,0.000109869268809293,"yes",-0.208141499640343,0.191188508394023,9,0.999999999999999,"no","AML_Act,CESC_Act",6.18763225972634e-20,"up","","",492
"MTG1",10,0.000212514137473141,"no",-0.0662616250178941,0.0535537065704278,9,0.999992949905571,"no","",1.93195354785963e-20,"up","","",492
"PBX3",10,0.000433889168796053,"no",0.0993169708047477,0.153549451775577,9,0.217623636934737,"no","",1.4465550098547e-11,"down","","",492
"LDLR",9,0.000516646766625883,"no",-0.0277337572538646,0.0952728571373905,8,0.929138341832811,"no","",3.54079760271603e-20,"down","","",492
"SPEN",8,0.000518291609630794,"no",0.148855707995911,0.0890614733043217,7,1.34139810958889e-05,"yes","BRCA_ambiguous,CESC_ambiguous,CLL_ambiguous,DLBCL_ambiguous,NSPH_ambiguous,PAAD_ambiguous,PRAD_ambiguous,RCCC_ambiguous,SG_ambiguous",0.865995777228342,"up","","",492
"BCCIP",10,0.00102862955880834,"no",-0.029969579524526,0.120791953329157,9,0.999973625831033,"no","",4.07940734987941e-21,"up","","",492
"DHRS7",9,0.00105744328088253,"no",0.0541149290169399,0.0618989588561032,8,0.479047968704771,"no","",1.26645399460728e-09,"down","","",492
"PRR5",10,0.00106236984989394,"no",-0.0124163063400871,0.181424053077408,9,0.00059310989368988,"no","",1.67324675392784e-24,"up","","",492
"MNT",10,0.00114906670697512,"no",0.037474285331699,0.185427440908507,9,0.312198350355853,"no","",6.62481857267615e-06,"up","","",492
"ERCC1",10,0.00118384811559447,"no",-0.00276703696947596,0.292486994035804,9,0.99475437653429,"no","",2.34378867941264e-13,"up","","",492
"REXO4",10,0.00123567543297942,"no",0.0309112052542388,0.10066943771975,9,0.457882700797017,"no","",2.92623351613868e-21,"up","","",492
"KIF2B",7,0.00133343581987866,"no",-0.00325352919188729,0.0797740731919735,6,0.251958950284223,"no","",0.581170554045796,"up","","",492
"SRSF12",10,0.00151092090671068,"no",0.0088029172764968,0.0776239472371235,9,0.405905750603274,"no","",5.78258074332651e-21,"up","","",492
"SERPINA12",10,0.00179824362648029,"no",0.0704410339373563,0.152236798663807,9,0.550283260093016,"no","",1.29572124597908e-06,"up","","",492
"USP5",9,0.00189637374951224,"no",-0.312297226273778,0.309006657677637,8,0.999999999895552,"no","",1.57794373025649e-28,"up","","",492
"B3GNT7",9,0.00205629460526868,"no",0.082422402603612,0.109226859452078,8,0.0116662621169937,"no","",2.7392433572743e-27,"down","","",492
"PAN3",10,0.00241933541227723,"no",0.0896012025237825,0.0453231900877228,9,0.0137113627564898,"no","",0.0512614608198687,"down","","",492
"TCF21",10,0.00256917276931223,"no",0.0215811377354089,0.197419158469432,9,0.841483376242882,"no","",1.3094479410461e-30,"down","","",492
"BMPR1B",10,0.00262248565715384,"no",-0.0355388143740985,0.0974423173833465,9,0.00370351318058681,"no","",0.00118730075322537,"down","","",492
"WASH2P",9,0.0028777376750182,"no",0.174030380007021,0.199102286637888,0,NA,NA,"",0.87413704040404,"up","","",492
"C1R",8,0.00290787321403652,"no",-0.01422652486258,0.1906079911302,0,NA,NA,"",0.276525112618293,"down","","",492
"ADAMTS10",10,0.00299439428820636,"no",-0.0269457769708049,0.144321079802639,9,0.987926637756759,"no","",9.27446512218724e-10,"down","","",492
"MARCO",10,0.00311257377175977,"no",-0.0845607178876414,0.153715126032134,9,0.725436789301839,"no","",1.50119233890299e-29,"down","","",492
"GRID1",9,0.00317090853458191,"no",0.117152143360034,0.0840141049345157,8,0.716712678206778,"no","",3.1364015685847e-24,"down","","",492
"KIAA0247",10,0.00323092381597545,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,492
"MCL1",7,0.00325125213829691,"no",0.262965242981966,0.111737420464905,6,0.996308901001226,"no","",1.7156055164893e-19,"down","","",492
"ANKRD36B",9,0.00330586834034852,"no",0.00851244847635304,0.199020980685147,8,0.999999971332376,"no","",0.000126470345178087,"up","","",492
"EED",9,0.00369096033524241,"no",0.0307403935160804,0.150512702291201,8,0.999924793262435,"no","",4.90015828306095e-23,"up","","",492
"MFN1",9,0.00418024061214139,"no",-0.0529781285757291,0.179217162068139,8,0.268477926243663,"no","",4.53613823676972e-28,"up","","",492
"ANGPTL4",10,0.00426723653345129,"no",0.0191800347003649,0.0843226417469823,9,0.0864615966366493,"no","",0.00031695987849344,"up","","",492
"PTGES",10,0.00429299717324172,"no",0.0436585062823123,0.0983917908762093,9,0.465207892846392,"no","",9.71931541198566e-19,"up","","",492
"ITGAV",8,0.00450141341700583,"no",0.143996971460735,0.1714446721317,7,0.508125167566591,"no","",3.41573270247772e-15,"up","","",492
"EP300",7,0.00456500363586421,"no",0.196153256371481,0.185911851087195,6,0.730135886499292,"no","BLCA_LoF,CESC_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LUSC_LoF,MBL_LoF,NHLY_LoF,NSPH_LoF,SCLC_LoF",0.0967785990305055,"up","","",492
"DDX47",7,0.00469845135481983,"no",-0.410483798611292,0.240656249883303,6,0.999999986751233,"no","",0.00022395611274087,"up","","",492
"MSI1",10,0.00478012564335573,"no",-0.000696881793844389,0.111342462676358,9,0.944334420836138,"no","",1.14982292889885e-18,"up","","PTEN (depleted, 2% vs 10%), RASA1 (depleted, 1% vs 7%)",492
"MTMR9",8,0.00480746275765964,"no",-0.0471248891932629,0.244355444567464,7,0.0176658846986066,"no","",3.03776201475926e-12,"down","","",492
"TGFBR2",10,0.00483162483190136,"no",-0.0388248396508114,0.1920301411819,9,0.032093698091382,"no","CESC_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,HNSC_LoF,PAAD_LoF",8.19081766964988e-31,"down","","",492
"GNG8",9,0.00492127011927102,"no",0.109587729577774,0.068706330514579,8,0.439003833347751,"no","",0.236274717072903,"up","","",492
"SERPINB11",9,0.00493160659370884,"no",-0.00891323883494674,0.126087911667193,0,NA,NA,"",1.01637996536017e-05,"up","","",492
"FOXP4",10,0.00499319181209823,"no",0.0327793984047356,0.107112459674825,9,0.729829300030065,"no","",0.0683985875584629,"down","","",492
"RNF4",8,0.00504599135242156,"no",-0.0259239643647714,0.150743502316183,7,0.999985627894088,"no","",3.44952297637704e-08,"up","","",492
"PITPNM2",9,0.00515606550591963,"no",0.0817348238365193,0.155331582165007,8,0.680744097244964,"no","",6.79496009600082e-18,"down","","",492
"REV3L",8,0.00529109664538874,"no",0.0087019093247656,0.0563980927418536,8,0.999990898088269,"no","",2.54471610401953e-19,"down","","",492
"HIST1H1D",9,0.00550338994669952,"no",0.0970008439690923,0.219815462935305,8,0.938948497719434,"no","",NA,NA,NA,NA,492
"MBD1",9,0.0057531507234535,"no",0.0039241927472043,0.0900299114539111,8,0.000109679966203147,"yes","",4.446550355226e-07,"up","","",492
"ARHGAP8",10,0.00578923157753031,"no",-0.0670916370075457,0.275105244867962,9,0.691279204708898,"no","",5.93537317901274e-07,"up","","",492
"PRR5-ARHGAP8",10,0.00578923157753031,"no",0.18631056846778,0.329956615570231,0,NA,NA,"",7.61456117446477e-22,"up","","",492
"SLC19A2",9,0.00688622035567366,"no",0.0457526628437487,0.247027403452365,8,0.0215533950986435,"no","",8.195758174758e-08,"down","","",492
"KIF4B",10,0.00689550340508849,"no",-0.0600162656637223,0.197513527730239,9,0.154021672697359,"no","",5.97840640317617e-09,"up","","DNAH9 (enriched, 6% vs 0%), USH2A (enriched, 9% vs 2%)",492
"ADAMTS3",10,0.00751203398274569,"no",0.034310753340596,0.0472013925131326,9,0.765949713686164,"no","",4.9512810687119e-05,"up","","",492
"PPP2R2A",8,0.00757347564822541,"no",0.081684092275345,0.273682950021369,8,0.396423787929145,"no","",0.0010537925331013,"up","","",492
"GCM1",10,0.00791807107161047,"no",0.0881194875520959,0.154264903483055,9,0.683607153725379,"no","",0.000578614445708088,"up","","",492
"IQSEC3",8,0.00819513215336876,"no",-0.00403964080804984,0.317518990956686,7,0.265045631464423,"no","",5.76203289936908e-28,"down","","",492
"PIP5KL1",10,0.00856417521457475,"no",0.0358973736658569,0.0985565910481192,9,0.615500831018136,"no","",0.209640287017707,"up","","",492
