"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"THEM4",7,3,0.000447272902253935,"yes",-0.0601807293491175,0.192120495591495,-0.242386079067297,0.238779272958075,3,2,0.465299490710803,"no",""
"PTGER4",4,4,0.00185094575719925,"yes",NA,NA,NA,NA,1,2,NA,NA,""
"PRKAA1",6,4,0.00263802210128184,"no",-0.0706277658708088,0.158060409144573,-0.284910406414502,0.1051734975775,3,2,0.770214733216418,"no",""
"HSD17B7",7,2,0.00296536861420877,"no",0.0810276250560205,0.311054714784563,-0.315167397222996,0.205077602619235,4,1,NA,NA,""
"TCHH",3,3,0.00917474552274214,"no",0.0634647378959407,0.0419896651170555,-0.257678887497423,0.176129927023171,0,2,NA,NA,""
"MAPK1",8,2,0.0127116663155801,"no",0.038900490562663,0.105903387478102,-0.0888709337111495,0.0458075898806494,4,1,NA,NA,"CESC_Act,CLL_Act,HC_Act,HNSC_Act"
"SLAMF9",7,2,0.0132184305836166,"no",-0.0939921299309927,0.0920370848355968,-0.138559011348524,0.130931401277238,3,1,NA,NA,""
"MLLT11",6,4,0.0140914741848261,"no",-0.107487759267059,0.328652471494255,-0.171473203822545,0.189003168332154,3,2,0.304944173637687,"no",""
"PMEPA1",8,2,0.0158725385261175,"no",-0.0355328672744663,0.0862304594388905,-0.221426386960175,0.163546828858275,3,2,0.319377034573214,"no",""
"KIRREL",7,2,0.0189827746076012,"no",NA,NA,NA,NA,0,0,NA,NA,""
"SLC1A3",6,4,0.0247682120674277,"no",-0.0253752410472726,0.12507940636851,0.0169373509311062,0.131166300552458,3,2,0.631908182456341,"no",""
"UBAC2",6,3,0.0288255867076906,"no",-0.0774428623289849,0.36682474309434,0.0276614726832527,0.0735464611789152,3,2,0.129144042797895,"no",""
"PMP22",7,2,0.0294951333555294,"no",-0.0406496383567052,0.240657893312982,0.00824814540951699,0.141551215712584,4,1,NA,NA,""
"ALDH3A2",7,2,0.0296548310292481,"no",-0.00113934790156471,0.174403905542214,-0.0734549945603742,0.0499980190333358,3,2,0.414044917906673,"no",""
"RFX5",6,4,0.0330154313953201,"no",-0.100001151586397,0.126143112351541,-0.166329503982696,0.348461922661813,3,2,0.247527303721533,"no",""
"NPAS3",6,2,0.03403682114434,"no",-0.0721368754058545,0.0409909492183586,-0.240944391536715,0.124714365329556,4,1,NA,NA,""
"CABLES2",8,2,0.044908849636835,"no",-0.0224167219145205,0.146106368872918,-0.0657701103752067,0.0190444473064317,3,2,0.796821614271071,"no",""
"NTSR1",7,2,0.0496907966140792,"no",-0.136522190465702,0.190167608559083,-0.188060432017642,0.00573114777966099,3,2,0.588871159580264,"no",""
"HGF",6,2,0.0528500350822072,"no",0.0412532288283388,0.164847800893153,-0.106404240697019,0.0782627389990702,4,1,NA,NA,"BC_Act"
"LIMS3",8,2,0.0556035042725797,"no",NA,NA,NA,NA,0,0,NA,NA,""
"LIMS3L",8,2,0.0556035042725797,"no",NA,NA,NA,NA,0,0,NA,NA,""
"CLDN10",7,2,0.057311172213589,"no",0.0891131556965074,0.197943684892513,0.102142026928686,0.143063234426608,3,1,NA,NA,""
"CA14",7,3,0.0580927684054564,"no",0.0323309240368404,0.253866984304527,-0.145924957825897,0.224875028128189,3,2,0.469026526836634,"no",""
"C6",5,4,0.0607667194724048,"no",0.00199909018913787,0.0818143415866153,-0.00622110356752695,0.23432752917536,3,2,0.584844990850344,"no",""
"AGR2",7,3,0.0617594746319593,"no",0.0537752345235917,0.209858088066408,-0.187608712425264,0.378857540459066,3,2,0.0839286064164987,"no",""
"SLAMF6",8,2,0.0623009956837016,"no",0.0037156889379082,0.188825714444738,-0.0777194089539311,0.0515216096474199,4,1,NA,NA,""
"TCFL5",8,2,0.0697600023410541,"no",-0.0250620224828432,0.127953074586278,-0.253675305997034,0.0880076597154505,3,2,0.785296965184958,"no",""
"DUSP12",8,2,0.0721267843612323,"no",0.0106889982406678,0.171434356110455,0.043184229077546,0.348970489839897,4,1,NA,NA,""
"STK24",7,3,0.0743405703881821,"no",0.166512803990739,0.186732422274931,0.0186777050349497,0.130575572897546,3,2,0.4694873521002,"no",""
"SLC39A1",6,3,0.0749518501269612,"no",0.0128482467674152,0.128079294163319,-0.0557434655763538,0.285238754146744,2,2,0.666223872736565,"no",""
"PXDN",7,2,0.0754374998136574,"no",0.147462919206534,0.208490162991344,0.105504660512985,0.0890851447269204,3,1,NA,NA,""
"GJA5",7,3,0.0760044213732921,"no",-0.136413523953704,0.0835672729835132,-0.0969967544198614,0.15402910439562,3,2,0.570194067329272,"no",""
"DOCK9",7,3,0.078009927380011,"no",0.170359216752611,0.249523137868146,-0.134576701595284,0.194718906557453,3,2,0.217384730190588,"no",""
"ZNF496",8,2,0.0803383517573615,"no",-0.0109684862876655,0.225884620784748,-0.101186701770833,0.0584607303296078,3,2,0.705369641651932,"no",""
"HS3ST3B1",7,2,0.0808663672795695,"no",0.0720694968600696,0.227629738353171,0.0111380750770979,0.0612417865088001,4,1,NA,NA,""
"FARP1",7,3,0.088133342973099,"no",-0.0629133138727324,0.312187489243615,0.143295124089699,0.284293336376983,3,2,0.119542316856827,"no",""
"SREBF1",7,2,0.0886031489900956,"no",0.0213497294501008,0.0863314455971878,-0.102956887702508,0.0358469280192344,3,2,0.298346749784653,"no",""
"TTC24",6,3,0.0893623398003432,"no",0.0593571520053254,0.169934046140339,-0.203275009358497,0.0364535779146695,3,2,0.620858272113704,"no",""
"CDH12",7,3,0.0911615992983765,"no",0.0239387440981771,0.0933013088141486,-0.131040254987964,0.0580421989462299,3,2,0.158353136106837,"no",""
