"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"ANKRD24",8,2,0.00226718023246106,"yes",-0.0356852198654639,0.151826729267295,-0.0909923559149695,0.205532607524666,5,0,NA,NA,""
"CFH",6,2,0.00483894185045365,"no",0.0879025209652342,0.148059886471258,0.111835316915479,0.0765651536873237,2,2,0.809770454096582,"no",""
"ACO2",7,2,0.00795260473911868,"no",-0.192190412986616,0.193760960754696,-1.0018455298124,0.511830280162327,4,1,NA,NA,""
"MEGF8",8,2,0.00811030967167444,"no",0.0887919512011877,0.112357113812766,-0.281526326606367,0.082282468939216,3,2,0.818586315549452,"no",""
"SLITRK3",8,2,0.00929752170844686,"no",-0.155858573365223,0.176247526353344,-0.330944027910362,0.10285804168467,3,2,0.516337087979181,"no",""
"ATM",6,3,0.0145440950479892,"no",-0.140552265586304,0.0852978486007717,-0.163965319771839,0.112822035458226,3,1,NA,NA,"BLCA_LoF,BRCA_LoF,CH_LoF,CLL_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,HGG_LoF,LUAD_LoF,MM_LoF,NB_LoF,NSCLC_LoF,PAAD_LoF,PAIS_LoF,PRAD_LoF,RCCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCEC_LoF"
"PAX1",7,2,0.0148251613332995,"no",-0.156526673310882,0.187669209693435,-0.335370895634889,0.061657701115336,4,1,NA,NA,""
"ABCB11",8,2,0.0180648772480601,"no",-0.00606700848074477,0.0506549678565649,0.0969895041045777,0.0415362522606973,4,1,NA,NA,""
"COL6A3",7,3,0.0193151501529809,"no",-0.222530822294155,0.193353509145196,-0.20749857117841,0.124858379117739,2,3,0.441758699872504,"no",""
"LAMA5",5,3,0.0206222029512584,"no",-0.214567800483164,0.116649483106413,-0.114897484331894,0.185098946546929,1,2,NA,NA,""
"ATR",8,2,0.0207632415185455,"no",-0.323272126669819,0.564535363881381,-0.691776526115555,0.129993306959807,3,2,0.497521512977603,"no","CM_LoF,UCEC_LoF"
"DLG5",8,2,0.0209111299995877,"no",0.0725112554226204,0.145617790929233,-0.213490300122736,0.113194898986258,3,2,0.193603796725718,"no",""
"BTBD17",6,3,0.0221164481592516,"no",-0.00616544220410385,0.213102396244855,-0.168141558474939,0.159093166256435,3,2,0.656742718196024,"no",""
"ATP2B4",8,2,0.0390365146052217,"no",-0.283589409174743,0.211836016424187,-0.254639306481531,0.0172242112978215,4,1,NA,NA,""
"PTGER4",4,2,0.0394409110698865,"no",NA,NA,NA,NA,1,2,NA,NA,""
"KIF2B",6,3,0.039965965780807,"no",0.0524526198650511,0.223184918030471,-0.0247096595538725,0.189708399368703,2,3,0.223122254180185,"no",""
"RHO",8,2,0.0466086119481579,"no",-0.0709999592489457,0.296049767988529,-0.334154724873358,0.327504968366966,4,1,NA,NA,""
"KIF18A",8,2,0.0509865584269188,"no",-0.5333708612049,0.539834463803065,-0.899442531753955,0.0715224593405546,5,0,NA,NA,""
"PAX3",8,2,0.0581493852464725,"no",0.0111875518257997,0.149159377124136,-0.237993813240143,0.219618018925584,4,1,NA,NA,""
"ANKRD17",7,3,0.0607650509378981,"no",-0.0944730991398445,0.244604969232311,-0.382660273574432,0.23791300470864,3,2,0.485593976268338,"no",""
"FREM2",6,2,0.064989068433874,"no",0.0530047626414398,0.233260423410894,-0.0382809063741925,0.179461602005407,2,1,NA,NA,""
"TRIO",5,3,0.0702114645270779,"no",-0.130328745128052,0.127514564553261,-0.114154413344838,0.0781983469522381,1,2,NA,NA,""
"CCAR1",8,2,0.0725547449717099,"no",-0.515207974896178,0.380463325629086,-0.647533104283616,0.284193938617979,4,1,NA,NA,""
"TCHH",3,4,0.0767792208665742,"no",0.0634647378959407,0.0419896651170555,-0.175956066829569,0.242383406946606,0,3,NA,NA,""
"FAM83H",6,2,0.0785534880788222,"no",0.0112010433135341,0.177048791558419,0.101085811760455,0.121914623355809,4,1,NA,NA,""
"FCGBP",8,2,0.085915201102048,"no",-0.0709007677187223,0.185702001818026,-0.0632804254560451,0.128325037807728,0,0,NA,NA,""
"NPAS3",6,2,0.0863025598102846,"no",-0.0721368754058545,0.0409909492183586,-0.156664223893034,0.10385312759493,4,0,NA,NA,""
"SMARCA4",5,2,0.0884035148921473,"no",-0.11946053773789,0.0624262048921944,-0.323726280534977,0.324332175895245,2,2,0.557289522038709,"no","BLCA_LoF,BLY_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,MBL_LoF,NHLY_LoF,NSCLC_LoF,PAAD_LoF,PIA_LoF,RPC_LoF,THYM_LoF"
"SLC4A8",8,2,0.0946667411577836,"no",-0.0489385938032105,0.195103154398849,-0.0376594213371423,0.0255475129232446,4,1,NA,NA,""
"GTF2IRD1",6,2,0.0984282639146043,"no",-0.00720635289172516,0.131329846146986,-0.121763175724794,0.0305823437341261,2,1,NA,NA,""
"COL9A3",7,2,0.0985913084425327,"no",-0.159096483479474,0.228746430123697,-0.134221137884539,0.125470606766314,2,2,0.476163831324877,"no",""
"HGF",6,3,0.0988250100120145,"no",0.0412532288283388,0.164847800893153,0.197875254974299,0.208844960087896,4,1,NA,NA,"BC_Act"
"SLC7A14",8,2,0.103911864982606,"no",-0.233680048029662,0.181413818315661,-0.438636684740661,0.104404774200288,3,2,0.748701560436651,"no",""
"NOTCH4",7,2,0.108177050219713,"no",-0.00367433588952833,0.105948118694404,-0.069383911625152,0.343235352108137,2,2,0.535095251149851,"no",""
"DENND5B",7,2,0.110996006030644,"no",-0.232681264126113,0.388601064284119,-0.685836655147357,0.0720195083178379,3,2,0.451799098242713,"no",""
"AMBRA1",8,2,0.112892904716074,"no",-0.261486770432447,0.247161820640332,-0.114568510496939,0.0530154229883719,3,2,0.331525987340953,"no",""
"FAIM3",7,2,0.116637452380126,"no",NA,NA,NA,NA,0,0,NA,NA,""
"ARSG",8,2,0.116815903108401,"no",0.038542281598258,0.299467169786418,0.0218063906972117,0.108805844885979,3,2,0.328952062460327,"no",""
"C1QTNF1",8,2,0.117400595207822,"no",-0.0473806967493726,0.0765138537922971,-0.0793248917916515,0.0500931357826156,3,2,0.647034829933522,"no",""
"NOX4",8,2,0.117889163516103,"no",0.0486397971643658,0.209393039936304,0.0566398799739364,0.0238514029384633,3,2,0.84767625526299,"no",""
"NOS1",8,2,0.121659781588381,"no",0.0396712884109223,0.327629990748375,-0.17653558160135,0.278566317816908,4,1,NA,NA,""
"ABCA12",7,2,0.124577477701804,"no",-0.13064561775565,0.275817581745307,-0.268027621948785,0.28209390711258,2,2,0.389816088535819,"no",""
"CHRM4",7,3,0.127161193362518,"no",0.0254108260072666,0.189260983166583,0.0118191428114863,0.0564942613891097,3,2,0.574413652793272,"no",""
"TIAM1",8,2,0.1283620863154,"no",0.0493526494814344,0.13395255445344,0.000898211570034953,0.0669224855170813,3,2,0.681078005891987,"no",""
