"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"ARID1A",6,2,0.141461674172735,"no",0.0331812497842074,0.1636153555626,-0.081760486811695,0.084285118200435,2,2,0.5593406100347,"no","BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,GBM_LoF,HC_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,NHLY_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RPC_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,UCEC_LoF,UCS_LoF"
"ALPK2",6,2,0.208943965035859,"no",-0.0345185965758434,0.248497991774688,-0.0596755959265661,0.0427257389352529,3,1,NA,NA,""
"SETD1B",6,2,0.213526041495059,"no",-0.106348866110221,0.313459686051618,-0.115143160232148,0.033124410619828,2,2,0.58887418842448,"no","ESCA_LoF,OV_LoF,PAAD_LoF"
"CDKN2A",8,2,0.220658531659276,"no",0.124197359233188,0.402393909438565,0.00152350106806662,0.00659247505822676,4,1,NA,NA,"ACY_LoF,BLCA_LoF,BRCA_LoF,CH_LoF,CM_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,NSCLC_LoF,OS_LoF,PAAD_LoF,RCCC_LoF,SSCC_LoF,ST_LoF,VV_LoF"
"RAB3C",7,3,0.237420620587722,"no",0.054748145506287,0.127759916689155,-0.116285821259443,0.372636178127015,3,2,0.56687936906188,"no",""
"KIAA2026",7,2,0.274824023777456,"no",-0.00453067952551379,0.142451824068846,-0.011717938764604,0.126165370896125,0,0,NA,NA,""
"NLRP3",6,2,0.285605809235636,"no",-0.0263063774475735,0.0954640547378146,-0.0222331378493,0.125525320486549,1,2,NA,NA,""
"MCF2L2",7,2,0.319057944538532,"no",-0.0867521764638731,0.266492187467361,-0.000482450636268249,0.0749302900286947,2,2,0.811375525811159,"no",""
"CRTC1",8,2,0.331500634592724,"no",-0.0136034248616189,0.230292721818428,-0.260667039721247,0.081655128576941,3,2,0.736733413603093,"no","ACY_ambiguous"
"CYP39A1",8,2,0.349534785793149,"no",-0.092379653948963,0.291376092203175,-0.32523321341209,0.0807478685021965,4,1,NA,NA,""
"RB1",6,4,0.430179402297656,"no",-0.0910569673856964,0.0700826261262431,-0.0782110259154607,0.191123459931075,3,2,0.526112042196761,"no","ACC_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CM_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LEIS_LoF,LUAD_LoF,LUSC_LoF,MM_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PIA_LoF,PRAD_LoF,RB_LoF,S_LoF,SCLC_LoF,ST_LoF,UCEC_LoF,UCS_LoF"
"E2F3",6,2,0.434572197979528,"no",-0.437080316853164,0.374922855706817,-0.377964579562572,0.078352609330543,1,2,NA,NA,""
"CSMD3",4,2,0.44979899864776,"no",-0.0188875725346892,0.112797084048617,0.020984730638304,0.0593149034119139,2,1,NA,NA,""
"PKHD1L1",7,2,0.459625891450067,"no",-0.0885593004832991,0.10385433879855,0.0654251732867955,0.137766418637342,3,1,NA,NA,""
"CNTRL",8,2,0.482132883920969,"no",0.0045819356953846,0.144897469308309,0.014100732279286,0.00834202088074037,3,2,0.416553792753383,"no",""
"GNAS",7,2,0.515926575027664,"no",-0.159599753498236,0.0777515351976855,-0.172340209321147,0.0560464689848935,3,1,NA,NA,"ACC_Act,BCNET_Act,BRCA_Act,CH_Act,COREAD_Act,ESCA_Act,HC_Act,MBL_Act,PAAD_Act"
"IQGAP2",7,3,0.520705108319056,"no",0.00373252063155693,0.143750398754711,-0.00926476342634797,0.0180371949863374,3,2,0.569904210561062,"no",""
"ANKRD30B",7,2,0.53698204477668,"no",-0.22571054485444,0.062707880587825,-0.302215489891382,0.128922396201359,3,1,NA,NA,""
"GPR132",8,2,0.547572173796795,"no",-0.150739213833514,0.343494728715474,-0.109516743399735,0.0961595883905148,3,2,0.351432447117624,"no",""
"SMARCA4",5,3,0.574322918241856,"no",-0.11946053773789,0.0624262048921944,-0.152687956545289,0.0841844920410163,2,1,NA,NA,"BLCA_LoF,BLY_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,MBL_LoF,NHLY_LoF,NSCLC_LoF,PAAD_LoF,PIA_LoF,RPC_LoF,THYM_LoF"
"WDFY3",8,2,0.594085429973096,"no",0.0129657292625709,0.124708918682029,0.161849829505274,0.0579809010730325,3,2,0.145431969660825,"no",""
"CSMD1",4,3,0.594950680807349,"no",-0.47274990203409,0.396043982689764,-0.222534062971576,0.246380072502625,3,2,0.453802447055046,"no",""
"ZFHX4",5,4,0.604017436163503,"no",0.0406381416780813,0.0866963299434876,-0.00546860453169825,0.0907086297968749,2,3,0.489792962316191,"no",""
"GPR98",8,2,0.605883053425926,"no",NA,NA,NA,NA,0,0,NA,NA,""
"CNTN1",8,2,0.624287897300268,"no",-0.18878159305539,0.314965980648737,-0.0715498903409099,0.0216440225927061,3,2,0.794464628561796,"no",""
"MYO9A",8,2,0.629857782148534,"no",-0.183479827344199,0.115992714531257,0.0854528010644724,0.0229134475104456,3,2,0.50365469264894,"no",""
"PABPC4",7,2,0.715663966575182,"no",NA,NA,NA,NA,4,1,NA,NA,""
"TMEM100",8,2,0.758545888141711,"no",0.0731371842418601,0.282935749309678,0.0549102713946999,0.147961714405134,4,1,NA,NA,""
"FREM2",6,2,0.763295124840632,"no",0.0530047626414398,0.233260423410894,-0.0660878541040154,0.0248851902063171,2,2,0.664326934522285,"no",""
"PDE9A",8,2,0.86991046080476,"no",0.0850699947451607,0.161788806120248,0.0404751942793326,0.10217341190137,4,1,NA,NA,""
"RDH10",8,2,0.905574590261769,"no",-0.0458143118973838,0.133442463358745,0.0929077374346174,0.0525036776004805,3,2,0.520743559145509,"no",""
"MAK",7,2,0.963148492894642,"no",-0.189160977523067,0.278861227204599,-0.0798225961195756,0.0180378910242498,3,1,NA,NA,""
"KMT2D",4,3,0.966508421431635,"no",-0.183969935492063,0.5164971549882,0.0625540380986915,0.0870165643709354,2,2,0.439520590584673,"no","ACY_LoF,ALL_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,DLBCL_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,NB_LoF,NHLY_LoF,NSCLC_LoF,OV_LoF,PAAD_LoF,PIA_LoF,PRAD_LoF,RCH_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,UCEC_LoF"
"BCAR1",8,2,0.985343813815157,"no",-0.282082869460843,0.19250707557269,0.10114932445434,0.18581380847056,3,2,0.536374684305226,"no",""
"TTN",2,5,0.996704173279935,"no",-0.306773269920313,0.018784899569384,0.121720200909266,0.064380855399612,0,4,NA,NA,""
