"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"STARD9",8,2.85780542897848e-06,"yes",-0.29063852517017,0.10098124097486,3,0.250930436330136,"no",""
"VTCN1",10,7.08193830871287e-06,"yes",-0.0626043007463189,0.232245771917319,5,0.0967984517770251,"no",""
"RAP1B",10,3.22297873925487e-05,"yes",-0.316493211234337,0.356950001138033,5,0.407610703139469,"no",""
"CACNB4",9,4.14220442623069e-05,"yes",-0.1727952585504,0.24643493147485,5,0.998262227763117,"no",""
"AGAP4",10,5.61479052641739e-05,"yes",0.0076315177902545,0.59456207846957,0,NA,NA,""
"AGAP5",10,5.61479052641739e-05,"yes",0.0347543179863768,0.290001953149992,5,0.000358353929071721,"no",""
"AGAP7",10,5.61479052641739e-05,"yes",NA,NA,0,NA,NA,""
"AGAP8",10,5.61479052641739e-05,"yes",NA,NA,0,NA,NA,""
"AGAP9",10,5.61479052641739e-05,"yes",-0.207961201413264,0.238270209097733,5,0.0275578581207418,"no",""
"CDC20",10,7.02278202069771e-05,"yes",-0.252370991980753,0.291256938436181,5,7.03436361818634e-10,"yes",""
"DLG1",10,0.000136029413621448,"yes",-0.00555150162866395,0.316028204380342,5,0.659205080140078,"no",""
"MBOAT1",10,0.000239233642552347,"no",-0.16867406813794,0.245110771724585,5,0.462473292669903,"no",""
"MATK",10,0.000256873509847147,"no",0.0060825423715886,0.197801587522712,5,0.00136898474876226,"no",""
"DHX35",9,0.000287950943486522,"no",-0.108600637433049,0.164654291950219,4,0.111683831278936,"no",""
"PTTG1IP",10,0.000290549767074729,"no",-0.178404323189284,0.269464426716147,5,0.792597577963136,"no",""
"DDX50",10,0.000298494362083413,"no",-0.0656608793115948,0.159134705995594,5,0.285622745826267,"no",""
"MICB",10,0.000300272669115295,"no",-0.117547334588898,0.156910644914085,5,0.0141549722493238,"no",""
"TSFM",10,0.000312740638735944,"no",-0.148173482075313,0.115636080574862,5,6.01029686588225e-05,"yes",""
