"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"BCCIP",10,1.62488477517542e-06,"yes",-0.0622546153176167,0.271624455331554,5,0.996746768818026,"no",""
"CRBN",10,2.23339346809848e-05,"yes",0.0555499737973609,0.134803814558839,5,0.00321943984220097,"no",""
"NDST4",9,2.57757453258067e-05,"yes",0.0979277294689799,0.126186709131613,4,0.00664794597150875,"no",""
"FABP9",10,2.98619517390408e-05,"yes",0.0163305109392006,0.101381719297194,0,NA,NA,""
"LCP1",9,3.0074830902227e-05,"yes",0.0437754292390443,0.3525737023209,5,0.286961114092385,"no",""
"LTV1",10,3.58672481494127e-05,"yes",-0.0817292674861659,0.303610659015908,5,0.999940865671087,"no",""
"DRD1",10,5.23919332885425e-05,"yes",-0.0524702008070856,0.160019529539977,5,0.0560368972525556,"no",""
"LRIG2",10,7.69891224240427e-05,"yes",-0.112099403996869,0.071349731639514,5,0.466495766246104,"no",""
"TPT1",9,0.000164056097438081,"no",-0.212606263959067,0.173728788822875,5,0.99999828281336,"no",""
"CDK6",9,0.000190943996994597,"no",0.247747388135149,0.133085272900213,5,0.959198740845481,"no",""
"TTC1",10,0.000212426809029442,"no",-0.504638258702444,0.211994189612943,5,0.999900683077498,"no",""
"GALR3",10,0.000213652326930158,"no",0.0812590849097033,0.135807755593515,5,0.130880983758653,"no",""
"AK4",10,0.000232239876077456,"no",0.139744581776388,0.237086454910441,5,0.807511268979622,"no",""
"WDR67",9,0.000241721488741908,"no",NA,NA,0,NA,NA,""
"ERBB4",8,0.000268421881023162,"no",-0.0382027189061635,0.212815948843081,4,0.374067509723478,"no","BLCA_LoF,BRCA_LoF,ESCA_LoF"
"PLEKHA4",10,0.00032490151351261,"no",0.0543199175713555,0.0748310165421179,5,0.0112856371466603,"no",""
"CAMK4",10,0.000348723572942466,"no",0.122758411411276,0.140216975047862,5,0.335544679463112,"no",""
"MED7",10,0.00035227015501671,"no",-0.295261651706076,0.221638643402976,5,0.999914608105777,"no",""
"COL10A1",10,0.000361838275804716,"no",0.0621066289912731,0.0810493355845102,5,0.0555932235920781,"no",""
"ANKRD44",10,0.000453567809464706,"no",NA,NA,5,0.329567494169467,"no",""
"ABCB8",10,0.000508641321615211,"no",0.050353783490277,0.165398322748906,5,0.0904346077867704,"no",""
"UBE2L6",10,0.000525205588559841,"no",0.0508811182369495,0.220288690110277,5,0.027576450665627,"no",""
"DPYD",10,0.000628804565490082,"no",0.167132532360646,0.171876296960133,5,0.838506126383516,"no",""
"HIST1H1T",10,0.000690191918454985,"no",0.151060464998464,0.0549986682467215,5,0.0120199198293129,"no",""
"RGR",10,0.000698194891230575,"no",0.102317334979996,0.0542059383487535,5,0.797414685458481,"no",""
"ARAP1",8,0.000713979899410133,"no",0.00720052132029745,0.167695060397541,4,0.0433587020635814,"no",""
"ARID3A",10,0.000783408669565944,"no",-0.0155421384569557,0.148565121054698,5,0.997702144126732,"no",""
"CD14",10,0.00078675456405175,"no",0.121688924747468,0.138093894792281,5,0.15734096880574,"no",""
"SAFB2",10,0.000822655945793116,"no",0.0196434258020163,0.190885367243045,5,0.727342878159354,"no",""
"ALDH16A1",9,0.000898990863667071,"no",-0.143989085445671,0.33573000319594,4,0.100823858070381,"no",""
"RAB12",10,0.000902601060169261,"no",0.109050022553904,0.16800926482115,5,0.0477864158599596,"no",""
"TRIB2",8,0.00099532462410723,"no",-0.0667075846534525,0.231822796596684,4,0.403170610417315,"no",""
"VSX2",9,0.00100632999444306,"no",-0.0508444410463597,0.0565234808592667,4,0.258528617398341,"no",""
"UBAC2",6,0.00114041820898214,"no",-0.0774428623289849,0.36682474309434,3,0.0229738378631135,"no",""
"EDARADD",9,0.00115384370471816,"no",0.139752166585343,0.337375115603924,4,0.113673203733145,"no",""
"HSPB1",9,0.00116059141326896,"no",0.0969249452823903,0.091857816894927,4,0.00646088067969164,"no",""
"LGR6",8,0.00121363823437304,"no",-0.169329582483256,0.0995524058523688,3,0.0578337327496038,"no",""
"TMPRSS2",10,0.0013038010466363,"no",-0.00387214710553409,0.302837521139203,5,0.0140344124405002,"no",""
"NLRP12",10,0.00137703146337953,"no",-0.0219079365763526,0.335271498349464,5,0.000179905181900253,"no",""
"WNK1",9,0.00142967181167797,"no",0.147012298573133,0.320776626293417,5,0.999960425832702,"no",""
"LTBP4",9,0.00144957262191692,"no",0.0616230393695357,0.138794341188141,0,NA,NA,""
"ZBTB26",10,0.00147897546999276,"no",0.0340997668264235,0.318569416552292,5,4.15050846384046e-05,"yes",""
"RAB3D",10,0.00150497816834128,"no",-0.0886717989820814,0.373357954638166,5,0.853674301576713,"no",""
"FKBP5",10,0.00158023921175787,"no",0.0216400228155682,0.101001751738234,5,0.0221056540300516,"no",""
"C1R",8,0.00162315692981929,"no",0.0506749008794397,0.100245447465297,0,NA,NA,""
"NPTX1",10,0.00164697006366044,"no",-0.15621634651557,0.361746007436811,5,0.36471762022809,"no",""
"MEGF8",8,0.0017047646408489,"no",0.0887919512011877,0.112357113812766,3,0.526040899240481,"no",""
"ZRANB2",10,0.00170509403601882,"no",-0.358495985218191,0.31944732070535,5,0.999568978634709,"no",""
"MED21",10,0.0017401495580105,"no",-0.174963756689618,0.25599988880294,5,0.999878537815142,"no",""
"AIP",9,0.00174857605526058,"no",0.228960114177301,0.330452029762846,5,0.934393584904128,"no",""
"NRBP1",8,0.00183996177942503,"no",0.0152359978951125,0.483151875229849,3,0.999356258092015,"no",""
"PAX3",8,0.00185232272046865,"no",0.0111875518257997,0.149159377124136,4,0.421261813219664,"no",""
"BTF3",10,0.00185564979889641,"no",-0.417943697074566,0.281136915051915,5,0.998328984537897,"no",""
"ATP12A",8,0.00187447452499978,"no",-0.0880064374042887,0.342972885036655,5,0.576476632596963,"no",""
"RELB",8,0.00187725948825379,"no",0.0724667463226739,0.0509879939803873,3,0.934139987170838,"no",""
"FNTA",9,0.00190938347211711,"no",-0.0124869821029973,0.237891542245061,5,0.999787109113138,"no",""
"IL1R2",9,0.00210834463033349,"no",-0.256475505504135,0.161672863167976,4,0.398928869523561,"no",""
"PABPN1L",10,0.00211288257010234,"no",0.0732843974598061,0.150205764495042,5,0.000297834790045304,"no",""
"TOP2A",9,0.00212761832459774,"no",-0.549698746217008,0.397984256112236,4,0.999999926678857,"no","ST_Act"
"GPR88",9,0.00218489184013215,"no",0.056799586737301,0.0962430511980115,5,0.158050010594219,"no",""
"PITX2",9,0.00218856128509204,"no",-0.00270233162402256,0.211636863697362,4,0.0751619068755464,"no",""
"CYP26B1",8,0.00226369987128783,"no",-0.040019767435627,0.285853869442755,4,0.0692075650396347,"no",""
"CD83",10,0.00227716297381053,"no",0.177080225744202,0.164397246651893,5,0.0373999692598274,"no",""
"RBBP8",9,0.00232581626943784,"no",-0.0662340648668935,0.105649831653755,5,0.999991940513682,"no",""
"WASH2P",10,0.00236670030792663,"no",0.0637494135484281,0.194499070993845,0,NA,NA,""
"CFH",6,0.00246937678106163,"no",0.0879025209652342,0.148059886471258,2,0.465029814984026,"no",""
"CLSPN",9,0.00250575325586533,"no",-0.674359395107806,0.587857227916356,4,0.999805301653993,"no",""
"BTNL9",10,0.00250984160276957,"no",-0.0108856821050898,0.0578314669748804,5,0.00846959072645559,"no",""
"SCNN1D",9,0.00254064240706098,"no",0.0152549512988954,0.152010639202697,5,0.98592184267505,"no",""
"ATP11B",9,0.00259036251574585,"no",0.0352325855202626,0.124226148549463,4,0.0158058742948489,"no",""
"ATAD3C",9,0.00271525931015715,"no",-0.13997506081429,0.138022795720207,5,0.000726333884944474,"no",""
"SLX4",8,0.00275032176674206,"no",-0.140701607860996,0.134033247854486,4,0.920395497601878,"no",""
"CORO1A",9,0.00288705696839398,"no",0.160200701251551,0.127378719352664,4,0.71777618105335,"no",""
"KCTD8",9,0.00289453114302318,"no",0.00599696664561632,0.099065746846544,4,0.832741661434447,"no",""
"GTF2H2C",8,0.00289774149071864,"no",NA,NA,4,0.999565679501714,"no",""
"TBC1D2B",9,0.00295112159166988,"no",0.184444700896498,0.174716908798777,4,0.353457143357551,"no",""
"FAS",8,0.00298275810268622,"no",-0.00504487722501386,0.227007969111509,4,0.82037866624977,"no","CESC_LoF,DLBCL_LoF"
"ROS1",7,0.00298819376542947,"no",0.0658272501534298,0.164970090366275,4,0.00129796514057856,"no",""
"OR51B2",10,0.00302424960110104,"no",0.27241124695553,0.242909872175586,0,NA,NA,""
"PHIP",8,0.00307415504574382,"no",0.0303357619797346,0.186492720776079,4,0.904410592370314,"no",""
"MLNR",10,0.00326572329636932,"no",0.0522136226320616,0.258972034524835,5,0.258185198085692,"no",""
"EML1",9,0.00348725953227513,"no",0.0648137259615746,0.183097533184003,4,0.0240233797768982,"no",""
"ZBTB12",10,0.00350199391279948,"no",-0.489508480082449,0.527428465676258,5,0.991075931311303,"no",""
"PITPNM2",10,0.0035123235893868,"no",0.0875847458549556,0.161298384697441,5,0.608261566915882,"no",""
