"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"CCND3",5,3.97441108824727e-13,"yes",-0.997694586304656,0.0365024119242061,1,NA,NA,"BLY_Act,DLBCL_Act,LY_Act,NHLY_Act","","",37
"MEF2B",4,8.34297418836769e-11,"yes",-1.11613044167105,0.350123779439118,0,NA,NA,"DLBCL_LoF,NHLY_LoF","","",37
"EP300",3,3.13568838567887e-09,"yes",-1.0326957632875,0.257993710523305,1,NA,NA,"BLCA_LoF,CESC_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LUSC_LoF,MBL_LoF,NHLY_LoF,NSPH_LoF,SCLC_LoF","","",37
"CDK6",5,2.49683324220368e-08,"yes",-1.73335713481566,0.930524505361973,1,NA,NA,"","","",37
"TCF3",5,2.68101873869506e-08,"yes",-0.975704770900817,0.223838697693513,1,NA,NA,"","","",37
"CNKSR1",5,1.81623207519092e-07,"yes",0.0922851584027154,0.136438548012334,1,NA,NA,"","","",37
"PTTG1IP",5,1.99856270614098e-07,"yes",-0.78107053961474,0.678168292189279,1,NA,NA,"","","",37
"CDK5",5,6.61912975613393e-07,"yes",-0.299245103307406,0.235712692287732,1,NA,NA,"","CARD11 (enriched, 44% vs 0%)","",37
"F2RL3",5,8.93180560826276e-07,"yes",0.215202740518123,0.230580473375228,1,NA,NA,"","","",37
"LGALS1",5,1.30791997583305e-06,"yes",-0.338651156195348,0.36430654073312,1,NA,NA,"","","",37
"ECM1",5,1.90037652698871e-06,"yes",-0.26304006601984,0.117449372820995,1,NA,NA,"","","",37
"ADK",5,1.91680462422772e-06,"yes",-0.495747174009454,0.291318335705649,1,NA,NA,"","","",37
"PIM3",5,2.02641806946577e-06,"yes",-0.232450116538147,0.364135452391839,1,NA,NA,"","","",37
"TPCN2",5,2.26089483319591e-06,"yes",-0.415172520230656,0.322626732905691,1,NA,NA,"","","",37
"MAN1B1",4,2.63045750286303e-06,"yes",-0.276538855570952,0.586678769657428,1,NA,NA,"","","",37
"MLLT1",5,2.75599131535388e-06,"yes",-0.460558815013207,0.318447104004124,1,NA,NA,"WT_Act","","",37
"CHRM1",5,3.76629992463236e-06,"yes",-0.453772554411032,0.076423709708405,1,NA,NA,"","","",37
"FNIP1",4,3.78068283446299e-06,"yes",-0.352539225176012,0.270746489372468,1,NA,NA,"","","",37
"UGT8",4,4.30575133965105e-06,"yes",-0.272437446796327,0.195701226191698,1,NA,NA,"","","",37
"OR5W2",5,4.58773829551253e-06,"yes",-0.218507608209865,0.08608585960864,1,NA,NA,"","","",37
"MATN3",5,4.66268497061456e-06,"yes",0.18356777037813,0.196691555691144,1,NA,NA,"","","",37
"MEF2BNB-MEF2B",5,6.80525606436653e-06,"yes",NA,NA,0,NA,NA,"",NA,NA,37
"CFL1",5,7.22453979419733e-06,"yes",-2.16686067872232,0.26649881389831,1,NA,NA,"","","",37
"SLC44A4",5,7.22670633381571e-06,"yes",0.0858849320325639,0.29121558033323,1,NA,NA,"","","",37
"WDR25",5,1.00078724146468e-05,"yes",-0.17288576288826,0.276038634542169,1,NA,NA,"","","",37
"CLMP",5,1.04985218970008e-05,"yes",-0.279927514931618,0.130513266645045,1,NA,NA,"","","",37
"CACNB2",5,1.2426274386321e-05,"yes",-0.46348578965587,0.428053170206434,1,NA,NA,"","","",37
"MAF",5,1.41944878484392e-05,"yes",-0.232954925792386,0.078882464288794,1,NA,NA,"MM_LoF","","",37
"GNA11",5,1.9176354910573e-05,"yes",-0.461859693273441,0.395030930907467,1,NA,NA,"CM_Act,UVM_Act","","",37
"VSTM2L",5,1.96225851432647e-05,"yes",-0.0178284015897691,0.408013021106091,1,NA,NA,"","","",37
"KIF2A",5,2.81903166536247e-05,"yes",-0.440464015186587,0.210866633348791,1,NA,NA,"","","",37
"KPNA6",5,3.03063336466353e-05,"yes",-0.0787052198696066,0.479995400495908,1,NA,NA,"","","",37
"CAMK2A",5,3.50485757035896e-05,"yes",0.0346725541682241,0.25777600484585,1,NA,NA,"","","",37
"RNF183",5,3.52167981881385e-05,"yes",-0.469879833153276,0.285487329659513,1,NA,NA,"","","",37
"NKX3-2",5,4.42362688568345e-05,"yes",-0.067471967237914,0.32226438310973,1,NA,NA,"","","",37
"OR2W3",4,4.56214881911157e-05,"yes",-0.143786646162194,0.161059110572541,0,NA,NA,"","","",37
"PARK2",5,4.58384603503082e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,37
"TPTE2",5,4.87303482049153e-05,"yes",0.0657188758147638,0.0590586628773618,1,NA,NA,"","","",37
"GPSM1",4,7.07807591340672e-05,"yes",-0.0350730706645098,0.256458543142709,1,NA,NA,"","","",37
"SLC44A5",5,7.18261890095459e-05,"yes",-0.403862251174982,0.265876249063407,1,NA,NA,"","","",37
"IGF2BP3",4,8.81377316608991e-05,"yes",-0.668020652360464,0.305683298056531,1,NA,NA,"","","",37
"PLK2",4,8.94733511076224e-05,"yes",-0.228240741954371,0.150728932274797,0,NA,NA,"","","",37
"HSH2D",5,9.80519703980157e-05,"yes",-0.459246150373576,0.425104070033747,0,NA,NA,"","","",37
"TTC3",5,9.99983589968052e-05,"yes",-0.15567855772496,0.054390241632319,1,NA,NA,"","","",37
"NR1D1",5,0.000115287301629806,"yes",-0.0740204048273112,0.147165873965699,1,NA,NA,"","","",37
"LGALS7",5,0.000117161411743493,"yes",NA,NA,1,NA,NA,"","","",37
"LGALS7B",5,0.000117161411743493,"yes",NA,NA,1,NA,NA,"","","",37
"RUFY1",5,0.000121792344468072,"yes",-0.174022360406067,0.444382559359918,1,NA,NA,"","","",37
