"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"DARS",5,3.28281957173715e-10,"yes",-0.787751991986012,0.423925283482269,1,NA,NA,"",NA,NA,37
"COPS8",5,4.6728798608342e-10,"yes",-0.372052812484338,0.360685454991048,1,NA,NA,"","","",37
"DDX19B",5,1.06334210325798e-08,"yes",-0.254300126688777,0.137112399363233,1,NA,NA,"","","",37
"WDR74",5,1.99248925136786e-08,"yes",-0.507992002468274,0.199773424402089,1,NA,NA,"","","",37
"PPP1CB",5,2.48380583878216e-08,"yes",0.233597570671803,0.108765308153746,1,NA,NA,"","","",37
"XRCC6",5,3.11308715472691e-08,"yes",-0.995904933941594,0.216576120991083,1,NA,NA,"",NA,NA,37
"PSAT1",5,4.12567141561127e-08,"yes",-0.0259644097900452,0.116364743233677,1,NA,NA,"","","",37
"RTP1",4,6.01025375024378e-08,"yes",0.204478872650938,0.115974334640282,0,NA,NA,"","","",37
"MCM6",5,6.67703530243813e-08,"yes",-0.65234850690884,0.074439276025243,1,NA,NA,"","","",37
"INTS4",5,7.94462003961272e-08,"yes",-0.500904180341499,0.471797685793836,1,NA,NA,"","","",37
"ARPC1A",5,1.54587079692625e-07,"yes",NA,NA,1,NA,NA,"","","",37
"PPP1CC",5,2.0052054749975e-07,"yes",-0.0807809268133144,0.0560772502751604,1,NA,NA,"","","",37
"USP5",5,3.01797746238286e-07,"yes",-0.512813216693986,0.22051826125489,1,NA,NA,"","","",37
"WDR46",5,3.21080655063533e-07,"yes",-1.15915216823531,0.1637354881658,1,NA,NA,"","","",37
"ACTG1",5,3.41305658180246e-07,"yes",-0.67423716320697,0.463388072307842,1,NA,NA,"","","",37
"PRDM14",5,3.57157393993113e-07,"yes",0.0768735819627071,0.0776134655133191,1,NA,NA,"","","",37
"PRPF6",5,3.83748205989853e-07,"yes",-0.699747699676336,0.215575703656574,1,NA,NA,"","","",37
"AATF",5,5.23647950223527e-07,"yes",-0.351034616190359,0.198579249677683,1,NA,NA,"","","",37
"ITGA1",5,5.3990467963061e-07,"yes",0.241934388740603,0.049472594490492,1,NA,NA,"","","",37
"EEF2",5,5.64353309084886e-07,"yes",-1.06947162329901,0.352271314241518,1,NA,NA,"","","",37
"UBASH3B",4,5.65259571039256e-07,"yes",-0.0311424741221567,0.214156481005346,1,NA,NA,"","","",37
"ATRIP",5,5.84913287915434e-07,"yes",-0.266482295721218,0.184838616930132,1,NA,NA,"","","",37
