"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"BRIX1",11,4,0.00174721418267852,"no",-0.126943775631981,0.196595059205124,-0.322244524906474,0.0542819952336598,10,4,0.520559075287649,"no","",2.7071343302714e-05,0.0769230769230769,182
"DHX36",10,3,0.00387834918261776,"no",-0.136372177396616,0.113407183210751,-0.201684371931031,0.078810032056739,9,3,0.500000000000026,"no","",6.86051644001043e-08,0.126373626373626,182
"BTNL9",13,2,0.00460772508272008,"no",0.0107604386424264,0.0664865810152697,0.0171461808239571,0.00650547891116285,12,2,0.467743780539325,"no","",NA,0.010989010989011,182
"MFN1",10,5,0.00765748697948707,"no",-0.123337350579043,0.199637291815904,-0.184418128447231,0.03248991967791,9,5,0.647615661953736,"no","",6.84305529500197e-10,0.175824175824176,182
"CCDC144C",12,3,0.0124385618388585,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
"FFAR1",13,2,0.0127929066445089,"no",0.12314503795968,0.0953156971040207,-0.284567341399248,0.282374221661781,12,2,0.141280728737709,"no","",0.442721512532854,0.0384615384615385,182
"DNAJC2",11,2,0.0149695928556918,"no",-0.132870604113176,0.287356576299451,-0.162727062512732,0.00689319322947549,11,2,0.551189099497683,"no","",4.66532723773396e-07,0.0659340659340659,182
"LOC646214",12,2,0.0209385219284273,"no",0.0635460300887916,0.12202378760441,0.0201708153985968,0.0936582149074572,0,0,NA,NA,"",NA,0.00549450549450549,182
"EIF5A2",11,3,0.0220114951884555,"no",0.0433380938370822,0.227136424578351,-0.105720569948556,0.125389798484352,11,3,0.435136156568273,"no","",0.00099705842410946,0.197802197802198,182
"ALKBH4",11,2,0.02320155478084,"no",0.13658770683066,0.0764386880288113,0.0178740937282438,0.00115106689937755,11,2,0.213125598378837,"no","",1.58818629031004e-07,0.0769230769230769,182
"NSF",13,2,0.0241557491122648,"no",-0.391939689580057,0.222712684280881,-0.417082908109286,0.103000568330684,12,2,0.497479162013264,"no","",NA,0.00549450549450549,182
"DLST",12,2,0.0255403619559869,"no",0.0906541325919814,0.134374508456003,-0.0881947116117012,0.0291306758967098,12,2,0.490366914967403,"no","",NA,0.00549450549450549,182
"FAM46C",12,2,0.0256361599059084,"no",0.0615655703678404,0.171548510377178,-0.129979088498737,0.123921399363631,0,0,NA,NA,"MM_LoF",NA,0.021978021978022,182
"TBC1D10C",11,3,0.0260037386664672,"no",-0.00407973868711331,0.0922989856485902,-0.115945936328047,0.0417411189359825,10,3,0.427114183392214,"no","",0.0356005785079151,0.0549450549450549,182
"ATP1A1",12,2,0.0277843722784646,"no",-0.334486673197695,0.28817018671289,-0.513287922515515,0.0568150910980399,11,2,0.490631727696205,"no","",0.0450941746371414,0.021978021978022,182
"OGDH",11,2,0.0367738783090987,"no",-0.108294485340295,0.0768420859310429,-0.298856183393078,0.0648672177725241,10,2,0.368002283530495,"no","",0.0201275411244089,0.0274725274725275,182
"ERBB2",11,3,0.0423534068516233,"no",-0.130045506556208,0.129615773947722,-0.625230709063842,0.260656641443813,10,3,0.356850786900421,"no","BLCA_Act,BRCA_Act,CESC_Act,CH_Act,COREAD_Act,ESCA_Act,NSCLC_Act,OV_Act,RPC_Act,ST_Act",3.88590953989716e-14,0.153846153846154,182
"PRRG4",12,2,0.0433985401694317,"no",0.0123925235669495,0.0833918743202325,-0.0475188825752716,0.0539932686117184,12,2,0.279460000295053,"no","",0.0136140690831762,0.0274725274725275,182
"UGT3A1",12,3,0.0440552553233769,"no",0.047109828467506,0.0532363246070003,0.0347204232486377,0.04683861840283,11,3,0.257538840354873,"no","",0.118073495321957,0.0769230769230769,182
"RANBP6",10,2,0.0576375826075451,"no",-0.098170738501138,0.0927131759935821,-0.134286440015223,0.0743299581316558,9,2,0.208061975276735,"no","",0.000788437306456656,0.021978021978022,182
"MCF2L2",10,4,0.0577003517128237,"no",-0.158744940345824,0.154607544327799,-0.194710453944013,0.171969071175904,10,4,0.278308089346549,"no","",0.0311579451956168,0.159340659340659,182
