"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"NFE2L2",8,5,0.000139701048659734,"yes",-0.00358356058870864,0.0881028004572718,-0.306678305548428,0.181806282933892,8,4,0.207313326051029,"no","BLCA_Act,CESC_Act,ESCA_Act,HC_Act,HNSC_Act,LUSC_Act,RPC_Act,UCEC_Act","yes",0.0760869565217391,184
"ZMYM5",12,2,0.00245636858647509,"no",0.0799094797089148,0.120299863854504,0.0759484421513849,0.0375039849962201,11,2,0.519351826666841,"no","","yes",0,184
"OGDH",11,2,0.00678272681107092,"no",-0.108294485340295,0.0768420859310429,-0.236062812274168,0.0507936803764215,10,2,0.390002620149795,"no","","yes",0.00543478260869565,184
"SRCAP",12,2,0.00693279590006682,"no",0.0258543526797007,0.105739023500707,-0.174369332291631,0.0320498374454885,12,2,0.500199671866679,"no","","yes",0.0271739130434783,184
"SVEP1",10,3,0.00989192593676288,"no",-0.182746309858957,0.106410200351069,-0.0793438032655428,0.0486375984911017,10,3,0.948499674224783,"no","","yes",0.0326086956521739,184
"SALL1",12,2,0.0148668612007139,"no",-0.0196469412139186,0.0775701129485428,0.0387852662857168,0.0415265593432199,12,2,0.633613970441176,"no","","yes",0.0543478260869565,184
"CACNA2D2",13,2,0.0189909444841375,"no",-0.113324512247874,0.0541784943335431,-0.146859171441598,0.0954407526028644,12,2,0.65376340789747,"no","","yes",0,184
"DUOX2",13,2,0.0194205747474026,"no",-0.0809774876450132,0.151399967660936,-0.382202076496726,0.0184637001927656,12,2,0.427974862216258,"no","","yes",0.00543478260869565,184
"MTOR",13,2,0.019595862546961,"no",-0.293772641434367,0.179570944014675,-0.467951999273124,0.0989174180739101,12,2,0.494409399210245,"no","AML_Act,ANGS_Act,BRCA_Act,COREAD_Act,HC_Act,LGG_Act,OS_Act,PAIS_Act,RCCC_Act,RCH_Act,UCEC_Act","yes",0.0271739130434783,184
"CYP4Z1",13,2,0.0233039716416165,"no",0.0887690300400192,0.106842082007574,0.0514194506774064,0.110097706841482,12,2,0.547912414721201,"no","","yes",0.0108695652173913,184
"FMN2",11,3,0.0352166340023449,"no",0.0949330101925939,0.0766123284202558,0.0416976520066093,0.0437263909628226,11,3,0.101538096516822,"no","","yes",0.0652173913043478,184
