"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"DHX36",10,2,0.00572216413356802,"yes",-0.136372177396616,0.113407183210751,-0.291321873250793,0.0215556779207761,9,2,0.484269436809989,"no","","yes",0,184
"RBM25",13,2,0.156082138521155,"no",-0.563454704094474,0.213500353315619,-0.60883390958548,0.186631071670442,12,2,0.494209750831612,"no","","yes",0,184
"STXBP5",11,2,0.168920821789027,"no",-0.0165436061299448,0.095467394014249,0.0660187721382129,0.0141743978727039,10,2,0.534239397265109,"no","","yes",0,184
"SMAD4",10,2,0.204835227047079,"no",-0.00436913227123314,0.137891029326679,-0.0428259683321249,0.0388814089168732,10,2,0.119008984579099,"no","BRCA_LoF,CESC_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,HNSC_LoF,PAAD_LoF,PRAD_LoF,ST_LoF","yes",0.0380434782608696,184
"NEK3",13,2,0.228488114543619,"no",0.0588546624385877,0.134868513722669,-0.00385207808329055,0.0215547166215245,12,2,0.597717523436708,"no","","yes",0,184
"FOXC1",12,2,0.23113140545899,"no",-0.0534680630969447,0.150361713528833,0.0326776371057766,0.0321380599071363,12,2,0.512352413891652,"no","","yes",NA,184
"CHD8",9,3,0.232803142089023,"no",-0.154540090476823,0.108974392129126,-0.253414165171576,0.0426544900559805,9,2,0.550662993057223,"no","","yes",0.016304347826087,184
"ITGB5",11,2,0.266551893689862,"no",0.0272441096370536,0.138379099640076,-0.0249847528537835,0.0668180962595822,11,1,NA,NA,"","yes",0,184
"KMT2D",7,2,0.270068910551781,"no",-0.0375491525661051,0.102161113203848,-0.03946838048802,0.064969101288882,7,2,0.51795150204889,"no","ACY_LoF,ALL_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,DLBCL_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,NB_LoF,NHLY_LoF,NSCLC_LoF,OV_LoF,PAAD_LoF,PIA_LoF,PRAD_LoF,RCH_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,UCEC_LoF","yes",0.0923913043478261,184
"CSMD3",7,2,0.309729433852955,"no",0.0428276315568738,0.0960661058159699,-0.108491988222719,0.0826360054811745,6,2,0.689583895950529,"no","","yes",0.016304347826087,184
"STARD9",10,2,0.312825153148855,"no",-0.000693955156486485,0.062005797415883,-0.008296549211586,0.108623381144722,9,2,0.455863715386459,"no","","yes",0,184
