"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"WDR12",14,1.19174756334102e-12,"yes",-1.205919252172,0.392586909502685,14,3.71415491824083e-19,"yes","",0.000536173118888216,"up",NA,NA,184
"MKI67IP",15,1.7431825199795e-12,"yes",NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA
"FTSJ3",14,1.99514811798158e-10,"yes",-1.07321635259924,0.358750500037119,14,1.72536554244133e-11,"yes","",0.00112712274402072,"up","","",184
"KRT1",13,3.19546551651903e-10,"yes",-0.327055116193498,0.190834615563085,12,0.990287789685307,"no","",0.729888353118377,"down","","NOTCH1 (enriched, 11% vs 0%), ZNF750 (enriched, 11% vs 0%)",184
"CDC42BPA",13,2.97517026149621e-09,"yes",-0.261866343392769,0.154111858878428,12,0.999996911070115,"no","",0.0475467266847357,"down","","",184
"CDC40",12,1.51713294160528e-08,"yes",-1.4734780640661,0.347636391943137,12,3.10645140000357e-12,"yes","",0.406252064844051,"up","","",184
"CABP5",15,2.12678644496978e-08,"yes",-0.25958465370922,0.079723226028619,14,0.999999976749023,"no","",0.109671463055903,"down","","",184
"SLC35B2",15,3.57321192316419e-08,"yes",-0.252331674369812,0.238878440182517,14,3.39661913779018e-06,"yes","",0.000511913048232125,"up","","",184
"TNS3",13,4.91960466839914e-08,"yes",-0.0308701580699079,0.0930456467266007,12,0.000200719457016911,"no","",0.548286867220465,"down","","KMT2D (depleted, 1% vs 16%), ZNF750 (depleted, 0% vs 11%)",184
"THBS2",14,5.17747024731659e-08,"yes",0.0187731417581298,0.0921736588822039,13,0.952329415647856,"no","",0.00433984776549785,"up","","",184
"WDR16",13,7.02279431707914e-08,"yes",NA,NA,0,NA,NA,"",NA,NA,NA,NA,184
"AKR1A1",15,1.27196887838606e-07,"yes",-0.116549512460227,0.0760698639238449,14,0.19966625855345,"no","",0.392334538329337,"up","","",184
"BET1",14,1.53542134042521e-07,"yes",-0.329326693316715,0.284746352852615,13,3.13847305518674e-07,"yes","",0.00100968793899881,"up","","",184
"MPP7",14,1.98653153234363e-07,"yes",-0.0374896673952479,0.110054341173307,13,0.869100858439811,"no","",0.0229788746179124,"down","","",184
"BTD",13,2.01600499523935e-07,"yes",-0.458784843435167,0.331359474762307,13,0.795762012056669,"no","",8.7686540143612e-05,"down","","",184
"CDKN1B",13,3.71161458313444e-07,"yes",-0.0990685523651887,0.132809471159179,13,0.593564162654129,"no","BCNET_LoF,BRCA_LoF,DLBCL_LoF,HC_LoF,MM_LoF,PRAD_LoF",0.105108223432267,"up","","",184
"SKIV2L2",13,4.71311650867223e-07,"yes",-0.955633880885241,0.255535026431486,0,NA,NA,"",NA,NA,NA,NA,184
"TYMP",14,5.33690291032455e-07,"yes",-0.212763731220723,0.178631332919956,13,0.32272411186453,"no","",1.85678325953801e-06,"up","","KMT2D (enriched, 16% vs 1%)",184
"LRRC7",15,6.67677482501216e-07,"yes",-0.299194840419294,0.217850596729343,14,1.00000000009161,"no","",0.178027729311681,"down","","",184
"DDX4",13,7.45937842240296e-07,"yes",-0.177030269769186,0.17645457296565,12,0.94216378721129,"no","",0.464911593418306,"up","","",184
"GNL3",15,7.48426588683832e-07,"yes",-0.693693483810619,0.233601146716928,14,7.2054295600088e-13,"yes","",0.020149414551312,"up","","",184
"DDX43",14,8.55337296199079e-07,"yes",-0.249326450198238,0.216348029970984,13,0.451727794741703,"no","",0.368685402728703,"up","","",184
"XRCC5",15,9.00254355979814e-07,"yes",-0.774456011759277,0.245907891979552,14,5.45995771932362e-12,"yes","",0.000312049975286582,"up","","",184
"RRP9",14,1.00805780839538e-06,"yes",-0.819134473732947,0.30298880014143,14,2.65768437504188e-10,"yes","",3.0300082885941e-05,"up","","",184
"UBE2MP1",14,1.02391163870238e-06,"yes",-0.246177356475448,0.195831614945675,0,NA,NA,"",0.0296864214302416,"up","","",184
"CHRNA5",15,1.07649615677177e-06,"yes",NA,NA,14,0.559146251252127,"no","",0.000131933212204094,"up","","",184
"COLEC10",10,1.12804474049115e-06,"yes",NA,NA,9,0.99999763500879,"no","",0.0172978134149166,"up","","",184
"WDR11",13,1.5591062790248e-06,"yes",-0.267497361504866,0.106665347570056,13,0.998113303656865,"no","",0.762865632588443,"up","","",184
"FBXO5",15,1.580796848115e-06,"yes",-0.897037721122547,0.329383637499227,14,1.04867935938176e-16,"yes","",2.52367518575388e-06,"up","","",184
"SLA2",15,1.84398602460128e-06,"yes",-0.131466649564741,0.111985397966739,14,0.999999991736986,"no","",0.168216354773287,"up","","",184
"HOXD8",14,2.0168797295512e-06,"yes",-0.0199626997374781,0.132853105777825,13,0.845944233670347,"no","",6.58537387969455e-05,"up","","",184
"NAA15",14,2.03896408161391e-06,"yes",-0.688305534377496,0.179212353848577,14,2.86054390890687e-18,"yes","",5.92762696717569e-05,"up","","",184
"UBE2L3",14,2.17161121199459e-06,"yes",-0.314992443378673,0.297165234609425,13,2.90285925373321e-12,"yes","",7.50489213733334e-05,"up","","",184
"WNT5B",14,2.20131626921545e-06,"yes",-0.0897947234015003,0.246595122229461,13,0.40490751352,"no","",0.796273658679787,"up","","",184
"ESCO2",15,2.46134361543216e-06,"yes",-0.120643772117349,0.104877582568295,14,0.00803113876567577,"no","",0.000263639547681549,"up","","",184
"UBE2M",14,2.48177293691656e-06,"yes",-0.0723715868443035,0.187556539734631,13,1.16853741062644e-17,"yes","",3.3786879014483e-05,"up","","",184
"NEDD4",13,2.89069602380309e-06,"yes",-0.0275727843043126,0.0814174249528157,13,0.999999283408492,"no","",0.00442554774117366,"up","","",184
"GABRA6",14,3.04947843527775e-06,"yes",NA,NA,14,0.996758957083059,"no","",0.383173524143268,"up","","",184
"TMEM65",11,3.15350261977278e-06,"yes",-0.0984467060002458,0.144418479076577,10,0.994737045867961,"no","",2.50059011381345e-05,"up","","",184
"B4GALNT3",14,3.32644500188252e-06,"yes",-0.0851201478958072,0.108305510606187,13,0.321485133924578,"no","",0.000944773326928411,"down","","",184
"NR1H2",14,3.46346809701229e-06,"yes",-0.603671384715851,0.427273987440505,14,0.91244390586635,"no","",0.238444056280219,"up","","",184
"SMN1",14,3.47767178646672e-06,"yes",NA,NA,0,NA,NA,"",2.30261829473695e-06,"up","","",184
"SMN2",14,3.47767178646672e-06,"yes",NA,NA,0,NA,NA,"",0.0541783186807606,"up","","",184
"STC2",15,3.77657979615374e-06,"yes",-0.241635114139469,0.145772920463008,14,0.999858380515885,"no","",2.11801199289644e-05,"up","","",184
"AKR1C2",15,4.21089960789322e-06,"yes",0.00467381272593407,0.109360179554446,14,0.999999999982437,"no","",0.697413563339953,"up","","",184
"HLA-C",15,4.41754520947059e-06,"yes",-0.0778506838728546,0.119618573717206,14,3.92322838388067e-11,"yes","",0.0015930753427412,"up","","",184
"OXA1L",12,4.70614109624259e-06,"yes",-0.512498229224648,0.318292444066878,11,1.1048074231529e-06,"yes","",0.409776959780656,"up","","",184
"RPP40",13,4.9728256219818e-06,"yes",-0.94787106018639,0.405994052120684,13,4.53357870764966e-20,"yes","",0.000327340143156547,"up","","",184
"TP63",11,5.10396420734817e-06,"yes",-0.384793228031256,0.387322722889792,11,0.00149135661753416,"no","BLCA_ambiguous,HNSC_ambiguous,NB_ambiguous,UCEC_ambiguous",0.0198180488848411,"up","","KMT2D (enriched, 15% vs 2%), NOTCH1 (enriched, 11% vs 0%), ZNF750 (enriched, 11% vs 0%)",184
"CDH1",13,5.21689197392382e-06,"yes",-0.0972940566659737,0.192414981467329,13,0.0398009738011799,"no","BLCA_LoF,BRCA_LoF,DLBCL_LoF,SSCC_LoF,ST_LoF",0.339614218857497,"up","","",184
"BTN3A2",14,5.56038658423736e-06,"yes",0.0687217402835958,0.212629305583266,13,0.99999993224228,"no","",0.0448262229424889,"up","","",184
"CCBL1",15,5.88761063698385e-06,"yes",NA,NA,0,NA,NA,"",NA,NA,NA,NA,184
"GPR146",14,6.20564592364451e-06,"yes",-0.131233299573489,0.120229454685233,13,0.995900188443197,"no","",0.000845109427567663,"down","","",184
"POLG",13,6.23206432295617e-06,"yes",-0.290079840959874,0.227964172266706,13,1.90686085067349e-08,"yes","",0.0164755851278434,"up","","",184
"SH2D3C",14,7.0930073867191e-06,"yes",-0.109565950611861,0.193493454285603,14,0.891326071989221,"no","",0.88376811911796,"up","","KMT2D (depleted, 1% vs 16%)",184
"WDR36",14,7.77171022656215e-06,"yes",-1.0248055915437,0.301810243946558,14,0.9596253813004,"no","",0.000601589227309425,"up","","",184
"ATOX1",15,8.06785612414699e-06,"yes",-0.0752125603772295,0.14656030979057,14,0.997177773739698,"no","",0.00209588052514167,"up","","",184
"PWP2",12,8.60451013592886e-06,"yes",-0.00701138562660071,0.153461071958452,12,6.00483288415104e-16,"yes","",0.957828525989183,"up","","",184
"TRPM7",15,9.16526072994991e-06,"yes",-0.360646686142126,0.232066005582944,14,6.1368948287668e-12,"yes","",0.434956016902553,"up","","",184
"FANCD2",13,1.05842927365999e-05,"yes",-0.206778341113416,0.179830755965652,12,0.000233077344289515,"no","CM_LoF,COREAD_LoF",0.000102316443157644,"up","","",184
"SULT6B1",15,1.0840688368418e-05,"yes",-0.250300064235455,0.213304447523728,14,0.000430326025822847,"no","",0.224457565169027,"down","","",184
"MED21",15,1.10108561015605e-05,"yes",-0.491469706806865,0.19314111192891,14,3.56812225036412e-10,"yes","",0.0435159605136122,"up","","",184
"DND1",15,1.12078163746457e-05,"yes",-0.134316033858176,0.109647322132315,14,0.0106958047376824,"no","",NA,NA,NA,NA,184
"IL1RAP",11,1.13324362136629e-05,"yes",-0.0411488498334098,0.100479940089204,10,0.998228555903525,"no","",0.000283454404612919,"up","","",184
"PMP2",14,1.1737025150101e-05,"yes",-0.187434333312797,0.081080970891305,13,0.999999954232827,"no","",0.000785561867012647,"down","","",184
"PTGER3",15,1.20847235712305e-05,"yes",-0.301200086724102,0.153782210865182,14,0.000706540234865096,"no","",0.0164755851278434,"down","","",184
"WDR1",12,1.29395841409426e-05,"yes",-0.611540290944488,0.708131105304818,11,1.82756927702031e-14,"yes","",0.349136918883582,"up","","",184
"EPSTI1",15,1.3319277787825e-05,"yes",-0.210986555326821,0.201519494254395,14,0.000173234341186071,"no","",0.000434826655507157,"up","","",184
"HNRPDL",15,1.47217447455867e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA
"BTN3A1",13,1.55029302605779e-05,"yes",0.0996707769042291,0.0859183240087755,12,0.999997798136065,"no","",0.0615645593607791,"up","","",184
"RPP14",15,1.72560771377843e-05,"yes",NA,NA,14,4.83230685032499e-17,"yes","",0.214570632062492,"down","","",184
"TP53BP1",14,1.81685071404632e-05,"yes",-0.132415571131652,0.137240442091889,14,2.067181870181e-06,"yes","",0.0218797598953148,"up","","",184
"FEN1",14,1.97827341588325e-05,"yes",-0.140491259835968,0.227148678480313,13,2.03244498821383e-13,"yes","",3.21724946091588e-06,"up","","",184
"RBM28",14,2.03651762963621e-05,"yes",-0.833681632743188,0.360629387206156,13,1.48728547682975e-14,"yes","",0.0068709175572845,"up","","",184
"DDX51",15,2.3352760120384e-05,"yes",-0.386857191962983,0.14732461459488,14,2.79012805720758e-14,"yes","",0.00700060259493675,"up","","",184
"DDX10",14,2.36757235233406e-05,"yes",-0.738408690700431,0.396061721597042,13,1.71902996425755e-18,"yes","",0.000548700935614836,"up","","",184
"CFL1",13,2.3966129745816e-05,"yes",-0.481638858384343,0.548398564313721,12,5.34641906927396e-11,"yes","",5.19273020090992e-05,"up","","",184
"ELP3",14,2.71284600855904e-05,"yes",-0.476378037794017,0.245597559249781,14,7.00383769691376e-18,"yes","",0.0615645593607791,"up","","",184
"FOXE1",12,2.95823795772694e-05,"yes",-0.215807847301373,0.102473862950017,13,0.133536523553813,"no","",0.0678606654608753,"up","","NOTCH1 (enriched, 11% vs 0%), ZNF750 (enriched, 11% vs 0%)",184
"ACOX3",14,3.15705413578526e-05,"yes",-0.275884874856894,0.303626312192569,13,0.710917391494611,"no","",0.0122810623333683,"down","","",184
"MPHOSPH8",13,3.24992887254212e-05,"yes",-0.303941729719184,0.133232709348163,12,0.0156289882524495,"no","",0.0777890019634265,"down","","",184
"IL1RL1",15,3.46256419685743e-05,"yes",-0.105556563386198,0.209240623358734,14,0.999999461104093,"no","",0.0116481942747159,"down","","",184
"URI1",14,3.77471554163237e-05,"yes",-0.520458664581357,0.395591765998597,13,1.2939100376342e-15,"yes","",0.000206570078953766,"up","","",184
"CDC14A",14,3.93311378484631e-05,"yes",-0.187123346925371,0.0867348997012735,13,0.76428257728175,"no","",0.201100941197716,"down","","",184
"LGALS16",14,3.9372983257501e-05,"yes",-0.145858533468783,0.172454882190949,13,0.756954603259909,"no","",0.929836930650561,"up","","",184
"ARL11",15,3.94024069183735e-05,"yes",-0.450864370259743,0.126679535011706,14,0.473244539034783,"no","",0.00237386815017544,"up","","",184
"SDHAF2",14,4.0911052572992e-05,"yes",-0.171910164303197,0.190336805153031,13,2.62507153570674e-09,"yes","",6.58537387969455e-05,"up","","",184
"CAMK2B",12,4.18708446362032e-05,"yes",-0.327237129372412,0.278371901583574,11,0.999805377568822,"no","",0.0153890980307089,"up","","",184
"KIF12",15,4.21721807856162e-05,"yes",0.0278488882402651,0.0661327650073112,14,0.371356613042512,"no","",0.893598605537646,"up","","",184
"RPP38",14,4.29724218348403e-05,"yes",-0.505755622350327,0.264439983005405,14,2.12829868871649e-10,"yes","",0.000883743330234198,"up","","",184
"PRDX5",15,4.41173470746536e-05,"yes",-0.0872006140410686,0.0667766976707145,14,0.000114333681201517,"yes","",0.114788490610736,"down","","",184
"ATRIP",15,4.43635109466758e-05,"yes",-0.1303971739454,0.118295350487822,14,9.34463758781084e-11,"yes","",0.0573643854266365,"up","","",184
"CD7",14,4.52663034778632e-05,"yes",-0.139218081024437,0.139034374251861,13,0.0548051025379901,"no","",0.0241256335909689,"up","","",184
"BTBD8",14,4.77236468500069e-05,"yes",0.0501264587771695,0.0842421454809134,13,0.963543792532024,"no","",0.982628555217565,"down","","",184
"PPP3CA",14,4.78186404157137e-05,"yes",-0.309207106463455,0.246131624196778,13,0.0510613181430402,"no","ST_LoF",0.548286867220465,"down","","",184
"KDSR",12,4.9901146807947e-05,"yes",-0.128742107451402,0.0911855590121244,11,0.00556105287505939,"no","",0.0062543110932478,"up","","",184
"UBE2N",15,5.04283397783876e-05,"yes",-0.283854343582786,0.312344358999348,14,5.23945539208025e-19,"yes","",6.57089182268372e-06,"up","","",184
"PCSK7",14,5.17137829593557e-05,"yes",-0.308858907131884,0.162493854856156,13,0.70235955250356,"no","",0.0416113119144169,"down","","",184
"MAD1L1",13,5.17140582161695e-05,"yes",-0.0120058255079259,0.0820853931055928,12,0.996190112826787,"no","",5.33242611601311e-05,"up","","",184
"TP73",14,5.25799680959326e-05,"yes",NA,NA,14,0.114665458966289,"no","",0.00162739995489703,"up","","",184
"RRAS",15,5.45865383455452e-05,"yes",-0.432254568110613,0.213996598279631,14,0.0778555063098479,"no","",0.12363242257462,"up","","",184
"NUP43",14,5.51803480754073e-05,"yes",-0.415873407487262,0.335918361133676,14,9.7324464782061e-20,"yes","",0.0124986874962042,"up","","",184
"GTF3C3",14,5.53020363504874e-05,"yes",-0.187792826495643,0.0826252053397262,13,7.05875487002337e-08,"yes","",2.11801199289644e-05,"up","","",184
"ELL3",15,5.76311322384998e-05,"yes",-0.226676103010609,0.198970164147299,14,0.000303756314818203,"no","",0.184115526614857,"up","","",184
"FOXL2",13,5.91310824094029e-05,"yes",-0.324973441054533,0.184551539261256,13,1.60760711737831e-08,"yes","OV_Act",0.00291113587552297,"up","","ARID1A (depleted, 1% vs 14%), ZNF750 (enriched, 11% vs 0%)",184
"CLP1",13,6.44438615130538e-05,"yes",-0.773962693744528,0.326939879494309,12,1.13609977014039e-15,"yes","",0.000233473699806369,"up","","",184
