"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"ITGAV",13,2.56639154372351e-11,"yes",0.14534915046605,0.172249644263353,12,0.722281430311116,"no","",0.021172687934852,"up","","",184
"SRSF4",14,2.1039459063843e-10,"yes",0.0362665609966205,0.0766626975483346,13,0.998832387776893,"no","",0.000772497560797767,"up","","",184
"FERMT2",11,5.24227561360391e-09,"yes",0.122081919536735,0.0718820259483992,11,0.996198165774136,"no","",0.531831071400528,"down","","",184
"OR2T5",14,6.25273399723625e-09,"yes",-0.137862912846462,0.122272083015055,13,0.999999997567871,"no","",NA,NA,"","",184
"MSI2",15,7.62949287080872e-08,"yes",0.111429047950903,0.0789494142832393,14,0.784410312689416,"no","NB_ambiguous",0.0265687145532725,"up","","",184
"CNKSR1",13,1.47981696563271e-07,"yes",0.15113113402266,0.0773209896192,13,0.00437872605999734,"no","",0.051141296279041,"up","","",184
"HIST1H2BB",13,2.1069384414929e-07,"yes",0.0329576691991165,0.115042746134186,13,0.999999696231479,"no","",NA,NA,NA,NA,184
"IKBKB",12,8.10388114502736e-07,"yes",0.112337831510621,0.0908697951125497,12,0.525242760730498,"no","MM_ambiguous",0.010849445594359,"up","","",184
"CPS1",14,8.6144708977276e-07,"yes",-0.0086109296676669,0.107219680754917,13,0.235107949412034,"no","",0.68365744300018,"up","","",184
"GPX4",12,1.24280409985467e-06,"yes",0.0521258374938402,0.0843170760737333,12,0.961003844989941,"no","",0.00180945925218568,"up","","",184
"ITGB5",11,1.40225922606874e-06,"yes",0.0272441096370536,0.138379099640076,11,0.998093360917047,"no","",0.0278684408989865,"up","","",184
"H6PD",15,1.44000876844963e-06,"yes",0.125681449699975,0.057204133928885,14,0.999853295537131,"no","",0.365380862806567,"down","","",184
"SUSD5",15,1.62757084398724e-06,"yes",-0.0518348671454569,0.0810133942614668,14,0.146354932599551,"no","",0.982628555217565,"down","","",184
"OR2T29",13,1.73954670168452e-06,"yes",NA,NA,12,0.999999894462022,"no","",NA,NA,"","",184
"RNF8",14,2.56197876880027e-06,"yes",0.0369544052805448,0.0694069479630685,13,0.99999999997554,"no","",0.000216961866389578,"up","","",184
"CES1",13,4.97743477889667e-06,"yes",-0.0555956115591198,0.189582153179891,12,0.307798928954095,"no","",0.697413563339953,"up","","",184
"CDC42",14,5.62206844356705e-06,"yes",-0.0470640514086504,0.183947660756255,14,0.999999999999891,"no","",0.00180945925218568,"up","","",184
"ARHGEF26",11,1.16917237567016e-05,"yes",0.197070277791956,0.106833801020879,11,0.472887365620974,"no","",0.162527643049256,"down","MUC16 (depleted, 6% vs 34%)","",184
"MAGOHB",14,1.21317010065569e-05,"yes",0.0491115484461493,0.0838787342506671,14,4.18750004553825e-05,"yes","",1.20603992364578e-05,"up","","",184
"SLC12A7",13,1.33532199079189e-05,"yes",0.0764473774681835,0.0352908827848918,12,0.00214784049015859,"no","",0.180040120739868,"up","","",184
"TINF2",13,1.45796664440256e-05,"yes",0.0959825525151127,0.0669548020213028,12,0.999999999999999,"no","",0.0726909025061034,"up","","",184
"RAB11A",15,1.5598128477734e-05,"yes",-0.0475276259555622,0.0589980016236144,14,0.999970981394098,"no","",0.643029965589484,"up","","",184
"HTR1B",13,1.62499423508322e-05,"yes",0.0206309756981682,0.0764724228921691,12,0.194076150049019,"no","",0.0522616796404768,"down","","KMT2D (depleted, 0% vs 18%)",184
"UTS2D",11,1.63857937774958e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA
"TERF1",14,1.67207062155006e-05,"yes",0.0741737731976516,0.0489697979886872,14,0.999999999535205,"no","",0.223904571844017,"up","","",184
"ADRM1",14,1.72878013512401e-05,"yes",0.0225690350712794,0.146832496010235,13,0.999999931758965,"no","",3.66291331942174e-07,"up","","",184
"WEE1",13,1.86735063435473e-05,"yes",-0.237861434374639,0.221833797839871,13,1,"no","",0.0422381977631475,"up","","",184
"SERPINC1",15,2.01287453827081e-05,"yes",0.0308672243009836,0.0971928326670586,14,9.27170562547985e-11,"yes","",0.9305931144007,"up","","",184
"FGD6",14,2.20583752905679e-05,"yes",0.0978770991563772,0.105656095129914,13,0.921689501777514,"no","",8.54134578852971e-06,"up","","",184
"PBX3",14,2.21018324596534e-05,"yes",0.113839881749799,0.105244852257503,14,0.179604173079273,"no","",0.844639612381296,"down","","",184
"DIRAS1",13,2.44185018942744e-05,"yes",-0.0648876754383101,0.145492187211382,12,0.392568637419138,"no","",0.00516830696692853,"down","","",184
"SEMA6C",15,2.46149036459142e-05,"yes",0.0206029169112453,0.142531128545251,14,0.332371947341687,"no","",0.168216354773287,"up","","",184
"DHRS11",14,2.48920838353817e-05,"yes",0.0785189177096959,0.0915068390411624,13,0.619463570978795,"no","",0.878859482253936,"up","","",184
"SPOP",14,2.51208455066543e-05,"yes",-0.00112657753869399,0.0834883700456514,14,0.489707851765473,"no","NHLY_Act,PRAD_Act,UCEC_Act,UCS_Act",0.132999453375734,"up","","",184
"LETM2",15,2.9546615394116e-05,"yes",0.0553811162958843,0.0566734198177247,14,0.586163284383137,"no","",0.0912176909155966,"up","","",184
"SLC24A6",14,3.08872900111057e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA
"SLC25A13",13,3.28675971058567e-05,"yes",0.0576345038603468,0.0398220669262173,12,0.89333574506135,"no","",0.000477434867373752,"up","","",184
"AGTR1",13,3.47832614711052e-05,"yes",0.029073973412233,0.155815273266455,13,0.898584720552034,"no","",0.046141820825125,"down","","",184
"TNFRSF25",15,3.56153816043481e-05,"yes",0.0806235973990665,0.0801465120195075,14,0.084788324724317,"no","",5.92762696717569e-05,"up","","",184
"ARHGEF15",13,3.88615804509662e-05,"yes",0.143590607481378,0.126895517603818,13,0.0353526349281004,"no","",0.336477350460972,"down","","KMT2D (depleted, 1% vs 16%)",184
"BCAS3",14,4.02067738977108e-05,"yes",0.0577945815766791,0.0775767638599571,14,0.998922842067056,"no","",0.0598548990868832,"up","","",184
