"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"TMED10P1",8,7,0.000215919780739058,"yes",0.184194982395623,0.0939044275075267,0.00382628830906081,0.371578436393485,0,0,NA,NA,"",NA,0.267482517482518,572
"FKBP4",9,3,0.000527903555738681,"yes",NA,NA,NA,NA,6,3,0.925875946741658,"no","",5.94848008473642e-12,0.0681818181818182,572
"PPP2R5B",10,2,0.00356016636752705,"no",0.131057371756053,0.248456672267046,-0.0837731887884807,0.1219904810399,7,2,0.477148246179218,"no","",0.0614489824324773,0.0157342657342657,572
"EXO1",12,2,0.00452164921411506,"no",-0.0551598255460849,0.0912840158030166,-0.0172105840974867,0.0457898421687241,8,1,NA,NA,"",0.00207450430315049,0.0559440559440559,572
"ARHGAP39",8,7,0.00662016182068903,"no",-0.102506634250778,0.137755180008693,-0.142280474553363,0.176866790568731,4,5,0.813664455370868,"no","",2.58229967466674e-16,0.267482517482518,572
"RERGL",11,3,0.00709033337935007,"no",0.120480227902647,0.185150667818019,-0.0996998994058417,0.0937955756047652,7,2,0.538947070909929,"no","",0.138075868550674,0.0402097902097902,572
"PYROXD1",10,3,0.00738322649864222,"no",-0.029023726827673,0.0869563047889197,-0.143520377924854,0.0712780768659497,6,2,0.502660953498115,"no","",5.75497160806999e-10,0.0559440559440559,572
"CATSPERG",11,4,0.00858189388193797,"no",-0.00249852980834289,0.133460729432679,-0.15739468206545,0.141352840693503,9,0,NA,NA,"",3.63701577156472e-12,0.0874125874125874,572
"SERPINA9",12,2,0.0099957461961096,"no",-0.130786870411282,0.125333945396602,-0.159002385384102,0.0637192077784399,8,1,NA,NA,"",0.787375019072507,0.013986013986014,572
"SMAP2",12,2,0.0109931817786171,"no",-0.0163834260627998,0.2404134381216,-0.224565595776593,0.0839321909019425,7,2,0.277775122434511,"no","",1.73235838194049e-10,0.0804195804195804,572
"WHSC2",10,2,0.0132692672361019,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
"PRDM14",8,2,0.0137713719942614,"no",0.040158446870715,0.197255097437612,-0.0574023680325468,0.0110415458908126,6,2,0.438756638798726,"no","",0.00572108054553182,0.0506993006993007,572
"RASGRP4",10,2,0.0142639122559933,"no",-0.152102265034528,0.247606754469641,-0.196576239062021,0.0418871774279815,9,0,NA,NA,"",0.00467659863773847,0.0839160839160839,572
"ZNF781",11,4,0.0149460194557467,"no",0.0426013837546074,0.123673141531133,-0.038205065576658,0.0264719456143205,9,0,NA,NA,"",9.21564485952285e-05,0.0804195804195804,572
"PHC3",9,3,0.0154324628943297,"no",-0.251215167442134,0.309308503644347,-0.414070694097246,0.14494278685269,6,3,0.458685034819677,"no","",1.03072081387646e-15,0.255244755244755,572
"SCRT1",8,4,0.0157294096680852,"no",0.0379746412426129,0.276332459028274,-0.0891608835731959,0.125376542069888,4,5,0.489194215807789,"no","",1.75459986551213e-06,0.267482517482518,572
"NR1H3",10,2,0.0161541046150383,"no",-0.00523939003771074,0.136352169077319,-0.205967688982526,0.169619361097627,8,1,NA,NA,"",NA,0.00874125874125874,572
"TBC1D8",13,2,0.0170534228952515,"no",-0.00093928405446081,0.104276426168474,-0.0535671233898327,0.0724085052195942,8,1,NA,NA,"",0.0219139840728737,0.0122377622377622,572
"DLL3",10,5,0.0176977809397467,"no",0.0147611892305818,0.0891189775481635,-0.20695470711422,0.158011387658349,8,1,NA,NA,"",5.92771960650441e-10,0.0909090909090909,572
"ANKRD42",13,2,0.0183950890968622,"no",-0.0397272358329179,0.13630303477715,-0.147480373584875,0.0622626655690951,7,2,0.073312087906634,"no","",1.56033014017358e-08,0.0629370629370629,572
"CLDN1",11,3,0.0193079485918246,"no",-0.0723000886128814,0.302645357622604,-0.288216518531925,0.043134267735392,6,2,0.837366186176973,"no","",0.00819336571317576,0.153846153846154,572
"MLF2",9,3,0.0199604833227358,"no",-0.149307115008256,0.210467556431751,-0.0663589347604387,0.180236210857255,6,3,0.895803264904136,"no","",4.43905453250115e-12,0.0594405594405594,572
"PVRL4",10,2,0.0208937575346711,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.020979020979021,572
"CLEC2D",12,3,0.0214792103697915,"no",0.0547117303500336,0.0784809208356119,-0.0962434929465688,0.0900656859894829,7,2,0.510178955849182,"no","",0.0715074178017293,0.0472027972027972,572
"PKHD1L1",11,3,0.0248394539064695,"no",-0.0334667503745747,0.12227484291953,-0.028015828796132,0.0399035351089984,5,3,0.473055384676797,"no","",1.40354561795455e-05,0.183566433566434,572
"KCTD15",11,3,0.0260332745257625,"no",0.00569117520425006,0.0581635250827416,-0.0779155908214576,0.172223544502907,9,0,NA,NA,"",0.000540326702570558,0.0751748251748252,572
"LRRC7",12,2,0.0269333127092135,"no",-0.241741252472011,0.146939110041052,-0.341462809408854,0.083500887360814,7,2,0.444155068417941,"no","",0.675395370988168,0.013986013986014,572
"PTPN6",10,4,0.0288520797556345,"no",-0.0189763026933414,0.147219627628586,-0.154374639651823,0.0817192898826871,6,3,0.850460345815961,"no","CM_LoF,DLBCL_LoF",3.58787064705451e-08,0.0576923076923077,572
"BCAS3",8,2,0.0314478003288158,"no",0.100988942983542,0.0713246126317886,0.0188021725131712,0.00422858038820305,8,1,NA,NA,"",0.0242392736199772,0.0174825174825175,572
"CACNA2D1",12,2,0.0336137556932728,"no",-0.0332375928569232,0.130674045665055,-0.160511365295698,0.059784848482105,8,1,NA,NA,"",0.0499743023979701,0.0244755244755245,572
"TFDP2",9,2,0.0340286738128358,"no",-0.0734787912401692,0.135042043023148,-0.0533661908164896,0.0303610155910297,7,2,0.3096813177704,"no","",4.03268496815912e-05,0.0629370629370629,572
"OR2T12",13,2,0.034313379406808,"no",-0.0238664827914601,0.1470453760271,-0.0602992104718299,0.032952443700627,8,1,NA,NA,"",NA,0.0559440559440559,572
"OR2T33",13,2,0.034313379406808,"no",-0.0191260939380256,0.142242988588971,-0.160878819747561,0.169820922935787,8,1,NA,NA,"",0.0143254555320994,0.0559440559440559,572
"OR2T8",13,2,0.034313379406808,"no",0.172941677094028,0.163995974130296,0.293837099693761,0.201382630859602,8,1,NA,NA,"",0.0106698965474628,0.0559440559440559,572
"ELK4",11,2,0.0355259889791875,"no",-0.0336536913507947,0.121635372136857,-0.206779241946317,0.0472829417539415,7,1,NA,NA,"",1.36705213661929e-05,0.0314685314685315,572
"SPSB1",11,3,0.0361891078103913,"no",-0.0210528184905693,0.0798084047285951,-0.0800662430311147,0.0147453525926779,8,1,NA,NA,"",0.076368718006104,0.020979020979021,572
"COLEC10",11,4,0.0369830054843418,"no",NA,NA,NA,NA,5,4,0.503095195796075,"no","",5.15450498554545e-07,0.225524475524476,572
"LGALS14",11,4,0.0378280038975855,"no",0.0660551574447757,0.108946083185697,-0.0211795843018976,0.063614689682953,8,1,NA,NA,"",0.11495306022951,0.0926573426573427,572
"AHCY",12,2,0.0381927946543463,"no",0.0094156519786588,0.156307390696366,-0.0916817923663124,0.0424650894626317,9,0,NA,NA,"",0.000100607184842087,0.027972027972028,572
"GABRA6",12,3,0.0384225699445279,"no",NA,NA,NA,NA,7,2,0.797111320012895,"no","",0.387326925047709,0.0104895104895105,572
"ETV6",9,2,0.0386080779385497,"no",0.144186026751628,0.183147392067482,-0.028160548736574,0.0167705853657755,6,2,0.25320769274694,"no","ALL_Act,DLBCL_Act,NHLY_Act",1.46496198568732e-05,0.0594405594405594,572
"GABARAPL1",10,2,0.0398996936572681,"no",0.115137801148175,0.130413893765444,0.0801217251578325,0.0788733899104305,7,2,0.489882104549605,"no","",0.000125466267177207,0.0402097902097902,572
"TBX2",9,2,0.0418920642563924,"no",-0.0901014793542782,0.275574598722059,-0.119054235723454,0.0691434205451615,8,1,NA,NA,"",0.0151738889324913,0.013986013986014,572
"BCAN",13,2,0.0423834979100605,"no",-0.0498320559083037,0.263518661449943,-0.0308906075172357,0.0824734075545093,7,2,0.350719240978393,"no","",0.0560232719130568,0.0367132867132867,572
"SLC2A4RG",8,4,0.0445262223910299,"no",0.0194216001235039,0.137376454231354,-0.0860331757221443,0.123783134809204,5,4,0.525566791682093,"no","",6.49006583441563e-07,0.0734265734265734,572
"KCNQ5",10,2,0.0480741117258699,"no",-0.0460392402074131,0.160617642340119,-0.137958659753822,0.123351662257423,5,2,0.365488943374336,"no","",NA,0.00524475524475524,572
"LMNA",11,3,0.048661588452096,"no",-0.0680077296861043,0.129797002343851,-0.257529789652997,0.0595102321894265,7,2,0.426418558125688,"no","",1.6539469335095e-06,0.0629370629370629,572
"MEF2D",10,2,0.0496221273996879,"no",-0.0026670258611695,0.107061684282952,-0.149636683942585,0.00117163745644949,7,2,0.340556803608428,"no","",0.0303088707023695,0.0384615384615385,572
"ARHGAP11B",12,2,0.0518559337027501,"no",0.0203491301434111,0.052620710790817,-0.0578276444063957,0.110929940394094,8,1,NA,NA,"",NA,0.00524475524475524,572
"TNFSF10",10,5,0.0520961759479633,"no",-0.424949293088167,0.318618627426745,-0.38845846744843,0.188525601279142,6,3,0.182007046099499,"no","",5.21424808868797e-08,0.237762237762238,572
"VAPB",10,4,0.0527952374521726,"no",-0.0724050494545302,0.119955272956435,-0.18783236005228,0.109213953199359,7,2,0.847449150199523,"no","",2.44800205749045e-05,0.0437062937062937,572
"COL19A1",11,2,0.0536766643789484,"no",-0.0570332728841004,0.141692523152675,-0.0888984696212441,0.127003816730446,6,2,0.343945968772207,"no","",0.0107000938506062,0.0104895104895105,572
"FOXM1",9,3,0.0543369284537454,"no",-0.143130000731214,0.151678204094601,-0.232550189203124,0.04174803845999,6,3,0.712533418178311,"no","",5.96694466401891e-06,0.0681818181818182,572
"CDK3",11,3,0.0546161821754453,"no",NA,NA,NA,NA,8,1,NA,NA,"",0.00533357759470982,0.0244755244755245,572
"TEN1-CDK3",11,3,0.0546161821754453,"no",NA,NA,NA,NA,0,0,NA,NA,"",0.00543264271632332,0.0244755244755245,572
"UBLCP1",12,3,0.0548833523245987,"no",0.0340648292283195,0.0873059320437444,0.0931376966591088,0.103553865064292,7,2,0.620728394178135,"no","",0.00261230346821557,0.0122377622377622,572
"RBP1",10,4,0.0560621763209845,"no",-0.0962261850352844,0.133621460839653,-0.0833407858968996,0.0411650975627137,7,2,0.509914359057307,"no","",0.424599026940319,0.0594405594405594,572
"DGAT1",8,6,0.059485738392358,"no",-0.0182432046602361,0.130000919429753,0.042453927160896,0.187746351889767,4,5,0.785576077194531,"no","",5.3858445364368e-26,0.267482517482518,572
"C1orf204",13,2,0.0601911555879006,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0297202797202797,572
"COLQ",12,2,0.0605437174025287,"no",0.0659003496906495,0.0608099110671388,0.0150191723151809,0.0912078264720381,7,1,NA,NA,"",0.509408334617853,0.0122377622377622,572
"PTGIS",11,3,0.0629724634906757,"no",-0.00648565420559824,0.195411874311411,-0.134600656851351,0.259709661138142,8,1,NA,NA,"",0.00334476613407847,0.0314685314685315,572
"LMAN2",11,3,0.0660007558194065,"no",0.0587049472536046,0.0774372666644887,0.0657632400363318,0.0589121166159826,9,0,NA,NA,"",0.000192344614590465,0.0192307692307692,572
"HSD17B7",12,2,0.0676055678308724,"no",-0.0312479718872212,0.153526419953439,-0.0554240003604688,0.0120851784857122,7,2,0.510748841031571,"no","",0.000268858629749502,0.0262237762237762,572
"PLEKHG6",7,3,0.0681359602209495,"no",-0.0423573703848152,0.160008941863772,0.0439980693577372,0.079307111552618,5,3,0.789150595511109,"no","",1.23854119879275e-05,0.0646853146853147,572
"MED15",13,2,0.0687313445393345,"no",-0.0517021261328365,0.25617629298216,-0.303082511300466,0.323196965386993,7,2,0.383862230714704,"no","",3.36955579696036e-05,0.027972027972028,572
"KRAS",9,2,0.0690227313986525,"no",-0.0605266550156529,0.115610574992751,-0.0517176062380178,0.331870764247213,7,1,NA,NA,"ALL_Act,AML_Act,AN_Act,BC_Act,BCNET_Act,BLCA_Act,BRCA_Act,CESC_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,DLBCL_Act,ESCA_Act,HC_Act,LUAD_Act,MGCT_Act,MM_Act,NSCLC_Act,OV_Act,PAAD_Act,PAIS_Act,PIA_Act,PRAD_Act,RPC_Act,ST_Act,THCA_Act,UCEC_Act,UCS_Act",2.81669634316068e-18,0.0944055944055944,572
"C17orf99",12,2,0.0690249704482967,"no",0.098197517609753,0.096967387958566,-0.00905457488964749,0.21740389260232,9,0,NA,NA,"",0.0038112870838172,0.0314685314685315,572
"ZBTB45",11,3,0.0697046476737754,"no",-0.191456945080556,0.195590326688478,-0.269203047477514,0.190094236912295,8,1,NA,NA,"",1.72022971794131e-05,0.0174825174825175,572
"P2RY14",13,2,0.069856217290207,"no",NA,NA,NA,NA,8,1,NA,NA,"",0.0759470689929854,0.0804195804195804,572
"LRRC15",9,3,0.0699754741131833,"no",-0.0976572479435501,0.20261505979918,-0.204606502625806,0.112553338097608,6,3,0.566524660458235,"no","",0.402182794221271,0.160839160839161,572
"SH2D1B",12,2,0.0713866636863361,"no",-0.0247640152778183,0.154365520617662,-0.0560028465871359,0.0287323595488611,7,2,0.414011879312134,"no","",0.153843079597254,0.0244755244755245,572
"LPAR3",13,2,0.0715907644306053,"no",0.0109084507869878,0.119873425891165,-0.0738084546262016,0.00357293469649192,7,2,0.275169694555815,"no","",0.095809449220012,0.0157342657342657,572
"NUMA1",12,2,0.0717965569110095,"no",-0.158932446467844,0.351483845790678,-0.182145034393612,0.132335637682239,8,1,NA,NA,"BRCA_Act",6.05692678202461e-05,0.0472027972027972,572
"BRCA1",8,2,0.0739877567992214,"no",-0.208852163655048,0.261193098398682,-0.458277855528917,0.205951864206925,8,0,NA,NA,"BRCA_LoF,OV_LoF",NA,0,572
"PVRL3",12,2,0.074778514932348,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0384615384615385,572
"HDAC5",10,2,0.0748987012733287,"no",0.0259442618134934,0.0863497956730444,-0.0342177758597749,0.0290429251525498,9,0,NA,NA,"",NA,0,572
