"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"WDR7",10,2,0.0001535266990563,"yes",-0.162983905848603,0.21812705889639,-0.644561178856079,0.237106219811537,7,2,0.455768276669827,"no","","yes",0.00230414746543779,434
"SMAD4",9,2,0.00676438276446189,"yes",0.0389344621866479,0.130038328197265,-0.2429941991727,0.134959613675849,7,1,NA,NA,"BRCA_LoF,CESC_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,HNSC_LoF,PAAD_LoF,PRAD_LoF,ST_LoF","yes",0.00460829493087558,434
"TP53",2,3,0.010970934107362,"yes",0.348559900438539,0.161699320497136,-0.148220261623372,0.169718779534044,2,3,0.052300855515556,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.34331797235023,434
"MGA",9,2,0.0187391485343146,"yes",-0.106462738277287,0.13770569134007,-0.353055194787508,0.018577901593434,8,0,NA,NA,"CLL_LoF,LUAD_LoF","yes",0.0138248847926267,434
"ERMAP",8,4,0.0379670041039445,"no",-0.0772787147959761,0.106777621438908,-0.177587035365149,0.0838622596993918,4,3,0.381816811935955,"no","","yes",0,434
"BRCA1",8,2,0.0657292602396741,"no",-0.208852163655048,0.261193098398682,-0.704058155833084,0.407890422363156,8,1,NA,NA,"BRCA_LoF,OV_LoF","yes",0.0460829493087558,434
"C17orf80",13,2,0.127842595398622,"no",0.0856714969163318,0.144519421826393,-0.0416626574584924,0.0178708290357601,7,2,0.377699866875859,"no","","yes",0.00230414746543779,434
"EP300",10,2,0.133884761949989,"no",0.144414442289475,0.172688482366417,-0.0258841307948245,0.195594897035953,8,1,NA,NA,"BLCA_LoF,CESC_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LUSC_LoF,MBL_LoF,NHLY_LoF,NSPH_LoF,SCLC_LoF","yes",0.00691244239631336,434
"ZFHX4",7,3,0.184968862905657,"no",0.00626746828758249,0.128406870604831,0.0936454523536015,0.0904830591914964,6,1,NA,NA,"","yes",0.0138248847926267,434
"PTEN",9,2,0.253352900357107,"no",0.0567220788142957,0.0777630999490685,0.0256186576816321,0.0064462423473338,7,1,NA,NA,"BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LGG_LoF,LUSC_LoF,MBL_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,ST_LoF,THCA_LoF,UCEC_LoF,UCS_LoF","yes",0.00921658986175115,434
