"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"MAPKAP1",14,7.88312882737793e-06,"yes",-0.02996844863612,0.236220044222152,9,0.0105172368983124,"no","","","",434
"TRA2B",9,1.14266936705164e-05,"yes",-0.494060774101131,0.28125553385636,6,9.81545646226353e-06,"yes","","","",434
"GPX4",11,0.000119543271755648,"yes",-0.486540697567852,0.880065081883214,9,9.22795201228342e-06,"yes","","","",434
"CKMT2",14,0.000122434988743959,"yes",-0.142526167473679,0.294964030219252,9,0.999998583682213,"no","","","",434
"CSTF2T",14,0.000142940883690747,"yes",-0.119665717396003,0.149489186930081,9,0.859595035146451,"no","","","",434
"AGAP1",14,0.000153308201221859,"yes",-0.0201811480788714,0.0960840515950586,9,0.124817336730764,"no","","","",434
"FMN2",11,0.000213026662399391,"no",-0.0366354599585754,0.136932176873269,8,0.99991947595152,"no","","","CDK12 (depleted, 0% vs 7%), FLG2 (enriched, 6% vs 0%)",434
"CCNB1",15,0.000250354438288056,"no",-0.455009094602327,0.593337720761288,9,2.0906594637425e-09,"yes","","","",434
"CDK2",12,0.000303610213134575,"no",-0.425457592292506,0.635760081897289,9,3.66690950568217e-08,"yes","","","",434
"COPS3",13,0.000303808632064639,"no",-0.989225723653149,0.187472367673227,9,9.11919023647431e-13,"yes","","","",434
"SMPD2",12,0.000310661079459946,"no",-0.0244279755289198,0.189856894440225,8,0.940225376367094,"no","","","",434
"ARHGAP29",13,0.000350239199284663,"no",-0.230200280841819,0.236734159143736,8,0.031071557757858,"no","","","",434
"OBP2A",13,0.000352223386513928,"no",-0.0866632366929308,0.150117363871886,0,NA,NA,"","","",434
"LRRTM4",13,0.000466045726149235,"no",-0.0416586184339929,0.149431893689841,8,0.564925188704575,"no","","","",434
"DDX19B",15,0.000482417738660961,"no",-1.15214535482623,0.440452904093979,9,7.50634371231811e-07,"yes","","","",434
"KIF5C",11,0.00082026431560482,"no",-0.0185794495986502,0.211501317949407,0,NA,NA,"","","",434
"C15orf55",14,0.000860454571480209,"no",NA,NA,0,NA,NA,"",NA,NA,NA
"TBXA2R",13,0.000919127215187802,"no",-0.0771911432345743,0.217561911374512,9,0.912802026428957,"no","","","",434
"DNAJC25-GNG10",15,0.000950414172567298,"no",-0.0135161400095788,0.400702485212684,0,NA,NA,"","","",434
"GNG10",15,0.000950414172567298,"no",0.0202159425987984,0.198187583497809,9,0.963436754869416,"no","","","",434
"CDKN1B",10,0.000987497054016192,"no",-0.139181316881563,0.105184487662458,7,0.68426685524872,"no","BCNET_LoF,BRCA_LoF,DLBCL_LoF,HC_LoF,MM_LoF,PRAD_LoF","","",434
"THRAP3",12,0.00102849990420583,"no",-0.437400003581472,0.35364665808556,6,0.120659718926938,"no","","","",434
"GSTM2",14,0.00107140160769585,"no",0.0720614818904099,0.101388398781349,9,0.00330873586353023,"no","","","",434
"P2RY12",12,0.00108723048715293,"no",0.071581058343143,0.118793908430284,8,0.11696299321241,"no","","","",434
"UBE2G1",14,0.00119889417085088,"no",-0.157317090565474,0.234548749966752,9,0.189621696266879,"no","","","",434
"TTN",7,0.00135811968439298,"no",-0.0291636969625379,0.123993912605993,4,0.0962729929083639,"no","","","",434
"GJC2",14,0.00141870550353085,"no",0.0119325925003959,0.161192760799167,8,0.15200038680907,"no","","","",434
