"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"TP53",2,2.19550603308694e-06,"yes",0.348559900438539,0.161699320497136,2,0.000755229621417386,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","TP53 (enriched, 85% vs 22%)","TP53 (depleted, 7% vs 68%)",434
"CDK6",13,4.98399968973384e-06,"yes",0.143804613498659,0.340090854758889,9,0.905868728295502,"no","","","",434
"ERI1",14,1.59586824742819e-05,"yes",0.0514731493628409,0.157523178498312,9,0.56554615535401,"no","","","",434
"BIVM-ERCC5",14,2.35947439632955e-05,"yes",0.123897087777357,0.0979199379184011,0,NA,NA,"","","",434
"KIT",15,3.97806962491032e-05,"yes",0.0561217691636537,0.0622370430488327,9,0.972977991026684,"no","AML_Act,CM_Act,LGG_Act,MGCT_Act,OS_Act,ST_Act","","",434
"IRAK2",13,6.14306429381761e-05,"yes",-0.0340573718281814,0.12090433862964,9,0.818881323433094,"no","","","",434
"ESRRB",12,6.24427183408827e-05,"yes",0.180919864786883,0.174870883707213,9,0.188707153915854,"no","","","",434
"SH2D4B",12,8.14571852719714e-05,"yes",0.135512858586109,0.0673714369070447,9,0.00473682126356989,"no","","","",434
"GTF2H5",12,8.75817252039557e-05,"yes",0.133082185515326,0.107045896421248,8,0.873567920160916,"no","","","",434
"COL25A1",13,9.94862022620779e-05,"yes",-0.117321465212234,0.335393788190962,8,0.735370431561189,"no","","","",434
